date,open,high,low,close,volume
1999-02-04,2.04,2.06,2.02,2.02,2130000
1999-02-05,2.02,2.02,1.98,2.0,1245000
1999-02-08,2.02,2.02,1.98,2.0,1245000
1999-02-09,2.02,2.02,1.98,2.0,1245000
1999-02-10,2.02,2.02,1.98,2.0,1245000
1999-02-11,2.02,2.02,1.98,2.0,1245000
1999-02-12,1.92,1.94,1.9,1.92,235000
1999-02-15,1.88,1.88,1.86,1.86,40000
1999-02-16,1.86,1.86,1.86,1.86,10000
1999-02-17,1.88,1.9,1.88,1.88,1130000
1999-02-18,1.88,1.94,1.86,1.86,1436000
1999-02-19,1.86,1.86,1.76,1.78,1914000
1999-02-22,1.78,1.8,1.78,1.8,1672000
1999-02-23,1.84,1.9,1.84,1.84,946000
1999-02-24,1.82,1.84,1.78,1.8,755000
1999-02-25,1.74,1.8,1.72,1.8,1612000
1999-02-26,1.84,1.86,1.84,1.84,1100000
1999-03-01,1.84,1.84,1.82,1.82,234000
1999-03-02,1.82,1.84,1.8,1.8,725000
1999-03-03,1.76,1.88,1.74,1.86,14119000
1999-03-04,1.88,1.88,1.8,1.82,696000
1999-03-05,1.88,1.88,1.8,1.82,1934000
1999-03-08,1.84,1.84,1.76,1.76,3262000
1999-03-09,1.76,1.78,1.76,1.76,696000
1999-03-10,1.76,1.76,1.74,1.76,1253000
1999-03-11,1.78,1.78,1.72,1.72,1215000
1999-03-12,1.72,1.72,1.7,1.7,425000
1999-03-15,1.72,1.74,1.72,1.74,131000
1999-03-16,1.72,1.74,1.72,1.74,211000
1999-03-17,1.74,1.8,1.74,1.8,769000
1999-03-18,1.82,1.88,1.8,1.86,1614000
1999-03-19,1.88,1.88,1.82,1.82,2586000
1999-03-22,1.8,1.88,1.8,1.86,745000
1999-03-23,1.88,1.92,1.88,1.9,2564000
1999-03-24,1.9,1.92,1.9,1.92,2127000
1999-03-25,1.9,1.9,1.86,1.88,1200000
1999-03-26,1.9,1.9,1.88,1.88,350000
1999-03-29,1.86,1.9,1.86,1.9,807000
1999-03-30,1.92,1.92,1.88,1.88,723000
1999-03-31,1.88,1.9,1.88,1.9,160000
1999-04-05,1.86,1.98,1.86,1.96,1914000
1999-04-06,2.04,2.06,2.0,2.02,4439000
1999-04-07,2.02,2.08,2.02,2.06,1730000
1999-04-08,2.1,2.22,2.1,2.2,4818000
1999-04-12,2.16,2.32,2.16,2.24,6375000
1999-04-13,2.24,2.28,2.2,2.28,3255000
1999-04-14,2.24,2.24,2.14,2.14,1110000
1999-04-15,2.18,2.22,2.1,2.1,4857000
1999-04-16,2.16,2.18,2.16,2.16,350000
1999-04-19,2.2,2.4,2.2,2.38,13126000
1999-04-20,2.28,2.44,2.22,2.24,5222000
1999-04-21,2.22,2.22,2.2,2.2,368000
1999-04-22,2.34,2.34,2.22,2.28,1668000
1999-04-23,2.28,2.38,2.28,2.28,3143000
1999-04-26,2.34,2.38,2.3,2.36,2890000
1999-04-27,2.4,2.6,2.36,2.55,8622000
1999-04-28,2.7,2.85,2.7,2.8,10130000
1999-04-29,2.8,3.2,2.8,3.15,12930000
1999-04-30,3.1,3.3,3.1,3.2,5035000
1999-05-03,3.2,3.6,3.2,3.45,4057000
1999-05-04,3.5,3.65,3.3,3.4,5901000
1999-05-05,3.45,3.45,3.2,3.2,2216000
1999-05-06,3.25,3.45,3.2,3.25,5735000
1999-05-07,3.3,3.3,3.05,3.15,4688000
1999-05-10,3.15,3.25,2.95,2.95,3061000
1999-05-11,3.0,3.1,2.95,3.0,2352000
1999-05-12,3.1,3.3,3.1,3.3,4024000
1999-05-13,3.4,3.4,3.15,3.25,3018000
1999-05-14,3.3,3.3,3.0,3.15,992000
1999-05-17,3.1,3.1,2.95,3.05,1245000
1999-05-18,3.0,3.2,3.0,3.15,905000
1999-05-19,3.1,3.25,3.0,3.0,2690000
1999-05-20,3.0,3.05,2.9,3.05,1102000
1999-05-21,3.05,3.05,3.0,3.05,340000
1999-05-24,3.1,3.2,3.1,3.1,2116000
1999-05-25,3.0,3.0,2.85,2.9,936000
1999-05-26,2.85,2.95,2.85,2.9,414000
1999-05-27,3.1,3.1,2.85,2.9,365000
1999-05-28,2.9,2.9,2.85,2.9,495000
1999-05-31,2.95,3.0,2.95,3.0,1134000
1999-06-01,3.0,3.1,3.0,3.0,570000
1999-06-02,3.0,3.05,3.0,3.0,1416000
1999-06-03,3.05,3.1,3.05,3.05,1547000
1999-06-04,3.1,3.1,3.05,3.05,390000
1999-06-07,3.05,3.1,3.0,3.1,3353000
1999-06-08,3.1,3.3,3.05,3.15,1806000
