date,open,high,low,close,volume
2018-02-12,3.87,4.46,3.8,4.28,2141000
2018-02-13,4.44,4.48,3.88,4.0,1172000
2018-02-14,4.09,4.15,3.82,3.9,525000
2018-02-15,3.82,4.0,3.78,3.94,287000
2018-02-19,3.94,3.94,3.63,3.69,487000
2018-02-20,3.65,3.8,3.62,3.71,106000
2018-02-21,3.85,3.85,3.6,3.7,227000
2018-02-22,3.81,3.87,3.59,3.7,112000
2018-02-23,3.7,3.77,3.58,3.7,88000
2018-02-26,3.59,3.83,3.57,3.75,168000
2018-02-27,3.75,3.84,3.57,3.72,118000
2018-02-28,3.75,3.75,3.57,3.64,36000
2018-03-01,3.58,3.58,3.56,3.57,46000
2018-03-02,3.6,3.67,3.53,3.6,711000
2018-03-05,3.5,3.63,3.48,3.63,74000
2018-03-06,3.5,3.5,3.4,3.49,347000
2018-03-07,3.55,3.55,3.28,3.4,381000
2018-03-08,3.4,3.7,3.28,3.39,143000
2018-03-09,3.4,3.56,3.35,3.5,85000
2018-03-12,3.5,3.6,3.39,3.49,36000
2018-03-13,3.37,3.42,3.34,3.42,59000
2018-03-14,3.6,3.6,3.36,3.53,35000
2018-03-15,3.57,3.57,3.56,3.56,5000
2018-03-16,3.58,3.58,3.41,3.41,15000
2018-03-19,3.55,3.55,3.38,3.41,42000
2018-03-20,3.5,3.5,3.27,3.36,62000
2018-03-21,3.49,3.49,3.29,3.45,10000
2018-03-22,3.28,3.39,3.26,3.39,48000
2018-03-23,3.4,3.4,3.4,3.4,1000
2018-03-26,3.49,3.49,3.49,3.49,2000
2018-03-27,3.4,3.47,3.4,3.47,17000
2018-04-02,3.47,3.47,3.25,3.38,11000
2018-04-03,3.39,3.39,3.39,3.39,1000
2018-04-04,3.26,3.39,3.26,3.39,15000
2018-04-05,3.43,3.43,3.39,3.39,2000
2018-04-06,3.43,3.57,3.33,3.5,175000
2018-04-10,3.4,3.5,3.3,3.49,40000
2018-04-12,3.39,3.4,3.32,3.4,12000
2018-04-13,3.32,3.4,3.31,3.4,22000
2018-04-16,3.47,3.47,3.47,3.47,1000
2018-04-18,3.3,3.4,3.3,3.4,17000
2018-04-19,3.26,3.4,3.2,3.4,49000
2018-04-20,3.4,3.4,3.4,3.4,1000
2018-04-23,3.47,3.47,3.4,3.47,43000
2018-04-24,3.25,3.5,3.25,3.5,30000
2018-04-26,3.47,3.53,3.3,3.48,62000
2018-04-30,3.44,3.44,3.28,3.42,62000
2018-05-02,3.3,3.45,3.3,3.44,38000
2018-05-03,3.43,3.43,3.33,3.42,3000
2018-05-04,3.42,3.58,3.34,3.49,154000
2018-05-07,3.36,3.64,3.36,3.54,189000
2018-05-08,3.54,3.54,3.46,3.52,28000
2018-05-09,3.52,3.52,3.41,3.46,72000
2018-05-10,3.45,3.51,3.45,3.51,6000
2018-05-11,3.53,3.68,3.51,3.64,184000
2018-05-15,3.6,3.99,3.6,3.89,543000
2018-05-16,3.89,4.02,3.7,3.88,528000
2018-05-17,3.72,3.85,3.7,3.8,213000
2018-05-18,3.79,3.79,3.62,3.76,75000
2018-05-21,3.75,3.8,3.62,3.78,82000
2018-05-22,3.66,3.76,3.65,3.76,10000
2018-05-23,3.64,3.73,3.55,3.73,175000
2018-05-25,3.77,3.77,3.58,3.75,20000
2018-05-28,3.74,3.74,3.57,3.74,43000
2018-05-29,3.77,3.77,3.58,3.72,40000
2018-05-30,3.62,3.62,3.62,3.62,1000
2018-05-31,3.57,3.68,3.55,3.6,187000
2018-06-01,3.52,3.58,3.52,3.58,3000
2018-06-04,3.51,3.59,3.51,3.59,4000
2018-06-05,3.51,3.6,3.5,3.6,59000
2018-06-06,3.53,3.6,3.52,3.6,32000
2018-06-07,3.55,3.65,3.5,3.59,95000
2018-06-08,3.51,3.51,3.5,3.5,56000
2018-06-11,3.55,3.6,3.55,3.6,65000
2018-06-13,3.62,3.65,3.5,3.65,28000
2018-06-14,3.45,3.65,3.45,3.58,6000
2018-06-18,3.64,3.64,3.46,3.46,36000
2018-06-19,3.58,3.68,3.47,3.67,107000
2018-06-20,3.67,3.86,3.6,3.78,274000
2018-06-21,3.78,3.78,3.51,3.74,48000
2018-06-22,3.49,3.69,3.49,3.69,30000
2018-06-25,3.49,3.55,3.47,3.55,72000
2018-06-26,3.46,3.54,3.46,3.54,9000
2018-06-27,3.54,3.58,3.47,3.58,68000
2018-06-28,3.5,3.54,3.5,3.54,9000
2018-07-02,3.53,3.58,3.5,3.58,42000
2018-07-03,3.45,3.57,3.38,3.53,87000
2018-07-04,3.43,3.52,3.43,3.51,19000
2018-07-05,3.41,3.41,3.41,3.41,1000
2018-07-06,3.41,3.54,3.39,3.52,61000
2018-07-09,3.4,3.52,3.39,3.52,22000
2018-07-10,3.38,3.52,3.38,3.52,65000
2018-07-11,3.52,3.55,3.41,3.55,12000
2018-07-12,3.55,3.55,3.55,3.55,1000
