date,open,high,low,close,volume
1999-02-04,600.0,600.0,600.0,600.0,10
1999-03-04,890.0,890.0,890.0,890.0,50
1999-03-08,880.0,880.0,880.0,880.0,60
1999-03-23,900.0,900.0,900.0,900.0,100
1999-05-04,595.0,595.0,595.0,595.0,1170
1999-06-22,550.0,550.0,550.0,550.0,90
1999-06-23,550.0,550.0,550.0,550.0,110
1999-06-29,650.0,650.0,650.0,650.0,30
1999-07-01,650.0,650.0,650.0,650.0,920
1999-07-12,600.0,600.0,550.0,550.0,2040
1999-07-14,600.0,600.0,600.0,600.0,30
1999-07-16,700.0,700.0,700.0,700.0,1000
1999-07-19,600.0,600.0,560.0,560.0,140
1999-07-20,570.0,570.0,570.0,570.0,2550
1999-08-05,605.0,610.0,605.0,610.0,900
1999-08-06,600.0,600.0,600.0,600.0,190
1999-08-20,600.0,600.0,600.0,600.0,110
1999-11-16,700.0,700.0,700.0,700.0,810
1999-11-25,600.0,600.0,600.0,600.0,10
1999-12-17,600.0,600.0,600.0,600.0,10
1999-12-28,800.0,800.0,800.0,800.0,10
2000-02-04,650.0,650.0,650.0,650.0,110
2000-03-02,650.0,650.0,650.0,650.0,490
2000-03-17,650.0,650.0,650.0,650.0,70
2000-04-27,650.0,650.0,650.0,650.0,1000
2000-06-07,650.0,650.0,650.0,650.0,200
2000-06-08,650.0,650.0,650.0,650.0,160
2000-06-13,550.0,550.0,550.0,550.0,360
2000-06-21,650.0,650.0,650.0,650.0,10
2000-06-22,610.0,610.0,610.0,610.0,50
2000-06-26,600.0,600.0,600.0,600.0,480
2000-06-27,300.0,300.0,300.0,300.0,20
2000-07-14,315.0,315.0,315.0,315.0,60
2000-09-05,260.0,260.0,260.0,260.0,30
2000-09-18,210.0,210.0,210.0,210.0,160
2000-09-28,205.0,205.0,205.0,205.0,870
2000-10-04,215.0,215.0,215.0,215.0,40
2000-10-30,210.0,210.0,210.0,210.0,10
2000-11-24,150.0,150.0,150.0,50.0,190
2000-12-21,225.0,225.0,225.0,225.0,16460
2000-12-27,226.0,226.0,226.0,226.0,50
2001-01-24,220.0,220.0,220.0,220.0,10
2001-03-16,350.0,350.0,350.0,350.0,20
2001-03-28,310.0,310.0,310.0,310.0,10
2001-04-18,460.0,460.0,460.0,460.0,10
2001-05-15,360.0,360.0,360.0,360.0,90
2001-05-17,370.0,370.0,370.0,370.0,10
2001-06-19,370.0,370.0,350.0,370.0,4510
2001-06-21,370.0,370.0,370.0,370.0,1060
2001-06-27,470.0,470.0,470.0,470.0,10
2001-07-04,370.0,370.0,370.0,370.0,320
2001-07-12,370.0,370.0,370.0,370.0,120
2001-08-03,380.0,380.0,375.0,375.0,660
2001-08-06,375.0,375.0,375.0,375.0,10
2001-09-03,300.0,300.0,300.0,300.0,190
2001-10-04,280.0,280.0,280.0,280.0,30
2001-11-06,300.0,300.0,300.0,300.0,260
2002-01-15,595.0,595.0,595.0,595.0,10
2002-01-22,400.0,400.0,400.0,400.0,1870
2002-03-01,400.0,400.0,400.0,400.0,250
2002-03-05,400.0,400.0,400.0,400.0,860
2002-03-06,400.0,400.0,400.0,400.0,80
2002-03-11,420.0,420.0,420.0,420.0,50
2002-03-13,460.0,460.0,460.0,460.0,100
2002-03-14,460.0,460.0,460.0,460.0,100
2002-03-18,450.0,450.0,450.0,450.0,250
2002-03-20,400.0,400.0,400.0,400.0,1000
2002-03-22,420.0,420.0,420.0,420.0,50
2002-04-15,450.0,450.0,450.0,450.0,740
2002-05-14,450.0,450.0,450.0,450.0,10
2002-05-20,450.0,450.0,450.0,450.0,40
2002-05-24,420.0,420.0,420.0,420.0,150
2002-06-03,420.0,420.0,420.0,420.0,200
2002-06-17,450.0,450.0,450.0,450.0,410
2002-06-18,450.0,450.0,450.0,450.0,500
2002-06-25,450.0,450.0,450.0,450.0,500
2002-06-28,425.0,425.0,425.0,425.0,270
2002-07-01,425.0,425.0,425.0,425.0,60
2002-07-02,425.0,425.0,425.0,425.0,10
2002-07-08,450.0,450.0,450.0,450.0,180
2002-07-22,450.0,450.0,450.0,450.0,1050
2002-07-24,450.0,450.0,450.0,450.0,10
2002-08-01,450.0,450.0,450.0,450.0,800
2002-09-18,470.0,470.0,470.0,470.0,30
2002-09-19,470.0,470.0,470.0,470.0,200
2002-09-30,470.0,470.0,470.0,470.0,200
2002-10-01,450.0,450.0,450.0,450.0,800
2002-11-14,450.0,450.0,450.0,450.0,500
2002-12-09,450.0,450.0,450.0,450.0,680
2002-12-13,450.0,450.0,450.0,450.0,80
2003-02-07,470.0,470.0,470.0,470.0,350
2003-02-11,470.0,470.0,470.0,470.0,990
2003-02-14,475.0,475.0,475.0,475.0,230
2003-02-26,480.0,480.0,480.0,480.0,2450
2003-03-03,485.0,485.0,485.0,485.0,170
2003-03-14,480.0,480.0,480.0,480.0,270
2003-03-18,480.0,480.0,480.0,480.0,550
2003-04-22,480.0,480.0,480.0,480.0,20
2003-05-29,475.0,475.0,475.0,475.0,150
2003-06-26,550.0,550.0,550.0,550.0,10
2003-06-27,550.0,550.0,550.0,550.0,1730
2003-07-16,580.0,580.0,580.0,580.0,10
2003-07-22,525.0,525.0,525.0,525.0,20
2003-08-08,460.0,460.0,460.0,460.0,60
2003-08-26,460.0,460.0,460.0,460.0,340
2003-09-10,470.0,470.0,470.0,470.0,20
2003-09-12,470.0,470.0,470.0,470.0,280
2003-09-30,580.0,580.0,580.0,580.0,30
2003-10-14,500.0,500.0,500.0,500.0,250
2003-10-15,500.0,500.0,500.0,500.0,70
2003-10-21,400.0,400.0,400.0,400.0,60
2003-10-30,400.0,400.0,400.0,400.0,850
2003-11-07,400.0,400.0,400.0,400.0,340
2003-11-11,400.0,400.0,400.0,400.0,1750
2003-11-18,400.0,400.0,400.0,400.0,1750
2003-12-05,400.0,400.0,400.0,400.0,820
2003-12-10,400.0,400.0,400.0,400.0,1510
2003-12-11,400.0,400.0,400.0,400.0,390
2004-01-21,400.0,400.0,400.0,400.0,50
2004-01-22,400.0,400.0,400.0,400.0,70
2004-01-26,400.0,400.0,400.0,400.0,310
2004-01-27,400.0,400.0,400.0,400.0,50
2004-01-29,400.0,400.0,400.0,400.0,30
2004-01-30,400.0,400.0,400.0,400.0,1700
2004-02-06,405.0,405.0,405.0,405.0,1170
2004-02-24,400.0,400.0,400.0,400.0,6230
2004-02-27,400.0,400.0,400.0,400.0,4410
2004-03-03,400.0,400.0,400.0,400.0,120
2004-03-04,400.0,400.0,400.0,400.0,470
2004-03-10,400.0,400.0,400.0,400.0,680
2004-03-11,405.0,405.0,405.0,405.0,40
2004-03-16,405.0,405.0,405.0,405.0,150
2004-03-17,400.0,400.0,400.0,400.0,1000
2004-03-22,400.0,400.0,400.0,400.0,580
2004-04-27,405.0,405.0,405.0,405.0,100
2004-05-11,405.0,405.0,405.0,405.0,300
2004-05-20,405.0,405.0,405.0,405.0,400
2004-05-26,450.0,450.0,450.0,450.0,400
2004-05-27,405.0,405.0,405.0,405.0,50
2004-06-03,420.0,420.0,420.0,420.0,300
2004-06-16,450.0,450.0,450.0,450.0,190
2004-06-17,455.0,455.0,455.0,455.0,40
2004-06-28,455.0,455.0,455.0,455.0,90
2004-06-29,455.0,455.0,455.0,455.0,100
2004-07-01,465.0,465.0,455.0,455.0,70
