date,open,high,low,close,volume
1999-02-04,0.54,0.54,0.54,0.54,100000
1999-02-15,0.52,0.52,0.52,0.52,20000
1999-02-16,0.6,0.6,0.6,0.6,10000
1999-02-19,0.54,0.62,0.54,0.62,740000
1999-02-24,0.54,0.58,0.51,0.58,250000
1999-03-01,0.55,0.55,0.55,0.55,30000
1999-03-02,0.52,0.53,0.52,0.53,20000
1999-03-03,0.53,0.53,0.53,0.53,90000
1999-03-05,0.55,0.55,0.54,0.54,80000
1999-03-08,0.54,0.54,0.54,0.54,30000
1999-03-10,0.58,0.6,0.54,0.54,2060000
1999-03-11,0.6,0.6,0.59,0.6,670000
1999-03-16,0.55,0.55,0.55,0.55,30000
1999-03-17,0.56,0.56,0.56,0.56,50000
1999-03-18,0.6,0.6,0.58,0.58,150000
1999-03-19,0.57,0.6,0.57,0.6,250000
1999-03-22,0.6,0.6,0.6,0.6,260000
1999-03-23,0.59,0.61,0.59,0.61,380000
1999-03-24,0.6,0.6,0.6,0.6,1040000
1999-03-25,0.6,0.64,0.6,0.6,590000
1999-03-26,0.6,0.6,0.6,0.6,30000
1999-03-29,0.6,0.6,0.6,0.6,5300000
1999-03-30,0.6,0.62,0.6,0.6,300000
1999-03-31,0.65,0.7,0.65,0.7,700000
1999-04-05,0.61,0.61,0.61,0.61,10000
1999-04-08,0.62,0.62,0.62,0.62,10000
1999-04-12,0.61,0.62,0.61,0.61,30000
1999-04-13,0.62,0.62,0.62,0.62,200000
1999-04-14,0.61,0.63,0.61,0.62,190000
1999-04-15,0.62,0.62,0.62,0.62,30000
1999-04-16,0.62,0.64,0.62,0.64,320000
1999-04-19,0.68,0.71,0.66,0.68,1320000
1999-04-20,0.7,0.7,0.7,0.7,30000
1999-04-22,0.69,0.72,0.69,0.72,420000
1999-04-23,0.72,0.73,0.72,0.73,170000
1999-04-26,0.73,0.73,0.73,0.73,110000
1999-04-27,0.73,0.76,0.73,0.75,530000
1999-04-28,0.74,0.8,0.74,0.8,210000
1999-04-30,0.73,0.73,0.73,0.73,70000
1999-05-03,0.7,0.7,0.7,0.7,30000
1999-05-04,0.71,0.71,0.71,0.71,110000
1999-05-05,0.71,0.71,0.7,0.71,370000
1999-05-06,0.76,0.77,0.7,0.71,760000
1999-05-07,0.71,0.73,0.71,0.71,490000
1999-05-10,0.74,0.74,0.73,0.73,510000
1999-05-11,0.72,0.76,0.72,0.76,290000
1999-05-12,0.72,0.72,0.72,0.72,70000
1999-05-13,0.72,0.73,0.72,0.73,170000
1999-05-14,0.74,0.74,0.73,0.73,160000
1999-05-17,0.72,0.75,0.72,0.75,130000
1999-05-18,0.71,0.72,0.71,0.71,250000
