date,open,high,low,close,volume
2006-02-10,46.5,47.0,45.5,45.5,4220300
2006-02-13,46.0,46.5,46.0,46.0,2230100
2006-02-14,45.5,46.0,45.0,46.0,2443200
2006-02-15,45.5,46.0,45.5,46.0,1763200
2006-02-16,45.5,46.0,45.5,45.5,651700
2006-02-17,45.0,45.0,45.0,45.0,561000
2006-02-20,45.0,45.5,45.0,45.0,590100
2006-02-21,45.0,45.5,45.0,45.0,1003200
2006-02-22,45.0,45.5,45.0,45.5,351800
2006-02-23,45.5,45.5,45.0,45.0,101300
2006-02-24,45.0,45.0,44.5,44.5,2364500
2006-02-27,44.5,45.0,44.5,44.5,1036900
2006-02-28,44.5,45.0,44.5,45.0,4159500
2006-03-01,45.0,45.0,44.5,44.5,82700
2006-03-02,45.0,45.0,44.5,45.0,271700
2006-03-03,45.0,45.0,44.5,44.5,314600
2006-03-06,45.0,45.0,44.5,45.0,28000
2006-03-07,45.0,45.0,44.5,45.0,679400
2006-03-08,44.5,45.0,44.5,45.0,933800
2006-03-09,45.0,45.0,44.5,45.0,17700
2006-03-10,45.0,45.0,44.5,44.5,2248500
2006-03-13,44.0,44.0,43.0,43.0,6200
2006-03-14,43.0,44.5,43.0,44.5,81900
2006-03-15,43.0,43.0,42.0,42.0,24600
2006-03-16,42.0,42.0,41.0,42.0,14870500
2006-03-17,41.5,42.0,41.5,42.0,22000
2006-03-20,41.0,42.0,41.0,42.0,61000
2006-03-21,42.0,42.5,42.0,42.0,74200
2006-03-22,41.0,42.0,41.0,41.0,848500
2006-03-23,41.5,42.5,41.5,42.0,1893900
2006-03-24,42.0,42.5,42.0,42.5,796600
2006-03-27,41.5,42.5,41.5,42.5,245900
2006-03-28,42.0,44.5,42.0,44.0,590500
2006-03-29,44.0,44.5,44.0,44.5,337000
2006-03-30,44.5,45.0,44.0,45.0,683000
2006-03-31,44.5,45.0,44.5,45.0,144500
2006-04-03,44.0,45.0,44.0,44.0,49000
2006-04-04,43.0,44.5,43.0,44.5,76100
2006-04-05,44.0,44.0,44.0,44.0,787500
2006-04-06,43.5,44.0,43.5,44.0,353500
2006-04-07,44.0,44.0,43.0,44.0,150600
2006-04-10,43.0,44.5,43.0,44.5,80500
2006-04-11,44.5,44.5,44.0,44.5,74800
2006-04-12,44.0,44.5,44.0,44.5,287000
2006-04-17,44.0,45.0,44.0,45.0,118800
2006-04-18,44.5,44.5,44.5,44.5,442100
2006-04-19,44.5,45.0,44.5,45.0,150700
2006-04-20,44.5,45.0,44.5,45.0,995400
2006-04-21,44.5,45.0,44.5,45.0,58000
2006-04-24,45.0,45.0,44.5,45.0,697200
2006-04-25,44.5,45.0,44.5,45.0,242800
2006-04-26,44.5,44.5,44.5,44.5,172300
2006-04-27,44.5,45.0,44.5,45.0,63400
2006-04-28,44.0,45.5,44.0,45.5,116500
2006-05-02,45.0,45.0,45.0,45.0,33100
2006-05-03,44.5,45.0,44.5,45.0,59000
2006-05-04,44.5,44.5,44.5,44.5,341500
2006-05-05,45.0,45.0,45.0,45.0,1204100
2006-05-08,45.0,45.5,45.0,45.0,4279300
2006-05-09,45.5,47.0,45.5,46.5,3877100
2006-05-10,46.5,48.5,46.5,48.5,3200600
2006-05-11,49.0,51.0,49.0,51.0,1431400
2006-05-12,51.0,51.0,49.5,51.0,634100
2006-05-15,50.0,50.0,49.0,49.5,2269800
2006-05-16,49.0,49.5,49.0,49.5,309900
2006-05-17,49.0,49.0,47.0,47.0,825500
2006-05-18,47.0,47.0,46.0,47.0,581100
2006-05-19,46.5,47.5,46.5,47.0,381800
2006-05-22,47.0,48.0,47.0,48.0,110500
2006-05-23,46.5,47.0,46.5,47.0,637700
2006-05-24,46.5,46.5,46.5,46.5,269800
2006-05-25,46.5,47.0,46.0,47.0,38800
2006-05-26,47.0,49.0,47.0,48.0,110100
2006-05-29,48.0,48.5,48.0,48.0,488000
2006-05-30,47.0,47.0,46.5,47.0,1033300
2006-05-31,46.5,46.5,46.0,46.5,2407700
2006-06-01,46.5,47.0,46.0,46.0,121300
2006-06-02,47.0,47.0,46.5,47.0,6300
2006-06-05,46.5,47.0,46.0,47.0,72500
2006-06-06,46.5,46.5,46.0,46.0,78100
2006-06-07,45.5,45.5,44.5,45.0,182000
2006-06-08,43.0,44.5,42.0,44.5,70500
2006-06-14,43.0,44.5,43.0,44.5,278200
2006-06-15,44.0,44.0,44.0,44.0,1000
2006-06-16,43.0,43.0,42.5,42.5,124500
2006-06-19,42.5,42.5,42.0,42.0,388000
2006-06-20,41.5,42.0,41.0,42.0,164100
2006-06-21,41.5,42.5,41.5,42.5,138300
2006-06-22,42.0,43.0,42.0,43.0,82000
2006-06-23,42.0,42.5,42.0,42.5,53000
2006-06-26,43.0,43.0,42.0,42.0,11500
2006-06-27,42.0,42.0,41.5,41.5,210700
2006-06-28,41.0,41.5,41.0,41.5,105000
2006-06-29,41.0,43.0,41.0,43.0,295800
2006-06-30,43.0,43.0,42.0,43.0,490500
2006-07-03,43.0,43.0,43.0,43.0,3500
2006-07-04,43.0,43.0,42.5,42.5,464600
2006-07-05,42.5,43.0,42.5,43.0,42400
2006-07-06,42.5,43.0,42.5,43.0,11100
2006-07-07,43.0,43.5,43.0,43.5,571700
2006-07-10,43.5,43.5,43.0,43.5,656600
2006-07-11,44.0,45.0,44.0,45.0,615100
2006-07-12,44.5,45.0,44.5,45.0,11000
2006-07-13,44.5,45.5,44.5,45.5,257100
2006-07-14,44.5,45.0,44.5,45.0,41500
2006-07-17,44.5,44.5,43.5,44.0,33000
