date,open,high,low,close,volume
2018-04-30,106.1,106.1,106.0,106.0,5130
2018-05-04,108.0,108.0,108.0,108.0,86680
2018-05-09,107.8,107.8,107.0,107.0,1570
2018-05-10,107.0,107.0,107.0,107.0,10000
2018-05-15,108.0,108.0,108.0,108.0,365380
2018-05-17,109.0,109.0,109.0,109.0,6000
2018-05-18,109.0,109.0,109.0,109.0,2500
2018-05-24,109.0,109.0,109.0,109.0,45700
2018-05-25,108.0,108.0,107.1,107.1,1990
2018-05-28,107.1,107.1,107.0,107.0,10000
2018-05-29,107.1,107.1,107.0,107.0,1970
2018-05-30,107.1,107.1,107.0,107.0,24770
2018-06-05,110.0,110.0,110.0,110.0,42710
2018-06-08,109.0,109.0,109.0,109.0,40000
2018-06-20,111.0,111.0,111.0,111.0,20
2018-06-21,111.0,111.0,111.0,111.0,40
2018-06-22,107.1,107.1,107.0,107.0,4300
2018-06-26,106.0,106.0,106.0,106.0,300
2018-06-28,100.1,100.1,100.1,100.1,19300
2018-06-29,105.0,105.0,105.0,105.0,1030
2018-07-03,100.1,100.1,100.1,100.1,4000
2018-07-04,107.0,107.0,107.0,107.0,40
2018-07-06,106.8,106.8,106.8,106.8,10
2018-07-09,106.7,106.8,106.7,106.8,500
2018-07-10,106.8,107.0,106.8,107.0,11080
2018-07-11,107.0,107.0,107.0,107.0,390
2018-07-12,107.0,107.0,107.0,107.0,3030
2018-07-16,107.0,107.0,107.0,107.0,170
2018-07-18,107.0,107.0,107.0,107.0,240
2018-07-20,107.0,107.0,107.0,107.0,20
2018-07-24,107.0,107.0,107.0,107.0,280
2018-07-26,104.0,104.0,104.0,104.0,2600
2018-07-27,104.0,104.0,104.0,104.0,400
2018-07-30,104.0,104.0,104.0,104.0,4490
2018-07-31,104.0,104.0,104.0,104.0,150
2018-08-01,103.9,104.0,103.9,104.0,20860
2018-08-03,104.9,104.9,104.9,104.9,25000
2018-08-06,106.8,106.8,106.8,106.8,210
2018-08-07,106.7,106.8,106.7,106.8,1780
2018-08-09,106.0,106.0,90.4,102.1,9430
2018-08-10,103.5,103.5,103.5,103.5,200
2018-08-15,106.4,106.4,106.4,106.4,980
2018-08-16,106.4,116.0,106.4,111.9,1720
2018-08-17,104.0,104.0,104.0,104.0,1000
2018-08-20,99.0,99.0,99.0,99.0,11120
2018-08-22,104.0,104.0,104.0,104.0,2000
2018-08-23,105.0,105.0,99.2,100.0,30010
2018-08-24,101.0,101.0,100.0,100.0,5000
2018-08-28,104.9,104.9,104.9,104.9,100
2018-08-29,100.1,101.5,100.1,100.6,10010
2018-08-30,101.2,101.2,100.4,100.4,440
2018-08-31,104.9,104.9,104.9,104.9,110
2018-09-03,104.9,104.9,104.9,104.9,10
2018-09-05,101.0,101.0,100.0,100.0,10000
2018-09-10,100.9,100.9,100.5,100.5,8400
2018-09-11,104.9,104.9,104.9,104.9,80
2018-09-13,104.8,105.0,100.7,100.7,11020
2018-09-14,101.1,101.1,101.1,101.1,50000
2018-09-18,101.0,101.0,101.0,101.0,100000
2018-09-24,101.0,101.0,101.0,101.0,65000
2018-09-26,101.1,103.0,101.0,103.0,3800
2018-09-27,102.5,102.5,102.5,102.5,100
2018-09-28,103.0,103.0,103.0,103.0,80
2018-10-02,101.1,101.1,101.0,101.0,2000
2018-10-03,103.0,103.0,103.0,103.0,3000
2018-10-04,102.9,103.0,102.9,103.0,220
2018-10-05,100.8,102.0,100.5,102.0,20900
2018-10-08,102.0,102.0,100.5,100.5,10000
2018-10-09,101.5,101.5,101.0,101.0,24800
2018-10-10,101.6,101.6,101.6,101.6,18800
2018-10-11,101.6,101.6,101.0,101.0,13910
2018-10-12,101.0,101.0,101.0,101.0,3640
2018-10-15,101.0,101.0,101.0,101.0,5000
2018-10-16,101.0,101.0,101.0,101.0,5190
