date,open,high,low,close,volume
1999-06-28,0.0075,0.0075,0.0075,0.0075,4000000
1999-06-29,0.008,0.009000000000000001,0.008,0.009000000000000001,114000000
1999-07-01,0.0085,0.0085,0.0085,0.0085,55000000
1999-07-02,0.0085,0.0085,0.008,0.008,181000000
1999-07-05,0.008,0.009000000000000001,0.008,0.009000000000000001,125000000
1999-07-06,0.009000000000000001,0.009000000000000001,0.0085,0.009000000000000001,25000000
1999-07-07,0.0085,0.0085,0.0085,0.0085,4000000
1999-07-08,0.009000000000000001,0.01,0.009000000000000001,0.01,252000000
1999-07-09,0.011000000000000001,0.012,0.01,0.01,179000000
1999-07-12,0.011000000000000001,0.011000000000000001,0.011000000000000001,0.011000000000000001,108000000
1999-07-13,0.01,0.011000000000000001,0.01,0.01,250000000
1999-07-14,0.009000000000000001,0.009000000000000001,0.0085,0.0085,4000000
1999-07-15,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,4000000
1999-07-16,0.0095,0.0095,0.009000000000000001,0.009000000000000001,35000000
1999-07-19,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,50000000
1999-07-21,0.0085,0.0085,0.0085,0.0085,24000000
1999-07-22,0.008,0.0085,0.008,0.008,23000000
1999-07-23,0.0075,0.0075,0.0075,0.0075,48000000
1999-07-28,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,3000000
1999-07-30,0.0075,0.0075,0.0075,0.0075,1000000
1999-08-04,0.0075,0.0085,0.0075,0.0085,310000000
1999-08-05,0.009000000000000001,0.0095,0.0085,0.0085,75000000
1999-08-06,0.0095,0.0095,0.0085,0.0085,9000000
1999-08-09,2.0,2.0,2.0,2.0,20000
1999-09-17,2.4,2.4,2.4,2.4,10000
2000-04-28,1.5,1.5,1.46,1.46,20000
2002-01-29,0.9,0.9,0.9,0.9,1000
2002-02-07,0.75,0.75,0.75,0.75,120000
2003-10-09,0.6,0.6,0.6,0.6,50000
2004-05-07,0.6,0.6,0.6,0.6,10000
2004-12-17,0.85,0.85,0.85,0.85,10000
2004-12-29,1.02,1.02,1.02,1.02,10000
2005-05-04,0.62,0.62,0.62,0.62,10000
2005-12-29,0.92,0.92,0.92,0.92,10000
2006-04-03,0.92,0.92,0.92,0.92,20000
2006-12-29,1.02,1.02,1.02,1.02,10000
2007-05-10,1.0,1.0,1.0,1.0,60000
2007-06-13,1.48,1.48,1.48,1.48,10000
2007-08-03,1.84,1.84,1.84,1.84,20000
2007-08-14,1.8,1.8,1.8,1.8,20000
2007-10-22,1.5,1.5,1.5,1.5,1000
2007-11-08,1.6,1.6,1.6,1.6,20000
2008-02-20,1.2,1.2,1.2,1.2,8000
2008-11-19,0.8,0.8,0.8,0.8,20000
2008-11-20,0.8,0.8,0.8,0.8,20000
2009-01-23,0.85,0.85,0.85,0.85,10000
2009-05-08,0.85,0.85,0.85,0.85,40000
2009-05-18,1.04,1.04,1.04,1.04,50000
2009-06-24,1.04,1.04,1.02,1.02,200000
2009-06-25,1.5,1.5,1.5,1.5,41000
2009-07-22,2.0,2.0,2.0,2.0,5000
2009-07-27,1.22,1.22,1.22,1.22,1000
2009-08-19,1.2,1.2,1.2,1.2,50000
2009-12-29,1.46,1.46,1.4,1.4,8000
2010-01-06,1.78,1.78,1.78,1.78,3000
2010-01-14,2.0,2.0,2.0,2.0,2000
2010-02-15,2.5,2.7,2.5,2.7,14000
2010-02-17,2.7,2.7,2.7,2.7,3000
2010-03-17,1.62,1.62,1.62,1.62,28000
2010-05-21,1.02,1.02,1.02,1.02,4000
2010-05-27,1.52,1.52,1.52,1.52,1000
2010-05-28,1.52,1.52,1.52,1.52,2000
2010-05-31,1.48,1.48,1.04,1.04,13000
2010-06-01,1.56,1.56,1.56,1.56,1000
2011-03-23,1.56,1.57,1.56,1.56,24000
2011-04-01,1.24,1.24,1.24,1.24,24000
2011-04-06,1.2,1.2,1.2,1.2,5000
2011-04-07,1.2,1.2,1.2,1.2,5000
2011-05-19,1.16,1.16,1.15,1.15,67000
2011-06-03,1.15,1.2,1.15,1.2,86000
2011-06-07,1.16,1.16,1.15,1.15,20000
2011-06-13,1.15,1.15,1.15,1.15,10000
2011-06-15,1.25,1.3,1.25,1.3,277000
2011-06-16,1.45,1.45,1.45,1.45,21000
2011-06-22,1.25,1.25,1.25,1.25,100000
2011-07-01,1.3,1.3,1.25,1.25,37000
2011-07-05,1.26,1.26,1.25,1.25,204000
2011-07-07,1.26,1.26,1.26,1.26,16000
2011-07-08,1.26,1.26,1.25,1.26,220000
2011-07-18,1.3,1.3,1.3,1.3,200000
2011-07-27,1.3,1.3,1.3,1.3,50000
2011-07-28,1.66,1.66,1.66,1.66,16000
2011-08-03,1.8,1.94,1.8,1.94,50000
2011-08-04,2.02,2.02,2.02,2.02,20000
2011-08-05,2.28,2.28,2.28,2.28,2000
2011-08-18,2.48,2.48,2.48,2.48,1000
2011-09-05,2.48,2.48,2.48,2.48,10000
2011-10-05,2.46,2.46,2.46,2.46,3000
2011-12-08,1.27,2.09,1.27,2.09,13000
2011-12-22,2.36,2.36,2.36,2.36,2000
2011-12-23,2.37,2.38,2.1,2.34,13000
2011-12-28,2.0,2.34,2.0,2.34,7000
2012-01-04,1.98,1.98,1.98,1.98,53000
2012-01-09,1.98,2.28,1.98,2.28,12000
2012-01-11,2.28,3.42,2.28,3.42,493000
2012-01-12,3.48,3.68,2.8,2.8,313000
2012-01-13,2.53,2.8,2.53,2.75,14000
2012-01-16,2.89,3.2,2.8,2.8,22000
2012-01-17,2.8,2.8,2.75,2.75,20000
2012-01-18,2.5,2.56,2.5,2.56,15000
2012-01-19,2.6,2.7,2.6,2.7,21000
2012-01-20,2.55,2.55,2.55,2.55,1000
2012-01-24,2.6,2.6,2.6,2.6,3000
2012-01-25,2.61,2.61,2.61,2.61,2000
2012-01-26,2.65,2.65,2.65,2.65,10000
2012-01-27,2.61,2.61,2.61,2.61,3000
2012-01-31,2.6,3.19,2.6,3.1,131000
2012-02-01,3.1,3.45,3.1,3.18,129000
