date,open,high,low,close,volume
2013-12-02,100.0,100.0,99.95,100.0,637850
2013-12-03,101.5,101.5,99.6,99.75,127440
2013-12-04,99.8,99.85,99.6,99.6,44330
2013-12-05,100.0,100.0,99.0,99.2,12890
2013-12-06,99.2,99.2,97.0,97.15,49120
2013-12-09,99.0,99.0,97.05,97.05,32160
2013-12-10,97.05,97.2,97.0,97.15,55170
2013-12-11,97.15,97.15,97.0,97.0,6940
2013-12-12,96.8,96.9,95.5,96.0,8630
2013-12-13,95.5,97.0,95.5,95.95,9950
2013-12-16,96.5,96.95,95.05,95.8,28640
2013-12-17,95.8,95.8,95.7,95.8,21290
2013-12-18,95.8,95.8,95.5,95.8,9880
2013-12-19,96.1,97.3,95.95,96.0,107960
2013-12-20,97.5,97.5,94.0,94.5,28240
2013-12-23,94.8,95.6,94.8,95.5,2390
2013-12-26,95.5,95.5,95.0,95.5,5200
2013-12-27,95.5,95.5,95.5,95.5,7850
2014-01-02,96.0,96.0,95.5,96.0,6850
2014-01-03,96.1,96.1,95.5,95.5,4140
2014-01-06,96.0,96.0,95.5,95.7,11080
2014-01-07,95.8,95.8,95.5,95.7,8120
2014-01-08,95.5,95.65,95.5,95.65,14020
2014-01-09,96.3,96.3,95.65,95.65,2550
2014-01-10,96.0,96.0,95.0,95.6,11390
2014-01-13,95.6,95.6,95.0,95.5,30770
2014-01-14,95.6,95.6,94.8,95.0,18500
2014-01-15,95.0,95.5,95.0,95.0,10750
2014-01-16,95.5,95.8,95.5,95.5,10550
2014-01-17,95.5,95.8,95.4,95.8,3720
2014-01-20,95.8,95.9,95.5,95.5,3380
2014-01-21,96.0,96.1,95.6,96.1,3560
2014-01-22,95.6,98.2,95.6,98.2,12890
2014-01-23,98.25,98.6,97.9,98.6,7090
2014-01-24,98.6,98.9,97.9,98.9,3850
2014-01-27,97.0,97.6,96.0,97.6,4140
2014-01-28,97.6,97.6,96.6,97.0,1140
2014-01-29,97.0,97.2,96.8,97.2,1220
2014-01-30,98.8,98.8,96.5,97.0,6180
2014-02-03,96.9,97.2,96.5,97.0,3140
2014-02-04,97.0,97.0,95.0,95.0,6290
2014-02-05,95.5,95.5,95.0,95.0,1060
2014-02-06,95.0,95.4,95.0,95.0,660
2014-02-07,96.0,96.6,96.0,96.6,2340
2014-02-10,96.6,97.0,96.6,96.9,5140
2014-02-11,97.3,98.0,97.3,98.0,1140
2014-02-12,98.0,98.2,97.2,98.2,6220
2014-02-13,98.2,98.2,97.5,98.0,650
2014-02-14,97.7,97.8,97.4,97.8,310
2014-02-17,97.9,98.1,97.6,98.1,1320
2014-02-18,98.5,98.5,98.1,98.5,5090
2014-02-19,98.5,98.8,98.3,98.5,10200
2014-02-20,98.5,101.4,98.5,101.4,30300
2014-02-21,101.4,101.4,100.0,101.0,4260
2014-02-24,101.0,101.0,99.5,100.3,2000
2014-02-25,100.0,101.0,100.0,100.3,1050
2014-02-26,100.3,100.4,100.0,100.4,3800
2014-02-27,100.9,101.0,100.0,100.1,8040
2014-02-28,101.0,101.5,100.0,101.5,10760
2014-03-03,101.0,102.0,100.5,102.0,8690
2014-03-04,101.5,101.5,101.0,101.5,3410
2014-03-05,101.5,102.5,101.5,102.4,3410
2014-03-06,102.4,102.9,101.6,102.8,26730
2014-03-07,102.9,103.0,102.0,102.8,3590
2014-03-10,102.8,103.0,102.1,102.2,19320
2014-03-11,102.2,105.0,102.2,104.3,13600
2014-03-12,104.0,104.0,103.0,103.5,12000
2014-03-13,103.5,103.5,103.0,103.2,7080
2014-03-14,103.0,103.0,102.0,102.5,5690
2014-03-17,102.0,102.5,102.0,102.5,3260
2014-03-18,102.5,103.5,102.5,103.5,6910
2014-03-19,103.5,103.5,103.0,103.5,2850
2014-03-20,103.4,103.4,102.7,103.4,3710
2014-03-21,103.4,103.5,103.0,103.5,1650
2014-03-24,103.1,103.5,102.9,103.3,5890
2014-03-25,103.0,103.0,102.2,102.2,8590
2014-03-26,102.5,102.5,102.1,102.5,3400
2014-03-27,103.5,103.5,102.0,102.0,3730
2014-03-28,102.5,102.9,102.5,102.8,1530
2014-03-31,103.5,103.5,103.0,103.5,1340
2014-04-01,103.5,105.0,102.8,105.0,64540
2014-04-02,105.0,106.0,104.5,106.0,63140
2014-04-03,106.0,106.0,105.0,105.5,5710
2014-04-04,105.5,106.0,105.5,106.0,2520
2014-04-07,105.6,106.5,105.6,106.5,6910
2014-04-08,106.5,106.5,105.9,106.5,5410
2014-04-10,106.5,107.5,106.5,107.0,2450
2014-04-11,106.0,107.0,106.0,107.0,1920
2014-04-14,106.5,106.5,106.0,106.5,1440
2014-04-15,106.2,107.0,106.2,107.0,1480
2014-04-16,107.0,107.8,107.0,107.8,2300
2014-04-21,107.8,109.0,107.4,109.0,14310
2014-04-22,109.0,109.4,108.0,109.4,11920
2014-04-23,109.0,109.4,108.0,108.5,4700
2014-04-24,108.0,108.9,108.0,108.9,1110
2014-04-25,109.0,109.5,108.0,108.0,2010
2014-04-28,107.6,108.0,106.0,107.0,10330
2014-04-29,107.2,107.5,107.2,107.5,2390
2014-04-30,108.4,108.5,107.5,108.4,650
2014-05-02,108.4,109.0,108.4,109.0,1720
2014-05-05,109.0,109.0,108.8,109.0,1580
2014-05-06,109.0,109.1,106.5,108.9,6570
2014-05-07,108.5,108.5,108.0,108.5,6350
2014-05-08,108.5,109.5,107.0,109.0,21270
2014-05-09,109.5,110.5,109.5,110.5,18980
2014-05-12,110.5,110.5,109.5,110.2,10010
2014-05-13,110.5,111.0,109.8,110.4,12240
2014-05-14,111.0,111.0,110.5,111.0,2730
2014-05-15,111.0,111.0,110.6,110.6,5390
2014-05-16,110.0,110.0,109.0,110.0,3970
2014-05-19,110.8,111.0,110.2,111.0,1670
2014-05-20,111.0,111.0,110.8,111.0,2660
2014-05-21,110.0,110.5,109.0,109.0,5420
2014-05-22,110.0,110.0,109.2,109.9,700
2014-05-23,109.9,110.0,109.4,109.5,6860
2014-05-26,109.5,109.5,109.1,109.2,1370
2014-05-27,109.1,109.2,108.9,109.0,15460
2014-05-28,109.2,109.5,109.1,109.4,8770
2014-05-29,109.1,109.1,108.0,108.0,17900
2014-05-30,107.7,107.7,107.4,107.7,16810
2014-06-02,107.7,108.5,107.5,108.5,12530
2014-06-03,108.5,109.6,108.5,109.6,3860
2014-06-04,109.6,110.0,109.4,109.7,35820
2014-06-05,109.3,109.3,108.6,109.2,10200
2014-06-06,109.1,109.5,109.1,109.1,10950
2014-06-09,109.1,109.8,109.1,109.8,11080
2014-06-10,109.4,109.5,108.9,109.5,22160
