date,open,high,low,close,volume
1999-02-04,0.47,0.47,0.45,0.47,1850000
1999-02-05,0.47,0.47,0.47,0.47,70000
1999-02-08,0.47,0.47,0.47,0.47,70000
1999-02-09,0.47,0.47,0.47,0.47,70000
1999-02-10,0.47,0.47,0.47,0.47,70000
1999-02-11,0.47,0.47,0.47,0.47,70000
1999-02-12,0.5,0.5,0.46,0.48,14450000
1999-02-15,0.47,0.47,0.46,0.47,10110000
1999-02-16,0.49,0.49,0.48,0.48,250000
1999-02-17,0.48,0.49,0.48,0.49,10670000
1999-02-18,0.49,0.62,0.49,0.59,55140000
1999-02-19,0.58,0.58,0.54,0.55,2330000
1999-02-22,0.55,0.55,0.54,0.54,50000
1999-02-23,0.54,0.54,0.52,0.52,3890000
1999-02-24,0.51,0.51,0.51,0.51,420000
1999-02-25,0.5,0.5,0.48,0.49,3720000
1999-02-26,0.49,0.5,0.48,0.5,1380000
1999-03-01,0.5,0.52,0.47,0.47,5130000
1999-03-02,0.47,0.47,0.47,0.47,50000
1999-03-03,0.48,0.48,0.47,0.47,10510000
1999-03-04,0.47,0.48,0.47,0.47,9330000
1999-03-05,0.47,0.48,0.45,0.48,2980000
1999-03-08,0.47,0.48,0.47,0.48,670000
1999-03-09,0.49,0.5,0.49,0.5,2510000
1999-03-10,0.49,0.49,0.49,0.49,350000
1999-03-11,0.48,0.49,0.48,0.49,160000
1999-03-12,0.48,0.48,0.48,0.48,200000
1999-03-15,0.47,0.48,0.47,0.47,770000
1999-03-16,0.49,0.51,0.49,0.51,1490000
1999-03-17,0.51,0.51,0.51,0.51,650000
1999-03-18,0.51,0.52,0.51,0.52,590000
1999-03-19,0.51,0.51,0.51,0.51,370000
1999-03-22,0.51,0.51,0.51,0.51,120000
1999-03-23,0.51,0.51,0.51,0.51,930000
1999-03-24,0.52,0.53,0.51,0.52,5280000
1999-03-25,0.52,0.52,0.52,0.52,1320000
1999-03-26,0.53,0.53,0.53,0.53,100000
1999-03-29,0.53,0.53,0.53,0.53,200000
1999-03-30,0.52,0.53,0.52,0.52,200000
1999-03-31,0.52,0.52,0.52,0.52,380000
1999-04-05,0.53,0.53,0.53,0.53,2390000
1999-04-06,0.53,0.53,0.51,0.51,260000
1999-04-07,0.5,0.5,0.5,0.5,100000
1999-04-08,0.52,0.54,0.52,0.53,2760000
1999-04-12,0.54,0.55,0.51,0.51,4430000
1999-04-13,0.51,0.51,0.5,0.5,1350000
1999-04-14,0.5,0.5,0.49,0.49,4310000
1999-04-15,0.49,0.49,0.48,0.48,2550000
1999-04-16,0.48,0.49,0.48,0.48,5800000
1999-04-19,0.49,0.53,0.49,0.53,3620000
1999-04-20,0.53,0.53,0.52,0.53,1000000
1999-04-21,0.5,0.5,0.5,0.5,1020000
1999-04-22,0.5,0.54,0.5,0.54,1940000
1999-04-23,0.53,0.54,0.51,0.51,980000
1999-04-26,0.51,0.52,0.51,0.51,420000
1999-04-27,0.51,0.51,0.51,0.51,1310000
1999-04-28,0.52,0.52,0.52,0.52,1590000
1999-04-29,0.52,0.56,0.52,0.56,5430000
1999-04-30,0.56,0.61,0.56,0.57,7940000
1999-05-03,0.57,0.57,0.52,0.56,560000
1999-05-04,0.57,0.58,0.53,0.55,2030000
1999-05-05,0.55,0.55,0.54,0.54,410000
1999-05-06,0.55,0.58,0.55,0.57,6260000
1999-05-07,0.58,0.63,0.58,0.59,10400000
1999-05-10,0.6,0.6,0.6,0.6,2160000
1999-05-11,0.6,0.62,0.59,0.6,4380000
1999-05-12,0.61,0.61,0.59,0.6,5360000
1999-05-13,0.6,0.61,0.6,0.6,1860000
1999-05-14,0.6,0.62,0.6,0.61,770000
1999-05-17,0.6,0.6,0.6,0.6,2440000
1999-05-18,0.6,0.6,0.6,0.6,1720000
1999-05-19,0.6,0.63,0.58,0.59,4330000
1999-05-20,0.57,0.59,0.57,0.59,250000
1999-05-21,0.57,0.57,0.55,0.55,810000
1999-05-24,0.54,0.55,0.54,0.54,3320000
1999-05-25,0.54,0.54,0.54,0.54,3600000
1999-05-26,0.54,0.54,0.54,0.54,1900000
1999-05-27,0.55,0.62,0.54,0.55,1950000
1999-05-28,0.54,0.54,0.52,0.52,2150000
1999-05-31,0.51,0.52,0.51,0.52,1440000
1999-06-01,0.51,0.52,0.51,0.52,180000
1999-06-02,0.55,0.55,0.55,0.55,10000
1999-06-03,0.55,0.55,0.51,0.53,800000
1999-06-04,0.52,0.55,0.51,0.55,810000
1999-06-08,0.53,0.54,0.52,0.54,170000
1999-06-10,0.52,0.54,0.52,0.54,490000
1999-06-11,0.54,0.54,0.54,0.54,850000
1999-06-15,0.52,0.52,0.52,0.52,190000
1999-06-16,0.51,0.53,0.51,0.53,260000
1999-06-17,0.54,0.54,0.53,0.54,400000
