date,open,high,low,close,volume
2018-05-28,505.0,505.0,505.0,505.0,13200
2018-05-30,505.0,505.0,505.0,505.0,9370
2018-06-04,515.0,515.0,515.0,515.0,6900
2018-06-06,505.0,505.0,505.0,505.0,4000
2018-08-10,505.0,505.0,505.0,505.0,100
2018-08-29,505.0,505.0,451.0,451.0,4000
2018-09-17,500.0,500.0,500.0,500.0,3000
2018-10-02,480.0,480.0,480.0,480.0,1000
2018-10-10,480.0,480.0,480.0,480.0,44510
2018-10-12,480.0,480.0,480.0,480.0,6590
2018-10-24,480.0,480.0,480.0,480.0,20
2018-11-09,480.0,480.0,480.0,480.0,100
2018-11-14,480.0,480.0,480.0,480.0,310
2018-11-15,480.0,480.0,480.0,480.0,10
2018-11-23,480.0,480.0,480.0,480.0,100
2018-11-27,480.0,480.0,480.0,480.0,200
2018-12-13,472.0,472.0,472.0,472.0,4000
2018-12-26,465.0,465.0,465.0,465.0,10000
2019-01-08,466.0,466.0,455.0,455.0,2290
2019-01-10,455.0,455.0,455.0,455.0,40
2019-01-15,455.0,455.0,455.0,455.0,20
2019-01-16,455.0,455.0,455.0,455.0,20
2019-02-12,423.2,430.0,423.0,430.0,400
2019-02-13,431.0,431.0,430.8,430.8,100
2019-02-15,450.0,455.0,450.0,450.0,1620
2019-02-18,450.2,450.2,450.2,450.2,100
2019-02-20,450.2,450.2,450.0,450.2,120
2019-02-22,450.2,450.2,450.2,450.2,480
2019-02-27,450.2,450.2,450.0,450.0,40
2019-02-28,450.2,450.2,450.0,450.0,40
2019-03-01,450.2,450.2,450.2,450.2,50
2019-03-04,450.4,450.4,450.2,450.2,220
2019-03-05,450.2,450.2,450.2,450.2,1000
2019-03-08,450.4,476.8,450.4,450.4,310
2019-03-11,450.2,450.2,450.2,450.2,700
2019-03-13,450.2,450.2,450.2,450.2,300
2019-03-14,450.2,450.2,450.2,450.2,150
2019-03-15,476.8,476.8,476.8,476.8,10
2019-03-19,450.2,450.4,450.2,450.4,1040
2019-03-20,451.0,451.0,450.8,450.8,440
2019-03-21,450.8,450.8,450.8,450.8,1000
2019-03-25,450.6,450.6,450.6,450.6,500
2019-03-27,450.6,450.6,450.6,450.6,400
2019-03-29,450.6,450.6,450.6,450.6,500
2019-04-01,450.6,450.6,450.6,450.6,300
2019-04-05,450.6,450.6,450.6,450.6,430
2019-04-08,450.6,450.6,450.6,450.6,400
2019-04-12,451.0,451.0,451.0,451.0,740
2019-04-24,474.8,474.8,474.8,474.8,60
2019-06-04,456.0,456.0,456.0,456.0,260
2019-06-06,456.0,456.0,456.0,456.0,20
2019-06-07,456.0,456.0,456.0,456.0,20
2019-06-13,459.8,459.8,459.8,459.8,40
2019-06-17,460.0,460.0,449.8,449.8,90
2019-06-19,445.0,445.0,432.0,432.0,6750
2019-06-21,418.6,439.6,418.0,439.6,420
2019-06-24,439.0,439.6,439.0,439.6,350
2019-06-28,450.0,450.0,450.0,450.0,10
2019-07-04,449.0,450.0,449.0,450.0,100
2019-07-18,449.8,450.0,449.8,450.0,40
2019-07-19,480.0,480.0,450.0,450.0,40
2019-07-24,420.4,481.2,418.0,481.2,230
2019-08-01,460.0,460.0,460.0,460.0,30
2019-08-02,489.6,498.0,489.6,498.0,370
2019-08-13,498.0,498.0,498.0,498.0,50
2019-08-19,498.0,498.0,498.0,498.0,50
2019-08-23,499.0,499.0,499.0,499.0,160
2019-08-29,490.0,490.0,490.0,490.0,40
2019-09-05,495.0,495.0,495.0,495.0,100
2019-09-11,490.0,490.0,490.0,490.0,500
2019-09-26,500.0,500.0,500.0,500.0,10
2019-10-01,490.0,490.0,490.0,490.0,10
2019-10-03,490.0,490.0,490.0,490.0,150
2019-10-22,498.0,498.0,498.0,498.0,50
2019-10-25,498.0,500.0,498.0,500.0,1050
2019-10-31,500.0,500.0,500.0,500.0,10
2019-11-14,500.0,500.0,500.0,500.0,1900
2019-11-25,480.0,480.0,480.0,480.0,20
2019-11-27,470.2,470.2,450.2,450.2,90
2019-11-29,499.0,499.0,499.0,499.0,50
2019-12-02,499.0,499.0,490.0,490.0,30
2019-12-03,471.0,472.0,471.0,472.0,650
2019-12-04,473.2,482.0,472.0,482.0,600
2019-12-11,490.0,490.0,490.0,490.0,20
2020-01-06,482.2,482.2,482.2,482.2,10
2020-02-04,490.0,490.0,490.0,490.0,70
2020-02-20,490.0,490.0,490.0,490.0,100
2020-02-21,500.0,500.0,500.0,500.0,2000
2020-02-27,490.0,490.0,490.0,490.0,10
2020-03-05,502.0,502.0,502.0,502.0,1000
2020-03-11,502.0,502.0,502.0,502.0,280
2020-03-19,490.0,490.0,490.0,490.0,320
2020-03-20,490.0,490.0,490.0,490.0,1000
2020-04-01,480.0,480.0,480.0,480.0,40
2020-04-22,460.2,460.2,460.0,460.0,2000
2020-04-27,480.0,480.0,480.0,480.0,20
2020-04-28,485.0,485.0,485.0,485.0,80
