date,open,high,low,close,volume
1999-02-04,0.39,0.39,0.39,0.39,10000
1999-02-05,0.39,0.39,0.39,0.39,40000
1999-02-08,0.39,0.39,0.39,0.39,40000
1999-02-09,0.39,0.39,0.39,0.39,40000
1999-02-10,0.39,0.39,0.39,0.39,40000
1999-02-11,0.39,0.39,0.39,0.39,40000
1999-02-12,0.4,0.4,0.4,0.4,40000
1999-02-15,0.4,0.4,0.4,0.4,40000
1999-02-16,0.4,0.4,0.4,0.4,50000
1999-02-17,0.4,0.4,0.4,0.4,40000
1999-02-18,0.39,0.39,0.39,0.39,30000
1999-02-19,0.39,0.39,0.39,0.39,30000
1999-02-22,0.39,0.39,0.39,0.39,40000
1999-02-23,0.39,0.39,0.39,0.39,30000
1999-02-24,0.39,0.39,0.39,0.39,30000
1999-02-25,0.38,0.38,0.38,0.38,50000
1999-02-26,0.39,0.39,0.39,0.39,30000
1999-03-01,0.37,0.37,0.37,0.37,40000
1999-03-02,0.37,0.37,0.37,0.37,30000
1999-03-03,0.37,0.37,0.37,0.37,40000
1999-03-04,0.37,0.37,0.37,0.37,30000
1999-03-05,0.39,0.39,0.39,0.39,40000
1999-03-08,0.35,0.35,0.35,0.35,50000
1999-03-09,0.39,0.39,0.39,0.39,40000
1999-03-10,0.4,0.4,0.4,0.4,40000
1999-03-11,0.39,0.39,0.39,0.39,40000
1999-03-12,0.39,0.39,0.39,0.39,30000
1999-03-15,0.39,0.39,0.39,0.39,40000
1999-03-16,0.39,0.39,0.39,0.39,40000
1999-03-17,0.39,0.39,0.39,0.39,50000
1999-03-18,0.4,0.4,0.4,0.4,40000
1999-03-19,0.39,0.39,0.39,0.39,30000
1999-03-22,0.39,0.39,0.39,0.39,40000
1999-03-23,0.39,0.39,0.39,0.39,40000
1999-03-24,0.39,0.39,0.39,0.39,30000
1999-03-25,0.39,0.39,0.39,0.39,40000
1999-03-26,0.4,0.4,0.4,0.4,40000
1999-03-29,0.4,0.4,0.4,0.4,40000
1999-03-30,0.39,0.39,0.39,0.39,30000
1999-03-31,0.39,0.39,0.39,0.39,40000
1999-04-05,0.38,0.38,0.38,0.38,30000
1999-04-06,0.38,0.38,0.38,0.38,40000
1999-04-07,0.38,0.38,0.38,0.38,50000
1999-04-08,0.38,0.38,0.38,0.38,30000
1999-04-12,0.38,0.38,0.38,0.38,30000
1999-04-13,0.38,0.38,0.38,0.38,40000
1999-04-14,0.38,0.38,0.38,0.38,40000
1999-04-15,0.38,0.38,0.38,0.38,40000
1999-04-16,0.38,0.42,0.38,0.4,3410000
1999-04-19,0.41,0.41,0.41,0.41,550000
1999-04-20,0.41,0.41,0.4,0.4,480000
1999-04-21,0.38,0.38,0.38,0.38,200000
1999-04-22,0.38,0.38,0.38,0.38,40000
1999-04-23,0.38,0.38,0.38,0.38,40000
1999-04-26,0.38,0.38,0.38,0.38,330000
1999-04-27,0.38,0.38,0.38,0.38,200000
1999-04-28,0.39,0.39,0.39,0.39,390000
1999-04-29,0.37,0.37,0.37,0.37,300000
1999-04-30,0.37,0.37,0.37,0.37,200000
1999-05-03,0.37,0.37,0.37,0.37,100000
1999-05-04,0.4,0.4,0.4,0.4,500000
1999-05-05,0.4,0.4,0.4,0.4,970000
1999-05-06,0.4,0.4,0.4,0.4,1790000
1999-05-07,0.43,0.51,0.43,0.5,2200000
1999-05-10,0.5,0.5,0.48,0.48,200000
1999-05-11,0.44,0.44,0.43,0.44,1100000
1999-05-12,0.47,0.6,0.47,0.59,7680000
1999-05-13,0.63,0.64,0.6,0.62,7900000
1999-05-14,0.6,0.6,0.6,0.6,870000
1999-05-17,0.55,0.58,0.55,0.57,820000
1999-05-18,0.6,0.66,0.6,0.62,7060000
1999-05-19,0.64,0.64,0.6,0.6,1430000
1999-05-20,0.58,0.58,0.58,0.58,120000
1999-05-21,0.6,0.6,0.55,0.55,790000
1999-05-24,0.51,0.51,0.51,0.51,350000
1999-05-25,0.5,0.63,0.5,0.58,3400000
1999-05-26,0.6,0.63,0.54,0.59,2560000
1999-05-27,0.56,0.61,0.56,0.6,570000
1999-05-28,0.61,0.67,0.6,0.67,8250000
1999-05-31,0.67,0.67,0.62,0.65,1360000
1999-06-01,0.63,0.66,0.63,0.66,380000
1999-06-02,0.67,0.71,0.67,0.69,2920000
1999-06-03,0.69,0.74,0.68,0.69,3850000
1999-06-04,0.71,0.77,0.71,0.74,5650000
1999-06-07,0.74,0.77,0.72,0.76,4740000
1999-06-08,0.75,0.81,0.75,0.79,2010000
1999-06-09,0.78,0.78,0.74,0.74,1460000
1999-06-10,0.75,0.76,0.75,0.75,2700000
1999-06-11,0.76,0.76,0.75,0.75,1280000
1999-06-14,0.73,0.74,0.71,0.71,910000
1999-06-15,0.73,0.75,0.72,0.72,1750000
1999-06-16,0.74,0.77,0.74,0.76,5270000
1999-06-17,0.78,0.79,0.75,0.75,3320000
1999-06-18,0.73,0.73,0.7,0.7,1770000
1999-06-21,0.72,0.74,0.72,0.74,2200000
1999-06-22,0.73,0.73,0.71,0.72,740000
1999-06-23,0.72,0.73,0.7,0.71,760000
1999-06-24,0.69,0.75,0.69,0.7,2880000
1999-06-25,0.7,0.7,0.66,0.66,1470000
1999-06-28,0.66,0.66,0.62,0.62,1710000
1999-06-29,0.62,0.65,0.62,0.64,520000
1999-06-30,0.64,0.64,0.63,0.63,180000
1999-07-01,0.65,0.65,0.63,0.63,860000
1999-07-02,0.63,0.63,0.61,0.61,760000
1999-07-05,0.6,0.6,0.6,0.6,660000
1999-07-06,0.6,0.6,0.6,0.6,480000
1999-07-07,0.6,0.6,0.5,0.5,1030000
1999-07-08,0.55,0.67,0.55,0.64,1590000
1999-07-09,0.6,0.6,0.6,0.6,300000
1999-07-12,0.6,0.6,0.6,0.6,410000
1999-07-13,0.59,0.6,0.59,0.59,310000
1999-07-14,0.55,0.55,0.5,0.53,980000
1999-07-15,0.55,0.55,0.55,0.55,20000
1999-07-19,0.55,0.55,0.55,0.55,100000
1999-07-20,0.55,0.55,0.55,0.55,50000
1999-07-21,0.54,0.54,0.54,0.54,20000
1999-07-22,0.53,0.53,0.5,0.5,110000
