date,open,high,low,close,volume
1999-02-04,6.2,6.3,6.2,6.2,33000
1999-02-05,6.2,6.2,6.1,6.2,79000
1999-02-08,6.2,6.2,6.1,6.2,79000
1999-02-09,6.2,6.2,6.1,6.2,79000
1999-02-10,6.2,6.2,6.1,6.2,79000
1999-02-11,6.2,6.2,6.1,6.2,79000
1999-02-12,6.2,6.4,6.1,6.1,73000
1999-02-15,6.3,6.4,6.3,6.4,50000
1999-02-16,6.3,6.4,6.1,6.4,193000
1999-02-17,6.1,6.3,6.1,6.3,35000
1999-02-19,6.2,6.3,6.2,6.3,36000
1999-02-22,6.2,6.3,6.2,6.3,5000
1999-02-23,6.0,6.3,6.0,6.3,12000
1999-02-24,6.3,6.3,6.2,6.3,34000
1999-02-25,6.0,6.0,6.0,6.0,24000
1999-02-26,6.3,6.3,6.2,6.3,15000
1999-03-01,6.2,6.3,6.2,6.3,7000
1999-03-02,6.0,6.2,6.0,6.2,16000
1999-03-03,6.0,6.3,6.0,6.2,54000
1999-03-04,6.2,6.2,6.2,6.2,53000
1999-03-05,6.2,6.3,6.0,6.3,44000
1999-03-08,6.2,6.3,6.2,6.3,81000
1999-03-09,6.2,6.3,6.2,6.3,30000
1999-03-11,6.2,6.3,6.1,6.1,92000
1999-03-12,6.0,6.1,6.0,6.1,40000
1999-03-15,6.0,6.1,6.0,6.1,176000
1999-03-16,6.0,6.1,6.0,6.1,82000
1999-03-17,6.0,6.2,6.0,6.2,146000
1999-03-18,6.2,6.2,6.2,6.2,30000
1999-03-19,6.2,6.2,6.0,6.2,54000
1999-03-22,6.2,6.2,6.2,6.2,20000
1999-03-23,6.1,6.2,6.0,6.2,51000
1999-03-24,6.1,6.2,6.1,6.2,69000
1999-03-25,6.1,6.2,6.1,6.1,170000
1999-03-26,6.1,6.2,6.1,6.1,92000
1999-03-29,6.1,6.2,6.0,6.2,776000
1999-03-30,6.0,6.2,6.0,6.2,155000
1999-03-31,6.2,6.2,6.2,6.2,10000
1999-04-05,6.2,6.2,6.1,6.1,96000
1999-04-06,6.1,6.2,6.1,6.2,106000
1999-04-07,6.2,6.5,6.2,6.3,669000
1999-04-08,6.3,6.7,6.3,6.7,631000
1999-04-12,6.7,7.0,6.7,6.9,326000
1999-04-13,6.7,6.9,6.7,6.9,54000
1999-04-14,6.9,7.0,6.7,6.8,120000
1999-04-15,6.8,6.8,6.6,6.8,134000
1999-04-19,6.9,7.2,6.9,7.1,567000
1999-04-20,7.0,7.1,7.0,7.1,159000
1999-04-21,7.2,7.7,7.2,7.3,348000
1999-04-22,7.4,8.0,7.4,7.8,301000
1999-04-23,8.2,9.4,8.2,9.2,1603000
1999-04-27,10.0,10.0,9.6,9.9,547000
1999-04-28,10.0,10.0,9.8,9.8,679000
1999-04-29,9.8,9.9,9.8,9.8,561000
1999-04-30,9.8,10.0,9.7,9.9,1810000
1999-05-03,10.0,12.0,10.0,11.75,3305000
1999-05-04,12.75,12.75,11.5,12.0,1780800
1999-05-05,12.0,12.25,11.75,12.0,608900
1999-05-06,12.25,13.25,12.0,13.0,944100
1999-05-07,13.0,13.75,13.0,13.5,1229200
1999-05-10,13.75,14.0,13.5,13.5,850000
1999-05-11,13.5,13.5,13.0,13.0,659400
1999-05-12,13.0,13.25,12.5,12.75,799500
1999-05-13,12.75,12.75,12.5,12.75,238500
1999-05-14,12.5,12.75,12.5,12.75,113400
1999-05-17,12.5,12.5,12.0,12.5,223900
1999-05-18,12.25,12.25,12.0,12.25,150000
1999-05-19,12.0,12.0,12.0,12.0,77100
1999-05-20,11.5,12.0,11.5,12.0,225800
1999-05-21,12.25,12.25,11.75,11.75,161000
1999-05-24,12.0,12.25,12.0,12.25,163000
1999-05-25,12.25,12.25,12.0,12.25,103000
1999-05-26,11.5,12.25,11.5,12.25,79500
1999-05-27,12.0,12.0,12.0,12.0,32400
1999-05-28,10.5,12.25,10.5,12.0,355400
1999-05-31,11.75,12.25,11.75,12.25,137000
1999-06-01,12.25,12.25,12.0,12.0,1000
1999-06-02,11.75,12.0,11.75,12.0,38900
1999-06-03,11.75,12.0,11.5,12.0,32500
1999-06-04,12.25,12.25,12.0,12.0,47000
1999-06-07,12.0,12.0,12.0,12.0,6000
1999-06-08,12.0,12.0,11.75,12.0,63000
1999-06-09,12.0,12.0,12.0,12.0,184800
1999-06-10,12.0,12.0,11.75,11.75,45400
1999-06-11,11.75,12.0,11.75,12.0,200500
1999-06-14,11.75,12.0,11.75,11.75,163100
1999-06-15,11.5,12.0,11.5,11.75,179000
1999-06-16,11.75,12.0,11.75,12.0,43800
1999-06-17,11.75,12.0,11.75,12.0,2438700
1999-06-18,11.75,12.0,11.75,12.0,2441400
1999-06-21,11.75,12.0,11.75,12.0,2022800
1999-06-22,11.75,12.0,11.75,12.0,4325500
1999-06-23,11.75,12.0,11.75,12.0,4340000
1999-06-24,11.75,12.0,11.5,11.75,4539400
1999-06-25,11.75,12.0,11.5,11.75,2403700
1999-06-28,11.75,11.75,11.75,11.75,146300
1999-06-29,11.75,11.75,11.75,11.75,47600
1999-06-30,12.0,12.0,11.75,12.0,30100
1999-07-01,12.0,14.75,12.0,14.25,2945900
1999-07-02,14.75,15.25,13.75,13.75,1504300
1999-07-05,13.75,14.25,13.5,13.5,896000
1999-07-06,13.75,13.75,13.5,13.75,293200
1999-07-07,13.5,13.75,13.25,13.25,192800
1999-07-08,13.25,13.5,13.25,13.5,130000
1999-07-09,13.75,14.0,13.5,13.5,255800
1999-07-12,13.5,13.5,13.0,13.0,239400
1999-07-13,13.0,13.0,13.0,13.0,137000
1999-07-14,12.5,12.5,12.25,12.5,459900
1999-07-15,12.75,13.0,12.5,13.0,285900
1999-07-16,13.0,13.0,12.5,12.75,194200
1999-07-19,13.0,13.25,12.75,13.0,204800
1999-07-20,13.0,13.0,12.75,13.0,120400
1999-07-21,12.75,12.75,12.5,12.75,265300
1999-07-22,12.5,12.75,12.25,12.75,353000
1999-07-23,12.25,12.75,12.25,12.75,191800
1999-07-26,13.0,13.0,12.25,12.5,2211900
1999-07-27,12.0,12.5,11.75,11.75,8343500
1999-07-28,12.0,12.5,12.0,12.5,6678300
1999-07-29,12.0,12.5,12.0,12.25,2233700
1999-07-30,12.25,12.5,12.0,12.25,1582800
1999-08-02,12.0,12.5,12.0,12.5,55100
1999-08-04,12.0,12.5,12.0,12.25,33000
1999-08-05,12.25,12.25,12.25,12.25,34800
1999-08-06,12.25,12.25,12.0,12.25,86600
1999-08-09,12.0,12.0,12.0,12.0,92000
1999-08-10,11.75,12.0,11.5,12.0,133600
1999-08-11,11.5,11.75,11.5,11.75,67000
1999-08-12,11.75,11.75,11.5,11.75,5100
1999-08-13,11.25,11.75,11.25,11.75,64100
1999-08-16,11.25,11.75,11.25,11.5,5000
1999-08-17,11.5,11.75,11.0,11.25,82200
1999-08-18,11.0,11.25,11.0,11.0,12600
1999-08-19,11.25,11.75,11.25,11.75,93600
