date,open,high,low,close,volume
2018-05-03,506.0,506.0,506.0,506.0,110
2018-05-04,506.0,506.0,506.0,506.0,110
2018-05-07,506.0,506.0,504.5,504.5,1210
2018-05-08,506.0,506.0,506.0,506.0,10
2018-05-09,504.5,504.5,504.5,504.5,680
2018-05-10,506.0,506.0,506.0,506.0,20
2018-05-11,506.0,506.0,506.0,506.0,10
2018-05-15,505.0,505.0,505.0,505.0,700
2018-05-16,505.0,505.0,504.5,505.0,2280
2018-05-17,505.0,505.0,505.0,505.0,20
2018-05-21,504.5,504.5,504.5,504.5,1890
2018-05-22,506.0,506.0,506.0,506.0,10
2018-05-25,504.5,504.5,504.5,504.5,1920
2018-05-28,504.5,504.5,504.5,504.5,4000
2018-05-29,504.5,518.0,500.0,518.0,10020
2018-06-08,515.0,515.0,515.0,515.0,1100
2018-06-13,515.0,515.0,515.0,515.0,10
2018-06-14,510.0,510.0,510.0,510.0,10
2018-06-19,509.0,509.0,509.0,509.0,300
2018-06-20,505.0,505.0,505.0,505.0,280
2018-06-21,502.0,506.0,501.0,506.0,4020
2018-06-22,503.0,506.0,501.0,506.0,200
2018-06-25,502.0,502.0,500.0,500.0,18330
2018-06-26,500.0,500.0,500.0,500.0,1000
2018-06-29,501.0,501.0,501.0,501.0,300
2018-07-02,501.0,501.0,501.0,501.0,20
2018-07-04,501.0,501.0,500.0,500.0,900
2018-07-05,500.0,500.0,497.0,500.0,11790
2018-07-06,501.0,501.0,500.0,500.0,100
2018-07-16,501.5,501.5,501.5,501.5,190
2018-07-17,501.0,501.0,501.0,501.0,2500
2018-07-23,501.0,501.5,501.0,501.5,250
2018-07-26,507.0,507.0,505.0,505.0,3230
2018-07-30,510.0,510.0,510.0,510.0,100
2018-07-31,507.0,507.0,505.0,505.0,4000
2018-08-09,500.0,500.0,490.0,490.0,2000
2018-08-14,500.0,509.5,500.0,509.5,300
2018-08-15,501.0,501.0,501.0,501.0,500
2018-08-16,501.0,501.0,501.0,501.0,1000
2018-08-17,490.6,490.6,490.6,490.6,20
2018-08-23,503.0,503.0,503.0,503.0,60
2018-08-29,500.0,500.0,500.0,500.0,6000
2018-08-30,500.0,500.0,500.0,500.0,1110
