date,open,high,low,close,volume
2018-04-30,5.5,5.51,5.45,5.45,321000
2018-05-02,5.5,5.5,5.5,5.5,2000
2018-05-04,5.58,5.58,5.51,5.51,400
2018-05-07,5.58,5.58,5.58,5.58,100
2018-05-09,5.47,5.5,5.47,5.5,320600
2018-05-10,5.58,5.59,5.49,5.49,2804600
2018-05-11,5.58,5.58,5.5,5.5,328000
2018-05-15,5.5,5.66,5.5,5.66,200
2018-05-17,5.63,5.72,5.63,5.72,260000
2018-05-18,5.69,5.7,5.48,5.48,223900
2018-05-21,5.7,5.7,5.49,5.49,31500
2018-05-22,5.73,5.74,5.5,5.5,218100
2018-05-23,5.48,5.59,5.45,5.59,12300
2018-05-24,5.59,5.59,5.59,5.59,300
2018-05-25,5.45,5.46,5.45,5.46,20100
2018-05-29,5.62,5.62,5.62,5.62,100
2018-05-30,5.46,5.49,5.46,5.46,298900
2018-05-31,5.44,5.44,5.42,5.44,494800
2018-06-01,5.45,5.5,5.43,5.43,640200
2018-06-04,5.45,5.46,5.45,5.46,922700
2018-06-05,5.44,5.44,5.44,5.44,50000
2018-06-06,5.43,5.43,5.43,5.43,287200
2018-06-07,5.43,5.43,5.4,5.4,117100
2018-06-08,5.4,5.4,5.4,5.4,4000
2018-06-13,5.41,5.41,5.41,5.41,157800
2018-06-14,5.41,5.41,5.37,5.38,70700
2018-06-18,5.38,5.41,5.38,5.39,36200
2018-06-19,5.39,5.39,5.13,5.15,686000
2018-06-20,5.27,5.3,5.16,5.17,867800
2018-06-21,5.16,5.3,5.16,5.3,17900
2018-06-22,5.16,5.16,5.1,5.11,172800
2018-06-25,5.25,5.25,5.14,5.25,1200
2018-06-27,5.2,5.29,5.14,5.15,36800
2018-06-28,5.14,5.25,5.14,5.14,122800
2018-06-29,5.14,5.25,5.12,5.17,83100
2018-07-03,5.25,5.25,5.06,5.07,413300
2018-07-04,5.24,5.24,5.24,5.24,100
2018-07-05,5.28,5.28,5.28,5.28,50000
2018-07-10,5.25,5.25,5.14,5.25,137500
2018-07-11,5.15,5.15,5.12,5.13,212600
2018-07-12,5.23,5.24,5.23,5.24,27200
2018-07-13,5.24,5.24,5.09,5.23,603600
2018-07-17,5.19,5.2,5.11,5.11,41300
2018-07-18,5.18,5.18,5.15,5.15,107000
2018-07-19,5.15,5.26,5.15,5.15,131500
2018-07-24,5.18,5.18,5.18,5.18,1000
2018-07-25,5.15,5.4,5.15,5.34,46400
2018-07-26,5.16,5.25,5.16,5.25,121200
2018-07-31,5.2,5.25,5.2,5.25,100000
2018-08-01,5.39,5.39,5.22,5.22,639600
2018-08-02,5.22,5.22,5.22,5.22,108000
2018-08-03,5.22,5.3,5.22,5.3,82500
2018-08-06,5.3,5.3,5.22,5.22,265900
2018-08-07,5.24,5.24,5.22,5.22,140300
2018-08-08,5.28,5.28,5.23,5.23,74500
2018-08-09,5.31,5.34,5.31,5.34,70000
2018-08-10,5.32,5.32,5.16,5.16,122500
2018-08-13,5.16,5.22,5.16,5.2,191700
2018-08-14,5.25,5.25,5.25,5.25,24100
2018-08-15,5.32,5.32,5.32,5.32,100
2018-08-16,5.32,5.32,5.25,5.25,45500
2018-08-17,5.2,5.25,5.2,5.25,140500
2018-08-20,5.25,5.25,5.22,5.22,142600
2018-08-22,5.17,5.29,5.17,5.22,97800
2018-08-23,5.2,5.35,5.2,5.25,195900
2018-08-24,5.3,5.3,5.28,5.3,599300
2018-08-28,5.24,5.25,5.24,5.24,430300
2018-08-29,5.24,5.3,5.24,5.28,210800
2018-08-30,5.3,5.32,5.28,5.28,45500
2018-08-31,5.3,5.3,5.3,5.3,220600
2018-09-03,5.3,5.3,5.26,5.3,100800
2018-09-04,5.31,5.33,5.3,5.3,163200
2018-09-05,5.3,5.3,5.26,5.3,140100
2018-09-06,5.28,5.28,5.25,5.25,96800
2018-09-07,5.39,5.39,5.35,5.35,400
2018-09-10,5.25,5.35,5.25,5.35,5100
2018-09-11,5.35,5.35,5.25,5.25,55600
2018-09-12,5.25,5.25,5.25,5.25,72400
2018-09-13,5.25,5.29,5.25,5.29,8100
2018-09-14,5.22,5.22,5.2,5.22,142800
2018-09-17,5.22,5.22,5.2,5.2,107400
2018-09-18,5.18,5.18,5.18,5.18,20000
2018-09-19,5.18,5.18,5.18,5.18,77900
2018-09-20,5.2,5.2,5.2,5.2,5500
2018-09-24,5.18,5.25,5.18,5.18,125800
2018-09-25,5.18,5.18,5.18,5.18,125500
2018-09-27,5.17,5.17,5.17,5.17,40000
2018-09-28,5.2,5.2,5.17,5.17,100000
2018-10-01,5.16,5.16,5.15,5.16,74000
2018-10-02,5.13,5.13,5.13,5.13,81600
2018-10-03,5.13,5.13,5.13,5.13,148400
2018-10-04,5.13,5.13,5.1,5.1,311500
2018-10-05,5.09,5.09,5.04,5.06,506700
2018-10-08,5.06,5.06,5.06,5.06,172000
2018-10-09,5.06,5.06,5.06,5.06,78700
2018-10-10,5.04,5.04,5.04,5.04,111200
2018-10-11,5.03,5.03,4.95,4.95,63200
2018-10-12,4.93,4.93,4.93,4.93,46000
2018-10-15,5.05,5.15,4.93,4.93,106000
2018-10-16,5.0,5.0,5.0,5.0,33000
2018-10-17,5.0,5.0,5.0,5.0,118800
2018-10-18,5.0,5.0,4.95,4.95,41700
2018-10-19,5.0,5.0,4.95,4.95,105000
2018-10-22,4.95,4.95,4.95,4.95,80000
2018-10-23,4.95,4.96,4.95,4.96,55000
2018-10-24,4.95,4.95,4.95,4.95,111000
2018-10-25,4.93,4.95,4.91,4.91,89000
2018-10-26,5.1,5.19,5.1,5.19,9000
2018-11-05,5.19,5.22,5.19,5.22,16400
2018-11-06,5.42,5.49,5.36,5.44,203200
2018-11-09,5.42,5.42,5.42,5.42,100
2018-11-12,5.39,5.39,5.05,5.05,300
2018-11-13,5.18,5.18,5.18,5.18,8500
2018-11-14,5.2,5.2,5.2,5.2,2000
2018-11-15,5.2,5.2,5.2,5.2,4500
2018-11-16,5.25,5.25,5.25,5.25,9600
2018-11-19,5.25,5.25,5.25,5.25,10000
2018-11-21,5.24,5.24,5.19,5.19,18000
2018-11-22,5.19,5.19,5.01,5.04,112100
2018-11-23,5.17,5.17,5.15,5.17,18900
2018-11-26,5.08,5.08,5.06,5.06,4200
2018-11-29,5.08,5.09,5.06,5.06,28400
2018-12-03,5.15,5.15,5.15,5.15,500
2018-12-05,5.06,5.07,5.06,5.07,102000
2018-12-06,5.07,5.2,5.07,5.19,42000
2018-12-07,5.2,5.25,5.2,5.24,18100
2018-12-12,5.22,5.22,5.22,5.22,128100
2018-12-13,5.22,5.22,5.2,5.22,38800
2018-12-17,5.21,5.21,5.21,5.21,30000
2018-12-18,5.12,5.25,5.12,5.24,73400
2018-12-19,5.24,5.35,5.24,5.35,93900
2018-12-20,5.4,5.4,5.36,5.37,31600
2018-12-21,5.37,5.37,5.3,5.3,89000
2018-12-27,5.28,5.36,5.28,5.36,2100
2018-12-28,5.27,5.36,5.25,5.36,50100
2019-01-02,5.35,5.35,5.35,5.35,500
2019-01-03,5.36,5.42,5.36,5.42,104200
2019-01-04,5.44,5.5,5.4,5.4,235600
2019-01-07,5.4,5.49,5.4,5.49,32100
2019-01-09,5.49,5.59,5.49,5.5,64200
2019-01-10,5.49,5.6,5.49,5.59,403300
2019-01-11,5.59,5.6,5.59,5.6,203000
2019-01-14,5.5,5.6,5.5,5.6,196000
2019-01-15,5.6,5.62,5.59,5.61,395100
2019-01-16,5.62,5.69,5.62,5.68,68000
2019-01-17,5.68,5.68,5.68,5.68,14000
2019-01-18,5.65,5.78,5.65,5.7,318400
2019-01-21,5.74,5.76,5.7,5.7,842800
2019-01-22,5.68,5.78,5.68,5.77,107600
2019-01-23,5.76,5.77,5.73,5.74,49900
2019-01-28,5.61,5.67,5.6,5.6,75000
2019-01-29,5.68,5.68,5.56,5.56,142900
2019-01-30,5.58,5.58,5.5,5.5,171300
2019-01-31,5.67,5.69,5.6,5.6,170600
2019-02-01,5.68,5.75,5.68,5.74,116600
2019-02-04,5.75,5.75,5.74,5.74,133400
2019-02-06,5.74,5.77,5.7,5.76,91100
2019-02-07,5.77,5.77,5.77,5.77,112600
2019-02-08,5.78,5.85,5.78,5.83,270500
2019-02-11,5.7,5.8,5.7,5.8,65000
2019-02-13,5.75,5.75,5.75,5.75,30000
2019-02-18,5.75,5.8,5.56,5.75,24800
2019-02-20,5.8,5.8,5.79,5.79,14000
2019-02-21,5.78,5.8,5.78,5.8,73400
2019-02-22,5.8,5.82,5.8,5.82,24200
2019-02-27,5.72,5.83,5.71,5.82,25000
2019-03-05,5.82,5.84,5.82,5.82,52800
2019-03-06,5.82,5.82,5.82,5.82,35000
2019-03-07,5.82,5.82,5.56,5.72,12100
2019-03-08,5.72,5.82,5.56,5.82,24300
2019-03-11,5.82,5.82,5.82,5.82,200
2019-03-12,5.58,5.59,5.58,5.59,16000
2019-03-13,5.59,5.65,5.5,5.5,182600
2019-03-15,5.57,5.57,5.57,5.57,1500
2019-03-18,5.6,5.7,5.55,5.6,252400
2019-03-19,5.41,5.6,5.4,5.6,47500
2019-03-20,5.65,5.65,5.6,5.6,128200
2019-03-21,5.6,5.6,5.46,5.46,2000
2019-03-22,5.55,5.55,5.55,5.55,45000
2019-03-25,5.55,5.56,5.55,5.55,71000
2019-03-26,5.55,5.55,5.5,5.5,44000
2019-03-27,5.55,5.55,5.55,5.55,15900
2019-03-28,5.55,5.6,5.55,5.6,80800
2019-03-29,5.64,5.75,5.64,5.74,236200
2019-04-01,5.74,5.8,5.72,5.77,81300
2019-04-02,5.7,5.7,5.62,5.62,16800
2019-04-03,5.61,5.61,5.61,5.61,2000
2019-04-04,5.68,5.74,5.66,5.74,84400
2019-04-05,5.65,5.66,5.6,5.61,371300
2019-04-08,5.61,5.61,5.61,5.61,3900
2019-04-10,5.63,5.65,5.62,5.65,1712300
2019-04-12,5.68,5.68,5.68,5.68,313500
2019-04-15,5.52,5.52,5.23,5.23,147400
2019-04-16,5.18,5.26,5.13,5.13,4400
2019-04-17,5.13,5.3,5.12,5.3,12000
2019-04-23,5.25,5.25,5.12,5.12,300
2019-04-24,5.13,5.13,5.13,5.13,1500
2019-04-25,5.12,5.12,5.01,5.01,2000
2019-04-26,5.01,5.1,5.0,5.1,29300
2019-04-30,5.1,5.1,4.97,4.97,200
2019-05-02,5.15,5.3,5.15,5.2,238000
2019-05-03,5.2,5.2,5.2,5.2,179100
2019-05-06,5.2,5.2,5.1,5.1,10000
2019-05-07,5.2,5.2,5.2,5.2,7600
2019-05-08,5.27,5.27,5.27,5.27,200
