date,open,high,low,close,volume
2012-04-20,500.0,500.0,481.2,492.0,6738310
2012-04-23,491.0,495.0,490.0,492.2,1104740
2012-04-24,491.0,492.0,486.6,491.2,682830
2012-04-25,491.8,516.5,491.8,513.0,1399920
2012-04-26,515.0,520.0,506.0,508.0,413670
2012-04-27,510.0,510.0,501.0,502.5,643190
2012-04-30,503.5,510.0,501.0,509.0,200570
2012-05-02,510.0,515.0,510.0,510.0,328120
2012-05-03,509.0,510.0,494.6,500.5,1317560
2012-05-04,501.0,512.0,501.0,511.5,465260
2012-05-07,510.0,510.0,500.0,500.0,408800
2012-05-08,500.0,506.0,500.0,503.0,182320
2012-05-09,503.0,504.0,500.5,502.0,209710
2012-05-10,500.0,501.0,489.0,493.0,382220
2012-05-11,493.0,500.0,490.0,491.0,210990
2012-05-14,490.0,490.0,468.4,470.0,210090
2012-05-15,470.0,470.0,455.4,465.6,769630
2012-05-16,470.0,480.0,467.0,470.0,232470
2012-05-17,475.0,493.0,470.0,482.0,222770
2012-05-18,475.0,475.0,463.0,465.0,181160
2012-05-21,462.2,478.0,460.8,472.0,283660
2012-05-22,480.0,490.0,472.2,472.2,139720
2012-05-23,479.0,480.0,476.0,480.0,117010
2012-05-24,468.0,480.0,468.0,479.0,52810
2012-05-25,479.0,479.8,478.0,479.0,235560
2012-05-28,480.0,483.0,478.0,483.0,68630
2012-05-29,483.2,501.0,481.0,498.0,760220
2012-05-30,498.0,500.0,495.0,500.0,344940
2012-05-31,495.0,503.0,482.0,500.0,166840
2012-06-01,498.0,499.6,497.0,499.0,148160
2012-06-04,497.0,497.0,476.0,476.2,106130
2012-06-05,476.4,481.0,476.4,477.0,109190
2012-06-06,478.0,481.0,477.0,478.0,55660
2012-06-07,478.2,488.0,478.2,479.0,213640
2012-06-08,475.2,483.0,475.2,481.0,10320
2012-06-11,479.0,483.0,479.0,483.0,47230
2012-06-13,483.0,490.0,483.0,484.2,41860
2012-06-14,484.0,487.0,484.0,484.0,125230
2012-06-15,482.0,482.6,482.0,482.0,36640
2012-06-18,482.2,499.6,482.2,496.2,247570
2012-06-19,497.0,497.0,490.0,492.2,11470
2012-06-20,493.0,493.6,493.0,493.0,146500
2012-06-21,492.0,495.0,492.0,494.0,136130
2012-06-22,492.0,495.0,490.0,490.0,597810
2012-06-25,494.0,494.0,489.0,489.0,7830
2012-06-26,481.4,492.8,481.4,488.0,62510
2012-06-27,484.0,504.0,484.0,504.0,542420
2012-06-28,500.0,510.0,500.0,505.0,172640
2012-06-29,505.0,508.5,505.0,505.0,143680
2012-07-02,507.0,515.5,507.0,510.0,326870
2012-07-03,510.0,517.5,510.0,516.5,296190
