date,open,high,low,close,volume
2018-04-30,970.0,998.0,970.0,998.0,510
2018-05-02,998.0,998.0,998.0,998.0,330
2018-05-03,998.0,998.0,998.0,998.0,180
2018-05-04,971.0,971.0,970.5,970.5,1060
2018-05-09,980.0,980.0,976.0,980.0,2050
2018-05-10,980.0,980.0,980.0,980.0,100
2018-05-11,981.0,982.0,981.0,982.0,430
2018-05-15,986.0,986.0,984.0,984.0,2310
2018-05-16,984.0,984.0,984.0,984.0,400
2018-05-17,983.0,995.0,983.0,995.0,2010
2018-05-18,984.0,995.0,984.0,995.0,1410
2018-05-21,988.0,988.0,987.0,987.0,3210
2018-05-22,990.0,990.0,987.0,987.0,3810
2018-05-23,990.0,990.0,990.0,990.0,2000
2018-05-25,988.0,990.0,983.0,990.0,5090
2018-05-28,987.0,987.0,985.0,985.0,1000
2018-05-29,990.0,990.0,985.0,985.0,2000
2018-05-31,985.0,990.0,980.0,980.0,2770
2018-06-01,980.0,980.0,980.0,980.0,50
2018-06-04,982.0,982.0,980.0,980.0,100
2018-06-05,980.0,990.0,980.0,990.0,15900
2018-06-06,982.0,982.0,970.0,970.0,8810
2018-06-07,990.0,990.0,990.0,990.0,1000
2018-06-08,974.0,974.0,970.0,970.0,15000
2018-06-18,972.0,990.0,972.0,990.0,20
2018-06-19,990.0,990.0,990.0,990.0,310
2018-06-20,990.0,990.0,990.0,990.0,10
2018-06-22,990.0,990.0,990.0,990.0,10
2018-06-25,980.0,990.0,980.0,990.0,27050
2018-06-26,980.0,990.0,980.0,990.0,110
2018-06-27,990.0,990.0,990.0,990.0,180
2018-06-29,951.0,951.0,951.0,951.0,4700
2018-07-02,965.0,989.0,965.0,989.0,1180
2018-07-04,988.5,988.5,988.0,988.0,40
2018-07-05,988.0,988.0,988.0,988.0,1010
2018-07-06,962.5,987.5,962.5,987.5,20
2018-07-10,987.5,987.5,987.5,987.5,20
2018-07-12,970.0,970.0,970.0,970.0,10
2018-07-13,987.5,987.5,987.5,987.5,10
2018-07-16,987.5,987.5,970.0,970.0,1040
2018-07-17,970.0,970.0,970.0,970.0,2190
2018-07-18,966.0,970.0,966.0,970.0,1340
2018-07-23,970.0,970.0,970.0,970.0,50
2018-07-24,970.0,970.0,970.0,970.0,10
2018-07-25,970.0,970.0,970.0,970.0,1920
2018-07-27,970.0,970.0,970.0,970.0,4020
2018-07-30,970.0,970.0,970.0,970.0,1040
2018-07-31,970.0,970.0,966.0,966.0,1330
2018-08-01,987.5,987.5,966.0,987.5,5310
2018-08-03,987.5,987.5,987.5,987.5,110
2018-08-08,987.5,987.5,987.5,987.5,30
2018-08-13,970.0,987.5,970.0,987.5,20010
2018-08-17,987.5,987.5,987.5,987.5,80
2018-08-20,987.0,987.0,987.0,987.0,10
2018-08-22,987.0,987.0,987.0,987.0,10
2018-08-23,987.5,987.5,987.5,987.5,320
2018-08-24,987.5,987.5,987.5,987.5,30
2018-08-29,970.0,970.0,970.0,970.0,510
2018-08-31,987.5,987.5,987.5,987.5,50
2018-09-04,987.5,987.5,987.5,987.5,20
2018-09-14,970.0,970.0,970.0,970.0,1320
2018-09-17,967.0,985.0,950.0,985.0,3720
2018-09-18,950.0,985.0,950.0,985.0,210
2018-09-24,960.0,984.5,945.0,945.0,480
2018-09-25,945.0,945.0,945.0,945.0,180
2018-09-26,945.0,945.0,945.0,945.0,10
2018-09-27,945.0,945.0,945.0,945.0,650
2018-10-03,902.0,942.5,902.0,942.5,40
2018-10-04,944.5,945.0,944.5,945.0,800
2018-10-10,910.5,944.5,910.5,944.5,20
2018-10-11,945.0,945.0,945.0,945.0,10
2018-10-12,945.0,945.0,911.0,945.0,1460
2018-10-15,945.0,984.0,945.0,984.0,40
2018-10-17,910.5,910.5,910.5,910.5,10
2018-10-18,910.5,910.5,900.0,900.0,880
2018-10-19,900.0,900.0,881.5,881.5,50
2018-10-22,890.0,890.0,890.0,890.0,800
2018-10-23,893.0,893.0,893.0,893.0,50
2018-10-24,920.0,948.0,920.0,948.0,530
