date,open,high,low,close,volume
1999-02-04,1.32,1.32,1.32,1.32,2000
1999-02-05,1.3,1.32,1.3,1.32,125000
1999-02-08,1.3,1.32,1.3,1.32,125000
1999-02-09,1.3,1.32,1.3,1.32,125000
1999-02-10,1.3,1.32,1.3,1.32,125000
1999-02-11,1.3,1.32,1.3,1.32,125000
1999-02-15,1.42,1.52,1.4,1.52,330000
1999-02-16,1.52,1.66,1.52,1.66,851000
1999-02-17,1.6,1.6,1.6,1.6,4000
1999-02-18,1.6,1.64,1.6,1.6,235000
1999-02-19,1.4,1.5,1.4,1.5,11000
1999-02-23,1.34,1.42,1.34,1.4,135000
1999-02-24,1.4,1.42,1.4,1.42,25000
1999-02-25,1.4,1.58,1.4,1.58,81000
1999-02-26,1.42,1.42,1.42,1.42,33000
1999-03-01,1.4,1.58,1.4,1.58,604000
1999-03-02,1.6,1.7,1.6,1.6,1884000
1999-03-03,1.4,1.58,1.4,1.58,67000
1999-03-04,1.5,1.5,1.44,1.44,1190000
1999-03-05,1.4,1.4,1.38,1.4,533000
1999-03-08,1.42,1.42,1.42,1.42,89000
1999-03-09,1.4,1.4,1.4,1.4,240000
1999-03-10,1.4,1.5,1.38,1.5,167000
1999-03-11,1.42,1.42,1.4,1.42,70000
1999-03-12,1.5,1.5,1.42,1.44,2115000
1999-03-15,1.44,1.5,1.44,1.5,57000
1999-03-16,1.44,1.44,1.4,1.4,381000
1999-03-17,1.4,1.42,1.4,1.42,2104000
1999-03-18,1.44,1.44,1.42,1.42,655000
1999-03-19,1.4,1.4,1.36,1.4,483000
1999-03-22,1.4,1.4,1.36,1.36,538000
1999-03-23,1.36,1.36,1.34,1.34,225000
1999-03-24,1.4,1.4,1.24,1.34,24000
1999-03-25,1.32,1.32,1.32,1.32,11000
1999-03-26,1.24,1.34,1.24,1.34,9000
1999-03-29,1.24,1.34,1.24,1.34,532000
1999-03-30,1.2,1.24,1.2,1.24,1038000
1999-03-31,1.32,1.32,1.24,1.26,550000
1999-04-06,1.02,1.06,1.0,1.04,1103000
1999-04-07,1.04,1.04,1.0,1.0,1606000
1999-04-08,1.04,1.06,1.02,1.04,2290000
1999-04-12,1.06,1.1,1.06,1.1,2010000
1999-04-13,1.08,1.08,1.08,1.08,490000
1999-04-14,1.08,1.08,1.06,1.08,485000
1999-04-15,1.06,1.06,1.02,1.02,323000
1999-04-16,1.06,1.06,1.06,1.06,1000
1999-04-19,1.06,1.06,1.04,1.06,798000
1999-04-20,1.06,1.08,1.06,1.06,1095000
1999-04-21,1.06,1.06,1.04,1.04,2265000
1999-04-22,1.04,1.04,1.04,1.04,760000
1999-04-23,1.04,1.04,1.04,1.04,790000
1999-04-26,1.04,1.04,1.02,1.02,543000
1999-04-27,1.02,1.02,0.97,1.0,15863000
1999-04-28,1.02,1.1,1.02,1.04,7020000
1999-04-29,1.08,1.18,1.06,1.14,7157000
1999-04-30,1.18,1.36,1.18,1.22,22416000
1999-05-03,1.3,1.3,1.26,1.28,5801000
1999-05-04,1.32,1.32,1.14,1.2,3701000
1999-05-05,1.2,1.28,1.2,1.28,1675000
1999-05-06,1.28,1.32,1.24,1.32,5653000
1999-05-07,1.32,1.5,1.32,1.42,31047000
1999-05-10,1.52,1.6,1.52,1.54,16470000
1999-05-11,1.54,1.56,1.44,1.5,15148000
1999-05-12,1.5,1.56,1.5,1.54,8565000
1999-05-13,1.54,1.54,1.46,1.48,2004000
1999-05-14,1.44,1.46,1.36,1.4,2308000
1999-05-17,1.4,1.4,1.32,1.34,7921000
1999-05-18,1.34,1.36,1.3,1.3,4912000
1999-05-19,1.28,1.3,1.26,1.28,5473000
1999-05-20,1.28,1.28,1.26,1.28,1232000
1999-05-21,1.28,1.3,1.22,1.22,1954000
