date,open,high,low,close,volume
2016-06-29,11.0,15.74,10.82,15.74,36029800
2016-06-30,20.0,23.1,17.5,20.3,27314000
2016-07-01,19.5,21.85,18.1,19.2,10578100
2016-07-04,19.1,19.12,17.22,17.72,4030600
2016-07-05,17.5,18.9,16.2,18.62,5385700
2016-07-07,19.04,19.5,17.9,17.9,2602700
2016-07-08,18.3,18.38,17.8,18.0,559000
2016-07-11,18.0,18.1,17.4,17.48,933200
2016-07-12,17.7,18.2,16.8,17.98,1279500
2016-07-13,18.0,18.3,17.52,17.7,678600
2016-07-14,17.9,18.0,17.58,17.88,470100
2016-07-15,17.9,17.9,17.04,17.04,559600
2016-07-18,17.0,17.3,16.6,17.02,704900
2016-07-19,17.14,17.2,16.8,16.9,381500
2016-07-20,16.8,17.26,16.44,17.18,381900
2016-07-21,17.0,17.1,16.52,17.0,265500
2016-07-22,17.1,17.2,16.8,16.96,205300
2016-07-25,16.96,16.96,16.68,16.7,349500
2016-07-26,16.7,16.92,16.64,16.7,327000
2016-07-27,16.96,17.24,16.6,16.6,637900
2016-07-28,16.7,16.7,16.06,16.48,583400
2016-07-29,16.12,16.26,16.12,16.18,159000
2016-08-01,16.18,16.18,15.6,16.12,600200
2016-08-02,16.16,16.16,15.64,15.66,302600
2016-08-03,15.66,15.66,15.2,15.62,493200
2016-08-04,15.52,16.2,15.4,16.08,269000
2016-08-05,16.2,16.2,15.78,15.78,99800
2016-08-08,16.0,16.0,15.5,15.7,79000
2016-08-09,15.7,15.9,15.2,15.22,177200
2016-08-10,15.22,15.46,15.22,15.36,62900
2016-08-11,15.36,15.88,15.22,15.42,316900
2016-08-12,15.42,15.86,15.3,15.86,161100
2016-08-15,15.86,16.38,15.6,15.9,348900
2016-08-16,15.92,16.14,15.46,15.94,209600
2016-08-17,16.0,16.9,15.82,16.7,1198700
2016-08-18,16.78,17.0,16.7,16.7,519300
2016-08-19,16.5,16.66,15.8,15.8,451600
2016-08-22,15.54,16.0,15.46,15.8,273700
2016-08-23,15.8,15.8,15.52,15.6,109300
2016-08-24,15.54,15.84,15.4,15.5,216700
2016-08-25,15.36,15.78,15.3,15.7,74900
2016-08-26,15.3,15.7,15.3,15.7,45200
2016-08-30,15.4,15.6,15.34,15.6,92300
2016-08-31,15.34,15.6,14.8,15.6,391200
2016-09-01,15.06,15.46,15.06,15.14,158200
2016-09-02,15.14,15.2,14.9,15.14,140100
2016-09-05,15.14,15.14,14.74,15.0,241100
2016-09-06,14.96,14.96,14.52,14.94,178000
2016-09-07,14.92,14.92,14.38,14.38,232000
2016-09-08,14.38,14.38,13.6,14.36,138800
2016-09-09,14.3,14.3,14.0,14.0,37200
2016-09-13,14.1,14.5,13.7,13.7,72800
2016-09-14,13.6,14.0,13.4,14.0,99800
2016-09-15,14.0,14.0,13.56,13.72,136700
2016-09-16,13.72,13.74,13.5,13.68,106800
2016-09-19,13.72,13.88,13.7,13.82,74900
2016-09-20,13.84,14.14,13.84,14.12,92000
2016-09-21,14.1,14.2,14.08,14.2,61800
2016-09-22,14.18,14.18,14.02,14.16,42200
2016-09-23,14.16,14.16,13.7,13.7,68900
2016-09-26,13.72,14.0,13.58,13.98,48300
2016-09-27,13.96,13.96,13.34,13.88,53400
2016-09-28,13.5,13.88,13.5,13.88,14800
2016-09-29,13.88,13.88,13.54,13.84,32300
2016-09-30,13.86,13.98,13.62,13.98,73900
2016-10-03,14.0,14.54,14.0,14.32,389200
2016-10-04,14.4,14.7,14.4,14.7,129500
2016-10-05,14.74,15.02,14.56,14.94,199100
2016-10-06,14.94,14.94,14.08,14.5,133300
2016-10-07,14.08,14.42,14.08,14.42,69900
2016-10-10,14.0,14.1,13.76,14.1,50500
2016-10-11,13.8,14.0,13.4,13.92,53600
2016-10-12,13.96,14.0,13.62,13.92,12300
2016-10-13,13.6,14.0,13.3,14.0,237500
2016-10-14,13.98,13.98,13.72,13.96,40700
2016-10-17,13.8,13.98,13.68,13.96,70500
2016-10-18,13.52,13.94,13.52,13.78,100600
2016-10-19,13.52,13.98,13.52,13.82,104100
2016-10-20,13.84,13.84,13.56,13.56,70700
2016-10-21,13.56,13.86,13.5,13.5,106500
2016-10-24,13.48,13.48,13.4,13.4,20900
2016-10-25,13.48,14.0,13.48,13.8,70500
2016-10-26,13.8,13.8,13.52,13.78,9400
2016-10-27,13.76,13.76,13.4,13.76,71500
2016-10-28,13.74,13.74,13.3,13.6,36100
2016-11-02,13.4,13.6,13.06,13.6,47200
2016-11-03,13.1,13.52,13.0,13.52,158900
2016-11-04,13.5,13.9,13.5,13.54,192400
2016-11-07,13.6,13.6,13.22,13.44,57800
2016-11-08,13.62,13.62,13.26,13.26,53800
2016-11-09,13.56,13.56,12.6,13.2,157400
2016-11-10,13.1,13.2,12.94,13.12,130100
2016-11-11,12.98,13.0,12.62,12.62,145300
2016-11-14,12.62,12.62,12.02,12.56,159800
2016-11-15,12.24,12.52,12.2,12.52,100200
2016-11-16,12.02,12.52,12.02,12.52,72800
2016-11-17,12.1,12.92,12.1,12.92,98000
2016-11-18,12.28,12.9,12.28,12.52,65500
2016-11-21,12.52,12.86,12.32,12.8,35300
2016-11-22,12.8,14.0,12.36,14.0,321400
2016-11-23,14.0,14.0,13.22,13.96,149200
2016-11-24,13.8,14.1,13.54,14.1,411700
2016-11-25,14.08,14.48,14.0,14.46,147800
2016-11-28,14.46,14.6,14.1,14.5,114900
2016-11-29,14.48,14.48,14.32,14.32,49700
2016-12-01,14.48,14.7,13.62,14.7,70800
2016-12-02,14.7,15.04,14.36,15.04,269900
2016-12-05,15.04,15.04,14.36,14.36,98600
2016-12-06,14.04,14.78,14.0,14.7,97900
2016-12-07,14.12,14.9,14.12,14.9,186800
2016-12-08,14.88,15.16,14.58,15.16,257100
2016-12-09,15.18,15.36,14.8,15.36,257500
2016-12-12,15.36,15.36,15.0,15.0,33700
2016-12-13,15.0,15.5,14.6,15.5,180900
2016-12-14,15.5,15.6,15.06,15.6,175000
2016-12-15,15.28,15.7,15.22,15.26,113800
2016-12-16,15.22,15.34,15.06,15.34,66800
2016-12-19,15.4,15.7,14.9,15.7,190100
2016-12-20,15.7,15.7,15.26,15.5,90200
2016-12-21,15.5,15.5,15.38,15.38,4600
2016-12-22,15.38,15.98,15.22,15.98,386700
2016-12-23,15.98,15.98,15.52,15.98,169000
2016-12-27,15.94,16.0,15.6,16.0,150700
2016-12-28,15.74,15.96,15.74,15.92,45500
2016-12-29,15.92,17.0,15.68,17.0,1146700
2017-01-03,17.0,17.0,16.5,16.98,294200
2017-01-04,17.0,17.2,16.8,16.8,155700
2017-01-05,16.8,17.0,16.6,16.82,109800
2017-01-06,16.76,16.86,16.5,16.5,58200
2017-01-09,16.5,16.88,16.1,16.88,146400
2017-01-10,16.76,16.76,16.3,16.6,60900
2017-01-11,16.58,16.58,16.22,16.3,31000
2017-01-12,16.3,16.3,16.0,16.0,66800
2017-01-13,15.94,16.4,15.4,15.4,144500
2017-01-16,15.2,15.5,14.92,15.5,57100
2017-01-17,15.5,16.0,15.24,15.98,129200
2017-01-18,16.0,16.34,15.6,16.34,76100
2017-01-19,16.2,16.2,15.9,16.2,44200
2017-01-20,16.2,16.2,15.9,15.9,9200
2017-01-23,15.5,16.38,15.5,16.38,55000
2017-01-24,16.0,16.4,16.0,16.4,66000
2017-01-25,16.0,16.4,16.0,16.38,67700
2017-01-26,16.08,16.48,16.08,16.48,163800
2017-01-27,16.2,16.54,16.2,16.5,39200
2017-01-30,16.26,16.54,16.22,16.54,93700
2017-01-31,16.26,16.6,16.2,16.54,138100
2017-02-01,16.3,16.92,16.3,16.92,183400
2017-02-02,16.9,16.9,16.54,16.88,53500
2017-02-03,16.64,16.86,16.56,16.86,58500
2017-02-06,16.5,16.86,16.4,16.86,60600
2017-02-07,16.42,16.84,16.42,16.84,58400
2017-02-08,16.84,16.84,16.58,16.8,14500
2017-02-09,16.8,16.8,16.42,16.7,34300
2017-02-10,16.46,16.7,16.42,16.6,14100
2017-02-13,16.42,16.8,16.18,16.8,156300
2017-02-14,16.78,16.78,16.3,16.7,54300
2017-02-15,16.36,16.78,16.36,16.78,41700
2017-02-16,16.4,16.8,16.4,16.8,65200
2017-02-17,16.48,16.78,16.48,16.78,52700
2017-02-20,16.78,16.8,16.4,16.8,176200
2017-02-21,16.8,16.8,16.56,16.72,35200
2017-02-22,16.56,16.7,16.48,16.7,125000
2017-02-23,16.7,16.72,16.54,16.7,49200
2017-02-24,16.44,16.68,16.38,16.38,79700
2017-02-27,16.38,16.38,16.18,16.28,22400
2017-02-28,16.18,16.7,16.1,16.7,94500
2017-03-01,16.3,16.64,16.28,16.64,82800
2017-03-02,16.34,16.48,16.34,16.48,58000
2017-03-03,16.3,16.5,16.26,16.5,65100
2017-03-06,16.5,16.5,16.2,16.46,165400
2017-03-07,16.2,16.48,16.2,16.48,37400
2017-03-09,16.22,16.5,16.1,16.5,70900
2017-03-10,16.2,16.3,16.18,16.3,145400
2017-03-13,16.1,16.3,15.26,16.26,51200
2017-03-14,16.2,16.2,15.92,16.18,44200
2017-03-15,16.16,16.2,16.12,16.2,30700
2017-03-16,15.98,16.2,15.98,16.2,3700
2017-03-17,16.0,16.1,15.94,16.1,102300
2017-03-20,15.98,15.98,15.8,15.84,12400
2017-03-21,15.84,16.08,15.6,16.08,61000
2017-03-22,15.68,16.0,15.68,16.0,8500
2017-03-23,15.74,16.1,15.68,15.68,70500
2017-03-24,15.68,16.1,15.68,16.1,91900
2017-03-27,15.72,16.2,15.72,16.2,69900
2017-03-28,15.8,16.4,15.8,16.4,52300
2017-03-29,15.98,16.4,15.98,16.4,45500
2017-03-30,16.14,16.4,16.06,16.4,94200
2017-03-31,16.12,16.5,16.12,16.5,91800
2017-04-03,16.5,16.5,16.16,16.5,89300
2017-04-04,16.18,16.5,16.18,16.4,62600
2017-04-05,16.2,16.4,16.2,16.4,32400
2017-04-06,16.22,16.36,16.0,16.0,97500
2017-04-07,15.9,16.0,15.86,15.88,14100
2017-04-10,15.62,16.4,15.62,16.4,88800
2017-04-11,16.3,16.5,15.84,16.5,58200
2017-04-12,16.04,16.5,16.04,16.5,10400
2017-04-17,16.12,16.4,16.12,16.4,28800
2017-04-18,16.12,16.48,16.12,16.48,91900
2017-04-19,16.48,16.48,16.24,16.4,200700
2017-04-20,16.24,16.4,16.12,16.4,43100
2017-04-21,16.12,16.3,16.12,16.3,92500
2017-04-24,16.04,16.5,15.94,16.5,48700
2017-04-25,16.16,16.5,16.12,16.5,90400
2017-04-26,16.26,16.3,16.24,16.3,62000
2017-04-27,16.22,16.3,15.82,16.3,44000
2017-05-02,16.02,16.5,16.02,16.5,104500
2017-05-03,16.5,16.5,16.16,16.5,64600
2017-05-04,16.02,16.5,16.02,16.5,41300
2017-05-05,16.24,16.4,16.24,16.4,68300
2017-05-08,16.22,16.38,16.06,16.38,120700
2017-05-09,16.2,16.38,16.2,16.38,2800
2017-05-10,16.08,16.3,16.08,16.3,8400
2017-05-11,16.12,16.38,16.1,16.38,48100
2017-05-12,16.38,16.38,15.9,16.3,52500
2017-05-15,16.0,16.48,16.0,16.46,159400
2017-05-16,16.16,16.4,16.16,16.4,130200
2017-05-17,16.16,16.48,16.16,16.48,75900
2017-05-18,16.48,16.48,16.18,16.38,54600
2017-05-19,16.18,16.38,16.12,16.32,59400
2017-05-22,16.1,16.36,16.1,16.36,60600
2017-05-23,16.0,16.28,16.0,16.28,82400
2017-05-24,16.1,16.36,16.1,16.36,62900
2017-05-25,16.34,16.36,16.16,16.36,70100
2017-05-26,15.98,16.2,15.98,16.2,61600
2017-05-29,16.0,16.2,16.0,16.2,56100
2017-05-30,16.0,16.2,15.98,16.2,105200
2017-05-31,16.0,16.14,15.98,16.14,93500
2017-06-01,15.94,16.3,15.94,16.3,25900
2017-06-02,16.04,16.3,16.02,16.3,126000
2017-06-05,16.02,16.36,16.02,16.06,85300
2017-06-06,16.16,16.4,15.92,15.92,96000
2017-06-07,15.92,15.92,15.9,15.9,16600
2017-06-08,15.9,16.16,15.68,16.0,68900
2017-06-09,15.7,16.1,15.7,15.98,19100
2017-06-13,15.74,16.18,15.7,16.08,54600
2017-06-14,16.0,16.0,16.0,16.0,10600
2017-06-15,15.68,16.0,15.68,15.94,36400
2017-06-16,15.94,15.94,15.68,15.9,57100
2017-06-19,15.9,15.9,15.68,15.68,13100
2017-06-20,15.68,15.7,15.62,15.7,60100
2017-06-21,15.62,15.96,15.62,15.8,56500
2017-06-22,15.64,15.8,15.62,15.62,27800
2017-06-23,15.96,15.96,15.6,15.94,34100
2017-06-27,15.64,16.0,15.62,16.0,54400
2017-06-28,15.96,16.0,15.72,15.98,21000
2017-06-29,15.7,15.98,15.68,15.98,5100
2017-06-30,15.9,15.98,15.68,15.98,38100
2017-07-03,15.68,15.98,15.68,15.98,143200
2017-07-04,15.7,15.98,15.66,15.66,27600
2017-07-05,15.6,15.64,15.56,15.62,17300
2017-07-06,15.58,15.62,15.56,15.62,35600
2017-07-07,15.62,15.64,15.46,15.64,11100
2017-07-10,15.66,15.7,15.48,15.7,28900
2017-07-11,15.7,15.7,15.4,15.4,40600
2017-07-12,15.34,15.7,15.34,15.7,36300
2017-07-13,15.48,15.5,15.48,15.48,10000
2017-07-14,15.48,15.5,15.44,15.44,37400
2017-07-17,15.36,15.7,15.36,15.36,28200
2017-07-18,15.36,15.78,15.24,15.78,36400
2017-07-19,15.8,15.8,15.38,15.78,5900
2017-07-20,15.36,15.42,15.36,15.36,33600
2017-07-21,15.3,15.68,15.2,15.58,18000
2017-07-24,15.22,15.5,15.22,15.5,20900
2017-07-25,15.2,15.5,15.04,15.5,20900
2017-07-26,15.1,15.48,15.1,15.48,65200
2017-07-27,15.16,15.68,15.16,15.64,40300
2017-07-28,15.2,15.78,15.2,15.78,53700
2017-07-31,15.78,15.78,15.22,15.22,51900
2017-08-01,15.32,15.5,15.3,15.3,13000
2017-08-02,15.28,15.58,15.2,15.54,17700
