date,open,high,low,close,volume
2007-10-17,5.5,5.9,5.3,5.5,48445000
2007-10-18,5.5,5.7,5.5,5.5,12765000
2007-10-19,5.5,5.6,5.4,5.5,7211000
2007-10-22,5.1,5.5,4.9,5.5,17305000
2007-10-23,5.4,5.5,5.4,5.4,8130000
2007-10-24,5.4,5.4,5.3,5.4,1122000
2007-10-25,5.3,5.4,5.2,5.3,1137000
2007-10-26,5.3,5.3,5.2,5.3,2342000
2007-10-30,5.3,5.4,5.2,5.2,1477000
2007-10-31,5.2,5.5,5.2,5.5,4556000
2007-11-05,5.4,5.4,5.2,5.2,619000
2007-11-06,5.2,5.2,5.2,5.2,687000
2007-11-07,5.1,5.3,5.0,5.2,4903000
2007-11-08,5.1,5.1,5.0,5.1,812000
2007-11-09,5.1,5.1,5.1,5.1,1196000
2007-11-12,5.0,5.1,4.9,5.1,3766000
2007-11-13,5.0,5.1,4.9,5.1,3997000
2007-11-14,5.0,5.3,5.0,5.3,3558000
2007-11-15,5.2,5.2,5.0,5.2,231000
2007-11-16,5.1,5.1,5.1,5.1,286000
2007-11-19,5.1,5.1,5.1,5.1,218000
2007-11-20,5.1,5.1,5.0,5.0,963000
2007-11-21,4.95,5.0,4.95,5.0,70000
2007-11-22,5.0,5.4,4.8,5.3,11404000
2007-11-23,5.2,5.5,5.1,5.4,38973000
2007-11-26,5.3,5.3,5.1,5.1,1383000
2007-11-27,5.0,5.1,5.0,5.0,791000
2007-11-28,5.0,5.1,5.0,5.0,563000
2007-11-29,5.0,5.0,4.8,4.8,1065000
2007-12-03,5.0,5.0,4.95,4.95,368000
2007-12-04,5.0,5.0,4.9,4.95,169000
2007-12-05,4.9,5.0,4.9,5.0,89000
2007-12-06,5.0,5.0,4.9,5.0,370000
2007-12-07,5.0,5.0,4.95,4.95,348000
2007-12-10,5.0,5.0,4.9,4.9,35000
2007-12-11,4.95,4.95,4.85,4.9,59000
2007-12-12,4.95,4.95,4.85,4.95,312000
2007-12-13,4.95,4.95,4.85,4.9,73000
2007-12-14,4.85,4.85,4.8,4.8,216000
2007-12-17,4.75,4.75,4.65,4.7,270000
2007-12-18,4.65,4.7,4.6,4.7,375000
2007-12-19,4.7,4.7,4.6,4.65,79000
2007-12-20,4.65,4.75,4.65,4.65,102000
2007-12-21,4.65,4.75,4.65,4.75,16000
2007-12-26,4.65,4.65,4.65,4.65,1000
2007-12-27,4.75,4.8,4.65,4.75,25000
2007-12-28,4.75,4.75,4.65,4.7,17000
2008-01-02,4.5,4.65,4.15,4.65,164000
2008-01-03,4.6,4.6,4.6,4.6,10000
2008-01-04,4.35,4.7,4.3,4.65,462000
2008-01-07,4.6,4.6,4.3,4.3,4000
2008-01-08,4.35,4.4,4.3,4.4,24000
2008-01-09,4.2,4.3,4.2,4.3,70000
2008-01-10,4.2,4.2,4.2,4.2,27000
2008-01-11,4.2,4.35,4.2,4.3,122000
2008-01-14,4.3,4.3,4.1,4.3,21000
2008-01-15,4.2,4.2,4.2,4.2,3000
2008-01-16,4.15,4.3,4.0,4.3,70000
2008-01-17,4.0,4.2,4.0,4.2,56000
2008-01-21,3.6,4.2,3.6,4.2,591000
2008-01-22,3.8,4.25,3.55,4.25,456000
