date,open,high,low,close,volume
2015-12-07,5.4,5.4,4.16,4.22,41294000
2015-12-08,4.25,4.25,3.57,3.64,13576000
2015-12-09,3.71,3.96,3.65,3.86,8782000
2015-12-10,3.9,3.95,3.62,3.64,3212000
2015-12-11,3.7,3.75,3.58,3.64,2233000
2015-12-14,3.69,3.69,3.26,3.28,2678000
2015-12-15,3.24,3.43,3.24,3.28,1295000
2015-12-16,3.3,3.4,3.22,3.23,1048000
2015-12-17,3.25,3.29,3.13,3.17,1448000
2015-12-18,3.17,3.22,3.07,3.1,1131000
2015-12-21,3.11,3.11,2.9,2.97,1009000
2015-12-22,2.97,2.97,2.84,2.84,1113000
2015-12-23,2.84,3.07,2.79,2.97,799000
2015-12-28,2.97,3.42,2.92,3.42,2091000
2015-12-29,3.43,3.46,3.2,3.25,866000
2016-01-04,3.2,3.2,2.88,2.88,1069000
2016-01-05,2.9,2.97,2.88,2.95,184000
2016-01-06,2.9,3.0,2.9,2.91,77000
2016-01-07,2.92,2.92,2.8,2.8,285000
2016-01-08,2.8,2.8,2.7,2.79,233000
2016-01-11,2.75,2.75,2.57,2.59,386000
2016-01-12,2.58,2.85,2.56,2.63,183000
2016-01-13,2.79,2.79,2.58,2.61,268000
2016-01-14,2.58,2.6,2.5,2.51,47000
2016-01-15,2.51,2.73,2.51,2.6,341000
2016-01-18,2.51,2.51,2.4,2.4,119000
2016-01-19,2.4,2.42,2.39,2.39,170000
2016-01-20,2.39,2.54,2.35,2.35,255000
2016-01-21,2.32,2.32,2.14,2.14,209000
2016-01-22,2.14,2.21,2.0,2.02,479000
2016-01-25,2.07,2.45,2.07,2.44,559000
2016-01-26,2.4,2.4,2.2,2.21,212000
2016-01-27,2.23,2.23,2.21,2.23,52000
2016-01-28,2.2,2.37,2.19,2.31,255000
2016-01-29,2.39,2.79,2.39,2.51,1249000
2016-02-01,2.68,2.68,2.53,2.54,261000
2016-02-02,2.55,2.57,2.41,2.57,377000
2016-02-03,2.57,2.57,2.44,2.5,221000
2016-02-04,2.45,2.52,2.45,2.46,99000
2016-02-05,2.46,2.51,2.42,2.49,425000
2016-02-09,2.49,2.65,2.49,2.49,520000
2016-02-10,2.49,2.59,2.44,2.45,127000
2016-02-11,2.45,2.5,2.4,2.4,284000
2016-02-12,2.39,2.48,2.39,2.39,131000
2016-02-15,2.39,2.4,2.37,2.39,266000
2016-02-16,2.39,2.49,2.39,2.46,222000
2016-02-17,2.49,2.55,2.43,2.5,215000
2016-02-18,2.51,2.56,2.48,2.5,141000
2016-02-19,2.45,2.48,2.44,2.45,160000
2016-02-22,2.45,2.5,2.45,2.48,123000
2016-02-23,2.5,2.6,2.5,2.57,214000
2016-02-24,2.54,2.57,2.5,2.5,223000
2016-02-26,2.5,2.56,2.49,2.53,156000
2016-02-29,2.48,2.69,2.48,2.6,443000
2016-03-01,2.54,2.58,2.45,2.5,367000
2016-03-02,2.45,2.55,2.41,2.46,216000
2016-03-03,2.48,2.55,2.47,2.55,114000
2016-03-04,2.5,2.55,2.5,2.55,177000
2016-03-07,2.58,2.78,2.58,2.65,591000
2016-03-08,2.65,3.24,2.65,3.08,4407000
2016-03-09,3.2,3.45,3.1,3.12,5205000
2016-03-10,3.18,3.18,2.9,3.03,785000
2016-03-11,3.04,3.25,2.95,3.11,701000
2016-03-14,3.17,3.17,3.0,3.1,664000
2016-03-15,3.04,3.36,3.03,3.28,2009000
2016-03-16,3.4,3.6,3.12,3.15,3959000
2016-03-17,3.18,3.4,3.16,3.36,476000
2016-03-18,3.42,3.6,3.38,3.4,2155000
2016-03-21,3.42,3.54,3.42,3.5,1271000
2016-03-22,3.5,3.65,3.48,3.53,1689000
2016-03-23,3.58,3.58,3.48,3.57,402000
2016-03-28,3.5,3.55,3.48,3.48,231000
2016-03-29,3.48,3.51,3.34,3.35,878000
2016-03-30,3.32,3.32,3.2,3.2,516000
2016-03-31,3.32,3.32,3.2,3.2,254000
2016-04-01,3.19,3.4,3.18,3.25,365000
2016-04-04,3.22,3.22,3.16,3.16,382000
2016-04-05,3.16,3.16,3.1,3.1,393000
2016-04-06,3.1,3.11,3.09,3.1,247000
2016-04-07,3.1,3.24,3.1,3.16,186000
2016-04-08,3.12,3.12,3.07,3.07,297000
2016-04-11,3.08,3.21,3.08,3.21,106000
2016-04-12,3.14,3.19,3.08,3.19,118000
2016-04-13,3.19,3.3,3.16,3.19,400000
2016-04-14,3.19,3.26,3.18,3.24,123000
2016-04-15,3.38,3.4,3.21,3.25,305000
2016-04-18,3.5,3.5,3.25,3.26,502000
2016-04-19,3.3,3.3,3.16,3.22,263000
2016-04-20,3.16,3.2,3.09,3.13,680000
2016-04-21,3.13,3.17,3.13,3.17,65000
2016-04-22,3.12,3.17,3.08,3.16,166000
2016-04-25,3.1,3.1,3.07,3.1,186000
2016-04-26,3.07,3.07,3.04,3.04,287000
2016-04-27,3.04,3.05,3.01,3.05,307000
2016-04-28,3.09,3.15,3.02,3.02,186000
2016-04-29,3.09,3.15,3.0,3.0,180000
2016-05-02,3.0,3.0,2.87,2.88,131000
2016-05-03,2.95,2.95,2.88,2.9,67000
2016-05-04,2.88,2.88,2.87,2.87,99000
2016-05-05,2.9,2.99,2.9,2.99,22000
2016-05-06,3.12,3.12,2.88,2.99,239000
2016-05-10,3.12,3.16,3.06,3.06,597000
2016-05-11,3.14,3.23,3.1,3.15,71000
2016-05-12,3.15,3.18,3.0,3.0,419000
2016-05-13,3.02,3.1,3.02,3.07,25000
2016-05-16,3.18,3.18,3.04,3.04,66000
2016-05-17,3.04,3.09,2.95,2.95,260000
2016-05-18,2.95,2.99,2.95,2.99,64000
2016-05-19,3.0,3.0,3.0,3.0,46000
2016-05-20,3.05,3.05,3.0,3.01,28000
2016-05-23,3.01,3.01,2.96,3.0,39000
2016-05-24,3.0,3.0,2.95,2.95,31000
2016-05-25,2.94,3.0,2.94,2.94,48000
2016-05-26,2.94,2.96,2.92,2.96,79000
2016-05-27,2.93,2.96,2.93,2.95,17000
2016-05-30,2.92,2.92,2.8,2.92,72000
2016-05-31,2.92,2.96,2.84,2.87,297000
2016-06-01,3.1,3.1,2.95,3.07,53000
2016-06-02,3.05,3.07,3.01,3.06,63000
2016-06-03,3.0,3.06,3.0,3.06,89000
2016-06-06,2.95,3.06,2.87,3.01,45000
2016-06-07,3.04,3.14,3.0,3.09,267000
2016-06-08,3.09,3.23,3.02,3.1,319000
2016-06-09,3.04,3.13,3.0,3.13,191000
2016-06-10,3.1,3.1,3.03,3.03,27000
2016-06-13,3.03,3.25,3.03,3.2,595000
2016-06-14,3.21,3.39,3.21,3.34,1376000
2016-06-15,3.35,3.66,3.35,3.54,4350000
2016-06-16,3.58,4.42,3.54,4.39,18670000
2016-06-17,4.2,5.6,4.01,4.8,21425000
2016-06-20,4.9,5.28,4.8,4.96,5343000
2016-06-21,4.96,4.96,4.5,4.67,1707000
2016-06-22,4.75,5.42,4.72,5.18,4655000
