date,open,high,low,close,volume
1999-02-04,8.9,8.9,8.5,8.7,2116000
1999-02-05,8.9,8.9,8.6,8.6,887000
1999-02-08,8.9,8.9,8.6,8.6,887000
1999-02-09,8.9,8.9,8.6,8.6,887000
1999-02-10,8.9,8.9,8.6,8.6,887000
1999-02-11,8.9,8.9,8.6,8.6,887000
1999-02-12,8.5,8.7,8.5,8.5,41000
1999-02-15,8.5,8.6,8.5,8.6,289000
1999-02-17,8.6,8.6,8.6,8.6,3000
1999-02-18,8.6,8.7,8.5,8.6,156000
1999-02-19,8.6,8.7,8.6,8.6,158000
1999-02-22,8.5,8.6,8.5,8.5,59000
1999-02-23,9.0,9.0,8.7,8.8,119000
1999-02-24,8.8,8.9,8.8,8.8,498000
1999-02-25,8.7,8.8,8.7,8.8,58000
1999-02-26,8.8,8.8,8.6,8.7,800000
1999-03-01,8.7,8.7,8.5,8.6,140000
1999-03-02,8.4,8.4,8.3,8.3,586000
1999-03-03,8.3,8.6,8.3,8.4,510000
1999-03-04,8.5,8.5,8.3,8.3,471000
1999-03-05,8.4,8.4,8.2,8.2,339000
1999-03-08,8.2,8.2,8.0,8.1,631000
1999-03-09,7.9,7.9,7.5,7.7,780000
1999-03-10,7.7,8.0,7.7,8.0,276000
1999-03-11,7.9,7.9,7.8,7.8,398000
1999-03-12,7.8,7.8,7.8,7.8,44000
1999-03-16,7.8,8.0,7.8,7.9,84000
1999-03-17,8.0,8.0,7.8,7.8,132000
1999-03-18,7.9,8.1,7.9,8.0,211000
1999-03-19,8.0,8.3,8.0,8.3,590000
1999-03-22,8.4,8.5,8.4,8.5,201000
1999-03-23,8.6,8.9,8.6,8.7,493000
1999-03-24,8.7,9.0,8.6,8.7,297000
1999-03-25,8.7,8.7,8.6,8.6,411000
1999-03-26,8.6,8.8,8.6,8.7,213000
1999-03-29,8.8,8.9,8.8,8.9,443000
1999-03-30,8.8,8.8,8.8,8.8,316000
1999-03-31,8.7,8.8,8.5,8.5,403000
1999-04-05,8.6,8.6,8.6,8.6,235000
1999-04-06,8.6,8.7,8.6,8.6,482000
1999-04-07,8.8,9.2,8.7,9.0,1757000
1999-04-08,9.0,9.1,9.0,9.1,291000
1999-04-12,9.3,9.7,9.3,9.6,2917000
1999-04-13,9.6,9.8,9.6,9.7,764000
1999-04-15,10.0,10.0,9.8,9.8,1322500
1999-04-16,9.8,10.25,9.8,10.0,447000
1999-04-23,11.0,11.5,11.0,11.25,2279800
1999-04-26,11.5,12.25,11.5,12.25,2621000
1999-04-27,12.5,13.25,12.25,12.75,1914000
1999-04-28,13.0,13.25,12.25,12.25,1055600
1999-04-29,12.5,12.5,11.75,12.25,939200
1999-04-30,12.5,12.5,12.25,12.5,440800
1999-05-03,12.25,12.25,12.0,12.25,169200
1999-05-04,12.75,12.75,11.5,12.5,1684600
1999-05-05,12.25,12.25,12.0,12.0,1054400
1999-05-06,12.0,12.25,12.0,12.25,862000
1999-05-07,12.25,12.25,12.0,12.0,610400
1999-05-10,12.0,12.25,12.0,12.0,370300
1999-05-11,12.0,12.0,11.75,11.75,325600
1999-05-12,11.5,11.5,11.25,11.5,978000
1999-05-13,11.5,11.5,11.0,11.5,2392900
1999-05-17,10.0,10.0,9.7,9.9,918300
1999-05-20,10.5,11.25,10.25,11.25,706200
1999-05-21,11.0,11.5,11.0,11.5,1294300
1999-05-24,11.75,12.0,11.5,12.0,1315000
1999-05-25,11.75,11.75,11.75,11.75,348200
1999-05-26,11.5,11.75,11.25,11.5,193200
1999-05-27,11.75,11.75,11.5,11.5,1462000
1999-05-28,11.5,11.5,11.5,11.5,503600
1999-05-31,11.5,11.5,11.25,11.25,150800
1999-06-01,11.25,11.25,11.25,11.25,392300
1999-06-03,10.75,11.0,10.75,11.0,92300
1999-06-08,10.75,11.5,10.75,11.5,97300
1999-06-09,11.5,11.5,11.25,11.25,362000
1999-06-10,11.25,11.25,11.25,11.25,120500
1999-06-11,11.5,11.75,11.25,11.5,3538700
1999-06-14,11.5,11.5,11.25,11.25,1243000
1999-06-15,11.5,11.5,11.25,11.25,172000
1999-06-16,11.25,11.25,11.0,11.0,516000
1999-06-17,11.25,11.25,11.25,11.25,993700
1999-06-18,11.5,11.75,11.5,11.5,1074000
1999-06-21,11.75,13.75,11.75,13.25,1823900
1999-06-22,14.0,14.5,13.25,13.5,1658800
1999-06-23,13.75,14.25,13.5,14.25,2523900
1999-06-24,14.25,16.5,14.25,16.0,2248600
1999-06-25,16.0,16.25,14.25,14.5,561400
1999-06-28,14.25,14.25,14.0,14.0,291900
1999-06-29,14.25,14.5,14.25,14.25,245700
1999-06-30,14.5,14.5,14.0,14.25,488400
1999-07-01,13.75,14.25,13.75,14.25,47700
1999-07-02,14.5,15.0,14.5,14.5,583700
1999-07-05,14.5,14.75,13.75,14.0,446700
1999-07-06,14.25,14.5,14.25,14.5,65000
1999-07-07,14.25,14.5,14.25,14.5,113700
1999-07-08,14.5,15.0,14.5,15.0,138000
1999-07-09,15.0,15.0,14.25,14.5,142500
1999-07-12,15.0,15.0,14.25,14.5,519700
1999-07-13,14.5,14.5,14.0,14.0,247700
1999-07-14,14.0,14.0,14.0,14.0,850800
1999-07-15,14.0,14.25,14.0,14.0,430400
1999-07-16,14.0,14.5,14.0,14.25,254500
1999-07-19,14.0,14.0,14.0,14.0,122400
1999-07-20,13.75,14.0,13.75,13.75,267200
1999-07-21,13.75,13.75,13.75,13.75,180000
1999-07-22,13.75,13.75,13.5,13.5,628500
1999-07-23,13.5,13.5,13.25,13.25,661200
1999-07-26,13.0,13.0,12.75,12.75,46000
1999-07-27,12.5,12.5,11.75,11.75,110900
1999-07-28,12.0,12.75,12.0,12.5,194500
1999-07-29,12.75,12.75,12.75,12.75,671000
1999-07-30,12.5,12.5,12.5,12.5,103000
1999-08-02,12.5,12.5,12.5,12.5,435700
1999-08-04,12.25,13.5,12.25,13.5,134000
1999-08-05,13.5,13.5,13.5,13.5,115400
1999-08-06,13.5,13.75,13.25,13.25,56000
1999-08-09,13.0,13.5,13.0,13.5,969000
1999-08-10,13.5,13.75,13.5,13.5,209000
1999-08-11,13.5,14.0,13.5,14.0,311000
1999-08-12,14.0,14.25,14.0,14.0,952000
1999-08-13,14.25,14.25,14.0,14.0,275200
1999-08-16,14.25,14.25,14.0,14.25,1178900
1999-08-17,14.25,14.25,14.0,14.0,917000
1999-08-18,13.75,13.75,12.75,13.0,1069800
1999-08-19,12.75,13.5,12.75,13.25,461000
1999-08-20,13.5,13.75,13.5,13.75,22000
1999-08-23,13.75,13.75,13.75,13.75,15000
1999-08-24,14.0,14.0,13.75,13.75,33000
1999-08-25,13.75,13.75,13.75,13.75,29900
1999-08-26,14.0,14.25,13.75,14.0,207600
1999-08-27,13.75,14.0,13.75,14.0,86100
1999-08-30,14.5,14.5,14.0,14.0,135100
1999-08-31,14.0,14.0,13.75,14.0,1703900
1999-09-01,14.25,14.25,13.75,14.0,941400
1999-09-02,14.0,14.0,14.0,14.0,498000
1999-09-03,14.0,14.25,14.0,14.25,113500
1999-09-06,14.5,15.5,14.5,15.5,498100
1999-09-07,15.5,16.25,15.25,16.25,2850500
1999-09-08,15.75,16.25,15.75,16.25,5304300
1999-09-09,16.0,16.25,15.75,16.0,4855600
1999-09-10,15.75,15.75,15.25,15.5,55000
1999-09-13,15.5,15.5,15.5,15.5,653100
1999-09-14,15.5,15.75,15.5,15.5,178000
1999-09-20,15.0,15.5,15.0,15.25,34000
1999-09-21,15.0,15.0,15.0,15.0,153000
1999-09-22,15.0,15.0,15.0,15.0,9500
1999-09-23,15.25,15.5,15.25,15.5,9900
1999-09-24,15.0,15.5,15.0,15.0,56700
1999-09-27,15.5,15.5,14.5,14.75,540700
1999-09-28,14.75,14.75,14.75,14.75,510000
1999-09-29,15.0,15.0,14.75,15.0,6000
1999-09-30,14.75,14.75,14.5,14.5,21500
1999-10-01,14.75,15.0,14.75,15.0,57100
1999-10-04,15.0,15.0,14.5,14.5,8000
1999-10-05,14.25,14.5,14.25,14.25,120800
1999-10-06,14.0,14.0,14.0,14.0,29500
1999-10-07,13.75,13.75,13.75,13.75,5000
1999-10-08,13.75,13.75,13.75,13.75,100000
1999-10-11,13.25,13.25,13.0,13.0,119000
1999-10-13,13.0,13.0,13.0,13.0,512800
1999-10-14,13.0,13.0,13.0,13.0,6400
1999-10-18,13.0,13.0,13.0,13.0,8000
