date,open,high,low,close,volume
1999-06-28,0.0075,0.0075,0.0075,0.0075,4000000
1999-06-29,0.03,0.037000000000000005,0.03,0.037000000000000005,5400000
1999-06-30,0.039,0.047,0.038,0.045,36600000
1999-07-01,0.048,0.0525,0.045,0.045,60700000
1999-07-02,0.045,0.048,0.045,0.047,14600000
1999-07-05,0.047,0.047,0.04,0.04,10700000
1999-07-06,0.04,0.043,0.04,0.043,1500000
1999-07-07,0.045,0.045,0.045,0.045,2500000
1999-07-08,0.045,0.047,0.045,0.047,11400000
1999-07-09,0.047,0.05,0.046,0.047,14000000
1999-07-12,0.044000000000000004,0.044000000000000004,0.044000000000000004,0.044000000000000004,800000
1999-07-13,0.044000000000000004,0.044000000000000004,0.044000000000000004,0.044000000000000004,3600000
1999-07-14,0.043,0.043,0.043,0.043,4200000
1999-07-15,0.043,0.043,0.043,0.043,2900000
1999-07-16,0.042,0.042,0.042,0.042,100000
1999-07-19,0.042,0.042,0.040999999999999995,0.040999999999999995,1300000
1999-07-20,0.039,0.039,0.037000000000000005,0.037000000000000005,3900000
1999-07-21,0.037000000000000005,0.037000000000000005,0.036000000000000004,0.037000000000000005,4200000
1999-07-22,0.034,0.034,0.033,0.034,4800000
1999-07-23,0.033,0.034,0.033,0.033,4300000
1999-07-27,0.033,0.033,0.033,0.033,1000000
1999-07-29,0.033,0.035,0.033,0.034,11700000
1999-07-30,0.033,0.038,0.033,0.037000000000000005,7500000
1999-08-02,0.038,0.04,0.038,0.04,1500000
1999-08-04,0.042,0.048,0.042,0.042,7200000
1999-08-05,0.045,0.0625,0.044000000000000004,0.045,148800000
1999-08-06,0.046,0.046,0.04,0.04,20100000
1999-08-09,0.038,0.04,0.038,0.04,5300000
1999-08-10,0.04,0.04,0.04,0.04,8300000
1999-08-11,0.04,0.044000000000000004,0.038,0.038,6300000
1999-08-12,0.04,0.04,0.039,0.039,2400000
1999-08-13,0.04,0.04,0.04,0.04,800000
1999-08-16,0.04,0.04,0.04,0.04,2000000
1999-08-17,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,1000000
1999-08-18,0.035,0.036000000000000004,0.035,0.036000000000000004,6100000
1999-08-20,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,4500000
1999-08-24,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,1000000
1999-08-25,0.036000000000000004,0.04,0.036000000000000004,0.04,1500000
1999-08-26,0.039,0.047,0.039,0.042,32000000
1999-08-27,0.045,0.045,0.04,0.04,11200000
1999-08-31,0.038,0.038,0.038,0.038,3800000
1999-09-01,0.039,0.039,0.038,0.039,4500000
1999-09-02,0.042,0.042,0.038,0.038,600000
1999-09-03,0.04,0.04,0.04,0.04,500000
1999-09-06,0.04,0.044000000000000004,0.04,0.044000000000000004,26500000
1999-09-07,0.044000000000000004,0.0525,0.044000000000000004,0.0525,106300000
1999-09-08,0.0575,0.0575,0.047,0.048,29600000
1999-09-09,0.049,0.06,0.049,0.0575,106000000
1999-09-10,0.06,0.065,0.0525,0.0525,106800000
1999-09-13,0.05,0.0525,0.05,0.0525,6000000
1999-09-14,0.0525,0.0525,0.0525,0.0525,7100000
1999-09-17,0.0525,0.0525,0.05,0.05,13500000
1999-09-20,0.049,0.049,0.048,0.049,17200000
1999-09-21,0.05,0.05,0.048,0.049,12500000
1999-09-22,0.049,0.055,0.049,0.055,19600000
1999-09-23,0.055,0.055,0.0525,0.0525,17200000
1999-09-24,0.05,0.05,0.05,0.05,10800000
1999-09-27,0.049,0.049,0.048,0.049,9800000
1999-09-28,0.05,0.05,0.05,0.05,2400000
1999-09-29,0.055,0.055,0.05,0.05,15300000
1999-09-30,0.05,0.05,0.049,0.049,6700000
1999-10-01,0.05,0.05,0.05,0.05,16700000
1999-10-04,0.049,0.06,0.049,0.055,51600000
1999-10-05,0.06,0.06,0.049,0.05,32300000
1999-10-06,0.0525,0.0525,0.05,0.05,15200000
1999-10-07,0.05,0.05,0.049,0.05,10500000
1999-10-08,0.05,0.05,0.048,0.048,11200000
1999-10-11,0.048,0.049,0.048,0.049,1600000
1999-10-12,0.048,0.048,0.047,0.048,8700000
1999-10-13,0.043,0.05,0.043,0.05,1500000
1999-10-14,0.045,0.049,0.045,0.047,14400000
1999-10-15,0.043,0.044000000000000004,0.043,0.043,2700000
1999-10-18,0.043,0.043,0.042,0.042,1600000
1999-10-19,0.045,0.045,0.045,0.045,2000000
1999-10-21,0.042,0.044000000000000004,0.042,0.044000000000000004,1000000
1999-10-22,0.042,0.042,0.042,0.042,1000000
1999-10-25,0.04,0.04,0.04,0.04,6000000
1999-10-26,0.04,0.04,0.038,0.038,2600000
1999-10-27,0.04,0.043,0.04,0.043,1500000
1999-11-03,0.04,0.04,0.04,0.04,200000
1999-11-04,0.04,0.04,0.04,0.04,3000000
1999-11-09,0.04,0.04,0.04,0.04,3000000
1999-11-10,0.04,0.04,0.04,0.04,1100000
1999-11-11,0.04,0.04,0.04,0.04,1400000
1999-11-12,0.04,0.04,0.04,0.04,1600000
1999-11-15,0.04,0.04,0.04,0.04,400000
1999-11-16,0.04,0.04,0.04,0.04,400000
1999-11-18,0.04,0.047,0.04,0.044000000000000004,8500000
1999-11-19,0.045,0.047,0.045,0.045,1800000
1999-11-22,0.045,0.055,0.045,0.05,25500000
1999-11-23,0.0525,0.0525,0.048,0.048,4100000
1999-11-24,0.05,0.05,0.05,0.05,3700000
1999-11-25,0.05,0.0525,0.05,0.05,11800000
1999-11-26,0.0525,0.0575,0.0525,0.0525,33100000
1999-11-29,0.05,0.0525,0.05,0.0525,4000000
1999-12-01,0.05,0.05,0.048,0.049,5100000
1999-12-02,0.045,0.045,0.045,0.045,2000000
1999-12-03,0.049,0.049,0.049,0.049,8000000
1999-12-06,0.05,0.0525,0.05,0.05,6400000
1999-12-08,0.05,0.05,0.047,0.047,4700000
1999-12-09,0.04,0.04,0.04,0.04,5200000
1999-12-15,0.039,0.039,0.039,0.039,200000
1999-12-16,0.04,0.04,0.04,0.04,9200000
1999-12-17,0.04,0.04,0.04,0.04,100000
1999-12-20,0.04,0.04,0.04,0.04,300000
1999-12-21,0.039,0.039,0.039,0.039,1200000
1999-12-22,0.039,0.039,0.039,0.039,1800000
