date,open,high,low,close,volume
1999-02-04,16.0,16.25,16.0,16.0,90100
1999-02-05,16.0,16.0,16.0,16.0,23700
1999-02-08,16.0,16.0,16.0,16.0,23700
1999-02-09,16.0,16.0,16.0,16.0,23700
1999-02-10,16.0,16.0,16.0,16.0,23700
1999-02-11,16.0,16.0,16.0,16.0,23700
1999-02-12,15.75,16.0,15.75,16.0,14100
1999-02-15,16.0,16.0,15.75,15.75,17700
1999-02-16,15.75,15.75,15.75,15.75,9100
1999-02-17,15.75,15.75,15.75,15.75,1100
1999-02-18,15.75,15.75,15.75,15.75,3300
1999-02-19,16.0,16.0,16.0,16.0,76500
1999-02-22,16.0,16.0,16.0,16.0,15000
1999-02-23,16.0,16.0,15.75,16.0,73500
1999-02-24,16.0,16.0,16.0,16.0,30000
1999-02-25,16.0,16.25,15.75,15.75,132600
1999-02-26,15.75,15.75,15.75,15.75,11200
1999-03-01,15.75,15.75,15.75,15.75,56000
1999-03-02,15.75,15.75,15.75,15.75,12100
1999-03-03,15.75,15.75,15.75,15.75,78000
1999-03-04,15.75,15.75,15.75,15.75,66800
1999-03-05,15.75,16.0,15.75,16.0,424900
1999-03-08,16.0,16.0,16.0,16.0,59800
1999-03-09,16.0,16.0,15.75,15.75,4000
1999-03-10,15.5,15.75,15.5,15.75,37300
1999-03-11,15.75,15.75,15.75,15.75,63600
1999-03-12,15.75,16.0,15.75,16.0,62000
1999-03-15,15.75,16.0,15.75,16.0,31300
1999-03-16,16.0,16.0,15.75,16.0,145100
1999-03-17,16.0,16.0,16.0,16.0,100600
1999-03-18,16.0,16.5,16.0,16.5,198600
1999-03-19,16.5,16.5,16.5,16.5,98700
1999-03-22,16.5,16.5,16.5,16.5,28200
1999-03-23,16.5,16.5,16.5,16.5,82900
1999-03-24,16.5,16.5,16.25,16.5,15600
1999-03-25,16.5,16.5,16.25,16.25,110000
1999-03-26,16.5,16.5,16.5,16.5,32200
1999-03-29,16.25,16.75,16.25,16.75,43000
1999-03-30,16.5,16.75,16.5,16.75,2700
1999-03-31,16.5,16.75,16.5,16.75,158500
1999-04-05,16.75,17.75,16.75,17.75,488900
1999-04-06,17.5,18.0,17.5,17.75,182800
1999-04-07,17.75,18.0,17.75,18.0,195900
1999-04-08,18.0,18.0,18.0,18.0,77300
1999-04-12,18.0,18.5,18.0,18.0,263300
