date,open,high,low,close,volume
1999-02-04,3.3,3.35,3.3,3.3,76000
1999-02-05,3.4,3.4,3.3,3.4,255000
1999-02-08,3.4,3.4,3.3,3.4,255000
1999-02-09,3.4,3.4,3.3,3.4,255000
1999-02-10,3.4,3.4,3.3,3.4,255000
1999-02-11,3.4,3.4,3.3,3.4,255000
1999-02-12,3.1,3.2,3.05,3.15,1247000
1999-02-15,3.1,3.1,3.1,3.1,685000
1999-02-16,3.05,3.15,3.05,3.05,233000
1999-02-17,3.1,3.1,3.05,3.1,2415000
1999-02-18,3.1,3.1,3.05,3.1,433000
1999-02-19,3.0,3.0,2.85,2.85,1180000
1999-02-22,2.85,2.85,2.8,2.8,397000
1999-02-23,2.8,2.85,2.8,2.8,7262000
1999-02-24,2.8,2.85,2.8,2.8,2429000
1999-02-25,2.8,2.8,2.8,2.8,257000
1999-02-26,2.85,3.0,2.85,3.0,40000
1999-03-02,2.85,2.85,2.55,2.8,3099000
1999-03-03,2.8,2.95,2.8,2.9,306000
1999-03-04,2.95,3.05,2.95,3.0,308000
1999-03-05,3.05,3.15,3.05,3.15,150000
1999-03-08,3.1,3.1,3.1,3.1,174000
1999-03-09,3.1,3.15,3.1,3.15,756000
1999-03-10,3.1,3.1,3.1,3.1,2398000
1999-03-11,3.05,3.1,3.05,3.1,571000
1999-03-12,3.1,3.1,3.0,3.1,171000
1999-03-15,3.1,3.1,3.1,3.1,1675000
1999-03-16,3.1,3.1,3.1,3.1,204000
1999-03-17,3.0,3.1,3.0,3.1,37000
1999-03-18,3.1,3.1,3.1,3.1,9460000
1999-03-19,3.1,3.1,3.1,3.1,457000
1999-03-22,3.1,3.1,3.0,3.05,13113000
1999-03-23,3.15,3.25,3.15,3.25,382000
1999-03-24,3.25,3.25,3.1,3.15,241000
1999-03-25,3.1,3.15,3.1,3.1,891000
1999-03-26,3.2,3.45,3.2,3.4,742000
1999-03-29,3.3,3.35,3.25,3.35,377000
1999-03-30,3.3,3.35,3.3,3.35,230000
1999-03-31,3.4,3.55,3.4,3.5,368000
1999-04-05,3.5,3.5,3.4,3.4,120000
1999-04-06,3.45,3.45,3.4,3.4,52000
1999-04-07,3.45,3.6,3.45,3.55,1277000
1999-04-08,3.55,3.65,3.55,3.55,1614000
1999-04-12,3.6,3.65,3.5,3.6,1199000
1999-04-13,3.65,3.65,3.6,3.65,1704000
1999-04-14,3.7,3.8,3.7,3.7,2784000
1999-04-15,3.8,4.05,3.8,3.9,4188000
1999-04-16,3.95,3.95,3.9,3.9,452000
1999-04-19,4.0,4.15,4.0,4.05,2851000
1999-04-20,4.0,4.0,3.9,3.9,2248000
1999-04-21,3.85,3.85,3.8,3.8,366000
1999-04-22,3.85,3.9,3.85,3.85,399000
1999-04-23,4.05,4.3,4.05,4.05,4561000
1999-04-26,4.2,4.2,4.05,4.1,6987000
1999-04-27,4.2,4.3,4.2,4.3,3514000
1999-04-28,4.5,4.8,4.5,4.55,8154000
1999-04-29,4.65,4.65,4.35,4.45,2684000
1999-04-30,4.5,4.5,4.35,4.35,1133000
1999-05-03,4.35,4.45,4.3,4.3,2587000
1999-05-04,4.4,4.4,4.35,4.4,1517000
1999-05-05,4.4,4.4,4.35,4.35,1236000
1999-05-06,4.35,4.45,4.3,4.45,2771000
1999-05-07,4.45,4.45,4.35,4.35,818000
1999-05-10,4.45,4.9,4.45,4.6,5927000
1999-05-11,4.6,4.75,4.6,4.7,1857000
1999-05-12,4.9,5.3,4.85,5.2,8998000
1999-05-13,5.5,5.5,4.85,4.85,5685000
1999-05-14,4.95,4.95,4.6,4.75,3630000
1999-05-17,4.6,4.6,4.35,4.4,1241000
1999-05-18,4.5,4.6,4.45,4.45,3198000
1999-05-19,4.55,4.6,4.3,4.3,1568000
1999-05-20,4.3,4.3,3.95,4.3,2047000
1999-05-21,4.2,4.3,4.1,4.1,1433000
1999-05-24,4.2,4.4,4.2,4.35,550000
1999-05-25,4.3,4.3,4.2,4.2,198000
1999-05-26,3.95,4.25,3.95,4.15,614000
1999-05-27,4.15,4.2,4.15,4.2,1081000
1999-05-28,4.2,4.2,4.15,4.15,655000
1999-05-31,4.15,4.25,4.15,4.2,545000
1999-06-01,4.2,4.2,4.15,4.2,316000
1999-06-02,4.25,4.35,4.25,4.35,825000
1999-06-03,4.45,4.45,4.2,4.2,878000
1999-06-04,4.2,4.2,4.15,4.15,1679000
1999-06-07,4.2,4.25,4.15,4.2,1593000
1999-06-08,4.35,4.45,4.2,4.45,1302000
