date,open,high,low,close,volume
2002-06-17,1.28,1.28,1.28,1.28,10000
2002-06-18,1.22,1.22,1.22,1.22,50000
2002-07-01,0.74,0.74,0.74,0.74,10000
2002-07-02,0.88,0.88,0.88,0.88,20000
2002-07-03,0.87,0.87,0.87,0.87,10000
2002-07-08,0.87,1.1,0.87,1.1,20000
2002-07-09,1.12,1.2,1.12,1.2,20000
2002-09-09,1.02,1.02,1.02,1.02,880000
2002-09-10,1.02,1.02,1.02,1.02,167000
2002-09-11,1.0,1.02,1.0,1.02,110000
2003-05-26,1.2,1.2,1.2,1.2,30000
2003-07-17,1.2,1.2,1.2,1.2,10000
2003-09-24,1.2,1.2,1.2,1.2,20000
2004-01-08,0.9,1.1,0.9,1.1,40000
2004-06-21,1.1,1.1,1.1,1.1,50000
2004-07-28,1.2,1.2,1.2,1.2,1000
2004-10-05,0.9,1.1,0.9,1.1,172000
2004-10-08,1.1,1.1,1.1,1.1,10000
2005-10-14,0.66,0.66,0.66,0.66,1000
2006-07-17,0.99,0.99,0.99,0.99,10000
2006-07-19,1.04,1.04,1.04,1.04,10000
2006-08-16,1.0,1.0,1.0,1.0,9000
2006-09-01,0.63,0.63,0.63,0.63,100000
2007-02-26,0.61,0.61,0.61,0.61,10000
2007-03-02,0.9,0.9,0.9,0.9,40000
2007-03-05,1.08,1.08,1.08,1.08,40000
2007-03-16,1.58,1.6,1.58,1.6,168000
2007-03-19,1.02,1.02,1.02,1.02,2000
2007-03-22,1.02,1.02,1.02,1.02,126000
2007-04-02,1.5,1.5,1.5,1.5,128000
2007-04-30,1.7,2.0,1.7,2.0,170000
2007-05-02,2.0,2.0,2.0,2.0,31000
2007-05-25,2.7,2.7,2.7,2.7,1000
2007-06-06,2.65,2.65,2.65,2.65,11000
2007-06-15,2.65,2.65,2.65,2.65,1000
2007-07-13,2.12,2.65,2.12,2.65,40000
2007-07-17,2.12,3.95,2.1,3.95,11426000
2007-07-18,4.6,5.9,4.6,4.9,9041000
2007-07-19,5.1,5.1,4.0,4.1,609000
2007-07-20,4.35,4.75,4.0,4.3,3811000
2007-07-23,4.25,4.35,3.65,3.65,1315000
2007-07-24,3.85,4.0,3.65,3.75,1944000
2007-07-25,3.75,3.75,3.4,3.4,161000
2007-07-26,3.6,3.65,3.4,3.4,391000
2007-07-27,3.3,3.3,3.0,3.0,228000
2007-07-30,3.0,3.0,2.5,2.6,15000
2007-07-31,3.0,3.0,2.2,2.3,364000
2007-08-01,2.3,3.0,2.2,2.3,209000
2007-08-02,2.0,2.0,1.9,2.0,53000
2007-08-03,2.0,2.0,1.76,1.76,75000
2007-08-06,1.58,1.74,1.5,1.74,56000
2007-08-07,2.0,2.0,1.74,1.88,902000
2007-08-08,2.16,2.6,1.96,2.0,6211000
2007-08-09,2.1,2.22,1.88,1.9,1867000
2007-08-10,1.88,2.0,1.86,1.98,346000
2007-08-13,1.98,2.02,1.8,1.8,62000
2007-08-14,1.74,1.74,1.6,1.6,54000
2007-08-15,1.6,1.68,1.5,1.52,1487000
2007-08-21,1.52,1.74,1.5,1.5,452000
2007-08-22,1.54,1.66,1.5,1.5,34000
2007-08-23,1.8,1.88,1.6,1.76,1654000
2007-08-24,1.62,1.62,1.62,1.62,40000
2007-08-28,1.62,1.64,1.62,1.64,109000
2007-08-29,1.6,1.64,1.6,1.62,147000
2007-08-30,1.7,1.72,1.7,1.72,150000
2007-08-31,1.72,1.76,1.7,1.7,266000
2007-09-03,1.7,1.7,1.7,1.7,130000
2007-09-04,1.62,1.62,1.62,1.62,20000
2007-09-05,1.62,1.72,1.62,1.72,2000
2007-09-06,1.8,1.84,1.8,1.84,12000
2007-09-07,1.72,1.9,1.72,1.74,510000
2007-09-10,1.74,1.74,1.64,1.64,21000
2007-09-11,1.66,1.84,1.66,1.72,718000
2007-09-12,1.74,1.78,1.74,1.74,307000
2007-09-17,1.62,1.62,1.62,1.62,50000
2007-09-18,1.66,1.74,1.66,1.68,384000
2007-09-19,1.76,1.76,1.68,1.7,156000
2007-09-20,1.66,1.7,1.66,1.7,190000
2007-09-21,1.68,1.68,1.68,1.68,79000
2007-09-24,1.66,1.8,1.66,1.78,433000
2007-09-25,1.76,1.86,1.76,1.84,615000
2007-09-26,1.84,1.86,1.8,1.8,190000
2007-09-27,1.84,2.04,1.8,1.94,1310000
2007-09-28,1.9,1.92,1.84,1.9,150000
2007-10-01,1.82,1.9,1.8,1.9,455000
2007-10-02,1.86,1.92,1.86,1.88,262000
2007-10-03,1.78,1.82,1.78,1.82,150000
2007-10-04,1.78,1.84,1.78,1.82,260000
2007-10-05,1.82,1.82,1.78,1.78,65000
2007-10-08,1.8,1.86,1.8,1.8,570000
2007-10-09,1.82,1.92,1.82,1.86,596000
2007-10-10,1.9,2.14,1.88,2.08,2060000
2007-10-11,2.16,2.32,2.1,2.28,1219000
2007-10-15,2.28,2.28,2.06,2.1,225000
2007-10-16,2.12,2.12,1.98,1.98,175000
2007-10-17,2.0,2.0,1.9,1.9,139000
2007-10-18,1.92,2.02,1.92,1.92,95000
2007-10-22,1.8,1.8,1.74,1.74,422000
2007-10-23,1.78,1.8,1.76,1.8,179000
2007-10-24,1.8,1.82,1.8,1.82,29000
2007-10-25,1.82,1.82,1.82,1.82,20000
2007-11-06,1.8,1.8,1.8,1.8,55000
2007-11-07,1.8,1.8,1.8,1.8,10000
2007-11-08,1.76,1.76,1.76,1.76,4000
2007-11-09,1.06,1.06,1.06,1.06,1000
2007-11-12,1.58,1.58,1.58,1.58,2000
2007-11-15,1.7,1.7,1.58,1.6,62000
2007-11-16,1.82,1.82,1.8,1.8,9000
2007-11-20,1.5,1.54,1.5,1.54,21000
2007-11-21,1.8,1.8,1.8,1.8,10000
2007-11-22,1.52,1.66,1.52,1.66,42000
2007-11-23,1.78,1.78,1.74,1.76,34000
2007-11-27,1.7,1.7,1.7,1.7,20000
2007-11-29,1.58,1.58,1.58,1.58,1000
2007-12-11,1.62,1.62,1.62,1.62,7000
2007-12-12,1.78,1.78,1.78,1.78,1000
2007-12-14,1.66,1.66,1.66,1.66,8000
2007-12-18,1.66,1.66,1.66,1.66,50000
2007-12-20,1.66,1.66,1.66,1.66,34000
2007-12-21,1.66,1.66,1.6,1.6,210000
2007-12-27,1.8,1.8,1.8,1.8,1000
2008-01-04,1.88,1.88,1.62,1.62,31000
2008-01-11,1.8,1.8,1.8,1.8,2000
2008-01-16,1.5,1.5,1.5,1.5,50000
2008-01-17,1.5,1.5,1.44,1.44,131000
2008-01-18,1.4,1.4,1.4,1.4,10000
2008-01-24,1.4,1.4,1.4,1.4,10000
2008-01-28,1.4,1.4,1.4,1.4,30000
2008-01-31,1.02,1.02,1.02,1.02,1000
2008-02-13,1.3,1.3,1.3,1.3,1000
2008-02-15,1.48,1.48,1.48,1.48,1000
2008-02-27,1.42,1.42,1.42,1.42,20000
2008-03-05,1.38,1.38,1.38,1.38,10000
2008-03-07,1.6,1.6,1.6,1.6,5000
2008-03-10,1.5,1.5,1.5,1.5,27000
2008-04-10,1.2,1.3,1.2,1.3,65000
2008-04-11,1.3,1.36,1.3,1.36,15000
2008-04-17,1.3,1.36,1.3,1.36,80000
2008-04-24,1.36,1.36,1.36,1.36,50000
2008-04-25,1.12,1.12,1.12,1.12,27000
2008-04-28,1.12,1.12,1.12,1.12,51000
2008-04-29,1.2,1.2,1.1,1.1,10000
2008-05-09,1.3,1.3,1.3,1.3,62000
2008-05-16,1.26,1.26,1.2,1.2,20000
2008-05-19,1.3,1.3,1.3,1.3,1000
2008-05-20,1.2,1.3,1.2,1.3,88000
2008-05-28,1.24,1.3,1.24,1.3,60000
2008-06-04,1.3,1.3,1.3,1.3,30000
2008-06-05,1.24,1.36,1.24,1.36,91000
2008-06-10,1.3,1.4,1.3,1.4,110000
2008-06-12,1.4,1.4,1.4,1.4,100000
2008-06-13,1.38,1.38,1.38,1.38,5000
2008-06-17,1.34,1.4,1.34,1.4,90000
2008-06-18,1.3,1.36,1.3,1.36,433000
2008-06-19,1.24,1.24,1.24,1.24,5000
2008-06-20,1.24,1.34,1.24,1.24,334000
2008-06-23,1.34,1.34,1.34,1.34,45000
2008-06-24,1.24,1.34,1.24,1.32,54000
2008-06-27,1.22,1.36,1.22,1.26,408000
2008-07-01,1.26,1.36,1.26,1.36,463000
2008-07-03,1.36,1.5,1.3,1.3,281000
2008-07-04,1.36,1.36,1.34,1.34,10000
2008-07-16,1.32,1.38,1.28,1.38,259000
2008-07-21,1.26,1.26,1.26,1.26,2000
2008-07-24,1.26,1.26,1.26,1.26,1000
2008-07-25,1.26,1.4,1.26,1.4,97000
2008-07-30,1.4,1.5,1.4,1.5,116000
2008-07-31,1.5,1.6,1.5,1.5,118000
2008-08-12,1.5,1.58,1.5,1.58,42000
2008-08-13,1.68,1.68,1.68,1.68,1000
2008-08-21,1.5,1.5,1.5,1.5,1000
2008-08-26,1.58,1.58,1.58,1.58,1000
2008-09-05,1.1,1.1,1.1,1.1,1000
2008-09-08,1.3,1.3,1.3,1.3,1000
2008-09-10,1.1,1.12,1.1,1.12,2000
2008-09-11,1.12,1.12,1.1,1.1,10000
2008-09-18,1.12,1.12,1.12,1.12,2000
2008-10-09,0.8,1.0,0.8,1.0,8000
2008-10-15,1.0,1.0,1.0,1.0,10000
2008-12-11,1.0,1.04,1.0,1.0,31460000
2009-01-08,1.0,1.0,1.0,1.0,50000
2009-02-19,0.9,1.0,0.9,1.0,60000
2009-02-23,0.88,1.0,0.88,1.0,100000
2009-05-12,0.9,1.0,0.9,1.0,40000
2009-05-25,1.2,1.2,1.2,1.2,10000
2009-05-26,1.1,1.2,1.1,1.2,11000
2009-06-01,1.3,1.3,1.3,1.3,14000
2009-06-02,1.3,1.3,1.3,1.3,40000
2009-06-03,1.3,1.3,1.3,1.3,5000
2009-06-04,1.3,1.3,1.3,1.3,10000
2009-06-09,1.3,1.3,1.3,1.3,1000
2009-06-10,1.5,1.5,1.5,1.5,1000
2009-06-11,1.3,1.4,1.3,1.4,30000
2009-06-15,1.3,1.3,1.2,1.3,479000
2009-06-16,1.3,1.38,1.3,1.38,30000
2009-06-17,1.22,1.22,1.22,1.22,42000
2009-06-19,1.22,1.22,1.2,1.2,85000
2009-07-15,1.2,1.2,1.2,1.2,22000
2009-07-20,1.4,1.4,1.4,1.4,1000
2009-07-22,1.4,1.4,1.4,1.4,5000
2009-07-23,1.26,1.28,1.26,1.28,323000
2009-07-24,1.28,1.4,1.28,1.4,266000
2009-08-04,1.48,2.1,1.48,1.5,29000
2009-08-06,2.0,2.0,1.5,1.5,16000
2009-08-07,1.54,1.54,1.54,1.54,258000
2009-08-10,1.6,1.6,1.6,1.6,214000
2009-08-11,1.6,1.6,1.6,1.6,3000
2009-08-12,1.62,1.8,1.62,1.8,20000
2009-08-17,1.6,1.6,1.6,1.6,243000
2009-08-18,1.8,1.8,1.8,1.8,242000
2009-08-19,1.8,2.18,1.8,1.9,513000
2009-08-20,1.98,2.08,1.98,2.08,35000
2009-08-24,2.06,2.06,2.02,2.02,3000
2009-08-26,2.0,2.0,2.0,2.0,1000
2009-09-04,1.5,1.5,1.5,1.5,15000
2009-09-11,1.56,1.56,1.56,1.56,1000
2009-09-14,2.24,2.24,2.24,2.24,1000
2009-09-15,1.5,1.5,1.5,1.5,3000
2009-10-01,1.5,1.5,1.5,1.5,1000
2009-10-05,1.5,1.5,1.5,1.5,2000
2009-10-09,1.4,1.7,1.4,1.7,34000
2009-10-12,1.7,1.9,1.7,1.9,18000
2009-10-14,1.42,1.42,1.42,1.42,2000
2009-10-16,1.78,1.78,1.78,1.78,3000
2009-10-23,1.5,1.5,1.5,1.5,18000
2009-10-27,1.5,1.5,1.5,1.5,20000
2009-10-28,1.76,1.76,1.76,1.76,1000
2009-10-29,1.52,1.52,1.52,1.52,7000
2009-10-30,1.56,1.56,1.52,1.52,5000
2009-11-05,1.86,1.98,1.86,1.98,146000
2009-11-11,1.6,1.6,1.6,1.6,7000
2009-11-12,1.94,1.94,1.94,1.94,1000
2009-11-17,1.84,1.84,1.84,1.84,4000
2009-11-19,1.92,1.92,1.9,1.9,86000
2009-11-20,2.0,2.1,1.9,2.1,305000
2009-11-23,2.12,2.85,2.12,2.46,1110000
2009-11-24,2.75,2.75,2.46,2.46,342000
2009-11-25,2.46,2.5,2.46,2.5,215000
2009-11-26,2.5,2.5,2.5,2.5,103000
2009-11-27,2.5,2.5,2.5,2.5,23000
2009-12-01,3.0,3.25,2.8,3.0,722000
2009-12-02,3.15,3.15,3.0,3.0,788000
2009-12-03,3.0,3.0,2.55,2.8,42000
2009-12-04,2.8,2.95,2.3,2.8,231000
2009-12-07,3.1,3.1,2.8,2.85,147000
2009-12-08,2.9,2.9,2.8,2.9,226000
2009-12-09,2.9,4.25,2.9,3.8,52154000
2009-12-10,3.05,3.45,2.5,2.6,2071000
