date,open,high,low,close,volume
1999-02-04,0.75,0.75,0.75,0.75,10000
1999-02-12,0.76,0.76,0.76,0.76,10000
1999-02-19,0.61,0.72,0.61,0.7,620000
1999-02-22,0.65,0.65,0.65,0.65,10000
1999-02-24,0.6,0.6,0.6,0.6,140000
1999-02-25,0.65,0.65,0.63,0.63,70000
1999-03-02,0.62,0.62,0.61,0.61,60000
1999-03-03,0.61,0.7,0.61,0.7,80000
1999-03-04,0.61,0.69,0.61,0.69,70000
1999-03-05,0.69,0.69,0.69,0.69,20000
1999-03-10,0.62,0.62,0.62,0.62,10000
1999-03-15,0.62,0.62,0.62,0.62,30000
1999-04-13,0.67,0.67,0.67,0.67,40000
1999-05-13,0.67,0.67,0.67,0.67,40000
1999-05-14,0.92,0.98,0.92,0.98,40000
1999-05-17,0.98,1.0,0.98,1.0,60000
1999-05-19,0.85,0.91,0.81,0.91,880000
1999-05-20,0.85,0.95,0.82,0.94,580000
1999-05-21,0.82,0.93,0.82,0.82,750000
1999-05-24,0.82,0.82,0.75,0.75,150000
1999-05-25,0.78,0.8,0.78,0.8,630000
1999-05-27,0.76,0.8,0.7,0.78,190000
1999-05-28,0.75,0.8,0.75,0.79,430000
1999-05-31,0.68,0.79,0.68,0.79,260000
1999-06-01,0.71,0.77,0.71,0.77,30000
1999-06-09,0.79,0.79,0.79,0.79,100000
1999-06-24,0.8,0.8,0.7,0.7,100000
1999-07-02,0.7,0.7,0.7,0.7,60000
1999-07-05,0.75,0.75,0.75,0.75,10000
1999-07-23,1.0,1.0,1.0,1.0,80000
1999-07-26,0.7,0.95,0.7,0.95,110000
1999-07-27,0.65,0.85,0.65,0.85,30000
1999-07-28,0.65,0.84,0.65,0.65,160000
1999-07-29,0.84,0.9,0.7,0.9,370000
1999-07-30,0.72,0.84,0.72,0.75,90000
1999-08-04,0.71,0.83,0.71,0.83,90000
1999-08-05,0.75,0.87,0.75,0.87,120000
1999-08-06,0.7,0.8,0.7,0.8,40000
1999-08-11,0.79,0.8,0.78,0.8,100000
1999-08-16,0.79,0.8,0.71,0.71,240000
1999-08-17,0.78,0.8,0.78,0.8,120000
1999-08-19,0.71,0.8,0.71,0.8,160000
1999-08-20,0.8,0.83,0.73,0.83,280000
1999-08-27,0.8,0.82,0.8,0.82,80000
1999-09-08,0.82,0.82,0.75,0.75,70000
1999-09-14,0.7,0.79,0.7,0.79,60000
1999-09-17,0.8,0.85,0.8,0.85,290000
1999-09-22,0.71,0.85,0.71,0.85,270000
1999-09-23,0.85,0.85,0.85,0.85,220000
1999-09-24,0.85,0.85,0.85,0.85,120000
1999-10-01,0.85,0.85,0.85,0.85,120000
1999-10-07,0.78,0.9,0.76,0.76,120000
1999-10-08,0.89,0.9,0.89,0.9,100000
1999-10-12,0.73,0.9,0.73,0.9,110000
1999-10-13,0.75,0.94,0.75,0.94,170000
1999-10-14,0.78,0.94,0.78,0.94,180000
1999-10-25,0.92,0.98,0.92,0.98,310000
1999-10-27,0.95,0.95,0.95,0.95,10000
1999-11-04,0.75,0.94,0.75,0.94,140000
1999-11-22,0.8,0.8,0.8,0.8,10000
1999-12-03,0.8,0.8,0.8,0.8,100000
1999-12-17,0.7,0.85,0.7,0.85,20000
2000-01-26,0.73,0.9,0.73,0.9,130000
2000-02-03,0.78,0.89,0.78,0.89,540000
2000-02-07,0.9,1.0,0.9,1.0,830000
2000-02-08,1.04,1.04,1.04,1.04,20000
2000-02-09,1.02,1.02,1.0,1.02,14000
2000-02-10,1.0,1.0,1.0,1.0,59000
2000-02-15,1.0,1.0,1.0,1.0,120000
2000-02-17,1.0,1.0,1.0,1.0,60000
2000-02-22,1.0,1.0,1.0,1.0,100000
2000-02-29,1.0,1.0,1.0,1.0,180000
2000-03-03,1.0,1.0,1.0,1.0,100000
2000-03-06,1.0,1.0,1.0,1.0,170000
2000-03-07,1.0,1.0,1.0,1.0,100000
2000-03-23,0.81,1.0,0.81,1.0,80000
2000-04-04,0.9,1.0,0.9,1.0,90000
2000-05-04,0.86,1.0,0.85,1.0,250000
2000-06-23,0.95,0.95,0.95,0.95,20000
2000-06-29,0.9,0.9,0.9,0.9,50000
2000-06-30,0.85,0.95,0.85,0.95,50000
2000-07-03,1.0,1.1,1.0,1.1,170000
2000-07-04,1.2,1.64,1.2,1.64,208000
2000-07-05,2.0,2.2,1.94,1.94,109000
2000-07-11,1.8,1.8,1.8,1.8,10000
2000-07-12,1.7,1.7,1.7,1.7,20000
2000-07-13,1.7,1.76,1.62,1.62,128000
2000-07-14,1.6,1.62,1.6,1.62,75000
2000-07-19,1.3,1.32,1.3,1.32,215000
2000-07-21,1.2,1.22,1.2,1.22,290000
2000-07-25,1.18,1.22,1.18,1.2,783000
2000-07-26,1.16,1.16,1.14,1.14,70000
2000-07-27,1.1,1.1,1.1,1.1,5000
2000-07-28,1.04,1.08,1.02,1.02,117000
2000-07-31,1.02,1.02,1.02,1.02,51000
2000-08-09,1.2,1.2,1.2,1.2,20000
2000-08-30,1.08,1.08,1.08,1.08,101000
2000-08-31,1.08,1.08,1.08,1.08,20000
2000-09-06,1.1,1.1,1.1,1.1,10000
2000-09-14,1.06,1.06,1.06,1.06,70000
2000-09-21,1.04,1.04,1.04,1.04,61000
2000-09-22,1.04,1.04,1.04,1.04,15000
2000-10-04,0.95,1.0,0.95,1.0,12000
2000-10-12,0.8,0.8,0.8,0.8,50000
2000-11-17,1.0,1.0,0.89,0.89,40000
2000-11-21,0.89,1.0,0.89,0.92,110000
2000-12-06,0.98,0.98,0.98,0.98,50000
2000-12-07,0.95,1.0,0.95,1.0,90000
2000-12-18,0.98,0.98,0.98,0.98,10000
2000-12-21,1.0,1.0,1.0,1.0,50000
2001-01-12,1.16,1.16,1.16,1.16,20000
2001-01-15,1.74,1.74,1.74,1.74,26000
2001-01-19,1.7,1.7,1.7,1.7,20000
2001-02-23,1.7,1.7,1.7,1.7,888000
2001-03-09,1.2,1.2,1.2,1.2,50000
2001-03-14,1.08,1.08,1.06,1.06,70000
2001-03-20,0.93,0.93,0.89,0.89,80000
2001-07-25,0.8,0.8,0.8,0.8,1100000
2002-01-28,1.0,1.0,1.0,1.0,200000
2002-01-29,1.0,1.0,1.0,1.0,140000
2002-02-07,1.0,1.0,1.0,1.0,10000
2002-02-13,1.2,1.2,1.2,1.2,10000
2002-04-29,1.3,1.3,1.3,1.3,2000
2002-06-17,1.26,1.26,1.26,1.26,1000
2002-09-20,0.85,1.26,0.85,1.26,4000
2002-11-07,0.88,0.88,0.88,0.88,70000
2002-11-15,0.88,0.88,0.88,0.88,40000
2003-03-06,0.88,0.88,0.88,0.88,10000
2003-03-21,0.88,0.88,0.88,0.88,20000
2003-04-09,1.2,1.2,1.2,1.2,10000
2003-05-08,1.2,1.2,1.2,1.2,4000
2003-06-26,1.1,1.1,1.08,1.08,362000
2003-07-28,1.08,1.08,1.08,1.08,30000
2003-08-27,1.0,1.0,1.0,1.0,20000
2003-09-12,1.2,1.2,1.2,1.2,10000
2003-11-03,1.1,1.1,1.1,1.1,2000
2003-12-08,1.1,1.1,1.1,1.1,53000
2004-02-10,0.7,0.95,0.7,0.95,63000
2004-02-27,0.9,0.9,0.9,0.9,60000
2004-03-26,0.7,0.7,0.7,0.7,20000
2004-08-04,0.7,0.7,0.7,0.7,10000
2004-09-28,0.6,0.6,0.6,0.6,30000
2004-10-29,0.46,0.46,0.46,0.46,10000
2004-12-29,0.69,0.69,0.69,0.69,750000
2005-01-12,0.42,0.42,0.42,0.42,30000
2005-01-21,0.48,0.48,0.48,0.48,880000
2005-01-27,0.72,0.72,0.7,0.7,20000
2005-02-02,1.02,1.02,1.02,1.02,10000
2005-02-11,0.71,0.71,0.71,0.71,2000
2005-05-11,0.71,0.71,0.71,0.71,10000
2005-09-13,0.71,0.71,0.71,0.71,10000
2005-10-05,1.06,1.06,1.06,1.06,20000
2005-10-10,0.81,0.81,0.81,0.81,8000
2005-12-16,0.8,0.8,0.8,0.8,10000
2006-02-03,1.0,1.0,1.0,1.0,10000
2006-02-07,1.1,1.1,1.1,1.1,10000
2006-02-08,1.2,1.2,1.2,1.2,10000
2006-02-09,1.1,1.1,1.1,1.1,1000
2006-03-28,1.0,1.0,1.0,1.0,9000
2006-04-06,0.6,0.6,0.6,0.6,10000
2006-05-15,0.6,0.8,0.6,0.75,60000
2006-05-16,0.74,0.74,0.74,0.74,20000
2006-05-23,0.74,0.8,0.74,0.8,60000
2006-05-24,0.8,0.8,0.8,0.8,10000
2006-05-30,0.8,0.8,0.8,0.8,50000
2006-06-01,0.85,0.85,0.85,0.85,50000
2006-06-06,0.85,0.85,0.85,0.85,50000
2006-06-13,0.85,0.85,0.85,0.85,50000
2006-06-19,0.9,0.9,0.9,0.9,150000
2006-06-22,0.95,0.95,0.95,0.95,150000
2006-06-26,0.95,0.95,0.95,0.95,100000
2006-07-11,0.95,0.95,0.95,0.95,180000
2006-07-13,1.0,1.0,1.0,1.0,10000
2006-07-19,1.0,1.0,1.0,1.0,500000
2006-07-26,1.0,1.0,1.0,1.0,1000000
2006-08-08,1.0,1.0,1.0,1.0,300000
2006-08-11,1.26,1.26,1.26,1.26,10000
2006-08-29,1.3,1.3,1.3,1.3,5000
2006-09-06,1.0,1.0,1.0,1.0,1000
2006-09-27,1.0,1.0,1.0,1.0,30000
2006-10-03,1.48,1.5,1.48,1.5,20000
2006-10-04,1.5,1.5,1.5,1.5,85000
2006-10-06,1.6,1.6,1.6,1.6,7000
2006-10-11,1.6,1.6,1.6,1.6,50000
2006-10-13,1.6,1.6,1.6,1.6,2000
2006-10-19,1.76,1.76,1.76,1.76,5000
2006-10-20,1.76,1.76,1.76,1.76,7000
2006-10-25,1.8,1.8,1.8,1.8,5000
2006-10-26,1.7,1.7,1.7,1.7,102000
2006-11-03,1.7,1.7,1.7,1.7,3000
2006-11-09,1.7,1.7,1.7,1.7,3000
2006-11-23,1.5,1.5,1.5,1.5,7000
2006-11-29,1.2,1.2,1.2,1.2,1000
2006-12-11,1.5,1.5,1.5,1.5,1000
2006-12-12,1.5,1.5,1.3,1.3,22000
2006-12-14,1.3,1.3,1.3,1.3,30000
2006-12-15,1.32,1.32,1.3,1.3,39000
2006-12-19,1.3,1.3,1.3,1.3,21000
2007-01-04,1.3,1.3,1.3,1.3,50000
2007-01-05,1.3,1.3,1.3,1.3,50000
