date,open,high,low,close,volume
1999-02-04,0.7,0.87,0.7,0.87,1290000
1999-02-19,0.93,0.93,0.93,0.93,10000
1999-03-04,0.75,0.89,0.75,0.89,300000
1999-04-15,0.7,0.7,0.7,0.7,200000
1999-04-27,0.7,0.72,0.7,0.72,1060000
1999-04-28,0.7,0.7,0.7,0.7,1000000
1999-05-05,0.7,0.7,0.7,0.7,20000
1999-05-06,0.7,0.7,0.7,0.7,40000
1999-05-07,0.7,0.73,0.7,0.7,1270000
1999-05-10,0.7,0.7,0.68,0.7,1620000
1999-05-11,0.7,0.7,0.7,0.7,100000
1999-05-13,0.7,0.7,0.7,0.7,10000
1999-05-14,0.7,0.7,0.69,0.69,1100000
1999-05-17,0.7,0.7,0.69,0.69,190000
1999-05-19,0.7,0.7,0.7,0.7,500000
1999-05-20,0.7,0.73,0.7,0.72,2350000
1999-05-21,0.72,0.72,0.7,0.7,670000
1999-05-24,0.7,0.77,0.7,0.7,410000
1999-05-25,0.7,0.74,0.69,0.7,1370000
1999-05-26,0.7,0.7,0.7,0.7,4070000
1999-05-27,0.7,0.83,0.7,0.83,740000
1999-05-28,0.72,0.79,0.71,0.79,510000
1999-05-31,0.72,0.78,0.7,0.78,830000
1999-06-01,0.72,0.77,0.7,0.77,1600000
1999-06-02,0.72,0.78,0.72,0.78,260000
1999-06-04,0.77,0.78,0.72,0.78,2730000
1999-06-08,0.75,0.75,0.74,0.74,200000
1999-06-09,0.74,0.74,0.74,0.74,220000
1999-06-11,0.73,0.73,0.73,0.73,20000
1999-06-14,0.73,0.76,0.72,0.76,320000
1999-06-15,0.76,0.76,0.76,0.76,200000
1999-06-16,0.72,0.72,0.72,0.72,100000
1999-06-18,0.76,0.76,0.73,0.73,90000
1999-06-21,0.72,0.77,0.72,0.77,210000
1999-06-22,0.75,0.77,0.73,0.73,300000
1999-06-25,0.77,0.77,0.74,0.74,310000
1999-07-01,0.77,0.77,0.77,0.77,10000
1999-07-02,0.77,0.78,0.74,0.74,700000
1999-07-06,0.74,0.74,0.74,0.74,40000
1999-07-08,0.72,0.72,0.72,0.72,10000
1999-07-13,0.72,0.72,0.72,0.72,50000
1999-07-23,0.7,0.7,0.7,0.7,10000
1999-07-28,0.7,0.7,0.7,0.7,30000
1999-08-02,0.75,0.75,0.75,0.75,50000
1999-08-04,0.7,0.79,0.7,0.79,1420000
1999-08-05,0.78,0.78,0.75,0.77,1270000
1999-08-06,0.73,0.74,0.73,0.74,20000
1999-08-09,0.74,0.77,0.74,0.77,1750000
1999-08-16,0.75,0.77,0.75,0.77,260000
1999-08-17,0.76,0.77,0.76,0.77,700000
1999-08-24,0.77,0.8,0.77,0.77,2220000
1999-08-25,0.8,0.8,0.79,0.8,500000
1999-08-26,0.8,0.8,0.8,0.8,240000
1999-08-27,0.8,0.81,0.8,0.81,1260000
1999-08-30,0.8,0.8,0.8,0.8,50000
1999-08-31,0.8,0.8,0.8,0.8,670000
1999-09-07,0.78,0.78,0.78,0.78,20000
1999-09-08,0.85,0.9,0.75,0.75,350000
1999-09-13,0.73,0.8,0.73,0.8,1920000
1999-09-17,0.85,0.85,0.85,0.85,20000
1999-09-22,0.79,0.88,0.79,0.88,2310000
1999-09-23,0.7,1.0,0.7,0.98,760000
1999-09-24,0.8,0.97,0.8,0.97,140000
1999-09-27,0.97,0.99,0.8,0.98,350000
1999-09-28,0.83,0.96,0.83,0.96,20000
1999-09-29,0.8,0.95,0.8,0.95,230000
1999-09-30,0.9,0.94,0.82,0.94,120000
1999-10-01,0.83,1.0,0.83,1.0,110000
1999-10-04,1.0,1.0,1.0,1.0,50000
1999-10-08,0.8,0.98,0.8,0.98,200000
1999-10-13,0.8,0.9,0.8,0.9,210000
1999-10-14,0.8,0.95,0.8,0.95,170000
1999-11-08,0.81,0.81,0.81,0.81,10000
1999-11-10,0.81,0.83,0.81,0.81,1100000
1999-11-11,0.72,0.89,0.72,0.89,20000
1999-11-12,0.81,0.9,0.81,0.9,180000
1999-11-15,0.83,0.89,0.83,0.89,280000
1999-11-16,0.82,0.9,0.82,0.9,220000
1999-11-17,0.81,0.89,0.81,0.89,110000
1999-11-18,0.82,0.89,0.82,0.89,190000
1999-11-19,0.82,0.89,0.82,0.89,40000
1999-11-22,0.83,0.88,0.83,0.88,280000
1999-11-23,0.83,0.83,0.83,0.83,40000
1999-11-26,0.83,0.83,0.83,0.83,40000
1999-11-29,0.83,0.83,0.83,0.83,10000
1999-12-01,0.83,0.83,0.83,0.83,10000
1999-12-02,0.82,0.82,0.82,0.82,170000
1999-12-03,0.8,0.89,0.8,0.89,360000
1999-12-07,0.8,0.8,0.8,0.8,40000
1999-12-08,0.75,0.8,0.75,0.77,1390000
1999-12-09,0.77,0.82,0.75,0.82,1130000
1999-12-10,0.75,0.75,0.75,0.75,10000
1999-12-16,0.66,0.89,0.66,0.89,150000
1999-12-17,0.74,0.89,0.74,0.89,140000
2000-01-17,0.88,1.0,0.85,1.0,370000
2000-02-03,0.94,0.95,0.82,0.95,640000
2000-02-07,0.95,1.0,0.95,1.0,450000
2000-02-08,1.02,1.04,1.0,1.04,130000
