date,open,high,low,close,volume
2019-08-19,5.87,8.49,5.84,8.15,30266100
2019-08-20,8.2,12.22,8.2,12.22,43404500
2019-08-22,13.0,18.32,13.0,18.32,33665800
2019-08-23,23.0,27.35,13.02,15.0,43345800
2019-08-27,14.5,17.36,12.0,12.66,13217400
2019-08-28,12.52,14.8,11.8,14.0,9607000
2019-08-29,14.5,15.58,12.0,12.56,8386900
2019-08-30,12.82,13.04,10.58,10.92,3899100
2019-09-02,11.08,11.9,10.44,11.6,3154700
2019-09-03,11.7,11.8,10.9,11.22,888900
2019-09-04,11.3,11.3,10.2,10.5,895900
2019-09-05,10.5,11.2,9.7,11.06,2976300
2019-09-06,11.16,11.4,9.82,9.9,1425400
2019-09-09,9.99,10.64,9.54,10.1,1061500
2019-09-10,10.16,11.56,9.5,11.4,3173900
2019-09-11,11.3,11.78,10.7,10.88,1957400
2019-09-12,10.9,11.44,10.6,11.02,661400
2019-09-13,11.2,12.46,11.02,12.3,3104500
2019-09-16,12.44,13.36,12.4,12.76,3650600
2019-09-17,13.0,13.18,11.06,11.2,3889700
2019-09-18,11.1,11.56,11.06,11.34,388600
2019-09-19,11.36,12.0,11.36,11.36,883700
2019-09-20,11.7,11.7,10.7,10.88,991400
2019-09-23,10.88,10.92,10.5,10.5,670500
2019-09-24,10.54,10.86,10.14,10.22,319100
2019-09-25,10.22,10.4,9.9,9.94,448100
2019-09-26,10.0,10.8,10.0,10.6,1075200
2019-09-27,10.78,10.78,10.1,10.14,328300
2019-09-30,10.14,10.4,9.95,10.1,186400
2019-10-01,10.06,10.06,9.58,9.6,546100
2019-10-02,9.62,10.0,9.62,9.8,334300
2019-10-03,9.7,9.7,9.51,9.58,172000
2019-10-04,9.7,9.8,9.52,9.55,130900
2019-10-07,9.5,9.5,8.88,9.1,906400
2019-10-08,9.1,9.1,8.9,9.0,210800
2019-10-09,9.1,9.1,8.92,9.1,118000
2019-10-10,8.93,10.3,8.93,10.24,1339300
2019-10-11,10.28,11.52,10.28,11.4,3625500
2019-10-14,11.6,12.2,11.6,12.1,3679900
2019-10-15,12.0,12.0,11.3,11.32,1253300
2019-10-16,11.34,11.98,11.34,11.7,1030400
2019-10-17,11.8,12.86,11.62,12.8,3779100
2019-10-18,12.84,13.1,11.7,11.7,5173300
2019-10-21,11.64,11.86,11.22,11.78,981600
2019-10-22,11.8,11.8,11.38,11.38,669600
2019-10-23,11.38,11.96,11.38,11.66,802300
2019-10-24,11.84,11.92,11.46,11.52,452500
2019-10-25,11.5,11.62,11.28,11.4,295400
2019-10-28,11.4,11.4,11.1,11.1,565200
2019-10-29,11.06,11.3,10.82,11.24,416800
2019-10-30,11.24,11.64,11.24,11.46,379800
2019-10-31,11.58,11.62,11.1,11.3,261100
2019-11-04,11.3,12.2,11.3,11.98,1064200
2019-11-05,12.12,12.12,11.62,11.8,338400
2019-11-06,11.8,12.02,11.7,11.78,261100
2019-11-07,11.7,12.34,11.54,12.16,1414300
2019-11-08,12.3,12.5,12.04,12.48,954400
2019-11-11,12.48,13.92,12.3,13.92,4081300
2019-11-12,14.0,15.4,13.58,14.12,7755900
2019-11-13,13.88,14.3,13.28,13.28,2036500
2019-11-14,13.4,14.26,13.3,14.1,2006700
2019-11-15,14.02,15.02,13.26,13.26,4133100
2019-11-18,13.34,13.76,12.3,12.62,1939000
