date,open,high,low,close,volume
2001-12-21,7.4,7.4,7.0,7.1,214000
2001-12-26,6.5,6.5,6.5,6.5,45000
2001-12-27,6.4,6.4,6.4,6.4,5000
2001-12-28,6.8,7.2,6.8,7.2,50000
2002-01-02,7.0,7.0,7.0,7.0,5000
2002-01-09,4.2,4.2,4.2,4.2,1000
2002-01-10,6.1,6.1,6.1,6.1,1000
2002-01-11,6.0,6.0,6.0,6.0,3000
2002-01-14,6.1,6.6,6.0,6.6,52000
2002-01-15,6.5,6.5,6.5,6.5,2000
2002-01-17,6.3,6.6,6.3,6.6,15000
2002-02-05,6.6,6.6,6.0,6.0,11000
2002-02-06,6.5,6.6,6.5,6.6,10000
2002-02-08,6.6,6.6,6.6,6.6,165000
2002-02-20,6.6,6.6,6.6,6.6,41000
2002-02-21,6.5,6.5,6.5,6.5,18000
2002-02-22,6.5,6.5,6.5,6.5,20000
2002-02-27,6.5,6.5,6.5,6.5,17000
2002-03-01,6.5,6.5,6.5,6.5,10000
2002-03-04,6.5,6.5,6.5,6.5,10000
2002-03-05,6.4,6.4,6.4,6.4,20000
2002-03-11,6.4,6.4,6.4,6.4,20000
2002-07-16,6.3,6.3,6.3,6.3,200000
2004-01-13,4.0,4.0,4.0,4.0,20000
2005-01-25,4.0,4.0,4.0,4.0,15000
2007-07-12,6.0,6.0,6.0,6.0,3000
2007-07-13,9.0,9.0,9.0,9.0,4000
2007-07-16,9.0,10.0,9.0,10.0,5000
2007-07-17,11.0,12.5,11.0,12.5,16000
2007-07-18,14.0,15.0,14.0,15.0,2000
2007-07-19,12.0,12.0,11.5,11.5,6200
2007-07-20,11.5,11.5,11.0,11.0,6100
2007-07-23,11.5,12.0,11.5,12.0,8700
2007-07-24,12.5,14.5,12.5,14.5,45300
2007-07-25,14.5,21.5,14.5,21.0,78800
2007-07-26,18.0,18.0,18.0,18.0,500
2007-07-27,18.0,20.0,18.0,20.0,200
2007-07-30,19.0,19.0,15.0,16.0,4200
2007-07-31,18.0,20.0,18.0,19.5,17800
2007-08-01,18.0,18.0,18.0,18.0,300
2007-08-02,11.5,18.5,11.5,18.0,603200
2007-08-03,15.0,16.0,14.5,14.5,686300
2007-08-06,12.25,12.25,11.75,11.75,464000
2007-08-07,12.0,15.5,12.0,12.75,2246300
2007-08-08,12.75,13.5,12.75,13.25,22000
2007-08-09,13.25,13.75,13.0,13.75,1271000
2007-08-10,13.0,13.5,12.75,13.0,1325000
2007-08-13,12.75,13.5,12.75,13.25,1767700
2007-08-14,13.0,13.0,12.5,12.5,535000
2007-08-15,12.0,12.0,11.75,11.75,318000
2007-08-16,9.5,10.0,9.5,9.7,2022100
2007-08-17,9.5,9.5,9.0,9.0,1811000
2007-08-21,9.2,10.0,9.2,9.3,1774000
2007-08-22,9.0,9.1,9.0,9.0,1200000
2007-08-23,9.3,9.5,9.3,9.5,1707000
2007-08-24,10.5,10.5,10.5,10.5,405000
2007-08-28,10.25,10.25,10.25,10.25,15000
2007-09-14,8.0,8.0,8.0,8.0,2000
2007-09-20,8.5,8.5,8.5,8.5,2000
2007-09-24,8.5,8.5,8.5,8.5,7000
2007-09-27,8.5,8.5,8.5,8.5,5000
2007-10-01,6.1,7.1,6.1,7.1,47000
2007-10-04,7.5,7.6,7.5,7.5,600000
2007-10-05,10.0,11.0,10.0,10.5,2089000
2007-10-08,10.5,12.0,10.5,12.0,105600
2007-10-09,12.0,12.0,10.5,11.75,244000
2007-10-10,10.75,11.5,10.75,11.25,200200
2007-10-11,11.0,11.75,11.0,11.25,501900
2007-10-15,12.0,12.0,11.25,11.5,362500
2007-10-16,11.25,11.75,11.25,11.75,312000
2007-10-17,11.25,14.75,11.25,14.75,1325500
2007-10-18,14.75,14.75,13.0,13.5,54500
2007-10-22,12.0,12.0,12.0,12.0,3000
2007-10-23,11.5,11.5,11.25,11.25,9600
2007-10-25,13.0,13.0,13.0,13.0,5000
2007-11-06,11.0,11.0,10.75,10.75,15200
2007-11-07,11.5,11.5,11.5,11.5,7000
2007-11-13,10.5,10.5,10.5,10.5,2000
2007-11-19,10.5,10.5,10.5,10.5,5000
2007-11-20,10.5,10.5,10.5,10.5,1000
2007-11-22,10.5,10.5,10.5,10.5,2000
2007-11-28,9.9,10.0,9.9,10.0,16000
