date,open,high,low,close,volume
1999-02-25,17.0,20.0,17.0,20.0,59500
1999-02-26,17.0,17.0,17.0,17.0,75000
1999-05-07,17.0,17.0,17.0,17.0,24800
1999-05-12,17.0,17.0,17.0,17.0,49300
1999-06-22,20.0,20.0,16.0,16.0,55400
1999-08-16,17.0,17.0,17.0,17.0,700
1999-08-18,20.0,20.0,17.0,17.0,56800
1999-09-22,17.0,17.0,17.0,17.0,3500
1999-10-22,20.0,20.0,17.0,17.0,66300
1999-11-12,15.0,15.0,15.0,15.0,39000
1999-11-24,19.0,19.0,19.0,19.0,102600
1999-12-08,18.0,18.0,18.0,18.0,900
1999-12-28,18.0,18.0,18.0,18.0,10000
2000-01-20,18.75,18.75,18.75,18.75,234100
2000-02-16,17.0,17.0,17.0,17.0,187200
2000-04-28,17.0,17.0,17.0,17.0,51200
2000-05-25,16.0,16.0,16.0,16.0,39300
2000-05-26,16.0,17.0,16.0,17.0,191300
2000-06-07,17.0,17.0,17.0,17.0,300
2000-06-27,16.0,16.0,16.0,16.0,4500
2000-06-28,16.0,16.0,16.0,16.0,8000
2000-07-14,17.0,17.0,17.0,17.0,500
2001-03-07,17.0,17.0,17.0,17.0,208900
2001-05-22,19.0,19.0,19.0,19.0,110000
2001-07-06,18.0,18.0,18.0,18.0,41000
2001-08-15,15.0,15.0,15.0,15.0,207900
2001-08-31,15.0,15.0,15.0,15.0,15700
2001-09-04,15.0,15.0,15.0,15.0,7500
2001-11-21,18.0,18.0,18.0,18.0,29800
2002-03-07,18.0,18.0,18.0,18.0,2000
2002-03-19,20.0,20.0,20.0,20.0,100
2002-05-15,19.0,19.0,19.0,19.0,100000
2002-06-14,19.0,19.0,19.0,19.0,20000
2002-07-01,16.0,16.0,16.0,16.0,10000
2002-07-17,16.0,16.0,16.0,16.0,53200
2002-08-12,16.0,16.0,16.0,16.0,6500
2002-08-15,17.0,17.0,17.0,17.0,27000
2002-10-30,15.5,15.5,15.5,15.5,65000
2002-11-20,15.5,15.5,15.5,15.5,65000
2002-12-04,15.5,15.5,15.5,15.5,58000
2003-01-23,16.0,16.0,16.0,16.0,36200
2003-03-13,16.0,16.0,16.0,16.0,16500
2003-04-04,16.0,16.0,16.0,16.0,8000
2003-06-24,15.0,15.0,15.0,15.0,113500
2004-01-28,15.0,15.0,15.0,15.0,1100
2004-03-12,15.0,15.0,15.0,15.0,33900
2004-04-29,15.0,15.0,15.0,15.0,42100
2004-05-03,15.0,15.0,15.0,15.0,12100
2004-05-06,14.0,14.0,14.0,14.0,59600
2004-05-11,14.0,14.0,14.0,14.0,49800
2004-06-18,14.0,14.0,14.0,14.0,4200
2004-07-27,14.0,14.0,14.0,14.0,371000
2005-03-07,14.0,14.0,14.0,14.0,12200
2005-10-05,15.0,15.0,15.0,15.0,27600
2006-02-16,16.0,16.0,16.0,16.0,17200
2006-03-20,16.0,16.0,16.0,16.0,25500
2006-04-05,16.0,16.0,16.0,16.0,404900
2006-06-01,16.0,16.0,16.0,16.0,21300
2006-06-13,16.0,16.0,16.0,16.0,19700
2007-01-30,20.0,24.0,20.0,24.0,4100
2007-02-05,20.0,20.0,20.0,20.0,5000
2007-02-12,22.0,22.0,22.0,22.0,200
2007-03-01,22.0,22.0,22.0,22.0,8000
2007-03-02,21.0,21.0,21.0,21.0,67200
2007-03-07,21.0,21.0,21.0,21.0,100000
2007-03-12,21.0,21.0,21.0,21.0,1000
2007-03-14,21.0,21.0,21.0,21.0,1800
2007-03-27,23.0,25.0,23.0,25.0,6400
2007-03-28,25.0,25.0,25.0,25.0,1900
2007-05-31,22.0,22.0,22.0,22.0,5100
2007-06-12,22.0,22.0,22.0,22.0,800
2007-06-13,22.0,22.0,22.0,22.0,1300
2007-06-19,22.0,22.0,22.0,22.0,600
2007-09-13,22.0,22.0,22.0,22.0,12100
2007-09-24,24.0,24.0,24.0,24.0,13600
2007-09-28,24.0,24.0,24.0,24.0,100
2007-10-16,26.0,26.0,26.0,26.0,132100
2007-10-30,27.0,27.0,27.0,27.0,200
2007-11-08,26.0,26.0,26.0,26.0,12000
2008-01-02,30.0,30.0,30.0,30.0,200
2008-04-09,27.0,27.0,27.0,27.0,49100
2008-06-06,27.0,27.0,27.0,27.0,1700
2008-09-18,27.0,27.0,27.0,27.0,8000
2008-10-13,27.0,27.0,27.0,27.0,600
2008-10-17,27.0,27.0,27.0,27.0,100
2008-10-21,27.0,27.0,27.0,27.0,400
2008-11-05,28.0,28.0,28.0,28.0,500
2009-05-19,28.0,28.0,28.0,28.0,275900
2009-06-09,28.0,28.0,28.0,28.0,1000
2009-09-16,30.0,30.0,30.0,30.0,22300
2009-10-15,30.0,30.0,30.0,30.0,1100
2009-11-04,30.0,30.0,30.0,30.0,125900
2009-11-11,30.0,30.0,30.0,30.0,125800
2010-02-12,30.0,30.0,30.0,30.0,5300
2010-02-19,30.0,30.5,30.0,30.0,462500
2010-02-25,30.0,30.0,30.0,30.0,4000
2010-02-26,30.0,30.0,30.0,30.0,1900
2010-03-01,30.0,35.0,30.0,35.0,1600
2010-03-09,35.0,35.0,35.0,35.0,1500
2010-03-19,35.0,36.0,35.0,36.0,10500
2010-04-13,35.0,35.0,35.0,35.0,9000
2010-04-15,35.0,35.0,35.0,35.0,25000
2010-04-19,34.0,34.0,34.0,34.0,800
2010-04-21,34.0,34.0,34.0,34.0,8900
2010-06-11,34.0,34.0,34.0,34.0,2400
2010-07-12,34.0,34.0,34.0,34.0,4400
2010-07-27,34.0,34.0,34.0,34.0,2200
2010-08-05,34.0,34.0,34.0,34.0,3000
2010-08-11,34.0,34.0,34.0,34.0,6500
2010-08-16,34.0,34.0,34.0,34.0,249800
2010-08-17,34.0,34.0,34.0,34.0,52000
2010-08-26,34.0,34.0,34.0,34.0,2200
2010-09-13,34.0,34.0,34.0,34.0,4500
2010-09-21,34.0,34.0,34.0,34.0,1500
2010-09-22,34.0,34.0,34.0,34.0,600
2010-09-29,34.0,34.0,34.0,34.0,1500
2010-10-05,34.0,34.0,34.0,34.0,3000
2010-10-06,34.0,34.0,34.0,34.0,3000
2010-10-22,34.0,34.0,34.0,34.0,7000
2010-11-04,34.0,34.0,34.0,34.0,2100
2010-11-08,36.0,36.0,36.0,36.0,2900
2010-11-19,34.0,34.0,34.0,34.0,3000
2010-11-22,34.0,34.0,34.0,34.0,5000
2010-11-24,34.0,34.0,34.0,34.0,3900
2010-11-25,34.0,34.0,34.0,34.0,2900
2010-12-03,37.5,37.5,34.0,34.0,6500
2010-12-06,36.0,36.0,36.0,36.0,500
2010-12-16,36.5,36.5,36.5,36.5,1000
