date,open,high,low,close,volume
2007-04-12,13.25,13.25,13.25,13.25,1681000
2007-04-13,16.0,16.0,14.0,14.0,17818000
2007-04-16,14.0,14.5,13.5,13.75,4562800
2007-04-17,13.75,14.0,13.25,13.25,3948800
2007-04-18,13.25,13.5,13.0,13.5,2401900
2007-04-19,13.5,14.25,13.5,13.5,2453300
2007-04-20,13.75,14.25,13.75,14.0,1546600
2007-04-23,14.0,14.0,13.5,13.75,692400
2007-04-24,13.75,14.5,13.75,14.5,3296200
2007-04-25,14.75,14.75,14.0,14.0,1559200
2007-04-26,14.0,14.25,14.0,14.0,1923500
2007-04-27,14.0,15.0,14.0,15.0,9983700
2007-04-30,15.5,15.5,14.75,14.75,3915500
2007-05-02,14.5,14.75,14.25,14.25,1144800
2007-05-03,14.5,14.5,13.75,13.75,1263500
2007-05-04,13.75,14.25,13.75,14.25,994300
2007-05-07,14.0,14.0,13.75,14.0,316900
2007-05-08,14.0,14.25,14.0,14.25,945600
2007-05-09,14.25,14.25,14.0,14.25,428400
2007-05-10,14.0,14.25,14.0,14.25,880300
2007-05-11,14.0,15.25,14.0,15.0,3666900
2007-05-15,15.25,15.75,15.0,15.75,4312000
2007-05-16,15.75,16.25,15.25,15.5,3722600
2007-05-17,15.5,15.75,15.25,15.5,434200
2007-05-18,15.5,16.0,15.25,15.75,1589800
2007-05-21,15.75,16.25,15.75,16.0,2173600
2007-05-22,16.0,16.25,15.5,16.0,2354100
2007-05-23,16.0,16.75,16.0,16.0,3534700
2007-05-24,16.0,16.0,16.0,16.0,618500
2007-05-25,15.75,16.25,15.5,16.25,1041000
2007-05-28,16.25,16.25,16.0,16.25,2410700
2007-05-29,16.25,16.75,16.25,16.5,4121300
2007-05-30,16.75,17.25,16.0,16.25,3843000
2007-05-31,16.5,16.75,16.5,16.5,1415000
2007-06-01,16.75,16.75,16.5,16.75,1142200
2007-06-04,16.5,16.75,16.5,16.5,1122600
2007-06-05,16.5,16.5,16.5,16.5,769100
2007-06-06,16.5,16.75,16.5,16.75,619700
2007-06-07,16.5,16.5,16.0,16.25,296900
2007-06-08,16.0,16.5,16.0,16.25,932300
2007-06-12,16.25,16.25,16.0,16.0,730000
2007-06-13,16.0,16.0,15.75,15.75,419100
2007-06-14,15.75,16.0,15.75,16.0,182500
2007-06-15,16.0,16.0,15.5,15.75,371200
2007-06-18,16.0,16.0,15.75,15.75,136500
2007-06-19,15.75,16.0,15.75,16.0,398000
2007-06-20,16.0,16.25,16.0,16.25,846500
2007-06-21,16.25,16.25,16.0,16.25,338000
2007-06-22,16.0,16.5,16.0,16.25,883000
2007-06-25,16.25,16.5,16.0,16.0,444900
2007-06-26,16.0,16.25,15.75,15.75,457500
2007-06-27,16.5,16.5,15.25,15.5,1168300
2007-06-28,15.5,15.75,15.5,15.75,134700
2007-06-29,15.75,15.75,15.5,15.5,436800
2007-07-02,15.5,15.5,14.0,14.5,450700
2007-07-03,15.0,15.25,15.0,15.25,752300
2007-07-04,15.0,15.5,15.0,15.5,289100
2007-07-05,15.5,15.5,15.5,15.5,167000
2007-07-06,15.5,15.75,15.25,15.5,392900
2007-07-09,15.5,16.0,15.25,15.5,64100
2007-07-10,15.5,15.5,15.0,15.5,209400
2007-07-11,15.25,15.5,15.25,15.25,273900
2007-07-12,15.0,15.25,15.0,15.25,246500
2007-07-13,15.25,15.75,15.0,15.0,339200
2007-07-16,15.25,15.5,14.25,15.0,330300
2007-07-17,14.5,14.5,14.5,14.5,236500
2007-07-18,14.25,14.5,14.0,14.25,606300
2007-07-19,14.25,14.25,13.75,13.75,454900
2007-07-20,14.0,14.25,13.5,13.5,684700
2007-07-23,13.75,13.75,13.5,13.5,238400
2007-07-24,13.5,13.5,13.25,13.5,265800
2007-07-25,13.75,13.75,13.25,13.25,300000
2007-07-26,13.25,13.75,13.25,13.5,95500
2007-07-27,13.25,13.25,13.0,13.25,147900
2007-07-30,13.25,13.25,12.75,12.75,187700
2007-07-31,12.75,13.0,12.5,12.5,258800
2007-08-01,12.25,12.75,11.5,12.0,298300
2007-08-02,12.0,12.75,11.25,11.75,218200
2007-08-03,11.5,11.75,10.75,11.0,545000
2007-08-06,10.75,11.0,10.0,11.0,518000
2007-08-07,11.0,11.5,11.0,11.5,96100
2007-08-08,11.75,11.75,11.5,11.75,143400
2007-08-09,11.75,12.75,11.5,12.5,483400
2007-08-10,11.0,11.75,11.0,11.25,175100
2007-08-13,11.25,11.5,10.5,10.5,325700
2007-08-14,10.75,11.25,10.5,11.0,191000
2007-08-15,10.5,10.5,10.0,10.5,596200
2007-08-16,10.0,10.25,9.9,10.25,218700
2007-08-17,10.0,10.25,9.8,9.8,252400
2007-08-21,10.5,11.0,10.25,11.0,924000
2007-08-22,10.5,11.0,10.5,10.75,106100
2007-08-23,11.0,12.25,11.0,12.25,398000
2007-08-24,12.25,12.25,11.25,11.75,168500
2007-08-28,12.0,12.0,12.0,12.0,81000
2007-08-29,10.75,11.5,10.75,11.5,126800
2007-08-30,12.0,12.0,11.75,11.75,209000
2007-08-31,11.75,12.0,11.75,12.0,392500
2007-09-03,12.0,12.0,11.75,11.75,49000
2007-09-04,11.75,11.75,11.5,11.75,51000
2007-09-05,12.0,12.0,11.75,11.75,43000
2007-09-06,11.75,11.75,11.5,11.75,73000
2007-09-07,11.5,11.75,11.5,11.75,250300
2007-09-10,11.5,11.75,11.5,11.75,22500
2007-09-11,11.75,11.75,11.5,11.5,95100
2007-09-12,11.5,11.75,11.5,11.75,199800
2007-09-13,11.75,12.0,11.75,11.75,146200
2007-09-14,11.75,11.75,11.75,11.75,21000
2007-09-17,11.75,11.75,11.75,11.75,48400
2007-09-18,11.75,11.75,11.75,11.75,230000
2007-09-19,12.0,12.0,11.5,11.75,67000
2007-09-20,11.75,12.0,11.75,11.75,172000
2007-09-21,11.75,11.75,11.75,11.75,8000
2007-09-24,12.0,12.25,12.0,12.25,282500
2007-09-25,12.25,12.25,12.0,12.0,35100
2007-09-26,12.25,12.25,12.25,12.25,201000
2007-09-27,12.5,13.0,12.5,13.0,185200
2007-09-28,12.75,13.25,12.75,13.25,60000
2007-10-01,13.0,13.0,12.75,13.0,203500
2007-10-02,13.0,13.0,12.5,12.75,363300
2007-10-03,12.75,13.0,12.5,12.75,407500
2007-10-04,12.5,12.75,12.5,12.75,149000
2007-10-05,12.75,12.75,12.5,12.75,101700
2007-10-08,12.75,12.75,12.5,12.75,173800
2007-10-09,12.75,12.75,12.5,12.75,67600
2007-10-10,13.25,13.75,13.0,13.25,696200
2007-10-11,13.25,13.25,13.0,13.25,62500
2007-10-15,13.25,13.25,13.0,13.0,75000
2007-10-16,13.0,13.5,12.75,13.5,33897300
2007-10-17,13.5,13.5,13.0,13.0,77500
2007-10-18,12.75,13.0,12.75,12.75,43800
2007-10-19,13.0,13.0,13.0,13.0,143800
2007-10-22,12.0,12.5,12.0,12.25,91700
2007-10-23,12.0,13.0,12.0,12.5,34600
2007-10-24,12.5,12.75,12.25,12.25,147100
2007-10-25,12.75,12.75,12.25,12.5,49300
2007-10-26,12.25,12.25,12.25,12.25,18000
2007-10-30,12.25,12.5,12.25,12.5,93100
2007-10-31,12.5,12.5,12.0,12.0,45000
2007-11-05,12.0,12.0,11.75,12.0,16800
2007-11-06,12.0,12.0,12.0,12.0,100500
2007-11-07,12.0,12.0,11.75,12.0,660000
2007-11-08,11.5,12.0,11.5,11.75,479700
2007-11-09,11.75,11.75,11.5,11.5,561000
2007-11-12,11.25,11.25,11.0,11.0,234000
2007-11-13,11.0,11.5,11.0,11.5,207000
2007-11-14,11.5,11.5,11.5,11.5,374000
2007-11-15,11.25,11.5,11.25,11.5,183300
2007-11-16,11.5,11.5,11.0,11.25,610000
2007-11-19,12.0,12.0,11.5,11.75,830500
2007-11-20,11.5,11.75,11.25,11.75,878900
2007-11-21,11.5,11.75,11.0,11.5,302000
2007-11-22,11.0,11.25,10.75,11.25,455300
2007-11-23,11.5,11.75,11.5,11.5,866000
2007-11-26,11.5,11.5,11.25,11.25,28000
2007-11-27,11.0,11.0,11.0,11.0,195700
2007-11-28,11.0,11.25,11.0,11.25,131700
2007-11-29,11.25,11.25,11.0,11.0,78000
2007-12-03,11.25,11.25,11.25,11.25,2000
