date,open,high,low,close,volume
1999-02-04,6.1,6.2,6.0,6.1,5319000
1999-02-05,6.1,6.1,5.9,5.9,4295000
1999-02-08,6.1,6.1,5.9,5.9,4295000
1999-02-09,6.1,6.1,5.9,5.9,4295000
1999-02-10,6.1,6.1,5.9,5.9,4295000
1999-02-11,6.1,6.1,5.9,5.9,4295000
1999-02-12,5.4,5.4,5.1,5.2,4210000
1999-02-15,5.1,5.1,4.95,5.0,4539000
1999-02-16,5.0,5.1,5.0,5.1,247000
1999-02-17,5.1,5.2,5.1,5.2,2195000
1999-02-18,5.2,5.3,5.1,5.2,5700000
1999-02-19,5.2,5.3,5.1,5.2,4214000
1999-02-22,5.2,5.3,5.2,5.3,562000
1999-02-23,5.3,5.3,5.2,5.2,4416000
1999-02-24,5.2,5.2,5.1,5.1,3717000
1999-02-25,5.1,5.1,5.0,5.1,3664000
1999-02-26,5.2,5.2,5.2,5.2,2090000
1999-03-01,5.3,5.3,5.2,5.3,2183000
1999-03-02,5.3,5.4,5.3,5.4,3444000
1999-03-03,5.4,5.6,5.3,5.5,14271000
1999-03-04,5.5,5.5,5.3,5.4,1275000
1999-03-05,5.5,5.6,5.4,5.6,2595000
1999-03-08,5.6,5.6,5.4,5.4,4582000
1999-03-09,5.4,5.4,5.3,5.3,1837000
1999-03-10,5.3,5.3,5.3,5.3,2601000
1999-03-11,5.3,5.3,5.3,5.3,8806000
1999-03-12,5.3,5.4,5.3,5.4,3672000
1999-03-15,5.4,5.4,5.1,5.2,10815000
1999-03-16,5.2,5.3,5.2,5.2,918000
1999-03-17,5.3,5.3,5.2,5.3,4166000
1999-03-18,5.3,5.5,5.3,5.5,4028000
1999-03-19,5.5,5.6,5.3,5.4,12178000
1999-03-22,5.5,5.7,5.4,5.6,8147000
1999-03-23,5.7,5.8,5.7,5.8,5440000
1999-03-24,5.7,5.8,5.7,5.8,1370000
1999-03-25,5.7,5.7,5.5,5.6,13332000
1999-03-26,5.6,5.7,5.6,5.7,9930000
1999-03-29,5.8,6.0,5.7,5.9,16725000
1999-03-30,5.9,6.1,5.9,6.0,8246000
1999-03-31,6.0,6.0,5.9,6.0,6901000
1999-04-05,5.9,5.9,5.8,5.9,1585000
1999-04-06,5.9,5.9,5.8,5.8,3870000
1999-04-07,5.8,6.1,5.8,6.1,10811000
1999-04-08,6.2,6.3,6.1,6.3,8767000
1999-04-12,6.4,6.6,6.4,6.6,21584000
1999-04-13,6.5,6.6,6.4,6.6,6777000
1999-04-14,6.8,7.1,6.8,7.0,19883000
1999-04-15,6.9,7.0,6.7,6.8,10112000
1999-04-16,6.8,6.9,6.8,6.9,9583000
1999-04-19,6.9,7.1,6.9,6.9,9840000
1999-04-20,6.9,7.3,6.9,7.2,9725000
1999-04-21,7.2,7.2,6.9,7.0,13909000
1999-04-22,7.1,7.3,7.1,7.2,8071000
1999-04-23,7.3,7.8,7.3,7.7,16237000
1999-04-26,7.8,8.2,7.8,8.0,35344000
1999-04-27,8.0,8.6,8.0,8.6,46620000
1999-04-28,8.9,9.3,8.9,9.2,35658000
1999-04-29,9.3,9.3,8.6,8.8,23600000
1999-04-30,8.8,9.0,8.8,8.9,12498000
1999-05-03,8.9,9.0,8.8,8.9,9428000
1999-05-04,9.2,9.2,8.9,9.1,8047000
1999-05-05,9.2,9.3,9.1,9.3,14962000
1999-05-06,9.3,10.25,9.3,9.8,30254000
1999-05-10,10.0,11.0,10.0,11.0,28940600
1999-05-13,10.5,10.5,9.8,10.0,9507900
1999-05-18,9.9,10.0,9.6,9.7,10491000
1999-05-19,9.7,9.7,9.1,9.3,7471000
1999-05-20,9.2,9.2,8.6,8.9,13194000
1999-05-21,9.1,9.3,8.9,8.9,6242000
1999-05-24,8.9,9.4,8.9,9.4,4660000
1999-05-25,9.3,9.4,9.3,9.4,8108000
1999-05-26,9.3,9.6,9.2,9.6,4822000
1999-05-27,9.6,9.6,9.3,9.5,2979000
1999-05-28,9.2,9.3,9.0,9.0,12324000
1999-05-31,9.0,9.5,9.0,9.4,5473000
1999-06-01,9.5,9.5,9.1,9.1,2006000
