date,open,high,low,close,volume
2018-04-30,1.06,1.06,1.06,1.06,14000
2018-05-02,1.05,1.05,1.05,1.05,1000
2018-05-03,1.05,1.05,1.05,1.05,1000
2018-05-04,1.05,1.05,1.05,1.05,1000
2018-05-08,1.06,1.06,1.05,1.05,231000
2018-05-09,1.06,1.06,1.06,1.06,18000
2018-05-10,1.05,1.05,1.05,1.05,50000
2018-05-11,1.06,1.07,1.05,1.07,1029000
2018-05-15,1.07,1.08,1.06,1.06,1597000
2018-05-16,1.06,1.06,1.05,1.05,541000
2018-05-18,1.07,1.07,1.05,1.05,11000
2018-05-21,1.05,1.05,1.05,1.05,15000
2018-05-23,1.07,1.07,1.07,1.07,1000
2018-05-24,1.07,1.07,1.05,1.07,145000
2018-05-25,1.07,1.07,1.07,1.07,8000
2018-05-30,1.07,1.07,1.07,1.07,3000
2018-05-31,1.05,1.05,1.05,1.05,75000
2018-06-01,1.05,1.05,1.05,1.05,239000
2018-06-04,1.05,1.05,1.03,1.05,791000
2018-06-05,1.05,1.05,1.05,1.05,690000
2018-06-06,1.05,1.06,1.05,1.06,108000
2018-06-07,1.06,1.06,1.05,1.05,199000
2018-06-08,1.05,1.07,1.05,1.07,73000
2018-06-11,1.05,1.07,1.05,1.07,36000
2018-06-13,1.07,1.07,1.07,1.07,25000
2018-06-14,1.07,1.07,1.05,1.05,12000
2018-06-18,1.06,1.06,1.06,1.06,2000
2018-06-19,1.02,1.06,1.02,1.06,3000
2018-06-20,1.03,1.03,1.03,1.03,11000
2018-06-21,1.03,1.03,1.03,1.03,5000
2018-06-22,1.04,1.04,1.04,1.04,29000
2018-06-25,1.03,1.03,1.03,1.03,100000
2018-06-26,1.03,1.04,1.02,1.04,27000
2018-06-27,1.04,1.04,1.04,1.04,1000
2018-06-28,1.04,1.04,1.04,1.04,152000
2018-06-29,1.04,1.04,1.04,1.04,190000
2018-07-03,1.04,1.04,1.04,1.04,80000
2018-07-04,1.05,1.05,1.03,1.03,462000
2018-07-05,1.03,1.03,1.03,1.03,122000
2018-07-06,1.04,1.04,1.03,1.03,300000
2018-07-10,1.05,1.05,1.05,1.05,5000
2018-07-11,1.03,1.03,1.03,1.03,100000
2018-07-12,1.03,1.03,1.03,1.03,100000
2018-07-13,1.04,1.04,1.04,1.04,42000
2018-07-16,1.03,1.03,1.03,1.03,118000
2018-07-17,1.03,1.03,1.02,1.02,1062000
2018-07-18,1.02,1.03,1.02,1.03,173000
2018-07-19,1.03,1.04,1.03,1.04,167000
