date,open,high,low,close,volume
2018-04-30,2.89,2.93,2.74,2.8,172000
2018-05-02,2.8,2.85,2.7,2.8,501000
2018-05-03,2.75,2.8,2.69,2.76,818000
2018-05-04,2.78,2.78,2.65,2.75,593000
2018-05-07,2.76,2.9,2.73,2.82,498000
2018-05-08,2.85,2.85,2.76,2.76,234000
2018-05-09,2.76,2.79,2.7,2.79,115000
2018-05-10,2.72,2.8,2.72,2.77,64000
2018-05-11,2.73,2.83,2.73,2.76,93000
2018-05-15,2.74,2.74,2.66,2.66,370000
2018-05-16,2.65,2.74,2.65,2.7,225000
2018-05-17,2.69,2.74,2.62,2.69,232000
2018-05-18,2.63,2.83,2.6,2.82,460000
2018-05-21,2.82,2.82,2.67,2.7,172000
2018-05-22,2.7,2.7,2.62,2.67,222000
2018-05-23,2.61,2.75,2.61,2.7,261000
2018-05-24,2.64,2.67,2.6,2.6,533000
2018-05-25,2.55,2.65,2.55,2.6,209000
2018-05-28,2.55,2.6,2.52,2.59,186000
2018-05-29,2.51,2.59,2.51,2.54,254000
2018-05-30,2.54,2.6,2.5,2.52,381000
2018-05-31,2.51,2.6,2.5,2.54,386000
2018-06-01,2.56,2.56,2.46,2.55,231000
2018-06-04,2.48,2.51,2.4,2.5,531000
2018-06-05,2.5,2.5,2.37,2.47,772000
2018-06-06,2.47,2.47,2.41,2.47,148000
2018-06-07,2.47,2.5,2.38,2.47,445000
2018-06-08,2.48,2.5,2.38,2.48,265000
2018-06-11,2.4,2.48,2.38,2.39,309000
2018-06-13,2.47,2.74,2.45,2.64,2042000
2018-06-14,2.69,2.74,2.59,2.61,694000
2018-06-18,2.61,2.61,2.5,2.5,279000
2018-06-19,2.47,2.47,2.43,2.43,205000
2018-06-20,2.43,2.43,2.39,2.4,382000
2018-06-21,2.39,2.4,2.2,2.33,1206000
2018-06-22,2.33,2.33,2.16,2.29,482000
2018-06-25,2.29,2.29,2.22,2.23,162000
2018-06-26,2.23,2.29,2.2,2.25,321000
2018-06-27,2.25,2.29,2.21,2.27,281000
2018-06-28,2.27,2.35,2.27,2.3,120000
2018-06-29,2.3,2.4,2.3,2.34,148000
2018-07-02,2.35,2.45,2.35,2.44,200000
2018-07-03,2.49,2.49,2.34,2.4,122000
2018-07-04,2.35,2.42,2.33,2.42,63000
2018-07-05,2.42,2.45,2.4,2.42,48000
2018-07-06,2.4,2.47,2.3,2.31,239000
2018-07-09,2.33,2.46,2.33,2.43,50000
2018-07-10,2.41,2.45,2.38,2.41,63000
2018-07-11,2.45,2.5,2.3,2.39,195000
2018-07-12,2.38,2.38,2.3,2.3,140000
2018-07-13,2.3,2.36,2.29,2.36,80000
2018-07-16,2.36,2.43,2.32,2.41,69000
2018-07-17,2.41,2.57,2.4,2.57,757000
2018-07-18,2.6,2.72,2.59,2.6,993000
2018-07-19,2.6,2.6,2.45,2.52,231000
2018-07-20,2.52,2.6,2.45,2.53,123000
2018-07-23,2.46,2.58,2.46,2.58,4000
2018-07-24,2.48,2.55,2.48,2.55,12000
2018-07-25,2.55,2.7,2.5,2.7,1195000
2018-07-26,2.75,2.75,2.57,2.6,404000
2018-07-27,2.52,2.6,2.51,2.51,223000
2018-07-30,2.65,2.79,2.56,2.63,2765000
2018-07-31,2.58,2.58,2.45,2.49,1236000
2018-08-01,2.45,2.5,2.4,2.45,491000
2018-08-02,2.45,2.48,2.4,2.45,76000
2018-08-03,2.45,2.47,2.4,2.45,152000
2018-08-06,2.45,2.45,2.33,2.35,783000
2018-08-07,2.35,2.4,2.3,2.4,424000
2018-08-08,2.4,2.4,2.34,2.36,227000
2018-08-09,2.38,2.44,2.38,2.43,220000
2018-08-10,2.36,2.43,2.36,2.4,26000
2018-08-13,2.38,2.38,2.35,2.36,98000
2018-08-14,2.36,2.36,2.3,2.36,81000
2018-08-15,2.36,2.38,2.31,2.37,50000
2018-08-16,2.31,2.34,2.3,2.32,223000
2018-08-17,2.32,2.34,2.27,2.33,170000
2018-08-20,2.32,2.36,2.32,2.34,198000
2018-08-22,2.33,2.33,2.31,2.33,109000
2018-08-23,2.33,2.37,2.33,2.37,76000
2018-08-24,2.35,2.38,2.32,2.38,43000
2018-08-28,2.31,2.4,2.31,2.35,152000
2018-08-29,2.35,2.49,2.33,2.46,593000
2018-08-30,2.46,2.53,2.38,2.48,443000
2018-08-31,2.43,2.45,2.43,2.45,75000
2018-09-03,2.43,2.51,2.42,2.51,142000
2018-09-04,2.54,2.65,2.51,2.61,958000
2018-09-05,2.7,2.8,2.65,2.7,2304000
2018-09-06,2.78,2.8,2.5,2.55,553000
2018-09-07,2.6,2.67,2.46,2.49,327000
2018-09-10,2.49,2.6,2.4,2.59,411000
2018-09-11,2.54,2.54,2.42,2.5,244000
2018-09-12,2.6,2.6,2.39,2.46,284000
2018-09-13,2.4,2.46,2.37,2.4,360000
2018-09-14,2.39,2.48,2.38,2.47,340000
2018-09-17,2.47,2.47,2.38,2.41,266000
2018-09-18,2.39,2.4,2.37,2.37,66000
2018-09-19,2.4,2.4,2.31,2.31,398000
2018-09-20,2.31,2.35,2.31,2.32,171000
2018-09-21,2.32,2.45,2.3,2.44,200000
