date,open,high,low,close,volume
1999-02-04,0.35,0.35,0.35,0.35,10000
1999-02-15,0.35,0.35,0.35,0.35,70000
1999-02-23,0.4,0.4,0.4,0.4,20000
1999-02-24,0.38,0.38,0.38,0.38,70000
1999-03-08,0.35,0.35,0.35,0.35,10000
1999-03-09,0.35,0.35,0.35,0.35,100000
1999-03-18,0.34,0.34,0.34,0.34,40000
1999-03-23,0.34,0.34,0.34,0.34,40000
1999-03-24,0.34,0.34,0.34,0.34,10000
1999-03-25,0.34,0.34,0.34,0.34,20000
1999-03-26,0.34,0.34,0.34,0.34,40000
1999-03-29,0.34,0.35,0.34,0.35,100000
1999-04-08,0.34,0.34,0.34,0.34,60000
1999-04-14,0.34,0.34,0.34,0.34,320000
1999-04-15,0.4,0.4,0.38,0.38,120000
1999-04-16,0.34,0.34,0.34,0.34,30000
1999-04-20,0.34,0.35,0.34,0.35,100000
1999-04-21,0.35,0.35,0.34,0.34,180000
1999-04-22,0.34,0.35,0.34,0.35,180000
1999-04-28,0.35,0.35,0.35,0.35,10000
1999-04-30,0.4,0.4,0.4,0.4,330000
1999-05-03,0.4,0.4,0.4,0.4,170000
1999-05-04,0.45,0.45,0.45,0.45,10000
1999-05-06,0.45,0.5,0.45,0.5,70000
1999-05-07,0.5,0.5,0.49,0.5,110000
1999-05-10,0.5,0.5,0.5,0.5,100000
1999-05-11,0.51,0.51,0.51,0.51,100000
1999-05-13,0.5,0.5,0.5,0.5,40000
1999-05-14,0.5,0.5,0.5,0.5,60000
1999-05-18,0.45,0.45,0.42,0.42,100000
1999-05-25,0.4,0.4,0.4,0.4,20000
1999-05-27,0.4,0.4,0.4,0.4,100000
1999-05-28,0.4,0.41,0.4,0.41,380000
1999-06-01,0.45,0.45,0.45,0.45,50000
1999-06-02,0.41,0.41,0.41,0.41,10000
1999-06-03,0.41,0.41,0.41,0.41,30000
1999-06-08,0.4,0.4,0.39,0.39,20000
1999-06-11,0.4,0.4,0.4,0.4,80000
1999-06-15,0.4,0.4,0.4,0.4,20000
1999-06-16,0.41,0.43,0.41,0.43,320000
1999-06-17,0.44,0.44,0.44,0.44,20000
1999-06-18,0.4,0.46,0.4,0.46,50000
1999-06-21,0.46,0.46,0.46,0.46,30000
1999-06-22,0.48,0.52,0.47,0.52,360000
1999-06-24,0.52,0.52,0.47,0.47,100000
1999-06-25,0.46,0.46,0.46,0.46,30000
1999-06-30,0.4,0.42,0.4,0.42,20000
1999-07-02,0.5,0.5,0.5,0.5,10000
1999-07-05,0.42,0.42,0.42,0.42,10000
1999-07-07,0.5,0.5,0.5,0.5,30000
1999-07-08,0.46,0.5,0.46,0.5,60000
1999-07-09,0.5,0.5,0.46,0.46,240000
1999-07-13,0.46,0.46,0.46,0.46,10000
1999-07-20,0.46,0.48,0.46,0.48,110000
1999-07-26,0.44,0.44,0.44,0.44,100000
1999-07-27,0.31,0.31,0.31,0.31,10000
1999-07-28,0.32,0.32,0.32,0.32,170000
1999-08-05,0.4,0.45,0.4,0.45,90000
1999-08-06,0.5,0.55,0.5,0.55,30000
1999-08-09,0.55,0.55,0.55,0.55,10000
1999-08-10,0.5,0.5,0.5,0.5,100000
1999-10-04,0.34,0.55,0.34,0.55,40000
1999-10-05,0.55,0.55,0.55,0.55,160000
1999-10-07,0.38,0.38,0.38,0.38,40000
1999-12-13,0.45,0.45,0.45,0.45,30000
1999-12-21,0.27,0.35,0.27,0.29,1220000
1999-12-22,0.39,0.42,0.39,0.42,1130000
1999-12-23,0.6,0.6,0.6,0.6,10000
2000-01-04,0.9,0.9,0.9,0.9,10000
2000-01-31,0.85,0.85,0.85,0.85,760000
2000-02-01,0.79,0.79,0.79,0.79,50000
2000-05-24,0.2,0.2,0.2,0.2,10000
2000-07-04,0.48,0.48,0.48,0.48,10000
2000-07-06,0.3,0.3,0.3,0.3,10000
2000-07-14,0.42,0.42,0.42,0.42,20000
2000-07-20,0.42,0.42,0.4,0.4,300000
2000-07-21,0.4,0.4,0.4,0.4,10000
2000-07-26,0.4,0.4,0.4,0.4,20000
2000-07-27,0.4,0.4,0.4,0.4,10000
2000-08-07,0.4,0.4,0.4,0.4,10000
2000-08-14,0.4,0.4,0.4,0.4,20000
2000-08-18,0.4,0.4,0.4,0.4,50000
2000-08-21,0.4,0.4,0.4,0.4,40000
2000-09-19,0.4,0.4,0.4,0.4,100000
2000-09-20,0.4,0.42,0.4,0.42,890000
2000-09-21,0.4,0.4,0.4,0.4,100000
2000-09-28,0.4,0.4,0.4,0.4,50000
2000-09-29,0.3,0.4,0.3,0.4,60000
2000-10-02,0.4,0.4,0.4,0.4,150000
2000-10-04,0.4,0.4,0.4,0.4,3460000
2000-10-27,0.25,0.25,0.25,0.25,1400000
2000-11-06,0.28,0.32,0.28,0.32,1400000
2000-11-10,0.28,0.28,0.28,0.28,10000
2000-11-22,0.2,0.2,0.2,0.2,10000
2000-11-27,0.165,0.3,0.165,0.3,70000
2001-01-29,0.4,0.4,0.4,0.4,150000
2001-01-30,0.4,0.4,0.4,0.4,30000
2001-01-31,0.4,0.4,0.4,0.4,50000
2001-02-01,0.4,0.4,0.4,0.4,20000
2001-02-02,0.3,0.3,0.3,0.3,200000
2001-02-07,0.3,0.3,0.3,0.3,1000000
2001-02-14,0.3,0.3,0.3,0.3,140000
2001-02-20,0.25,0.25,0.25,0.25,10000
2001-03-28,0.25,0.25,0.25,0.25,50000
2001-03-29,0.2,0.2,0.2,0.2,10000
2001-05-24,0.2,0.2,0.2,0.2,10000
2001-06-05,0.24,0.24,0.24,0.24,30000
2001-06-07,0.3,0.3,0.3,0.3,50000
2001-06-20,0.3,0.3,0.3,0.3,40000
2001-07-02,0.3,0.3,0.3,0.3,20000
2001-07-06,0.3,0.33,0.3,0.33,130000
2001-07-09,0.3,0.3,0.3,0.3,10000
2001-07-11,0.38,0.38,0.38,0.38,24070000
2001-07-13,0.35,0.35,0.35,0.35,50000
2001-07-20,0.35,0.35,0.35,0.35,100000
2001-07-25,0.35,0.35,0.35,0.35,20000
2001-07-27,0.35,0.35,0.35,0.35,10000
2001-07-30,0.35,0.35,0.35,0.35,100000
2001-07-31,0.35,0.35,0.35,0.35,10000
2001-08-01,0.35,0.35,0.35,0.35,50000
2001-08-17,0.35,0.35,0.35,0.35,100000
2001-08-20,0.35,0.35,0.35,0.35,110000
2001-08-21,0.35,0.35,0.35,0.35,50000
2001-08-22,0.35,0.35,0.35,0.35,2070000
2001-08-31,0.35,0.35,0.35,0.35,10000
2001-09-12,0.32,0.32,0.32,0.32,100000
2001-09-18,0.32,0.32,0.32,0.32,10000
2001-09-20,0.32,0.32,0.32,0.32,10000
2001-09-24,0.32,0.32,0.32,0.32,70000
2001-09-28,0.3,0.3,0.3,0.3,20000
2001-10-05,0.3,0.3,0.3,0.3,90000
2001-11-06,0.27,0.27,0.27,0.27,200000
2001-11-28,0.27,0.27,0.27,0.27,20000
2001-12-20,0.27,0.27,0.27,0.27,10000
2002-01-03,0.27,0.27,0.27,0.27,10000
2002-01-22,0.27,0.27,0.27,0.27,10000
2002-01-23,0.27,0.27,0.27,0.27,30000
2002-01-24,0.28,0.28,0.28,0.28,100000
2002-02-05,0.3,0.3,0.3,0.3,10000
2002-02-11,0.33,0.33,0.33,0.33,10000
2002-02-19,0.34,0.34,0.34,0.34,10000
2002-02-20,0.34,0.34,0.34,0.34,20000
2002-02-26,0.4,0.4,0.4,0.4,20000
2002-03-04,0.33,0.33,0.33,0.33,10000
2002-03-05,0.33,0.33,0.33,0.33,10000
2002-03-11,0.33,0.33,0.33,0.33,10000
2002-03-18,0.31,0.31,0.31,0.31,200000
2002-04-17,0.32,0.32,0.32,0.32,200000
2002-05-14,0.32,0.32,0.32,0.32,20000
2002-05-23,0.33,0.33,0.33,0.33,20000
2002-05-27,0.34,0.34,0.34,0.34,300000
2002-05-29,0.46,0.48,0.46,0.48,80000
2002-06-07,0.45,0.45,0.45,0.45,3000000
2002-06-17,0.38,0.38,0.3,0.3,340000
2002-06-19,0.37,0.37,0.37,0.37,50000
2002-06-27,0.33,0.33,0.33,0.33,10000
2002-08-14,0.32,0.32,0.32,0.32,60000
2002-09-04,0.4,0.4,0.4,0.4,10000
2002-11-07,0.27,0.27,0.27,0.27,80000
2002-11-22,0.24,0.24,0.24,0.24,20000
2002-12-05,0.24,0.24,0.24,0.24,20000
2002-12-11,0.25,0.25,0.25,0.25,80000
2002-12-12,0.2,0.2,0.2,0.2,10000
2002-12-13,0.2,0.2,0.2,0.2,10000
2002-12-26,0.2,0.2,0.2,0.2,80000
2002-12-27,0.2,0.2,0.2,0.2,10000
2003-01-29,0.2,0.2,0.2,0.2,30000
2003-01-30,0.2,0.2,0.2,0.2,10000
2003-04-10,0.2,0.2,0.2,0.2,10000
2003-04-11,0.2,0.2,0.2,0.2,10000
2003-06-10,0.2,0.2,0.2,0.2,100000
2003-06-12,0.2,0.2,0.2,0.2,100000
2003-07-03,0.2,0.2,0.2,0.2,30000
2003-07-24,0.2,0.2,0.2,0.2,50000
2003-07-31,0.14,0.14,0.14,0.14,10000
2003-08-06,0.15,0.185,0.15,0.185,430000
2003-08-08,0.27,0.27,0.27,0.27,20000
2003-08-14,0.32,0.32,0.32,0.32,10000
2003-09-04,0.25,0.25,0.24,0.24,60000
2003-09-05,0.23,0.23,0.23,0.23,20000
2003-10-22,0.32,0.32,0.32,0.32,10000
2003-11-06,0.33,0.33,0.33,0.33,10000
2003-11-07,0.32,0.32,0.32,0.32,30000
2004-01-06,0.25,0.25,0.25,0.25,10000
2004-01-16,0.16,0.16,0.16,0.16,30000
2004-01-20,0.15,0.15,0.15,0.15,10000
2004-01-21,0.16,0.16,0.16,0.16,50000
2004-01-22,0.17,0.17,0.17,0.17,20000
2004-01-23,0.2,0.25,0.2,0.25,40000
2004-02-06,0.25,0.25,0.25,0.25,20000
2004-02-17,0.25,0.3,0.25,0.3,160000
2004-03-05,0.3,0.3,0.3,0.3,10000
2004-03-08,0.18,0.18,0.18,0.18,20000
2004-03-12,0.15,0.15,0.15,0.15,10000
2004-03-16,0.155,0.155,0.155,0.155,200000
2004-03-23,0.16,0.16,0.16,0.16,10000
2004-03-31,0.18,0.18,0.18,0.18,10000
2004-04-01,0.24,0.24,0.24,0.24,30000
2004-04-02,0.27,0.27,0.27,0.27,60000
2004-04-06,0.25,0.25,0.25,0.25,20000
2004-04-14,0.32,0.32,0.32,0.32,10000
2004-05-26,0.3,0.3,0.3,0.3,20000
2004-05-27,0.32,0.34,0.32,0.34,200000
2004-06-04,0.33,0.33,0.33,0.33,30000
2004-06-10,0.34,0.34,0.34,0.34,20000
2004-06-15,0.38,0.38,0.38,0.38,40000
2004-06-16,0.32,0.32,0.32,0.32,200000
2004-07-08,0.32,0.32,0.32,0.32,130000
2004-07-12,0.35,0.35,0.35,0.35,100000
2004-07-22,0.37,0.37,0.37,0.37,100000
2004-07-27,0.38,0.38,0.38,0.38,100000
2004-07-28,0.37,0.38,0.37,0.38,70000
2004-08-02,0.4,0.4,0.4,0.4,50000
