date,open,high,low,close,volume
1999-02-04,2.5,2.55,2.32,2.38,836000
1999-02-05,2.4,2.4,2.32,2.36,620000
1999-02-08,2.4,2.4,2.32,2.36,620000
1999-02-09,2.4,2.4,2.32,2.36,620000
1999-02-10,2.4,2.4,2.32,2.36,620000
1999-02-11,2.4,2.4,2.32,2.36,620000
1999-02-12,2.2,2.22,2.12,2.14,650000
1999-02-15,2.1,2.12,2.08,2.1,645000
1999-02-16,2.1,2.1,2.1,2.1,10000
1999-02-17,2.1,2.12,2.08,2.08,423000
1999-02-18,2.16,2.22,2.08,2.12,580000
1999-02-19,2.14,2.14,2.1,2.1,71000
1999-02-22,2.1,2.1,2.1,2.1,50000
1999-02-23,2.08,2.08,2.08,2.08,70000
1999-02-24,2.06,2.06,2.06,2.06,16000
1999-02-25,2.08,2.1,2.08,2.1,255000
1999-02-26,2.14,2.22,2.14,2.16,150000
1999-03-01,2.16,2.16,2.1,2.1,400000
1999-03-02,2.1,2.1,2.1,2.1,10000
1999-03-03,2.16,2.2,2.14,2.2,559000
1999-03-04,2.22,2.24,2.22,2.22,125000
1999-03-05,2.24,2.26,2.22,2.26,150000
1999-03-08,2.22,2.38,2.22,2.38,592000
1999-03-09,2.4,2.44,2.32,2.32,490000
1999-03-10,2.32,2.38,2.24,2.38,650000
1999-03-11,2.38,2.38,2.32,2.38,605000
1999-03-12,2.3,2.6,2.3,2.6,3485000
1999-03-15,2.6,2.7,2.46,2.46,3659000
1999-03-16,2.48,2.5,2.48,2.5,450000
1999-03-17,2.48,2.55,2.48,2.48,785000
1999-03-18,2.5,2.55,2.5,2.55,2201000
1999-03-19,2.6,2.6,2.5,2.6,1155000
1999-03-22,2.55,2.55,2.55,2.55,270000
1999-03-23,2.6,2.65,2.6,2.65,1978000
1999-03-24,2.6,2.6,2.5,2.5,3004000
1999-03-25,2.6,2.6,2.5,2.5,1380000
1999-03-26,2.5,2.5,2.44,2.44,1653000
1999-03-29,2.44,2.46,2.42,2.42,1320000
1999-03-30,2.4,2.4,2.4,2.4,260000
1999-03-31,2.4,2.4,2.36,2.36,441000
1999-04-05,2.4,2.4,2.4,2.4,100000
1999-04-06,2.4,2.4,2.36,2.38,330000
1999-04-07,2.38,2.48,2.38,2.48,2487000
1999-04-08,2.42,2.46,2.42,2.46,68000
1999-04-12,2.42,2.44,2.42,2.44,2195000
1999-04-13,2.42,2.44,2.42,2.44,1342000
1999-04-14,2.4,2.4,2.38,2.38,880000
1999-04-15,2.44,2.44,2.3,2.3,965000
1999-04-16,2.34,2.38,2.34,2.38,530000
1999-04-19,2.38,2.42,2.38,2.42,1336000
1999-04-20,2.4,2.44,2.4,2.42,2195000
1999-04-21,2.4,2.4,2.38,2.38,555000
1999-04-22,2.4,2.4,2.4,2.4,307000
1999-04-23,2.4,2.4,2.4,2.4,1060000
1999-04-26,2.4,2.44,2.4,2.44,855000
1999-04-27,2.46,2.46,2.42,2.42,1037000
1999-04-28,2.4,2.42,2.38,2.42,1245000
1999-04-29,2.42,2.42,2.36,2.4,1570000
1999-04-30,2.34,2.4,2.34,2.4,853000
1999-05-03,2.34,2.34,2.32,2.34,2180000
1999-05-04,2.34,2.42,2.34,2.42,2100000
1999-05-05,2.36,2.4,2.36,2.4,1965000
1999-05-06,2.38,2.44,2.34,2.44,3162000
1999-05-07,2.44,2.46,2.4,2.42,2402000
1999-05-10,2.44,2.48,2.42,2.48,3679000
1999-05-11,2.46,2.8,2.46,2.8,7424000
1999-05-12,2.9,3.15,2.9,3.15,11179000
1999-05-13,3.1,3.1,2.95,3.0,3730000
1999-05-14,3.0,3.5,2.85,3.4,9696000
1999-05-17,3.5,3.5,3.1,3.15,4692000
1999-05-18,3.3,3.3,3.0,3.15,3303000
1999-05-19,3.05,3.05,2.85,2.85,2965000
1999-05-20,2.8,2.95,2.75,2.85,1210000
1999-05-21,2.9,2.9,2.85,2.85,1645000
1999-05-24,2.75,2.85,2.65,2.7,1594000
1999-05-25,2.75,3.05,2.75,2.9,3837000
1999-05-26,2.85,2.85,2.75,2.8,927000
1999-05-27,2.7,2.9,2.6,2.85,3045000
1999-05-28,2.85,2.85,2.8,2.8,1514000
1999-05-31,2.8,2.9,2.75,2.85,3343000
1999-06-01,2.85,2.9,2.85,2.85,1841000
1999-06-02,2.8,2.9,2.8,2.85,970000
1999-06-03,2.85,2.85,2.7,2.8,1260000
1999-06-04,2.8,3.05,2.8,2.95,3312000
1999-06-07,2.9,3.15,2.85,3.15,9592000
1999-06-08,3.3,3.75,3.3,3.6,15176000
1999-06-09,3.65,3.9,3.65,3.7,5264000
1999-06-10,3.7,4.0,3.7,3.95,15053000
1999-06-11,4.1,4.1,3.85,4.0,12473000
1999-06-14,4.2,4.35,4.1,4.2,14442000
1999-06-15,4.2,4.2,3.95,4.0,6126000
1999-06-16,4.0,4.15,3.9,4.1,4462000
1999-06-17,4.1,4.15,4.0,4.0,4275000
1999-06-18,4.0,4.5,3.95,4.5,11152000
1999-06-21,4.5,4.85,4.5,4.85,20207000
1999-06-22,5.2,5.3,4.9,5.3,24837000
1999-06-23,5.5,6.2,5.5,6.2,20936000
1999-06-24,6.5,8.7,6.5,8.6,52527000
1999-06-25,8.9,9.5,8.4,8.4,46126000
1999-06-28,8.2,8.2,7.5,8.1,34062000
1999-06-29,8.4,8.7,8.1,8.5,30187000
1999-06-30,8.7,8.7,8.1,8.2,15589000
1999-07-01,8.3,8.3,7.7,8.2,16247000
1999-07-02,8.2,8.2,7.8,8.0,3342000
1999-07-05,7.9,7.9,7.0,7.5,9821000
1999-07-06,7.0,7.4,6.9,7.4,4113000
1999-07-07,7.4,7.8,7.4,7.8,8774000
1999-07-08,7.7,7.8,7.5,7.6,3104000
1999-07-09,7.6,7.6,7.3,7.4,3143000
1999-07-12,7.4,7.4,7.0,7.0,3884000
1999-07-13,6.9,6.9,6.7,6.8,921000
1999-07-14,6.7,6.7,6.4,6.7,3968000
1999-07-15,6.7,7.3,6.7,7.0,7953000
1999-07-16,7.2,7.6,7.2,7.6,7159000
1999-07-19,7.7,7.7,7.3,7.5,3413000
1999-07-20,7.4,7.6,7.1,7.6,4010000
1999-07-21,7.3,7.5,7.2,7.3,3255000
1999-07-22,7.3,7.4,6.8,7.2,4150000
1999-07-23,7.0,7.1,6.9,6.9,1882000
1999-07-26,6.8,6.8,6.5,6.8,1532000
1999-07-27,6.5,6.6,6.2,6.5,3647000
1999-07-28,6.6,7.1,6.6,7.1,6893000
1999-07-29,7.1,7.4,7.1,7.3,3907000
1999-07-30,7.1,7.1,6.9,7.0,1626000
1999-08-02,7.0,7.0,6.9,7.0,1170000
1999-08-04,7.0,7.2,7.0,7.2,2022000
1999-08-05,7.0,7.0,6.8,6.8,2682000
1999-08-06,6.8,7.1,6.7,7.0,1735000
1999-08-09,6.7,7.0,6.7,7.0,991000
1999-08-10,6.8,6.9,6.8,6.8,1235000
1999-08-11,6.8,6.8,6.4,6.5,2452000
1999-08-12,6.7,6.7,6.4,6.4,1963000
1999-08-13,6.5,6.5,6.3,6.4,462000
