date,open,high,low,close,volume
1999-02-04,0.28,0.28,0.28,0.28,110000
1999-02-05,0.32,0.32,0.32,0.32,30000
1999-02-08,0.32,0.32,0.32,0.32,30000
1999-02-09,0.32,0.32,0.32,0.32,30000
1999-02-10,0.32,0.32,0.32,0.32,30000
1999-02-11,0.32,0.32,0.32,0.32,30000
1999-02-17,1.7,1.7,1.7,1.7,10000
1999-02-19,1.6,1.6,1.6,1.6,67000
1999-02-26,1.8,1.8,1.8,1.8,10000
1999-03-01,1.2,1.8,1.2,1.6,19000
1999-03-02,1.7,1.7,1.6,1.6,20000
1999-03-05,1.2,1.76,1.2,1.76,12000
1999-03-24,1.7,1.7,1.7,1.7,5000
1999-03-26,1.62,1.62,1.6,1.6,20000
1999-04-27,1.6,1.6,1.6,1.6,10000
1999-05-05,1.6,1.6,1.6,1.6,16000
1999-05-27,1.6,1.6,1.3,1.6,100000
1999-06-02,1.6,1.6,1.6,1.6,15000
1999-06-10,1.5,1.6,1.5,1.6,52000
1999-06-14,1.5,1.9,1.5,1.9,14000
1999-06-16,1.6,1.6,1.6,1.6,10000
1999-06-21,2.1,2.1,2.1,2.1,22000
1999-06-24,2.0,2.0,2.0,2.0,20000
1999-06-25,2.1,2.6,2.1,2.5,277000
1999-06-28,2.5,2.5,2.5,2.5,40000
1999-06-29,2.75,3.4,2.75,3.1,208000
1999-06-30,3.1,3.7,3.1,3.6,445000
1999-07-01,3.2,3.5,3.2,3.2,180000
1999-07-06,3.1,3.15,3.1,3.15,10000
1999-07-08,3.0,3.3,3.0,3.1,152000
1999-07-09,2.95,2.95,2.95,2.95,20000
1999-07-16,2.6,2.6,2.6,2.6,7000
1999-07-23,2.6,2.6,2.6,2.6,30000
1999-07-27,2.5,2.5,2.5,2.5,60000
1999-07-28,2.5,2.5,2.5,2.5,22000
1999-08-04,4.5,4.5,4.5,4.5,3000
1999-08-05,4.0,4.0,4.0,4.0,25000
1999-08-09,4.0,4.0,4.0,4.0,2000
1999-08-26,4.0,5.5,4.0,4.0,47000
1999-08-27,4.0,4.0,4.0,4.0,20000
1999-11-23,2.5,2.5,2.5,2.5,4000
1999-11-24,2.6,2.6,2.6,2.6,1000
2000-02-15,2.6,2.6,2.6,2.6,3000
2000-03-29,2.0,2.0,2.0,2.0,5000
2000-03-30,2.0,2.0,2.0,2.0,8000
2000-05-24,4.5,4.5,4.5,4.5,100000
2000-05-31,3.75,3.75,3.75,3.75,5000
2001-02-02,2.5,3.0,2.5,3.0,32000
2001-02-07,3.0,3.0,3.0,3.0,1000
2001-02-08,3.0,3.0,3.0,3.0,6000
2001-02-21,4.0,4.0,4.0,4.0,39000
2001-02-23,5.0,5.0,5.0,5.0,5000
2001-03-01,5.5,6.0,5.5,6.0,18000
2001-03-19,4.0,4.0,4.0,4.0,23000
2001-03-28,4.0,4.0,4.0,4.0,10000
2001-04-19,4.0,4.0,4.0,4.0,20000
2001-04-20,4.0,4.0,4.0,4.0,20000
2001-04-24,4.0,4.0,4.0,4.0,778000
2001-04-30,4.0,4.0,4.0,4.0,10000
2001-05-10,4.8,4.8,4.8,4.8,50000
2001-05-24,4.5,4.5,4.5,4.5,100000
2001-05-25,4.4,4.4,4.4,4.4,100000
2001-05-28,4.4,4.4,4.4,4.4,103000
2001-05-31,3.75,3.75,3.75,3.75,5000
2001-06-13,3.9,3.9,3.9,3.9,10000
2001-06-14,3.9,3.9,3.9,3.9,8000
2001-06-15,3.9,3.9,3.9,3.9,10000
2001-06-19,3.9,3.9,3.9,3.9,3000
2001-07-11,4.2,4.2,4.2,4.2,440000
2001-07-17,4.2,4.5,4.2,4.5,50000
2001-07-18,5.0,6.3,5.0,6.0,32000
2001-07-19,6.3,6.5,6.0,6.0,47000
2001-07-20,6.0,6.0,6.0,6.0,12000
2001-07-23,6.0,6.0,6.0,6.0,1000
2001-07-25,4.5,4.5,4.5,4.5,2000
2001-07-27,4.4,4.9,4.4,4.9,13000
2001-07-31,4.0,4.0,4.0,4.0,3000
2001-08-01,4.0,5.3,4.0,5.3,190000
2001-08-02,4.8,4.8,4.8,4.8,196000
2001-08-10,3.8,3.85,3.8,3.85,10000
2001-08-13,3.8,3.8,3.8,3.8,10000
2001-08-20,3.65,3.65,3.65,3.65,20000
2001-08-27,3.65,3.65,3.65,3.65,1000
2001-09-12,3.5,3.5,3.5,3.5,31000
2001-09-14,3.4,3.4,3.4,3.4,5000
2001-10-04,3.4,3.4,3.4,3.4,10000
2001-10-08,3.5,3.5,3.5,3.5,100000
2001-11-14,4.2,4.2,4.2,4.2,70000
2001-11-15,4.2,4.2,4.2,4.2,5000
2001-11-19,3.75,3.75,3.75,3.75,4000
2001-12-05,3.9,3.9,3.9,3.9,100000
2001-12-06,3.9,4.0,3.9,4.0,101000
2001-12-19,4.2,4.2,4.2,4.2,10000
2002-01-16,3.9,3.9,3.9,3.9,215000
2002-01-23,4.2,4.2,4.2,4.2,10000
2002-06-07,3.5,3.5,3.5,3.5,4000
2002-06-10,3.5,3.5,3.5,3.5,10000
2002-06-11,3.4,3.4,3.4,3.4,20000
2002-06-13,3.4,3.4,3.4,3.4,20000
2002-07-31,4.5,4.5,4.5,4.5,270000
2002-08-02,3.0,3.0,3.0,3.0,2000
2002-08-14,4.0,4.0,4.0,4.0,201000
2002-09-13,4.0,4.0,4.0,4.0,164000
2002-09-19,3.9,4.0,3.9,4.0,181000
2002-09-25,3.0,3.0,3.0,3.0,5000
2002-09-26,2.0,2.0,2.0,2.0,13612000
2002-10-02,2.0,2.0,2.0,2.0,10000
2002-10-09,3.0,3.0,3.0,3.0,100000
2002-10-14,3.0,3.0,3.0,3.0,90000
2002-10-15,3.3,3.7,3.3,3.7,170000
2002-10-17,3.6,3.6,3.6,3.6,100000
2002-11-06,3.0,3.0,3.0,3.0,80000
2002-11-14,3.0,3.0,3.0,3.0,738000
2002-11-20,3.4,3.4,3.4,3.4,170000
2002-11-25,3.3,3.3,3.3,3.3,190000
2002-11-29,3.3,3.3,3.3,3.3,150000
2002-12-09,3.0,3.0,3.0,3.0,150000
2002-12-10,3.9,3.9,3.9,3.9,170000
2003-01-02,3.9,3.9,3.9,3.9,135000
2003-01-08,3.7,3.7,3.7,3.7,165000
2003-01-20,3.4,3.4,3.4,3.4,80000
2003-01-21,3.3,3.3,3.3,3.3,5000
2003-01-22,3.3,3.3,3.3,3.3,8000
2003-01-23,3.2,3.2,3.2,3.2,125000
