date,open,high,low,close,volume
2000-01-06,1.12,1.2,1.12,1.2,43000
2000-01-07,1.2,1.2,1.2,1.2,35000
2000-01-10,1.24,1.3,1.24,1.3,81000
2000-01-11,1.24,1.24,1.24,1.24,98000
2000-01-14,1.16,1.16,1.14,1.14,58000
2000-01-18,1.34,1.34,1.16,1.16,75000
2000-01-19,1.16,1.24,1.16,1.2,180000
2000-01-25,1.16,1.16,1.14,1.14,65000
2000-01-27,1.14,1.14,1.14,1.14,10000
2000-01-28,1.12,1.16,1.12,1.16,35000
2000-01-31,1.12,1.12,1.12,1.12,50000
2000-02-01,1.12,1.12,1.12,1.12,15000
2000-02-02,1.06,1.06,1.06,1.06,20000
2000-02-03,1.1,1.1,1.1,1.1,1000
2000-02-04,1.06,1.06,1.06,1.06,200000
2000-02-09,1.1,1.1,1.1,1.1,6000
2000-02-11,1.2,1.2,1.2,1.2,3000
2000-02-16,1.2,1.2,1.2,1.2,40000
2000-02-18,1.12,1.2,1.12,1.2,202000
2000-02-21,1.46,1.46,1.38,1.38,143000
2000-03-02,1.2,1.3,1.2,1.3,176000
2000-03-03,1.38,1.4,1.38,1.4,31000
2000-03-06,1.24,1.24,1.24,1.24,1000
2000-03-14,1.14,1.24,1.04,1.24,270000
2000-03-17,1.1,1.1,1.1,1.1,10000
2000-03-20,1.04,1.04,1.04,1.04,8000
2000-03-30,1.02,1.04,1.02,1.04,90000
2000-04-04,1.0,1.0,1.0,1.0,45000
2000-04-28,0.9,0.9,0.9,0.9,10000
2000-05-03,0.8,0.8,0.8,0.8,40000
2000-05-04,0.81,0.81,0.8,0.8,130000
2000-05-16,0.89,0.89,0.89,0.89,70000
2000-06-02,0.8,0.8,0.8,0.8,10000
2000-06-05,0.9,0.9,0.9,0.9,10000
2000-06-09,0.8,0.8,0.8,0.8,200000
2000-06-13,1.0,1.0,1.0,1.0,120000
2000-06-14,1.32,1.32,1.32,1.32,50000
2000-06-15,1.4,1.4,1.4,1.4,10000
2000-06-30,1.2,1.28,1.2,1.28,20000
2000-07-10,1.0,1.0,1.0,1.0,20000
2000-07-13,1.02,1.02,1.02,1.02,50000
2000-07-20,0.9,0.9,0.9,0.9,5000
2000-08-09,0.9,0.9,0.9,0.9,20000
2000-08-10,1.0,1.0,1.0,1.0,10000
2000-08-15,0.9,0.9,0.9,0.9,30000
2000-08-17,0.8,0.8,0.8,0.8,360000
2000-08-22,0.8,0.8,0.8,0.8,330000
2000-08-28,0.8,0.8,0.8,0.8,350000
2000-09-14,0.61,0.61,0.61,0.61,20000
2000-09-15,0.8,0.8,0.8,0.8,20000
2000-09-29,0.84,0.84,0.84,0.84,40000
2001-02-22,1.0,1.0,1.0,1.0,20000
2001-02-23,1.0,1.02,1.0,1.02,80000
2001-02-28,0.7,0.7,0.7,0.7,35000
2001-03-01,0.98,1.0,0.98,1.0,1510000
2001-03-05,1.0,1.0,0.98,0.98,3010000
2001-03-08,0.98,1.0,0.7,0.7,4110000
2001-03-16,0.7,0.7,0.7,0.7,10080000
2001-03-26,0.7,0.7,0.7,0.7,5580000
2001-05-25,0.45,0.45,0.45,0.45,10000
2001-05-30,0.45,0.45,0.45,0.45,190000
2001-06-13,0.4,0.4,0.4,0.4,220000
2001-07-11,0.48,0.48,0.48,0.48,10000
2001-09-07,0.4,0.4,0.4,0.4,20000
2001-11-15,0.24,0.24,0.24,0.24,10000
2001-12-07,0.29,0.29,0.29,0.29,40000
2002-01-08,0.3,0.3,0.3,0.3,30000
2002-01-22,0.3,0.31,0.3,0.31,320000
2002-01-29,0.32,0.32,0.32,0.32,30000
2002-02-14,0.37,0.37,0.37,0.37,10000
2002-02-15,0.54,0.54,0.54,0.54,10000
2002-02-20,0.4,0.4,0.4,0.4,100000
2002-02-26,0.41,0.41,0.4,0.4,420000
2002-02-28,0.49,0.49,0.48,0.48,70000
2002-06-17,0.36,0.36,0.36,0.36,30000
2002-06-19,0.52,0.52,0.52,0.52,20000
2002-07-11,0.35,0.35,0.35,0.35,40000
2002-07-16,0.35,0.35,0.35,0.35,40000
2002-08-16,0.51,0.51,0.51,0.51,120000
2002-08-26,0.6,0.6,0.6,0.6,10000
2002-09-02,0.74,0.75,0.74,0.75,90000
2002-09-03,0.77,0.77,0.77,0.77,20000
2002-10-08,0.75,0.75,0.75,0.75,50000
2003-01-28,0.64,0.64,0.64,0.64,10000
2003-02-03,0.45,0.55,0.45,0.55,90000
2003-02-06,0.56,0.56,0.56,0.56,10000
2003-03-03,0.7,0.7,0.7,0.7,100000
2003-03-04,0.7,0.85,0.7,0.85,400000
2003-03-05,0.99,1.1,0.99,0.99,280000
2003-03-10,1.0,1.0,1.0,1.0,50000
2003-03-12,1.0,1.1,1.0,1.0,1330000
2003-03-13,1.0,1.06,1.0,1.0,880000
2003-03-14,1.06,1.06,1.06,1.06,140000
2003-03-17,1.0,1.0,1.0,1.0,54000
2003-03-18,1.14,1.2,1.14,1.2,210000
2003-03-21,1.14,1.14,1.14,1.14,50000
2003-03-24,1.1,1.32,1.1,1.32,6366000
2003-03-25,1.42,1.42,1.4,1.4,31000
2003-03-26,1.4,1.4,1.3,1.36,1230000
2003-03-27,1.3,1.32,1.3,1.3,152000
2003-03-31,1.1,1.1,1.1,1.1,51000
2003-04-03,0.91,1.1,0.91,1.02,79000
2003-04-04,1.16,1.22,1.16,1.22,120000
2003-04-08,1.06,1.06,1.06,1.06,50000
2003-04-23,1.1,1.2,1.1,1.16,326000
2003-04-24,1.2,1.2,1.2,1.2,20000
2003-04-25,1.2,1.2,1.1,1.1,197000
2003-05-05,1.1,1.16,1.1,1.16,17000
2003-05-07,1.12,1.12,1.12,1.12,10000
2003-05-08,1.12,1.12,1.12,1.12,10000
2003-05-09,1.16,1.16,1.16,1.16,17000
2003-05-13,1.12,1.12,1.1,1.12,33000
2003-06-17,1.1,1.1,1.1,1.1,13000
2003-06-18,1.16,1.16,1.16,1.16,5000
2003-06-20,1.1,1.1,1.1,1.1,40000
2003-06-23,1.0,1.0,1.0,1.0,10000
2003-07-01,1.0,1.0,1.0,1.0,30000
2003-07-02,1.0,1.0,1.0,1.0,40000
2003-07-03,1.0,1.0,1.0,1.0,20000
2003-07-08,1.0,1.0,1.0,1.0,80000
2003-07-11,0.95,0.95,0.94,0.94,150000
2003-07-14,0.9,0.9,0.9,0.9,80000
2003-07-30,0.8,0.8,0.8,0.8,670000
2003-08-08,0.9,0.9,0.9,0.9,20000
2003-09-10,0.7,0.7,0.7,0.7,350000
2003-12-08,0.7,0.7,0.7,0.7,120000
2003-12-11,0.7,0.7,0.7,0.7,100000
2003-12-17,0.66,0.66,0.66,0.66,150000
2003-12-29,0.7,0.7,0.68,0.68,180000
2003-12-30,0.66,0.66,0.66,0.66,20000
2004-01-06,0.7,0.88,0.7,0.82,180000
2004-01-14,0.89,0.89,0.89,0.89,10000
2004-01-26,0.71,0.71,0.71,0.71,10000
2004-08-03,0.65,0.65,0.65,0.65,20000
2004-08-05,0.65,0.65,0.65,0.65,80000
2004-09-03,0.48,0.48,0.48,0.48,350000
2004-10-27,0.33,0.33,0.33,0.33,30000
2004-10-29,0.32,0.33,0.32,0.33,300000
2004-11-02,0.4,0.4,0.4,0.4,290000
2005-01-07,0.4,0.4,0.4,0.4,20000
2005-01-13,0.37,0.37,0.34,0.34,150000
2005-02-14,0.35,0.35,0.35,0.35,10000
