date,open,high,low,close,volume
1999-02-05,0.7,0.7,0.7,0.7,10000
1999-02-08,0.7,0.7,0.7,0.7,10000
1999-02-09,0.7,0.7,0.7,0.7,10000
1999-02-10,0.7,0.7,0.7,0.7,10000
1999-02-11,0.7,0.7,0.7,0.7,10000
1999-02-19,0.6,0.6,0.51,0.51,40000
1999-02-23,0.51,0.51,0.51,0.51,30000
1999-02-26,0.5,0.66,0.5,0.66,80000
1999-03-22,0.58,0.6,0.58,0.6,40000
1999-03-23,0.61,0.61,0.61,0.61,20000
1999-03-25,0.6,0.6,0.6,0.6,20000
1999-03-26,0.63,0.63,0.63,0.63,40000
1999-03-29,0.65,0.65,0.6,0.6,60000
1999-03-30,0.6,0.64,0.6,0.64,70000
1999-04-06,0.85,0.85,0.85,0.85,40000
1999-04-14,0.9,0.0,0.0,0.0,0
1999-04-15,0.86,0.86,0.75,0.75,50000
1999-04-20,0.9,0.9,0.9,0.9,20000
1999-04-21,0.65,0.65,0.65,0.65,20000
1999-04-22,0.65,0.65,0.65,0.65,30000
1999-05-12,0.65,0.65,0.65,0.65,10000
1999-05-17,0.8,0.86,0.8,0.86,30000
1999-05-18,0.82,0.82,0.81,0.81,40000
1999-05-20,0.72,0.72,0.71,0.71,60000
1999-05-26,0.7,0.7,0.7,0.7,20000
1999-06-11,0.85,0.95,0.85,0.95,120000
1999-06-14,1.0,1.0,1.0,1.0,10000
1999-06-16,1.0,1.0,1.0,1.0,20000
1999-06-17,0.95,0.95,0.95,0.95,10000
1999-06-18,0.95,0.95,0.92,0.94,50000
1999-06-21,1.0,1.1,0.96,0.96,90000
1999-06-22,1.0,1.44,1.0,1.44,230000
1999-06-23,1.6,1.8,1.4,1.4,75000
1999-06-24,1.5,1.6,1.5,1.6,110000
1999-06-25,1.7,1.7,1.62,1.62,53000
1999-06-28,1.7,1.7,1.7,1.7,23000
1999-06-29,1.72,1.72,1.7,1.7,16000
1999-06-30,1.8,1.96,1.8,1.96,45000
1999-07-01,2.2,2.2,2.1,2.2,165000
1999-07-02,2.14,2.65,2.14,2.65,70000
1999-07-05,3.5,3.9,3.5,3.9,126000
1999-07-06,4.0,5.2,3.6,3.6,145000
1999-07-07,3.2,3.35,3.2,3.35,38000
1999-07-08,3.9,3.9,3.9,3.9,18000
1999-07-09,3.6,3.9,3.0,3.0,90000
1999-07-12,3.1,3.1,3.0,3.0,67000
1999-07-21,2.2,2.2,2.2,2.2,40000
1999-07-22,2.2,2.2,2.2,2.2,11000
