date,open,high,low,close,volume
2000-12-15,1.72,1.88,1.72,1.76,1256000
2000-12-18,1.76,1.76,1.76,1.76,92000
2000-12-20,1.5,1.72,1.5,1.68,165000
2000-12-21,1.7,1.7,1.7,1.7,80000
2000-12-22,1.68,1.68,1.6,1.6,10000
2000-12-27,1.7,1.7,1.54,1.54,34000
2000-12-28,1.58,1.58,1.56,1.56,26000
2000-12-29,1.68,1.68,1.68,1.68,2000
2001-01-02,1.58,1.58,1.56,1.56,46000
2001-01-03,1.58,1.58,1.56,1.56,64000
2001-01-05,1.6,1.6,1.6,1.6,50000
2001-01-08,1.64,1.64,1.64,1.64,1000
2001-01-09,1.64,1.64,1.64,1.64,1000
2001-01-10,1.56,1.62,1.56,1.62,51000
2001-01-12,1.56,1.62,1.56,1.62,11000
2001-01-15,1.62,1.62,1.62,1.62,2000
2001-01-16,1.64,1.64,1.64,1.64,2000
2001-01-18,1.56,1.56,1.56,1.56,21000
2001-01-22,1.6,1.6,1.58,1.6,166000
2001-01-23,1.58,1.58,1.58,1.58,50000
2001-01-25,1.6,1.6,1.6,1.6,2000
2001-01-26,1.58,1.6,1.58,1.6,52000
2001-01-29,1.6,1.6,1.6,1.6,11000
2001-01-30,1.58,1.62,1.58,1.58,115000
2001-01-31,1.58,1.62,1.56,1.62,100000
2001-02-01,1.6,1.6,1.58,1.58,62000
2001-02-06,1.58,1.7,1.58,1.7,20000
2001-02-07,1.7,1.7,1.7,1.7,2000
2001-02-08,1.68,1.7,1.68,1.7,4000
2001-02-09,1.7,1.7,1.7,1.7,2000
2001-02-14,1.58,1.58,1.58,1.58,50000
2001-02-15,1.6,1.6,1.6,1.6,5000
2001-02-16,1.58,1.58,1.58,1.58,50000
2001-02-21,1.58,1.58,1.58,1.58,11000
2001-02-22,1.58,1.58,1.58,1.58,50000
2001-02-23,1.58,1.6,1.58,1.6,31000
2001-03-05,1.58,1.58,1.58,1.58,50000
2001-03-09,1.58,1.58,1.58,1.58,13000
2001-03-13,1.58,1.58,1.58,1.58,30000
2001-03-15,1.58,1.58,1.58,1.58,10000
2001-03-19,1.58,1.58,1.58,1.58,30000
2001-03-20,1.56,1.58,1.56,1.58,105000
2001-03-21,1.56,1.76,1.56,1.76,132000
2001-03-22,1.56,1.76,1.56,1.76,102000
2001-03-23,1.56,1.7,1.56,1.7,130000
2001-03-26,1.56,1.72,1.56,1.72,156000
2001-03-27,1.56,1.74,1.56,1.74,120000
2001-03-28,1.56,1.7,1.56,1.7,140000
2001-03-29,1.56,1.68,1.56,1.68,83000
2001-03-30,1.56,1.66,1.56,1.66,107000
2001-04-02,1.62,1.62,1.62,1.62,2000
2001-04-03,1.62,1.62,1.62,1.62,53000
2001-04-04,1.62,1.68,1.62,1.68,134000
2001-04-05,1.62,1.62,1.62,1.62,10000
2001-04-25,1.62,1.62,1.62,1.62,30000
2001-04-26,1.6,1.64,1.6,1.64,70000
2001-04-30,1.6,1.6,1.6,1.6,10000
2001-05-15,1.58,1.62,1.58,1.62,40000
2001-05-16,1.62,1.62,1.62,1.62,10000
2001-05-22,1.58,1.58,1.58,1.58,30000
2001-05-23,1.58,1.58,1.58,1.58,10000
2001-05-25,1.58,1.58,1.58,1.58,10000
2001-06-01,1.62,1.62,1.62,1.62,10000
2001-06-11,1.58,1.62,1.58,1.62,30000
