date,open,high,low,close,volume
1999-02-04,4.9,4.9,4.8,4.8,6000
1999-02-05,4.85,4.85,4.85,4.85,10000
1999-02-08,4.85,4.85,4.85,4.85,10000
1999-02-09,4.85,4.85,4.85,4.85,10000
1999-02-10,4.85,4.85,4.85,4.85,10000
1999-02-11,4.85,4.85,4.85,4.85,10000
1999-02-18,4.85,4.85,4.85,4.85,5000
1999-02-19,4.85,5.1,4.85,5.1,50000
1999-02-22,4.8,5.0,4.7,5.0,93000
1999-02-24,4.8,4.8,4.8,4.8,12000
1999-02-25,4.85,5.0,4.85,5.0,52000
1999-03-03,4.7,4.85,4.65,4.85,61000
1999-03-04,4.7,4.85,4.7,4.85,11000
1999-03-05,4.7,4.9,4.7,4.85,52000
1999-03-10,4.85,4.85,4.85,4.85,3000
1999-03-15,4.6,4.85,4.6,4.85,12000
1999-03-17,4.6,4.8,4.6,4.8,20000
1999-03-18,4.7,4.8,4.7,4.8,5000
1999-03-19,4.6,4.8,4.6,4.8,7000
1999-03-23,4.7,4.8,4.7,4.8,6000
1999-03-26,4.6,4.8,4.6,4.8,20000
1999-03-29,4.8,5.0,4.8,5.0,200000
1999-04-05,5.0,5.2,5.0,5.2,113000
1999-04-06,5.1,5.1,5.1,5.1,1000
1999-04-07,5.0,5.1,5.0,5.1,17000
1999-04-12,5.0,5.1,5.0,5.1,12000
1999-04-14,4.75,5.1,4.75,5.1,96000
1999-04-15,4.8,5.0,4.8,5.0,11000
1999-04-20,4.95,5.0,4.95,5.0,90000
1999-04-23,4.95,5.0,4.95,5.0,15000
1999-04-27,4.95,5.1,4.95,5.1,150000
1999-04-29,4.85,5.0,4.85,5.0,125000
1999-04-30,4.8,5.0,4.8,5.0,51000
1999-05-03,4.8,5.0,4.8,5.0,44000
1999-05-04,4.8,5.0,4.8,5.0,105000
1999-05-05,4.8,4.95,4.8,4.95,50000
1999-05-06,4.8,4.8,4.8,4.8,25000
1999-05-07,4.75,4.8,4.75,4.8,140000
1999-05-10,4.7,4.9,4.7,4.9,12000
1999-05-11,4.7,4.8,4.7,4.8,24000
1999-05-12,4.75,4.75,4.75,4.75,5000
1999-05-13,4.75,4.85,4.75,4.85,88000
1999-05-14,4.75,4.85,4.75,4.85,12000
1999-05-18,4.75,4.75,4.75,4.75,5000
1999-05-19,4.75,4.75,4.75,4.75,5000
1999-05-21,4.75,5.0,4.75,5.0,15000
1999-05-26,4.75,4.8,4.75,4.8,40000
1999-05-27,4.7,4.8,4.7,4.8,65000
1999-05-28,4.65,4.8,4.65,4.8,12000
1999-06-01,4.8,4.8,4.75,4.8,53000
1999-06-02,4.75,4.8,4.7,4.8,20000
1999-06-03,4.7,4.7,4.7,4.7,4000
1999-06-07,4.8,4.8,4.75,4.75,20000
1999-06-08,4.75,4.75,4.75,4.75,1000
1999-06-09,4.7,4.8,4.65,4.8,40000
1999-06-10,4.6,4.6,4.6,4.6,1000
1999-06-11,4.65,4.8,4.65,4.8,69000
1999-06-14,4.75,4.8,4.75,4.8,24000
1999-06-16,4.65,4.8,4.65,4.8,52000
1999-06-17,4.7,5.0,4.65,5.0,236000
1999-06-18,4.75,4.75,4.75,4.75,50000
1999-06-21,4.8,5.0,4.8,5.0,191000
1999-06-22,4.8,5.1,4.8,5.1,110000
1999-06-23,5.0,5.0,5.0,5.0,58000
1999-06-24,4.9,4.9,4.9,4.9,3000
1999-06-25,4.9,5.0,4.9,5.0,19000
1999-06-28,5.0,5.0,5.0,5.0,5000
1999-06-29,4.9,4.9,4.9,4.9,10000
1999-06-30,4.9,4.9,4.9,4.9,21000
1999-07-01,4.85,4.85,4.85,4.85,15000
1999-07-02,4.85,4.85,4.8,4.85,13000
1999-07-05,4.9,4.9,4.9,4.9,30000
1999-07-06,4.85,4.85,4.85,4.85,11000
1999-07-07,4.85,4.9,4.85,4.9,32000
1999-07-08,4.9,4.9,4.9,4.9,99000
1999-07-09,4.85,4.85,4.85,4.85,50000
1999-07-13,4.6,4.8,4.6,4.8,42000
1999-07-15,4.55,4.55,4.55,4.55,9000
1999-07-16,4.55,4.55,4.55,4.55,10000
1999-07-20,4.55,4.55,4.5,4.5,17000
1999-07-21,4.5,4.5,4.5,4.5,12000
1999-07-27,4.5,4.5,4.5,4.5,5000
1999-07-28,4.0,4.5,4.0,4.5,41000
1999-07-29,4.45,4.5,4.45,4.5,32000
1999-08-09,4.5,4.5,4.5,4.5,5000
1999-08-10,4.5,4.5,4.5,4.5,10000
1999-08-17,4.2,4.2,4.2,4.2,1000
1999-08-19,4.3,4.3,4.3,4.3,2000
1999-08-20,4.3,4.3,4.3,4.3,26000
1999-08-23,4.0,4.8,4.0,4.8,57000
