date,open,high,low,close,volume
2000-01-03,290.0,295.0,287.5,290.0,137350
2000-01-04,287.5,287.5,275.0,277.5,344420
2000-01-05,275.0,275.0,265.0,267.5,570170
2000-01-06,270.0,272.5,265.0,265.0,420990
2000-01-07,272.5,272.5,262.5,262.5,477860
2000-01-10,270.0,272.5,265.0,265.0,486680
2000-01-11,267.5,270.0,260.0,262.5,777930
2000-01-12,262.5,265.0,257.5,262.5,567060
2000-01-13,260.0,272.5,260.0,265.0,326730
2000-01-14,265.0,267.5,262.5,265.0,148290
2000-01-17,270.0,270.0,260.0,262.5,296850
2000-01-18,262.5,265.0,255.0,257.5,476510
2000-01-19,255.0,255.0,249.0,252.5,620840
2000-01-20,250.0,252.5,250.0,252.5,257440
2000-01-21,255.0,257.5,250.0,250.0,419730
2000-01-24,252.5,252.5,250.0,252.5,316580
2000-01-25,250.0,252.5,249.0,250.0,594890
2000-01-26,247.0,250.0,246.0,247.0,740000
2000-01-27,249.0,252.5,246.0,248.0,563690
2000-01-28,248.0,255.0,248.0,252.5,208570
2000-01-31,250.0,260.0,250.0,260.0,316620
2000-02-01,257.5,260.0,252.5,257.5,253970
2000-02-02,257.5,257.5,252.5,255.0,215130
2000-02-03,252.5,255.0,250.0,252.5,393510
2000-02-04,255.0,255.0,250.0,255.0,429840
2000-02-07,252.5,257.5,252.5,257.5,180840
2000-02-08,255.0,257.5,252.5,257.5,251210
2000-02-09,257.5,265.0,255.0,257.5,285690
2000-02-10,257.5,257.5,252.5,255.0,229350
2000-02-11,250.0,250.0,247.0,248.0,416350
2000-02-14,246.0,246.0,245.0,245.0,447370
2000-02-15,244.0,246.0,238.0,246.0,1154270
2000-02-16,244.0,244.0,236.0,240.0,646000
2000-02-17,241.0,241.0,238.0,240.0,447680
2000-02-18,240.0,243.0,239.0,243.0,543600
2000-02-21,242.0,242.0,229.0,234.0,804800
2000-02-22,235.0,240.0,230.0,240.0,580810
2000-02-23,240.0,241.0,236.0,241.0,615150
2000-02-24,243.0,243.0,237.0,237.0,124690
2000-02-28,237.0,237.0,229.0,230.0,540060
2000-02-29,222.0,223.0,212.0,215.0,514730
2000-03-01,215.0,218.0,202.0,205.0,255930
2000-03-02,204.0,207.0,204.0,205.0,537520
2000-03-03,205.0,208.0,199.0,202.0,709570
2000-03-06,220.0,220.0,210.0,220.0,459530
2000-03-07,218.0,218.0,210.0,212.0,401380
