date,open,high,low,close,volume
1999-02-05,0.6,0.65,0.6,0.63,1610000
1999-02-08,0.6,0.65,0.6,0.63,1610000
1999-02-09,0.6,0.65,0.6,0.63,1610000
1999-02-10,0.6,0.65,0.6,0.63,1610000
1999-02-11,0.6,0.65,0.6,0.63,1610000
1999-02-12,0.61,0.61,0.59,0.59,45450000
1999-02-15,0.58,0.58,0.58,0.58,250000
1999-02-16,0.6,0.6,0.59,0.59,450000
1999-02-17,0.59,0.6,0.59,0.6,610000
1999-02-18,0.6,0.61,0.6,0.6,590000
1999-02-19,0.6,0.6,0.59,0.59,500000
1999-02-22,0.59,0.59,0.59,0.59,40000
1999-02-24,0.57,0.57,0.56,0.56,250000
1999-02-25,0.59,0.59,0.59,0.59,90000
1999-02-26,0.61,0.64,0.61,0.64,500000
1999-03-01,0.66,0.66,0.66,0.66,150000
1999-03-02,0.62,0.68,0.62,0.66,4540000
1999-03-03,0.64,0.73,0.64,0.7,13820000
1999-03-04,0.71,0.71,0.67,0.7,7080000
1999-03-05,0.71,0.72,0.7,0.72,20670000
1999-03-08,0.71,0.71,0.7,0.7,6360000
1999-03-09,0.7,0.73,0.7,0.73,8460000
1999-03-10,0.71,0.71,0.7,0.71,3490000
1999-03-11,0.7,0.7,0.69,0.7,5340000
1999-03-12,0.69,0.72,0.68,0.7,13470000
1999-03-15,0.7,0.7,0.69,0.7,8050000
1999-03-16,0.7,0.71,0.69,0.71,16460000
1999-03-17,0.7,0.7,0.69,0.69,11150000
1999-03-18,0.69,0.7,0.69,0.69,1490000
1999-03-19,0.7,0.7,0.68,0.69,680000
1999-03-22,0.68,0.71,0.68,0.71,14400000
1999-03-23,0.71,0.71,0.68,0.68,13380000
1999-03-24,0.68,0.7,0.68,0.68,7430000
1999-03-25,0.7,0.7,0.67,0.67,7510000
1999-03-26,0.68,0.68,0.67,0.67,5300000
1999-03-29,0.66,0.7,0.65,0.65,12190000
1999-03-30,0.66,0.68,0.65,0.65,14410000
1999-03-31,0.66,0.68,0.65,0.65,7760000
1999-04-05,0.67,0.7,0.67,0.7,8970000
1999-04-06,0.72,0.73,0.7,0.71,21480000
1999-04-07,0.72,0.8,0.72,0.78,45120000
1999-04-08,0.8,0.8,0.77,0.79,24590000
1999-04-12,0.79,0.83,0.78,0.78,31660000
1999-04-13,0.79,0.79,0.77,0.78,15720000
1999-04-14,0.78,0.79,0.77,0.77,6450000
1999-04-15,0.78,0.78,0.73,0.75,13780000
1999-04-16,0.75,0.76,0.73,0.73,14180000
1999-04-19,0.75,0.78,0.74,0.77,26660000
1999-04-20,0.77,0.8,0.77,0.77,41620000
1999-04-21,0.77,0.77,0.75,0.77,7000000
1999-04-22,0.77,0.8,0.76,0.8,11560000
1999-04-23,0.8,0.85,0.8,0.84,29600000
1999-04-26,0.84,0.85,0.84,0.85,7330000
1999-04-27,0.86,0.93,0.86,0.92,26150000
1999-04-28,0.94,0.96,0.91,0.91,21330000
1999-04-29,0.89,0.93,0.88,0.92,5640000
1999-04-30,0.94,1.02,0.93,1.0,30740000
1999-05-03,1.0,1.08,1.0,1.04,35490000
1999-05-04,1.1,1.24,1.06,1.22,65718000
1999-05-05,1.22,1.38,1.22,1.32,65833000
1999-05-06,1.4,1.46,1.36,1.46,53431000
1999-05-07,1.5,1.54,1.34,1.4,39366000
1999-05-10,1.42,1.46,1.32,1.32,12798000
1999-05-11,1.32,1.38,1.32,1.34,13621000
1999-05-12,1.36,1.46,1.34,1.46,36016000
1999-05-13,1.48,1.5,1.38,1.42,17432000
1999-05-14,1.44,1.44,1.36,1.42,16714000
1999-05-17,1.36,1.44,1.36,1.42,63259000
1999-05-18,1.4,1.64,1.4,1.62,53590000
1999-05-19,1.66,1.78,1.64,1.68,83368000
1999-05-20,1.68,1.74,1.66,1.74,27370000
1999-05-21,1.74,1.92,1.74,1.86,103957000
1999-05-24,1.88,1.98,1.88,1.98,138039000
1999-05-25,2.0,2.0,1.9,1.94,38866000
1999-05-26,1.92,2.02,1.88,2.02,149287000
1999-05-27,2.02,2.06,2.0,2.04,136695000
1999-05-28,2.0,2.02,1.92,1.92,30463000
1999-05-31,1.96,2.0,1.92,1.92,40062000
1999-06-01,1.9,1.98,1.88,1.88,44888000
1999-06-02,1.88,2.04,1.88,2.04,166875000
1999-06-03,2.08,2.16,2.04,2.06,69459000
1999-06-04,2.12,2.24,2.12,2.16,153287000
1999-06-07,2.22,2.26,2.16,2.16,50267000
