date,open,high,low,close,volume
1999-02-12,89.0,89.0,89.0,89.0,66300
1999-02-15,88.0,89.0,88.0,88.5,23700
1999-02-16,89.0,89.0,88.5,88.5,12100
1999-02-17,88.5,88.5,88.0,88.0,5500
1999-02-18,88.0,88.5,88.0,88.5,87500
1999-02-19,88.0,90.0,88.0,90.0,215400
1999-02-22,89.5,91.0,89.5,91.0,229700
1999-02-25,90.5,91.5,90.5,91.5,198000
1999-02-26,91.5,91.5,91.0,91.5,288200
1999-03-01,92.0,93.0,91.5,91.5,201800
1999-03-02,91.5,91.5,91.0,91.0,101500
1999-03-03,91.0,91.5,91.0,91.0,83300
1999-03-04,92.0,94.0,92.0,93.0,563500
1999-03-05,93.0,93.0,92.0,92.0,57800
1999-03-08,93.0,95.5,93.0,95.0,2168400
1999-03-09,95.0,95.5,94.5,95.0,1636300
1999-03-10,94.5,94.5,93.0,93.5,117200
1999-03-11,93.5,94.5,93.5,94.0,419200
1999-03-12,93.5,94.0,93.5,94.0,159100
1999-03-15,94.5,95.5,94.5,95.0,810800
1999-03-16,95.0,95.0,95.0,95.0,270500
1999-03-17,95.0,96.0,95.0,96.0,468400
1999-03-18,96.0,96.5,96.0,96.5,671100
1999-03-19,96.5,96.5,96.5,96.5,496600
1999-03-22,96.5,97.0,96.0,97.0,219400
1999-03-23,98.0,98.5,98.0,98.0,511800
1999-03-24,98.0,98.0,97.0,97.5,237900
1999-03-25,96.0,96.5,96.0,96.5,617700
1999-03-26,97.0,97.0,96.5,96.5,330100
1999-03-29,97.0,97.0,97.0,97.0,368500
1999-03-30,97.0,97.5,97.0,97.5,969600
1999-03-31,97.5,98.5,97.5,98.0,1379000
1999-04-05,98.0,98.0,97.5,97.5,221300
1999-04-06,97.0,97.0,97.0,97.0,39000
1999-04-07,95.5,95.5,95.0,95.0,227100
1999-04-08,95.0,95.5,95.0,95.5,130000
1999-04-12,95.5,97.5,95.5,97.0,117000
1999-04-13,97.0,97.5,96.5,96.5,292900
1999-04-14,96.5,96.5,96.5,96.5,196100
1999-04-15,97.0,99.0,97.0,98.5,758900
1999-04-16,98.5,99.0,98.0,98.5,654700
1999-04-19,99.0,99.5,98.5,98.5,401600
1999-04-20,98.0,99.5,97.5,98.0,403300
1999-04-21,97.0,97.0,97.0,97.0,190000
1999-04-22,96.5,97.5,96.5,97.0,167700
1999-04-23,97.0,97.5,96.0,96.0,400700
1999-04-26,96.5,97.0,94.5,95.0,6558300
1999-04-27,95.5,97.0,95.5,96.5,205400
1999-04-30,100.0,100.0,97.5,98.0,576500
1999-05-03,97.5,99.5,97.5,98.5,476900
1999-05-04,99.0,99.0,97.5,97.5,107800
1999-05-05,97.5,98.0,96.0,96.0,70300
1999-05-06,96.0,97.5,96.0,97.0,290400
1999-05-07,96.5,97.5,95.0,95.0,234600
1999-05-10,97.5,97.5,96.0,97.0,1887400
1999-05-11,97.0,97.0,96.0,96.5,1568400
1999-05-12,97.0,98.0,97.0,97.5,3170200
1999-05-13,97.5,97.5,96.5,97.0,4635300
1999-05-14,97.0,98.5,97.0,97.0,408700
1999-05-17,96.5,96.5,96.5,96.5,44500
1999-05-19,100.0,100.0,98.0,98.5,420900
1999-05-20,100.0,100.0,97.5,98.5,109100
1999-05-21,98.5,99.0,97.0,98.5,201100
1999-05-24,99.0,99.0,97.5,99.0,120500
1999-05-25,97.0,98.0,97.0,98.0,375100
1999-05-28,98.0,99.0,97.0,98.5,125800
1999-05-31,98.0,98.0,96.0,96.0,4200
1999-06-01,96.5,97.5,96.5,97.5,62300
1999-06-02,97.5,98.5,97.5,97.5,50500
1999-06-03,97.0,97.5,96.5,96.5,62700
1999-06-04,96.5,97.0,96.5,96.5,110500
1999-06-07,96.5,96.5,96.0,96.5,9500
1999-06-08,96.5,97.5,96.0,97.0,146500
1999-06-09,97.5,98.0,97.5,97.5,87200
1999-06-10,98.0,98.0,97.5,97.5,89200
1999-06-11,98.0,98.5,97.5,97.5,55800
1999-06-14,97.5,97.5,97.0,97.5,62300
1999-06-15,98.0,98.5,98.0,98.0,64100
1999-06-16,98.0,99.5,98.0,99.0,210400
1999-06-17,98.5,99.5,98.5,99.0,102000
1999-06-18,99.5,99.5,99.0,99.0,65000
1999-06-21,99.0,99.0,98.0,98.5,65800
1999-06-22,98.0,98.0,97.0,97.5,131200
1999-06-23,97.5,98.0,97.5,97.5,50100
1999-06-24,98.0,98.5,97.5,98.0,212700
1999-06-25,98.0,98.0,97.5,98.0,138200
1999-06-28,97.5,98.5,97.5,98.0,171500
1999-06-29,98.0,98.0,98.0,98.0,96400
1999-06-30,98.5,98.5,98.0,98.0,51300
1999-07-01,98.0,98.5,98.0,98.5,58000
1999-07-02,98.5,99.5,98.0,98.5,318500
1999-07-05,99.0,102.0,99.0,99.5,214300
1999-07-06,99.5,100.0,99.5,100.0,137700
1999-07-07,100.0,100.0,100.0,100.0,143800
1999-07-08,100.0,100.0,100.0,100.0,242000
1999-07-09,99.5,100.0,99.5,100.0,168400
1999-07-12,99.5,101.0,99.5,101.0,354400
1999-07-13,100.0,101.0,100.0,101.0,216480
1999-07-14,100.0,101.0,99.5,100.0,193800
1999-07-15,100.0,100.0,100.0,100.0,61000
1999-07-16,100.0,101.0,99.5,100.0,402300
1999-07-19,100.0,102.0,100.0,101.0,183400
1999-07-20,100.0,100.0,100.0,100.0,92140
1999-07-21,99.0,99.5,98.5,99.5,202900
1999-07-22,98.5,99.5,98.5,99.5,59300
1999-07-23,99.0,99.5,98.0,98.0,384300
1999-07-26,97.5,99.5,97.5,99.5,256900
1999-07-27,98.5,98.5,97.0,98.0,245800
1999-07-28,98.0,103.0,98.0,103.0,1369900
1999-07-29,100.0,103.0,100.0,102.0,2426700
1999-07-30,100.0,101.0,99.5,100.0,283330
1999-08-02,99.0,101.0,99.0,99.5,53600
