date,open,high,low,close,volume
1999-02-24,0.3,0.3,0.3,0.3,10000
1999-02-25,0.3,0.3,0.28,0.28,310000
1999-02-26,0.27,0.27,0.27,0.27,620000
1999-03-11,0.25,0.33,0.25,0.33,30000
1999-03-25,0.2,0.32,0.2,0.32,60000
1999-03-31,0.195,0.29,0.195,0.2,100000
1999-04-05,0.22,0.22,0.22,0.22,10000
1999-04-07,0.3,0.3,0.3,0.3,20000
1999-04-08,0.3,0.31,0.3,0.31,150000
1999-04-12,0.3,0.3,0.3,0.3,100000
1999-04-13,0.28,0.28,0.28,0.28,100000
1999-04-14,0.28,0.28,0.28,0.28,320000
1999-04-15,0.23,0.23,0.23,0.23,20000
1999-04-22,0.23,0.23,0.23,0.23,160000
1999-04-23,0.3,0.3,0.3,0.3,90000
1999-04-28,0.3,0.3,0.3,0.3,580000
1999-05-04,0.31,0.31,0.31,0.31,320000
1999-05-05,0.3,0.3,0.28,0.3,330000
1999-05-06,0.32,0.32,0.32,0.32,120000
1999-05-07,0.36,0.37,0.35,0.36,140000
1999-05-10,0.34,0.38,0.34,0.38,80000
1999-05-12,0.37,0.38,0.37,0.38,240000
1999-05-13,0.4,0.4,0.4,0.4,420000
1999-05-14,0.42,0.42,0.42,0.42,10000
1999-05-18,0.42,0.42,0.42,0.42,340000
1999-05-28,0.34,0.34,0.34,0.34,40000
1999-06-21,0.45,0.51,0.45,0.5,1180000
1999-06-22,0.55,0.56,0.48,0.48,400000
1999-06-23,0.48,0.48,0.48,0.48,350000
1999-06-29,0.5,0.5,0.5,0.5,350000
1999-06-30,0.49,0.49,0.48,0.49,230000
1999-07-02,0.45,0.45,0.45,0.45,140000
1999-07-05,0.49,0.55,0.49,0.5,210000
1999-07-06,0.5,0.5,0.5,0.5,60000
1999-07-07,0.5,0.75,0.49,0.75,4560000
1999-07-08,0.85,0.9,0.76,0.8,6500000
1999-07-09,0.75,0.84,0.72,0.76,1130000
1999-07-12,0.8,0.8,0.76,0.78,610000
1999-07-13,0.8,0.8,0.77,0.8,1930000
1999-07-14,0.76,0.8,0.76,0.8,720000
1999-07-15,0.8,0.8,0.78,0.78,640000
1999-07-16,0.77,0.78,0.77,0.77,140000
1999-07-19,0.76,0.78,0.76,0.78,1190000
1999-07-20,0.78,0.8,0.77,0.78,2040000
1999-07-22,0.72,0.72,0.65,0.72,750000
1999-07-23,0.6,0.65,0.6,0.65,40000
1999-07-26,0.65,0.65,0.65,0.65,310000
1999-07-27,0.6,0.6,0.6,0.6,160000
1999-07-28,0.64,0.64,0.6,0.6,400000
1999-07-29,0.64,0.64,0.64,0.64,400000
1999-08-04,0.7,0.7,0.7,0.7,100000
1999-08-12,0.5,0.55,0.5,0.55,100000
1999-08-17,0.5,0.5,0.5,0.5,500000
1999-08-19,0.65,0.65,0.65,0.65,10000
1999-09-09,0.54,0.54,0.54,0.54,140000
1999-09-10,0.54,0.55,0.54,0.55,120000
1999-09-22,0.51,0.63,0.51,0.63,40000
1999-09-24,0.63,0.65,0.63,0.65,350000
1999-09-28,0.64,0.64,0.64,0.64,100000
1999-09-29,0.7,0.75,0.7,0.75,530000
1999-09-30,0.75,0.75,0.74,0.74,440000
1999-10-01,0.6,0.65,0.6,0.65,120000
1999-10-04,0.8,0.97,0.8,0.95,610000
1999-10-05,0.85,0.85,0.75,0.75,50000
1999-10-22,0.9,0.9,0.6,0.6,160000
1999-11-08,0.84,0.84,0.84,0.84,2500000
1999-11-26,0.84,1.18,0.79,1.02,7390000
1999-11-29,1.02,1.1,0.88,0.88,545000
1999-12-01,0.78,0.78,0.76,0.76,90000
1999-12-02,0.52,0.52,0.52,0.52,50000
1999-12-03,0.7,0.72,0.7,0.72,160000
1999-12-07,0.76,0.76,0.76,0.76,110000
1999-12-09,0.8,0.8,0.72,0.78,110000
1999-12-13,0.53,0.55,0.47,0.48,2220000
1999-12-14,0.48,0.48,0.48,0.48,40000
1999-12-15,0.48,0.48,0.47,0.47,80000
1999-12-16,0.48,0.48,0.48,0.48,260000
1999-12-20,0.44,0.44,0.44,0.44,30000
1999-12-24,0.42,0.42,0.42,0.42,50000
1999-12-28,0.42,0.42,0.42,0.42,150000
1999-12-29,0.43,0.43,0.43,0.43,20000
2000-01-04,0.48,0.48,0.48,0.48,10000
2000-01-06,0.52,0.6,0.52,0.52,560000
2000-01-07,0.58,0.58,0.58,0.58,80000
2000-01-10,0.42,0.42,0.42,0.42,40000
2000-01-12,0.52,0.53,0.52,0.53,180000
2000-01-13,0.54,0.54,0.54,0.54,400000
2000-01-18,0.42,0.42,0.42,0.42,220000
2000-01-19,0.42,0.42,0.42,0.42,150000
2000-01-24,0.42,0.42,0.42,0.42,100000
2000-01-25,0.42,0.42,0.42,0.42,170000
2000-01-26,0.42,0.6,0.3,0.39,240000
2000-01-27,0.33,0.33,0.33,0.33,10000
2000-01-28,0.34,0.34,0.34,0.34,100000
2000-02-03,0.48,0.48,0.48,0.48,10000
2000-02-10,0.35,0.49,0.35,0.49,130000
2000-02-11,0.35,0.36,0.35,0.35,110000
2000-02-23,0.38,0.38,0.38,0.38,140000
2000-02-24,0.4,0.4,0.4,0.4,140000
2000-02-29,0.47,0.48,0.46,0.48,740000
2000-03-01,0.5,0.6,0.5,0.5,530000
2000-03-06,0.5,0.5,0.5,0.5,10000
2000-03-07,0.5,0.5,0.5,0.5,100000
2000-03-08,0.49,0.49,0.48,0.48,60000
2000-03-09,0.48,0.48,0.48,0.48,150000
