date,open,high,low,close,volume
1999-02-05,14.5,14.5,14.5,14.5,1000
1999-02-08,14.5,14.5,14.5,14.5,1000
1999-02-09,14.5,14.5,14.5,14.5,1000
1999-02-10,14.5,14.5,14.5,14.5,1000
1999-02-11,14.5,14.5,14.5,14.5,1000
1999-02-12,10.0,10.0,10.0,10.0,23000
1999-02-26,10.5,10.5,10.0,10.0,25000
1999-03-03,10.0,10.0,10.0,10.0,10000
1999-03-08,10.0,10.0,10.0,10.0,30000
1999-03-18,9.5,10.0,9.5,10.0,56000
1999-03-23,10.0,10.0,10.0,10.0,10000
1999-03-24,10.0,10.0,10.0,10.0,19000
1999-03-25,10.0,10.0,10.0,10.0,10000
1999-03-26,10.25,10.25,10.25,10.25,10000
1999-03-30,9.5,10.0,9.5,10.0,35300
1999-04-06,10.0,10.0,10.0,10.0,20000
1999-04-07,10.0,10.0,10.0,10.0,10000
1999-04-12,10.0,10.0,10.0,10.0,10000
1999-04-15,10.0,10.0,10.0,10.0,10000
1999-04-20,10.0,10.25,10.0,10.25,22000
1999-04-22,9.9,9.9,9.9,9.9,500
1999-04-26,10.0,10.0,10.0,10.0,1000
1999-04-28,10.0,10.0,10.0,10.0,34000
1999-04-29,10.0,10.0,9.9,9.9,35000
1999-04-30,9.9,9.9,9.9,9.9,101000
1999-06-09,9.5,9.5,9.5,9.5,20000
1999-06-14,9.0,9.0,9.0,9.0,3000
1999-06-16,10.0,10.0,9.0,9.0,8000
1999-06-24,10.0,10.0,10.0,10.0,10000
1999-06-25,9.5,9.5,9.5,9.5,10000
1999-06-28,10.0,10.0,10.0,10.0,30000
1999-06-29,10.5,10.5,10.5,10.5,8000
1999-06-30,6.5,10.0,6.5,10.0,27000
1999-07-01,10.0,10.0,10.0,10.0,15000
1999-07-05,10.0,10.0,10.0,10.0,13000
1999-07-06,10.0,10.0,10.0,10.0,22000
1999-07-07,10.0,10.0,10.0,10.0,5000
1999-07-08,10.0,10.0,10.0,10.0,10000
1999-07-09,10.0,10.0,10.0,10.0,5000
1999-07-12,10.0,10.0,10.0,10.0,7000
1999-07-16,10.0,10.0,10.0,10.0,15000
1999-07-22,10.0,10.0,10.0,10.0,5000
1999-07-23,10.0,10.0,10.0,10.0,2000
1999-07-26,10.0,10.0,10.0,10.0,2000
1999-08-04,10.0,10.0,10.0,10.0,5000
1999-08-25,10.75,10.75,10.75,10.75,1000
1999-08-27,10.75,10.75,10.75,10.75,5000
1999-08-30,10.75,10.75,10.75,10.75,1100
1999-09-01,10.5,10.5,10.5,10.5,9000
1999-09-21,9.7,9.7,9.7,9.7,5000
1999-09-22,10.0,10.0,10.0,10.0,5000
1999-09-29,9.5,9.5,9.5,9.5,5000
1999-10-01,10.0,10.0,10.0,10.0,10000
1999-10-04,10.25,15.0,10.25,15.0,10000
1999-10-07,12.0,12.0,12.0,12.0,5000
1999-10-08,12.0,12.0,12.0,12.0,2000
1999-10-13,11.0,11.5,11.0,11.0,8000
1999-10-21,10.0,10.0,10.0,10.0,10000
1999-10-25,10.0,10.0,10.0,10.0,14000
1999-10-26,10.0,10.0,10.0,10.0,41000
1999-10-27,10.0,10.0,10.0,10.0,10000
1999-10-28,10.0,10.0,10.0,10.0,46000
1999-11-05,10.0,10.0,10.0,10.0,10000
1999-11-09,10.0,10.0,10.0,10.0,24000
1999-11-11,10.0,10.0,10.0,10.0,20000
1999-12-16,10.0,10.0,10.0,10.0,50000
1999-12-17,10.0,10.0,10.0,10.0,30000
1999-12-24,10.0,10.0,10.0,10.0,49000
1999-12-28,10.0,10.0,10.0,10.0,160000
2000-01-12,9.5,9.6,9.5,9.6,14000
