date,open,high,low,close,volume
1999-02-04,0.11,0.11,0.11,0.11,10000
1999-02-17,0.1,0.1,0.1,0.1,1300000
1999-02-19,0.1,0.1,0.1,0.1,300000
1999-02-23,0.1,0.1,0.1,0.1,200000
1999-03-02,0.1,0.1,0.1,0.1,900000
1999-03-04,0.1,0.1,0.1,0.1,1900000
1999-03-08,0.11,0.135,0.11,0.135,5300000
1999-03-09,0.14,0.14,0.125,0.13,1760000
1999-03-10,0.12,0.12,0.12,0.12,500000
1999-03-11,0.11,0.11,0.11,0.11,200000
1999-03-12,0.11,0.12,0.11,0.12,500000
1999-03-15,0.12,0.12,0.12,0.12,30000
1999-03-16,0.12,0.12,0.12,0.12,20000
1999-03-19,0.11,0.11,0.11,0.11,720000
1999-03-23,0.12,0.12,0.12,0.12,500000
1999-03-25,0.12,0.16,0.12,0.145,11820000
1999-03-26,0.15,0.2,0.15,0.185,44120000
1999-03-29,0.18,0.18,0.155,0.155,4610000
1999-03-30,0.155,0.18,0.155,0.17,3370000
1999-03-31,0.15,0.19,0.15,0.18,8530000
1999-04-05,0.18,0.185,0.165,0.165,3020000
1999-04-06,0.17,0.17,0.17,0.17,100000
1999-04-07,0.17,0.17,0.16,0.17,1860000
1999-04-12,0.17,0.175,0.17,0.17,2480000
1999-04-13,0.175,0.175,0.165,0.165,1000000
1999-04-14,0.17,0.175,0.17,0.175,3090000
1999-04-15,0.17,0.175,0.165,0.165,2630000
1999-04-16,0.165,0.165,0.16,0.16,1080000
1999-04-19,0.17,0.17,0.165,0.165,1020000
1999-04-20,0.16,0.16,0.16,0.16,680000
1999-04-21,0.15,0.15,0.15,0.15,100000
1999-04-23,0.16,0.17,0.15,0.15,1010000
1999-04-26,0.16,0.17,0.16,0.165,440000
1999-04-27,0.16,0.165,0.16,0.16,1200000
1999-04-28,0.165,0.175,0.165,0.175,810000
1999-04-29,0.165,0.165,0.165,0.165,510000
1999-04-30,0.165,0.165,0.165,0.165,300000
1999-05-03,0.165,0.165,0.16,0.16,1100000
1999-05-04,0.16,0.16,0.16,0.16,530000
1999-05-05,0.16,0.16,0.16,0.16,760000
1999-05-07,0.16,0.175,0.16,0.17,900000
1999-05-10,0.16,0.16,0.16,0.16,510000
1999-05-12,0.16,0.17,0.16,0.17,2160000
1999-05-13,0.17,0.17,0.165,0.165,1000000
1999-05-14,0.165,0.195,0.165,0.195,11200000
1999-05-17,0.19,0.23,0.185,0.225,20030000
1999-05-18,0.225,0.225,0.19,0.19,4430000
1999-05-19,0.21,0.215,0.19,0.19,3420000
1999-05-20,0.19,0.19,0.185,0.185,650000
1999-05-21,0.18,0.18,0.18,0.18,110000
1999-05-24,0.18,0.18,0.18,0.18,500000
1999-05-25,0.19,0.195,0.19,0.195,1880000
1999-05-26,0.195,0.21,0.19,0.195,6190000
