date,open,high,low,close,volume
2015-11-24,4.3,4.49,4.0,4.0,184135000
2015-11-25,4.03,4.07,3.97,4.01,44967000
2015-11-26,4.02,4.03,3.97,3.98,29423000
2015-11-27,3.99,4.0,3.81,3.82,49754000
2015-12-01,3.82,3.89,3.81,3.84,13160000
2015-12-02,3.87,3.96,3.87,3.95,6332000
2015-12-03,3.95,3.95,3.88,3.88,6070000
2015-12-04,3.88,3.88,3.84,3.86,4180000
2015-12-07,3.88,3.95,3.87,3.88,4990000
2015-12-08,3.88,3.89,3.83,3.85,5841000
2015-12-09,3.84,3.86,3.8,3.83,6648000
2015-12-10,3.83,3.87,3.8,3.84,15180000
2015-12-11,3.83,3.85,3.8,3.84,10357000
2015-12-14,3.81,3.81,3.69,3.74,16675000
2015-12-15,3.74,3.75,3.69,3.74,3072000
2015-12-16,3.74,3.77,3.73,3.74,6093000
2015-12-17,3.75,3.79,3.75,3.78,4823000
2015-12-18,3.78,3.78,3.73,3.73,3227000
2015-12-21,3.74,3.75,3.63,3.7,3813000
2015-12-22,3.69,3.7,3.66,3.69,6272000
2015-12-23,3.7,3.85,3.69,3.83,4513000
2015-12-28,3.83,3.9,3.83,3.9,4416000
2015-12-29,3.9,3.98,3.87,3.98,21943000
2016-01-04,3.96,3.96,3.85,3.89,2904000
2016-01-05,3.88,3.88,3.8,3.85,1331000
2016-01-06,3.85,3.94,3.85,3.9,2261000
2016-01-07,3.9,3.9,3.76,3.78,2664000
2016-01-08,3.76,3.79,3.6,3.78,2574000
2016-01-11,3.79,3.79,3.5,3.6,3805000
2016-01-12,3.54,3.62,3.54,3.6,2541000
2016-01-13,3.62,3.67,3.56,3.57,2048000
2016-01-14,3.58,3.58,3.5,3.52,877000
2016-01-15,3.53,3.56,3.51,3.52,793000
2016-01-18,3.5,3.5,3.12,3.5,2003000
2016-01-19,3.49,3.5,3.42,3.47,827000
2016-01-20,3.45,3.48,3.22,3.24,1685000
2016-01-21,3.23,3.23,2.93,3.0,4520000
2016-01-22,3.05,3.05,2.9,2.95,5753000
2016-01-25,2.95,3.19,2.95,3.02,2603000
2016-01-26,3.0,3.11,2.92,3.0,2853000
2016-01-27,3.0,3.09,3.0,3.03,3899000
2016-01-28,3.08,3.16,3.02,3.05,5228000
2016-01-29,3.1,3.35,3.1,3.15,3456000
2016-02-01,3.23,3.4,3.23,3.28,4370000
2016-02-02,3.35,3.44,3.24,3.35,3493000
2016-02-03,3.28,3.35,3.16,3.33,1961000
2016-02-04,3.39,3.5,3.38,3.4,1556000
2016-02-05,3.42,3.52,3.4,3.47,3126000
2016-02-09,3.38,3.4,3.29,3.38,807000
2016-02-10,3.38,3.4,3.27,3.4,517000
2016-02-11,3.41,3.41,3.28,3.38,772000
2016-02-12,3.25,3.38,3.19,3.3,2827000
2016-02-15,3.3,3.41,3.3,3.37,1021000
2016-02-16,3.35,3.45,3.35,3.4,1138000
2016-02-17,3.45,3.5,3.41,3.45,910000
2016-02-18,3.45,3.57,3.44,3.54,2083000
2016-02-19,3.51,3.54,3.48,3.52,575000
2016-02-22,3.52,3.53,3.5,3.52,2136000
2016-02-23,3.52,3.63,3.51,3.59,1556000
2016-02-24,3.59,3.59,3.45,3.5,1124000
2016-02-26,3.5,3.51,3.48,3.49,260000
2016-02-29,3.5,3.5,3.32,3.43,1000000
2016-03-01,3.42,3.42,3.3,3.36,648000
2016-03-02,3.36,3.55,3.36,3.54,1163000
2016-03-03,3.55,3.73,3.55,3.6,2015000
2016-03-04,3.65,3.87,3.6,3.84,5320000
2016-03-07,3.84,3.9,3.7,3.74,5101000
2016-03-08,3.75,3.8,3.6,3.65,1597000
2016-03-09,3.63,3.84,3.6,3.76,2016000
2016-03-10,3.82,3.84,3.66,3.76,1849000
2016-03-11,3.76,3.88,3.71,3.85,2662000
2016-03-14,3.86,3.96,3.77,3.86,5896000
2016-03-15,3.89,3.89,3.8,3.85,1031000
2016-03-16,3.85,4.05,3.81,3.98,26098000
2016-03-17,4.0,4.05,3.98,3.98,10671000
2016-03-18,4.0,4.01,3.89,3.9,1844000
2016-03-21,3.9,3.94,3.87,3.88,1682000
2016-03-22,3.88,3.96,3.86,3.9,1091000
2016-03-23,3.94,3.96,3.9,3.92,693000
2016-03-28,3.93,3.95,3.92,3.93,828000
2016-03-29,3.93,3.95,3.9,3.9,1750000
2016-03-30,3.88,3.94,3.86,3.91,1215000
2016-03-31,3.92,3.92,3.85,3.85,1103000
2016-04-01,3.85,3.92,3.84,3.85,1253000
2016-04-04,3.85,3.86,3.8,3.85,1738000
2016-04-05,3.84,3.84,3.79,3.8,1879000
2016-04-06,3.78,3.89,3.78,3.86,1373000
2016-04-07,3.87,3.87,3.83,3.83,455000
2016-04-08,3.83,3.83,3.77,3.81,689000
2016-04-11,3.81,3.95,3.81,3.9,1259000
2016-04-12,3.95,4.23,3.91,4.1,44938000
2016-04-13,4.17,4.25,4.14,4.14,15502000
2016-04-14,4.14,4.17,4.05,4.14,6830000
2016-04-15,4.14,4.16,4.07,4.1,1337000
2016-04-18,4.08,4.08,3.95,3.95,3271000
2016-04-19,3.94,4.1,3.94,4.04,2104000
2016-04-20,4.02,4.1,4.01,4.04,3016000
2016-04-21,4.0,4.11,4.0,4.04,2504000
2016-04-22,4.07,4.07,3.97,4.0,1234000
2016-04-25,3.97,4.0,3.82,3.92,4166000
2016-04-26,3.92,3.92,3.85,3.9,1075000
2016-04-27,3.86,3.9,3.7,3.8,4258000
2016-04-28,3.8,3.9,3.8,3.9,487000
2016-04-29,3.8,3.89,3.8,3.89,405000
2016-05-02,3.85,3.85,3.74,3.8,769000
2016-05-03,3.8,3.82,3.75,3.82,199000
2016-05-04,3.82,3.82,3.75,3.82,476000
2016-05-05,3.82,3.82,3.73,3.75,798000
2016-05-06,3.75,3.78,3.71,3.74,594000
2016-05-10,3.74,4.07,3.7,4.04,4959000
2016-05-11,4.04,4.1,3.98,4.01,4424000
2016-05-12,4.0,4.0,3.92,4.0,903000
2016-05-13,4.0,4.13,3.98,4.06,13741000
2016-05-16,4.06,4.1,4.01,4.05,2274000
2016-05-17,4.08,4.08,4.0,4.0,2675000
2016-05-18,4.0,4.0,3.93,3.98,1323000
2016-05-19,3.98,3.98,3.88,3.88,2492000
2016-05-20,3.86,3.95,3.86,3.93,261000
2016-05-23,3.86,3.95,3.86,3.92,958000
2016-05-24,3.9,3.93,3.88,3.9,675000
2016-05-25,3.91,4.02,3.9,3.99,3014000
2016-05-26,4.0,4.01,3.98,3.99,504000
