date,open,high,low,close,volume
1999-02-04,0.33,0.33,0.32,0.32,130000
1999-02-05,0.35,0.35,0.35,0.35,40000
1999-02-08,0.35,0.35,0.35,0.35,40000
1999-02-09,0.35,0.35,0.35,0.35,40000
1999-02-10,0.35,0.35,0.35,0.35,40000
1999-02-11,0.35,0.35,0.35,0.35,40000
1999-02-23,0.3,0.3,0.3,0.3,10000
1999-02-24,0.3,0.3,0.3,0.3,70000
1999-02-25,0.31,0.35,0.31,0.35,120000
1999-02-26,0.33,0.34,0.33,0.34,280000
1999-03-02,0.33,0.34,0.31,0.31,160000
1999-03-04,0.31,0.31,0.31,0.31,10000
1999-03-09,0.31,0.31,0.31,0.31,130000
1999-03-12,0.31,0.31,0.3,0.31,590000
1999-03-16,0.31,0.31,0.3,0.3,120000
1999-03-19,0.3,0.32,0.3,0.32,100000
1999-03-23,0.3,0.3,0.3,0.3,20000
1999-03-26,0.31,0.32,0.31,0.32,90000
1999-03-30,0.31,0.31,0.3,0.3,350000
1999-03-31,0.3,0.3,0.3,0.3,10000
1999-04-06,0.31,0.31,0.31,0.31,40000
1999-04-12,0.34,0.34,0.34,0.34,500000
1999-04-13,0.35,0.35,0.34,0.34,890000
1999-04-14,0.34,0.34,0.34,0.34,600000
1999-04-15,0.32,0.35,0.32,0.35,250000
1999-04-16,0.35,0.35,0.35,0.35,310000
1999-04-19,0.36,0.37,0.35,0.37,1020000
1999-04-20,0.36,0.36,0.36,0.36,480000
1999-04-21,0.36,0.36,0.34,0.34,1940000
1999-04-22,0.33,0.33,0.32,0.33,1160000
1999-04-23,0.32,0.33,0.32,0.33,70000
1999-04-26,0.33,0.34,0.33,0.33,950000
1999-04-27,0.33,0.34,0.32,0.34,9240000
1999-04-28,0.35,0.37,0.34,0.34,3270000
1999-04-30,0.36,0.37,0.36,0.36,440000
1999-05-03,0.36,0.37,0.36,0.36,940000
1999-05-04,0.36,0.36,0.32,0.36,750000
1999-05-05,0.36,0.36,0.36,0.36,360000
1999-05-06,0.36,0.36,0.36,0.36,750000
1999-05-07,0.38,0.38,0.38,0.38,450000
