date,open,high,low,close,volume
2005-03-18,7.5,7.6,6.8,6.9,180926000
2005-03-21,7.0,7.2,6.9,6.9,59189000
2005-03-22,6.8,6.8,6.4,6.4,42036000
2005-03-28,6.7,6.7,6.4,6.5,18997000
2005-03-29,6.5,6.5,6.4,6.4,19727000
2005-03-30,6.3,6.3,6.1,6.2,44781000
2005-03-31,6.4,6.7,6.3,6.6,24088000
2005-04-01,6.6,6.7,6.5,6.6,7095000
2005-04-04,6.6,6.6,6.5,6.6,11035000
2005-04-05,6.6,6.6,6.5,6.5,7350000
2005-04-06,6.5,6.6,6.4,6.5,8918000
2005-04-07,6.5,6.5,6.3,6.4,2610000
2005-04-08,6.4,6.5,6.4,6.4,1942000
2005-04-11,6.4,6.5,6.4,6.5,5231000
2005-04-12,6.5,6.5,6.4,6.4,1321000
2005-04-13,6.4,6.5,6.4,6.4,2935000
2005-04-14,6.4,6.5,6.4,6.4,8232000
2005-04-15,6.4,6.4,6.3,6.3,3327000
2005-04-18,6.3,6.3,6.0,6.0,30505000
2005-04-19,6.1,6.4,6.1,6.3,6092000
2005-04-20,6.3,6.3,6.2,6.2,4807000
2005-04-21,6.2,6.2,6.2,6.2,1400000
2005-04-22,6.3,6.3,6.3,6.3,1975000
2005-04-25,6.3,6.3,6.2,6.2,2171000
2005-04-26,6.2,6.2,6.1,6.1,1483000
2005-04-27,6.1,6.1,5.9,5.9,5258000
2005-04-28,5.9,6.0,5.8,5.9,2127000
2005-04-29,6.0,6.1,6.0,6.1,4365000
2005-05-03,6.2,6.2,6.0,6.0,2211000
2005-05-04,6.0,6.0,5.9,6.0,4934000
2005-05-05,5.9,6.1,5.9,6.1,3734000
2005-05-06,6.1,6.1,6.1,6.1,4475000
2005-05-09,6.1,6.2,6.1,6.2,3896000
2005-05-10,6.1,6.2,6.0,6.0,4659000
2005-05-11,6.1,6.2,6.0,6.1,1703000
2005-05-12,6.1,6.1,5.9,6.0,1920000
2005-05-13,6.0,6.0,5.8,5.8,3535000
2005-05-16,5.8,5.8,5.8,5.8,658000
2005-05-17,5.8,5.8,5.6,5.6,4707000
2005-05-18,5.7,5.9,5.7,5.7,8900000
2005-05-19,5.8,5.9,5.8,5.9,11728000
2005-05-20,5.9,6.1,5.9,6.1,6014000
2005-05-23,6.1,6.1,6.0,6.1,990000
2005-05-24,6.1,6.1,6.0,6.1,3204000
2005-05-25,6.1,6.2,6.0,6.1,2786000
2005-05-26,6.1,6.1,6.1,6.1,7001000
2005-05-27,6.1,6.1,6.1,6.1,7141000
2005-05-30,6.1,6.1,6.1,6.1,4501000
2005-05-31,6.1,6.3,6.0,6.3,8827000
2005-06-01,6.3,6.5,6.3,6.4,2717000
2005-06-02,6.5,6.7,6.4,6.6,17946000
2005-06-03,6.5,6.7,6.5,6.7,8598000
2005-06-06,6.7,6.9,6.7,6.9,11578000
2005-06-07,6.9,6.9,6.7,6.7,7135000
2005-06-08,6.7,6.7,6.4,6.6,5106000
2005-06-09,6.5,6.5,6.4,6.4,6766000
2005-06-10,6.4,6.6,6.4,6.5,9583000
2005-06-14,6.6,6.6,6.4,6.4,993000
2005-06-15,6.4,6.6,6.4,6.6,5988000
2005-06-16,6.9,6.9,6.7,6.8,13766000
2005-06-17,6.8,6.8,6.7,6.8,11702000
2005-06-20,6.8,6.8,6.7,6.7,1232000
2005-06-21,6.7,6.7,6.5,6.5,4176000
2005-06-22,6.5,6.6,6.5,6.6,649000
2005-06-23,6.6,6.6,6.5,6.5,2634000
2005-06-24,6.5,6.6,6.5,6.6,929000
2005-06-27,6.5,6.5,6.4,6.4,5553000
2005-06-28,6.4,6.4,6.4,6.4,2825000
2005-06-29,6.4,6.5,6.4,6.5,5302000
2005-06-30,6.5,6.5,6.2,6.3,2859000
2005-07-01,6.2,6.4,6.2,6.4,1558000
2005-07-04,6.1,6.1,5.9,6.1,8612000
2005-07-05,6.1,6.2,6.0,6.1,1577000
2005-07-06,6.2,6.3,6.1,6.2,2453000
2005-07-07,6.2,6.4,6.2,6.3,4745000
2005-07-08,6.2,6.2,6.1,6.2,1278000
2005-07-11,6.2,6.2,6.1,6.2,1480000
2005-07-12,6.1,6.2,6.1,6.1,916000
2005-07-13,6.1,6.2,6.1,6.1,5059000
2005-07-14,6.2,6.4,6.2,6.3,2189000
2005-07-15,6.4,6.5,6.3,6.5,3634000
2005-07-18,6.5,6.6,6.5,6.5,5205000
2005-07-19,6.5,6.5,6.5,6.5,1847000
2005-07-20,6.6,6.7,6.6,6.6,6806000
2005-07-21,6.7,7.0,6.7,6.9,31120000
2005-07-22,6.9,6.9,6.7,6.8,3777000
2005-07-26,6.7,6.8,6.6,6.6,1210000
2005-07-27,6.7,6.7,6.6,6.6,878000
2005-07-28,6.7,6.9,6.7,6.9,2551000
2005-07-29,6.8,6.8,6.7,6.7,1138000
2005-08-01,6.7,6.7,6.6,6.7,2195000
2005-08-02,6.6,6.6,6.6,6.6,1453000
2005-08-03,6.6,6.6,6.6,6.6,2008000
