date,open,high,low,close,volume
1999-06-28,0.0075,0.0075,0.0075,0.0075,4000000
1999-06-29,0.008,0.009000000000000001,0.008,0.009000000000000001,114000000
1999-07-01,0.0085,0.0085,0.0085,0.0085,55000000
1999-07-02,0.0085,0.0085,0.008,0.008,181000000
1999-07-05,0.008,0.009000000000000001,0.008,0.009000000000000001,125000000
1999-07-06,0.009000000000000001,0.009000000000000001,0.0085,0.009000000000000001,25000000
1999-07-07,0.0085,0.0085,0.0085,0.0085,4000000
1999-07-08,3.9,4.0,3.9,4.0,11000
1999-10-05,4.5,5.5,4.5,4.8,107000
1999-10-06,4.1,4.8,4.1,4.5,12000
1999-10-07,3.5,3.5,3.35,3.35,3000
1999-10-08,3.5,3.5,3.5,3.5,1000
1999-10-11,2.3,2.3,2.3,2.3,1000
1999-10-13,1.68,2.0,1.68,1.68,3000
1999-10-27,2.5,2.5,1.82,2.02,22000
1999-10-28,2.8,2.8,2.8,2.8,1000
1999-11-03,2.5,4.7,2.5,3.85,215000
1999-11-04,3.75,4.7,3.75,4.4,229000
1999-11-05,4.0,4.0,2.95,2.95,225000
1999-11-09,2.0,3.35,2.0,3.05,131000
1999-11-10,2.85,2.85,2.6,2.6,4000
1999-11-11,2.5,2.5,2.22,2.22,158000
1999-11-12,2.2,2.24,1.9,1.9,191000
1999-11-15,2.3,2.3,1.94,1.94,2000
1999-11-17,1.82,1.82,1.82,1.82,1000
1999-11-18,2.0,2.1,2.0,2.0,29000
1999-11-23,2.04,2.04,2.04,2.04,4000
1999-11-24,2.1,3.05,2.1,3.05,160000
1999-11-29,3.55,4.55,2.8,2.95,240000
1999-12-01,2.65,3.1,2.55,2.95,35000
1999-12-02,2.6,2.8,2.4,2.6,34000
1999-12-03,2.44,2.44,2.02,2.08,110000
1999-12-06,2.12,2.2,2.12,2.2,4000
1999-12-08,2.65,2.65,2.24,2.28,65000
1999-12-09,2.2,2.5,2.14,2.38,160000
1999-12-10,2.18,2.5,2.18,2.32,25000
1999-12-14,2.16,2.4,2.1,2.4,87000
1999-12-16,2.34,2.38,2.32,2.38,6000
1999-12-17,2.36,2.36,2.3,2.3,36000
1999-12-20,2.16,2.16,2.16,2.16,1000
1999-12-21,2.34,2.38,2.32,2.32,80000
1999-12-22,2.32,2.38,2.14,2.18,64000
1999-12-23,2.16,2.3,2.16,2.3,62000
1999-12-24,2.3,2.3,2.3,2.3,10000
1999-12-27,2.26,2.26,2.26,2.26,1000
1999-12-28,2.38,3.35,2.38,3.35,209000
2000-01-03,3.4,3.6,3.0,3.35,107000
2000-01-04,3.35,3.4,2.7,2.8,154000
2000-01-05,2.75,2.75,2.6,2.65,8000
2000-01-06,2.55,2.6,2.06,2.6,15000
2000-01-07,2.22,2.4,2.22,2.3,80000
2000-01-10,2.12,2.12,2.12,2.12,1000
2000-01-11,2.14,2.14,2.14,2.14,16000
2000-01-19,2.2,2.2,2.2,2.2,5000
2000-01-20,2.16,2.16,2.16,2.16,19000
2000-01-21,1.68,2.2,1.68,1.92,7000
2000-02-07,2.1,2.3,2.1,2.3,14000
2000-02-08,2.3,2.3,2.3,2.3,10000
2000-02-09,2.04,2.04,2.04,2.04,1000
2000-02-11,2.75,2.95,2.55,2.55,12000
2000-02-14,2.8,2.8,2.32,2.32,30000
2000-02-16,2.3,2.3,2.2,2.2,124000
2000-02-17,2.02,2.55,2.02,2.55,2000
2000-02-18,1.9,2.55,1.8,1.84,4000
2000-02-21,1.42,2.5,1.42,2.5,2000
2000-02-22,2.55,3.3,2.55,3.05,60000
2000-02-23,2.95,2.95,2.0,2.0,19000
2000-03-07,2.1,2.1,2.1,2.1,1000
2000-03-20,1.32,1.32,1.32,1.32,1000
2000-03-24,1.98,1.98,1.98,1.98,1000
2000-03-27,2.95,2.95,2.95,2.95,24000
2000-03-28,4.4,4.4,4.4,4.4,705000
2000-03-29,5.5,5.5,4.0,4.0,272000
2000-03-30,4.0,4.0,3.1,3.8,43000
2000-03-31,3.5,4.2,3.5,4.0,124000
2000-04-03,4.0,4.0,4.0,4.0,9000
2000-04-04,3.2,3.4,3.2,3.4,53000
2000-04-05,3.0,3.0,3.0,3.0,12000
2000-04-06,3.0,3.1,3.0,3.05,112000
2000-04-07,3.2,4.2,3.2,3.3,297000
2000-04-11,3.5,3.7,3.5,3.7,61000
2000-04-12,3.6,3.6,3.6,3.6,50000
2000-04-13,3.5,3.5,3.5,3.5,10000
2000-04-14,3.8,3.8,3.5,3.5,15000
2000-04-17,3.5,3.5,3.5,3.5,210000
2000-04-25,3.2,3.2,3.2,3.2,10000
2000-04-26,3.0,3.0,3.0,3.0,30000
2000-04-27,3.0,3.0,3.0,3.0,10000
2000-05-04,2.9,2.9,2.7,2.7,30000
2000-05-05,3.2,3.2,3.2,3.2,1000
2000-05-08,2.2,3.0,2.2,3.0,11000
2000-05-10,4.0,4.0,4.0,4.0,1000
2000-05-16,3.0,3.0,3.0,3.0,2000
2000-05-25,3.5,3.5,3.5,3.5,3000
2000-05-31,2.5,2.5,2.5,2.5,6000
2000-06-05,2.1,3.4,2.1,2.2,12000
2000-07-11,2.8,3.2,2.8,3.2,4100000
2000-07-12,3.5,3.8,3.0,3.8,240000
2000-07-13,3.8,3.8,3.1,3.1,20000
2000-07-14,3.2,3.2,3.0,3.2,2465000
2000-07-19,3.05,3.2,3.05,3.2,111000
2000-07-20,3.2,3.25,3.1,3.25,30000
2000-07-21,3.25,3.25,3.25,3.25,41000
2000-07-24,3.25,3.25,3.25,3.25,11000
2000-07-25,3.25,3.25,3.25,3.25,10000
2000-07-26,3.25,3.25,3.25,3.25,24000
2000-07-28,3.2,3.3,3.2,3.3,44000
2000-08-01,3.1,3.1,3.1,3.1,30000
2000-08-02,3.1,3.1,3.1,3.1,10000
2000-08-03,3.0,3.0,3.0,3.0,10000
2000-08-10,2.8,2.8,2.8,2.8,182000
2000-08-16,3.5,3.5,3.5,3.5,2000
2000-09-01,3.0,3.0,3.0,3.0,4000
2000-09-05,4.4,4.4,4.4,4.4,1000
