date,open,high,low,close,volume
2009-12-08,39.0,39.0,38.0,38.0,1754200
2009-12-09,38.0,38.5,37.0,37.5,2193600
2009-12-10,37.5,38.0,37.5,38.0,640300
2009-12-11,38.0,38.5,37.5,38.5,404300
2009-12-14,38.5,39.0,38.5,39.0,682200
2009-12-15,39.5,39.5,38.5,39.5,415700
2009-12-16,39.5,39.5,39.0,39.0,357300
2009-12-17,39.0,39.5,39.0,39.5,1404600
2009-12-18,39.0,39.5,39.0,39.0,519800
2009-12-21,39.0,39.5,39.0,39.5,185400
2009-12-22,39.0,39.0,38.5,39.0,154300
2009-12-23,39.5,39.5,38.5,39.0,266600
2009-12-28,39.0,39.0,38.5,39.0,101700
2009-12-29,39.0,39.0,38.5,39.0,134400
2010-01-04,39.0,39.0,38.5,38.5,482400
2010-01-05,38.5,39.5,38.5,39.0,756900
2010-01-06,38.5,39.0,38.5,39.0,479300
2010-01-07,39.0,39.0,39.0,39.0,74100
2010-01-08,39.0,39.0,38.5,39.0,202000
2010-01-11,39.0,39.5,38.5,39.0,526900
2010-01-12,39.0,40.5,39.0,39.5,2776100
2010-01-13,39.5,40.0,39.5,39.5,465800
2010-01-14,39.5,40.0,39.5,40.0,1729700
2010-01-15,40.0,40.0,39.5,40.0,2304200
2010-01-18,39.5,39.5,39.0,39.0,825600
2010-01-19,39.0,39.0,38.5,38.5,992200
2010-01-20,39.0,39.0,39.0,39.0,633900
2010-01-21,39.0,39.5,39.0,39.5,438200
2010-01-22,39.5,39.5,38.0,38.5,1656200
2010-01-25,38.5,38.5,36.5,37.5,760700
2010-01-26,37.5,37.5,36.0,36.0,1010200
2010-01-27,36.0,36.0,34.5,34.5,972100
2010-01-28,34.5,36.0,34.5,36.0,1157400
2010-01-29,36.0,36.5,36.0,36.0,779500
2010-02-01,35.5,36.5,35.0,35.0,1633400
2010-02-02,36.0,36.0,34.5,34.5,958700
2010-02-03,35.5,35.5,35.0,35.0,1142400
2010-02-04,35.5,36.0,35.5,35.5,934200
2010-02-05,35.0,35.5,34.0,35.0,1180700
2010-02-08,35.5,35.5,35.0,35.0,1028900
2010-02-09,34.5,35.0,34.0,34.5,2576300
2010-02-10,34.5,35.5,34.5,35.0,1312600
2010-02-11,35.0,37.0,35.0,37.0,2236200
2010-02-12,37.0,37.5,37.0,37.5,1661500
2010-02-15,36.5,37.5,36.5,37.0,803600
2010-02-16,37.5,37.5,36.5,37.0,2427200
2010-02-17,37.5,38.0,37.5,38.0,877800
2010-02-18,38.0,38.0,37.5,38.0,916300
2010-02-19,37.5,38.5,37.5,38.0,1496500
2010-02-22,38.0,38.5,38.0,38.0,1369000
2010-02-23,38.0,38.5,37.0,38.0,8799200
2010-02-24,37.5,37.5,37.0,37.5,547900
2010-02-25,37.5,38.0,37.0,37.0,500100
2010-02-26,37.5,38.0,37.5,38.0,384500
2010-03-01,38.0,38.0,37.5,38.0,207900
2010-03-02,38.5,38.5,38.0,38.5,673100
2010-03-03,38.5,38.5,38.0,38.5,144200
2010-03-04,38.0,38.0,37.5,37.5,1155300
2010-03-05,38.0,38.0,37.5,38.0,448200
2010-03-08,38.0,38.5,37.5,38.5,99800
2010-03-09,38.0,38.0,37.5,38.0,629800
2010-03-10,38.0,38.0,37.5,37.5,982600
2010-03-11,37.5,38.0,37.5,37.5,1067200
2010-03-12,38.0,38.0,37.5,37.5,601200
2010-03-15,37.5,38.0,37.5,38.0,452400
2010-03-16,37.5,37.5,37.0,37.5,1212900
2010-03-17,37.0,37.5,37.0,37.0,1433000
2010-03-18,37.0,38.5,37.0,38.0,739400
2010-03-19,37.0,38.0,37.0,38.0,213200
2010-03-22,38.0,38.0,37.5,37.5,131300
2010-03-23,38.0,38.5,38.0,38.5,649000
2010-03-24,38.5,39.0,38.0,39.0,2417400
2010-03-25,38.5,40.0,38.5,40.0,2624700
2010-03-26,39.5,40.5,39.5,40.5,1412000
2010-03-29,40.0,40.0,39.5,40.0,1078400
2010-03-30,40.0,41.0,40.0,40.5,1023100
2010-03-31,40.5,42.0,40.5,41.5,4547400
2010-04-05,41.5,43.0,41.5,43.0,2739100
2010-04-06,43.0,44.5,43.0,44.5,3140600
2010-04-07,44.5,44.5,43.0,44.0,2258600
2010-04-08,43.5,43.5,42.5,43.5,1269500
2010-04-12,43.0,44.0,43.0,43.5,872400
2010-04-13,44.0,44.0,43.0,43.5,557900
2010-04-14,43.0,43.5,43.0,43.0,649000
2010-04-15,43.5,44.0,43.0,43.5,1133400
2010-04-16,43.5,44.0,42.5,44.0,454700
2010-04-20,42.0,42.0,41.0,41.5,132616600
2010-04-21,41.5,41.5,40.5,41.0,3037200
2010-04-22,41.0,41.5,41.0,41.5,4673400
2010-04-23,41.5,42.0,41.0,41.5,2388700
2010-04-26,41.5,42.5,41.5,42.0,2696900
2010-04-27,42.5,43.5,42.5,43.0,1289500
2010-04-28,41.5,43.5,41.5,43.0,3436400
2010-04-29,43.0,43.0,42.5,43.0,1336800
2010-04-30,43.0,43.0,42.0,42.0,1099200
2010-05-04,42.0,42.5,41.5,42.5,620200
2010-05-05,41.5,41.5,40.0,40.5,1765500
2010-05-06,41.0,41.0,40.5,40.5,1529700
2010-05-07,39.5,41.0,38.5,40.0,1499100
2010-05-11,43.0,43.0,42.0,42.0,2967000
2010-05-12,42.5,42.5,41.5,42.5,993200
