date,open,high,low,close,volume
1999-06-28,0.0038,0.0038,0.0038,0.0038,2000000
1999-06-29,0.0046,0.0055,0.0046,0.005,61000000
1999-06-30,0.005,0.0055,0.005,0.0055,18000000
1999-07-01,0.0046,0.0046,0.0046,0.0046,2000000
1999-07-06,0.0042,0.0042,0.0042,0.0042,13000000
1999-07-07,0.004,0.0048,0.004,0.0048,15000000
1999-07-09,0.0055,0.006,0.005,0.005,8000000
1999-07-12,0.0065,0.006999999999999999,0.0065,0.006999999999999999,130000000
1999-07-13,0.008,0.008,0.006999999999999999,0.006999999999999999,109000000
1999-07-14,0.006,0.006,0.006,0.006,10000000
1999-07-16,0.006,0.006,0.006,0.006,11000000
1999-07-19,0.0065,0.0065,0.0065,0.0065,2000000
1999-07-20,0.006,0.006,0.006,0.006,1000000
1999-07-21,0.005,0.005,0.005,0.005,65000000
1999-07-22,0.0046,0.0046,0.0046,0.0046,10000000
1999-07-23,0.004,0.004,0.004,0.004,10000000
1999-07-26,0.004,0.0044,0.004,0.0044,35000000
1999-07-29,0.0044,0.005,0.0044,0.005,7000000
1999-07-30,0.005,0.005,0.0048,0.0048,13000000
1999-08-04,0.0055,0.0055,0.005,0.0055,28000000
1999-08-05,0.006,0.006,0.006,0.006,6000000
1999-08-06,0.005,0.005,0.005,0.005,9000000
1999-08-09,0.005,0.005,0.005,0.005,13000000
1999-08-12,0.0042,0.005,0.0042,0.005,2000000
1999-08-17,0.0046,0.0046,0.0046,0.0046,17000000
1999-08-18,0.0044,0.0044,0.0044,0.0044,33000000
1999-08-19,0.0044,0.0044,0.0044,0.0044,10000000
1999-08-24,0.005,0.005,0.0046,0.0046,37000000
1999-08-25,0.005,0.005,0.005,0.005,10000000
1999-09-01,0.0044,0.0044,0.0044,0.0044,13000000
1999-09-03,0.0044,0.0044,0.0044,0.0044,7000000
1999-09-10,0.004,0.0044,0.004,0.0044,14000000
1999-09-14,0.0044,0.0046,0.0044,0.0046,2000000
1999-09-21,0.0042,0.0042,0.0042,0.0042,5000000
1999-09-22,0.0042,0.006,0.0042,0.006,21000000
1999-09-24,0.005,0.005,0.005,0.005,3000000
1999-09-30,0.005,0.005,0.005,0.005,4000000
1999-10-05,0.0055,0.006,0.0055,0.006,10000000
1999-10-06,0.006,0.006,0.006,0.006,78000000
1999-10-07,0.0055,0.0055,0.0055,0.0055,2000000
1999-10-08,0.005,0.005,0.005,0.005,28000000
1999-10-11,0.005,0.005,0.005,0.005,6000000
1999-10-19,0.004,0.004,0.004,0.004,2000000
1999-10-21,0.0044,0.0044,0.0044,0.0044,6000000
1999-10-22,0.004,0.004,0.004,0.004,2000000
1999-10-28,0.004,0.004,0.004,0.004,2000000
1999-11-05,0.004,0.004,0.004,0.004,4000000
1999-11-09,0.004,0.004,0.004,0.004,1000000
1999-11-10,0.004,0.004,0.004,0.004,9000000
1999-11-16,0.0042,0.0042,0.0042,0.0042,2000000
1999-11-17,0.0042,0.0042,0.0042,0.0042,1000000
1999-11-18,0.0044,0.0044,0.0044,0.0044,10000000
1999-11-19,0.0042,0.0042,0.0042,0.0042,11000000
1999-11-24,0.0044,0.0044,0.0044,0.0044,11000000
1999-11-25,0.0048,0.0055,0.0048,0.0055,35000000
1999-11-26,0.0065,0.0065,0.006,0.006,113000000
1999-11-29,0.0065,0.009000000000000001,0.0065,0.008,344000000
1999-12-01,0.008,0.009000000000000001,0.006999999999999999,0.006999999999999999,102000000
1999-12-02,0.006999999999999999,0.006999999999999999,0.006,0.006,20000000
1999-12-03,0.006999999999999999,0.006999999999999999,0.0065,0.0065,10000000
1999-12-06,0.0075,0.0095,0.0075,0.0095,331000000
1999-12-07,0.011000000000000001,0.013000000000000001,0.01,0.013000000000000001,629000000
1999-12-08,0.013999999999999999,0.013999999999999999,0.01,0.01,490700000
1999-12-09,0.01,0.01,0.009000000000000001,0.009000000000000001,41000000
1999-12-10,0.009000000000000001,0.009000000000000001,0.0085,0.0085,29000000
1999-12-13,0.0085,0.0085,0.008,0.008,77000000
1999-12-14,0.008,0.008,0.008,0.008,14000000
1999-12-15,0.008,0.0085,0.0075,0.0075,29000000
1999-12-16,0.0075,0.0075,0.006999999999999999,0.006999999999999999,87000000
1999-12-17,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,24000000
1999-12-20,0.0065,0.0065,0.0065,0.0065,7000000
1999-12-21,0.006999999999999999,0.0085,0.006999999999999999,0.0085,45000000
1999-12-22,0.009000000000000001,0.009000000000000001,0.008,0.008,60000000
1999-12-23,0.008,0.008,0.008,0.008,23000000
1999-12-24,0.008,0.008,0.008,0.008,10000000
1999-12-27,0.008,0.008,0.008,0.008,10000000
1999-12-28,0.0075,0.0075,0.006999999999999999,0.006999999999999999,21000000
1999-12-29,0.0075,0.0075,0.0075,0.0075,25000000
2000-02-02,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,7000000
2000-02-03,0.006999999999999999,0.0075,0.006999999999999999,0.0075,4000000
2000-02-04,0.0075,0.008,0.0075,0.0075,37000000
2000-02-07,0.0075,0.0075,0.0075,0.0075,3000000
2000-02-08,0.0075,0.0075,0.0075,0.0075,9000000
2000-02-09,0.0075,0.0075,0.0075,0.0075,1000000
2000-02-10,0.0075,0.0075,0.0075,0.0075,1000000
2000-02-14,0.0075,0.0075,0.0075,0.0075,13000000
2000-02-15,0.0075,0.008,0.0075,0.0075,38000000
2000-02-16,0.0075,0.0075,0.0075,0.0075,5000000
2000-02-17,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,9000000
2000-02-18,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,2000000
2000-02-21,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,10000000
2000-02-22,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,1000000
2000-02-23,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,6000000
2000-02-24,0.006999999999999999,0.0075,0.006999999999999999,0.0075,8000000
2000-02-28,0.0065,0.006999999999999999,0.0065,0.006999999999999999,18000000
2000-02-29,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,10000000
2000-03-01,0.0065,0.0065,0.0065,0.0065,3000000
2000-03-06,0.0065,0.0065,0.0065,0.0065,6000000
2000-03-07,0.006999999999999999,0.0085,0.006999999999999999,0.0085,48000000
2000-03-08,0.008,0.011000000000000001,0.008,0.01,161000000
2000-03-09,0.01,0.01,0.009000000000000001,0.009000000000000001,97000000
2000-03-10,0.01,0.011000000000000001,0.009000000000000001,0.01,102000000
2000-03-13,0.01,0.012,0.01,0.011000000000000001,275000000
2000-03-14,0.01,0.011000000000000001,0.0095,0.0095,67900000
2000-03-15,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,40000000
2000-03-16,0.0095,0.01,0.0095,0.0095,49000000
2000-03-17,0.0095,0.0095,0.0095,0.0095,26000000
2000-03-20,0.0095,0.0095,0.0095,0.0095,12000000
2000-03-22,0.009000000000000001,0.009000000000000001,0.0085,0.0085,36000000
2000-03-23,0.009000000000000001,0.009000000000000001,0.0085,0.0085,11000000
2000-03-27,0.0085,0.0085,0.008,0.0085,12000000
2000-03-28,0.008,0.008,0.008,0.008,6000000
2000-03-31,0.008,0.008,0.008,0.008,16000000
2000-04-03,0.008,0.008,0.0075,0.008,17000000
2000-04-04,0.008,0.008,0.008,0.008,13000000
2000-04-05,0.008,0.008,0.0075,0.0075,34000000
2000-04-06,0.0075,0.0075,0.0075,0.0075,5000000
2000-04-07,0.008,0.0085,0.008,0.0085,69000000
2000-04-10,0.0085,0.0085,0.0075,0.008,51000000
2000-04-11,0.008,0.008,0.008,0.008,9000000
2000-04-13,0.0075,0.0075,0.0075,0.0075,1000000
2000-04-14,0.008,0.008,0.0075,0.0075,9000000
2000-04-17,0.0075,0.0075,0.0075,0.0075,22000000
2000-04-18,0.0075,0.0075,0.0075,0.0075,15000000
2000-04-25,0.006999999999999999,0.006999999999999999,0.0065,0.0065,6000000
2000-04-26,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,13000000
2000-04-27,0.0065,0.0065,0.0065,0.0065,50000000
2000-04-28,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,27000000
2000-05-03,0.006999999999999999,0.006999999999999999,0.006999999999999999,0.006999999999999999,10000000
2000-05-04,0.0065,0.0065,0.0065,0.0065,70000000
2000-05-05,0.006,0.0065,0.006,0.0065,26000000
