date,open,high,low,close,volume
1999-02-04,0.25,0.25,0.24,0.24,280000
1999-02-05,0.24,0.24,0.24,0.24,20000
1999-02-08,0.24,0.24,0.24,0.24,20000
1999-02-09,0.24,0.24,0.24,0.24,20000
1999-02-10,0.24,0.24,0.24,0.24,20000
1999-02-11,0.24,0.24,0.24,0.24,20000
1999-02-16,0.2,0.2,0.2,0.2,200000
1999-02-18,0.195,0.195,0.195,0.195,70000
1999-02-19,0.19,0.19,0.19,0.19,200000
1999-02-25,0.18,0.18,0.18,0.18,40000
1999-02-26,0.18,0.18,0.18,0.18,100000
1999-03-01,0.18,0.18,0.18,0.18,10000
1999-03-02,0.18,0.18,0.18,0.18,40000
1999-03-03,0.18,0.18,0.18,0.18,40000
1999-03-04,0.18,0.18,0.17,0.17,30000
1999-03-08,0.17,0.18,0.17,0.18,120000
1999-03-09,0.18,0.18,0.18,0.18,30000
1999-03-17,0.18,0.18,0.18,0.18,20000
1999-03-18,0.18,0.18,0.18,0.18,100000
1999-03-23,0.17,0.17,0.17,0.17,10000
1999-03-25,0.18,0.18,0.18,0.18,30000
1999-03-26,0.18,0.18,0.18,0.18,60000
1999-04-07,0.22,0.22,0.22,0.22,50000
1999-04-12,0.21,0.22,0.21,0.22,230000
1999-04-15,0.22,0.22,0.22,0.22,80000
1999-04-19,0.22,0.3,0.22,0.3,270000
1999-05-03,0.3,0.3,0.3,0.3,20000
1999-05-05,0.3,0.3,0.3,0.3,240000
1999-05-06,0.32,0.32,0.32,0.32,50000
1999-05-07,0.32,0.32,0.32,0.32,150000
1999-05-11,0.3,0.3,0.3,0.3,50000
1999-05-13,0.32,0.32,0.32,0.32,250000
1999-05-18,0.3,0.3,0.3,0.3,200000
1999-05-19,0.3,0.3,0.3,0.3,50000
1999-05-21,0.35,0.35,0.35,0.35,30000
1999-05-27,0.24,0.24,0.24,0.24,10000
1999-06-01,0.24,0.25,0.24,0.25,60000
1999-06-02,0.29,0.29,0.29,0.29,20000
1999-06-03,0.29,0.29,0.29,0.29,60000
1999-06-08,0.23,0.23,0.23,0.23,100000
1999-06-09,0.23,0.25,0.23,0.25,270000
1999-06-15,0.25,0.25,0.25,0.25,50000
1999-06-16,0.25,0.28,0.25,0.28,230000
1999-06-17,0.29,0.31,0.29,0.3,170000
1999-06-21,0.35,0.35,0.35,0.35,20000
1999-06-22,0.4,0.42,0.36,0.36,230000
1999-06-24,0.37,0.39,0.37,0.39,220000
