date,open,high,low,close,volume
1999-02-04,1.1,1.3,1.1,1.3,3000
1999-02-05,1.3,1.3,1.3,1.3,1000
1999-02-08,1.3,1.3,1.3,1.3,1000
1999-02-09,1.3,1.3,1.3,1.3,1000
1999-02-10,1.3,1.3,1.3,1.3,1000
1999-02-11,1.3,1.3,1.3,1.3,1000
1999-02-12,1.3,1.3,1.3,1.3,1000
1999-02-24,1.3,1.3,1.3,1.3,1000
1999-03-01,1.1,1.3,1.1,1.3,8000
1999-03-09,1.1,1.3,1.0,1.3,14000
1999-03-12,1.3,1.3,1.3,1.3,3000
1999-03-15,1.14,1.3,1.14,1.3,6000
1999-03-17,1.32,1.4,1.3,1.4,11000
1999-03-19,1.6,1.6,1.5,1.6,7000
1999-03-22,2.0,2.1,2.0,2.1,139000
1999-03-23,2.3,2.3,2.3,2.3,1000
1999-03-24,2.3,2.3,2.1,2.3,32000
1999-03-25,2.3,2.3,2.3,2.3,1000
1999-03-26,2.0,2.3,2.0,2.3,281000
1999-03-29,2.12,2.14,2.12,2.14,275000
1999-03-30,2.14,2.14,2.0,2.14,150000
1999-03-31,2.14,2.14,2.14,2.14,30000
1999-04-05,2.14,2.14,2.14,2.14,2000
1999-04-30,1.4,1.4,1.4,1.4,1000
1999-05-04,1.48,1.6,1.48,1.58,29000
1999-05-05,1.58,1.6,1.58,1.6,7000
1999-05-06,1.6,1.62,1.6,1.62,31000
1999-05-07,1.64,1.64,1.6,1.6,42000
1999-05-21,1.5,1.5,1.5,1.5,71000
1999-05-24,1.5,1.5,1.5,1.5,100000
1999-05-25,1.4,1.4,1.4,1.4,2000
1999-05-27,1.3,1.3,1.3,1.3,10000
1999-05-31,1.4,1.4,1.4,1.4,20000
1999-06-02,1.2,1.2,1.2,1.2,3000
1999-06-03,1.2,1.2,1.2,1.2,1000
1999-06-08,1.6,1.6,1.6,1.6,5000
1999-06-21,1.6,1.68,1.5,1.68,100000
1999-06-22,1.7,2.1,1.7,2.06,965000
1999-06-23,2.1,2.48,2.1,2.48,565000
1999-06-24,2.5,2.95,2.48,2.95,1119000
1999-06-25,3.0,4.0,3.0,4.0,839000
1999-06-28,5.2,6.0,5.2,5.9,4274000
1999-06-29,6.9,7.5,6.0,6.4,4129000
1999-06-30,6.4,6.6,4.9,5.4,2130000
1999-07-01,5.2,5.2,3.9,4.4,1968000
1999-07-02,3.0,3.6,3.0,3.6,417000
1999-07-05,3.2,3.7,3.2,3.4,296000
1999-07-06,3.5,3.5,3.3,3.5,101000
1999-07-07,3.5,5.0,3.5,4.35,929000
1999-07-08,4.3,4.3,4.05,4.1,151000
1999-07-09,4.3,4.4,3.8,4.1,606000
1999-07-12,4.1,4.1,4.0,4.0,95000
1999-07-13,3.95,4.1,3.9,3.9,71000
1999-07-14,3.8,3.8,3.6,3.7,164000
1999-07-15,3.7,4.2,3.7,3.85,460000
1999-07-16,3.75,3.8,3.5,3.7,145000
1999-07-19,3.55,3.7,3.5,3.7,97000
1999-07-20,3.5,3.55,3.5,3.55,168000
1999-07-21,3.5,3.55,3.5,3.5,86000
1999-07-22,3.5,3.5,3.4,3.5,143000
1999-07-23,3.5,3.7,3.5,3.5,3203000
1999-07-26,3.5,3.6,3.5,3.6,3143000
1999-07-27,3.5,3.5,3.2,3.5,70000
1999-07-28,3.6,3.9,3.6,3.6,27000
1999-07-29,3.8,4.0,3.8,3.8,370000
1999-07-30,3.8,3.9,3.7,3.8,489000
1999-08-02,3.8,3.8,3.7,3.7,1290000
1999-08-04,3.75,3.75,3.7,3.7,224000
1999-08-05,3.9,4.4,3.9,4.0,698000
1999-08-06,4.2,4.4,3.9,3.9,300000
1999-08-09,3.8,3.8,3.65,3.75,110000
1999-08-10,3.95,3.95,3.7,3.95,42000
1999-08-11,3.9,3.9,3.7,3.7,95000
1999-08-12,3.9,3.9,3.8,3.8,21000
1999-08-13,3.8,3.8,3.75,3.8,80000
1999-08-16,3.9,3.9,3.8,3.8,48000
1999-08-17,3.8,3.8,3.5,3.55,384000
1999-08-18,3.6,3.8,3.6,3.8,38000
1999-08-19,3.8,3.8,3.8,3.8,10000
1999-08-20,3.7,4.0,3.7,4.0,16000
1999-08-23,4.0,4.6,3.9,4.3,1315000
1999-08-24,4.4,4.6,4.05,4.3,1017000
1999-08-25,4.3,5.3,4.3,5.0,7878000
1999-08-26,5.0,5.8,5.0,5.4,5215000
1999-08-27,5.7,5.7,5.3,5.3,1854000
1999-08-30,5.3,5.3,4.75,4.85,971000
1999-08-31,4.9,5.3,4.7,5.1,2383000
1999-09-01,5.2,5.2,4.85,4.85,413000
1999-09-02,4.85,4.85,4.4,4.6,1105000
1999-09-03,4.6,5.0,4.6,4.85,859000
1999-09-06,5.0,5.2,4.95,5.0,1387000
1999-09-07,5.1,5.1,4.9,4.9,148000
1999-09-08,4.9,5.3,4.9,5.0,594000
1999-09-09,5.1,5.6,4.95,5.3,9354000
