date,open,high,low,close,volume
1999-07-13,10.0,10.0,10.0,10.0,1000
1999-07-14,13.0,13.0,10.0,10.0,3000
1999-07-15,11.25,11.25,11.25,11.25,3000
1999-07-16,11.0,11.0,11.0,11.0,2000
1999-07-19,10.0,10.0,10.0,10.0,1000
1999-08-04,10.0,10.0,10.0,10.0,10000
1999-08-25,8.5,8.5,8.5,8.5,2000
1999-09-21,9.0,9.5,9.0,9.5,4000
1999-09-22,10.0,10.0,10.0,10.0,62000
1999-09-23,10.0,10.0,10.0,10.0,100000
1999-09-28,9.5,9.5,9.0,9.0,4000
1999-10-04,13.5,13.5,13.5,13.5,1000
1999-10-05,20.0,20.0,20.0,20.0,1000
1999-10-06,30.0,30.0,29.5,30.0,1160300
1999-10-08,31.0,31.0,18.0,18.0,2787000
1999-10-11,11.5,15.0,11.25,12.0,629400
1999-10-12,11.0,11.0,9.4,9.4,405100
1999-10-13,10.0,11.75,10.0,10.75,704000
1999-10-14,11.0,11.0,9.6,9.8,253600
1999-10-15,10.0,10.25,10.0,10.25,35000
1999-10-18,10.25,10.25,9.7,9.7,126600
1999-10-19,9.8,9.9,9.8,9.9,37000
1999-10-20,10.25,12.25,9.9,11.5,227000
1999-10-21,11.5,11.5,10.25,10.25,186000
1999-10-22,10.25,10.75,9.5,9.7,240800
1999-10-25,9.6,9.8,9.5,9.6,103000
1999-10-26,9.5,9.8,9.5,9.8,80000
1999-10-27,9.6,10.0,9.6,10.0,32000
1999-10-28,10.25,10.25,10.0,10.0,47000
1999-11-03,9.9,9.9,9.8,9.8,14000
1999-11-04,9.8,10.0,9.7,9.8,50000
1999-11-05,9.6,9.6,9.5,9.5,25000
1999-11-09,9.0,9.1,8.4,8.7,22000
1999-11-11,8.4,8.6,8.4,8.6,21000
1999-11-12,8.6,8.8,8.6,8.6,23000
1999-11-15,8.4,8.4,8.4,8.4,2000
1999-11-16,8.0,8.0,7.9,7.9,30000
1999-11-17,7.0,7.5,7.0,7.5,2000
1999-11-18,7.0,7.0,7.0,7.0,2000
1999-11-19,8.0,9.0,8.0,9.0,19000
1999-11-23,8.0,8.0,7.1,7.1,20000
1999-11-25,7.6,7.6,7.5,7.6,12000
1999-11-26,7.2,7.2,7.2,7.2,7000
