date,open,high,low,close,volume
2013-02-19,34.75,37.0,34.5,36.35,19373100
2013-02-20,36.45,36.65,35.0,35.3,4353400
2013-02-21,35.2,36.2,34.5,36.15,4112200
2013-02-22,36.1,38.0,36.0,37.55,4874500
2013-02-25,37.55,38.0,37.3,37.6,2190300
2013-02-26,37.4,37.65,36.9,37.35,2289000
2013-02-27,37.5,37.85,37.35,37.6,2703700
2013-02-28,37.8,38.75,37.8,38.65,5533500
2013-03-01,38.7,38.7,38.05,38.35,768800
2013-03-04,38.5,38.75,37.5,38.05,3216300
2013-03-05,38.0,38.85,37.85,38.5,2305000
2013-03-06,38.5,38.6,38.25,38.4,1890900
2013-03-07,38.35,38.4,38.1,38.15,908800
2013-03-08,38.15,38.15,37.4,37.5,2128100
2013-03-11,37.5,37.75,36.8,37.0,1680600
2013-03-12,36.9,36.9,36.25,36.3,1593200
2013-03-13,36.3,37.0,35.75,36.6,971800
2013-03-14,36.95,37.0,36.3,36.35,367800
2013-03-15,36.35,36.35,35.8,35.8,514700
2013-03-18,35.75,36.35,34.5,34.6,1740500
2013-03-19,34.6,34.6,33.5,33.8,1704100
2013-03-20,33.5,34.3,33.3,34.0,1038500
2013-03-21,34.35,34.35,33.5,33.95,595700
2013-03-22,34.05,34.5,33.95,34.1,1134700
2013-03-25,34.7,34.7,34.3,34.6,304900
2013-03-26,34.5,34.6,34.15,34.2,425300
2013-03-27,34.2,34.6,34.2,34.3,561000
2013-04-01,34.4,34.45,33.8,33.8,948200
2013-04-02,33.85,33.95,33.6,33.85,359000
2013-04-03,33.75,34.3,33.7,34.1,346900
2013-04-04,34.05,34.35,33.95,34.25,243000
2013-04-05,34.25,35.1,34.0,34.9,1267600
2013-04-08,35.0,35.75,34.9,35.6,960900
2013-04-10,35.6,35.95,35.6,35.9,1195200
2013-04-11,35.9,36.2,35.9,36.1,1347500
2013-04-12,36.2,37.0,36.2,36.9,1123100
2013-04-15,37.0,37.0,36.2,36.5,545000
2013-04-16,36.0,36.55,35.6,36.5,451500
2013-04-17,36.6,37.2,36.6,36.85,695800
2013-04-18,36.5,36.9,36.0,36.55,485300
2013-04-19,36.5,36.55,35.9,36.0,383900
2013-04-22,36.0,36.1,35.8,35.8,804500
2013-04-23,36.0,36.0,35.7,35.75,455200
2013-04-24,35.75,35.95,34.9,34.9,365100
2013-04-25,35.0,35.0,34.65,34.7,306000
2013-04-26,34.65,35.0,34.65,34.85,548900
2013-04-29,34.9,34.9,33.85,34.0,987300
2013-04-30,34.05,34.6,33.85,34.0,994400
2013-05-02,34.0,34.5,34.0,34.05,731000
2013-05-03,34.1,34.5,34.1,34.15,315400
2013-05-06,34.2,34.8,34.2,34.8,685700
2013-05-07,34.8,34.8,34.5,34.6,310900
2013-05-08,34.6,34.6,34.1,34.1,361200
2013-05-09,34.0,34.1,33.9,34.0,1920400
2013-05-10,34.0,34.5,33.9,34.0,1860400
2013-05-14,34.05,34.25,34.05,34.15,90200
2013-05-15,34.15,34.5,34.15,34.35,332000
2013-05-16,34.35,34.4,33.95,34.05,492400
2013-05-17,34.0,34.05,33.8,34.05,629100
2013-05-20,34.2,34.2,34.0,34.0,376700
2013-05-21,34.1,34.7,34.0,34.7,635400
2013-05-22,34.7,34.7,34.25,34.5,206900
2013-05-23,34.2,34.2,32.7,32.7,2661500
2013-05-24,32.75,33.45,32.7,33.05,267500
2013-05-27,33.05,33.05,32.5,32.65,371600
2013-05-28,32.6,32.6,31.9,32.25,305100
2013-05-29,32.25,32.55,32.25,32.45,102100
2013-05-30,32.45,32.45,31.65,31.75,166800
2013-05-31,31.75,32.0,31.0,31.8,664400
2013-06-03,31.0,31.5,30.8,30.9,586800
2013-06-04,31.0,31.1,30.2,30.2,215200
2013-06-05,30.2,31.5,30.15,30.15,71900
2013-06-06,30.15,30.8,29.25,30.8,548100
2013-06-07,31.0,31.0,30.0,30.0,197100
2013-06-10,30.1,31.6,30.1,31.5,276200
2013-06-11,31.5,31.5,30.2,30.3,251800
2013-06-13,30.3,30.3,28.5,28.9,351700
2013-06-14,30.0,30.0,28.8,28.8,113300
2013-06-17,28.8,29.1,28.8,29.0,216300
2013-06-18,29.1,29.2,28.9,29.0,151200
2013-06-19,29.05,30.0,29.05,29.6,106400
2013-06-20,29.05,29.5,28.5,29.1,464500
2013-06-21,28.5,28.5,27.0,27.45,475700
2013-06-24,27.0,27.0,24.5,24.55,155800
2013-06-25,24.55,25.0,23.7,23.9,329100
2013-06-26,24.2,26.0,24.2,24.95,278900
2013-06-27,26.0,26.95,25.8,25.8,126000
2013-06-28,26.0,26.0,25.8,25.8,201200
2013-07-01,26.0,26.2,25.6,25.65,52100
2013-07-02,25.7,27.0,25.7,26.15,62500
2013-07-03,26.0,26.1,26.0,26.0,6700
2013-07-04,25.8,25.8,25.65,25.7,17300
2013-07-05,26.15,26.15,25.9,25.9,37700
2013-07-08,25.9,26.0,25.7,26.0,21500
2013-07-09,25.9,26.0,25.0,25.0,74900
2013-07-10,25.0,25.0,25.0,25.0,120500
2013-07-11,25.0,25.95,25.0,25.2,93200
2013-07-12,25.25,25.95,25.25,25.5,45900
2013-07-15,25.55,26.0,25.5,26.0,86200
2013-07-16,26.05,26.05,25.7,25.7,25700
2013-07-17,26.0,26.0,25.6,25.7,16600
2013-07-18,25.85,25.9,25.8,25.8,17500
2013-07-19,25.7,25.8,25.7,25.7,53400
2013-07-22,25.6,25.6,25.6,25.6,14500
2013-07-23,25.7,26.4,25.7,26.4,54300
2013-07-24,26.3,26.3,25.95,25.95,27000
2013-07-25,25.95,26.05,25.95,26.0,23800
2013-07-26,26.0,26.4,26.0,26.0,18900
2013-07-29,25.95,26.4,25.55,25.8,60800
2013-07-30,26.0,26.0,25.9,26.0,16200
2013-07-31,25.7,25.7,25.6,25.6,24100
2013-08-01,25.6,25.75,25.45,25.5,68600
2013-08-02,25.5,25.55,25.4,25.4,72300
2013-08-05,25.5,25.55,25.4,25.4,19600
2013-08-06,25.4,25.4,25.2,25.2,1924100
2013-08-07,25.15,25.2,25.1,25.2,24600
2013-08-08,25.1,25.1,24.7,24.7,129400
2013-08-12,25.5,25.5,24.75,24.85,15200
2013-08-13,24.85,24.95,24.85,24.95,151500
2013-08-14,24.9,25.5,24.9,25.5,82300
2013-08-15,25.2,25.2,24.95,25.0,162000
2013-08-16,25.0,25.0,24.85,24.95,469300
2013-08-22,24.8,24.8,23.9,23.9,192500
2013-08-23,24.05,24.05,23.85,23.85,101100
2013-08-27,24.0,24.0,23.25,23.35,78000
2013-08-28,23.0,23.0,21.85,22.0,325400
2013-08-29,22.0,22.0,22.0,22.0,10000
2013-08-30,22.0,23.15,22.0,23.0,98100
2013-09-02,23.2,24.4,23.0,24.4,30800
2013-09-03,23.05,23.1,23.05,23.1,3600
2013-09-04,23.4,23.4,23.0,23.0,17000
2013-09-05,23.0,23.0,23.0,23.0,25900
2013-09-06,23.0,23.0,22.75,22.75,564800
2013-09-09,23.0,23.0,22.7,22.8,3300
2013-09-10,23.0,23.0,23.0,23.0,49200
2013-09-11,23.05,23.5,22.9,22.9,270900
2013-09-12,22.85,22.85,22.5,22.7,28600
2013-09-13,22.7,22.9,22.55,22.55,16600
2013-09-16,22.6,22.75,22.6,22.7,34800
2013-09-17,22.9,23.45,22.9,22.95,1026500
2013-09-18,23.0,23.75,23.0,23.7,2067300
2013-09-19,24.0,24.5,23.7,23.85,429200
2013-09-20,23.9,24.0,23.7,24.0,343600
2013-09-23,24.0,24.0,23.8,23.8,19700
2013-09-24,23.8,23.8,23.7,23.7,38700
2013-09-25,23.8,24.25,23.8,24.0,137100
2013-09-26,24.0,24.25,24.0,24.05,174200
2013-09-27,24.1,24.25,24.1,24.1,37100
2013-09-30,24.15,24.3,24.1,24.15,229700
2013-10-01,24.3,24.3,24.1,24.1,173100
2013-10-02,24.3,24.95,24.1,24.5,76700
2013-10-03,24.5,24.5,24.1,24.1,35000
2013-10-04,24.1,24.2,24.1,24.15,155100
2013-10-07,24.15,24.5,24.15,24.4,5100
2013-10-08,24.8,24.8,24.4,24.4,286900
2013-10-09,24.4,24.4,24.3,24.4,499000
2013-10-10,24.15,24.5,24.0,24.5,101600
2013-10-11,24.95,24.95,24.15,24.25,197600
2013-10-14,24.3,24.3,24.05,24.05,67400
2013-10-16,24.5,24.55,24.2,24.2,19300
2013-10-17,24.2,24.2,24.05,24.05,23600
2013-10-18,24.25,24.25,24.0,24.05,73900
2013-10-21,24.0,24.1,24.0,24.1,10100
2013-10-22,24.1,24.15,24.1,24.1,21600
2013-10-23,24.5,24.5,24.05,24.05,133600
2013-10-24,24.05,24.05,24.0,24.05,135000
2013-10-25,24.0,24.1,24.0,24.1,64100
