date,open,high,low,close,volume
1999-04-19,130.0,130.0,130.0,130.0,100
1999-04-20,130.0,130.0,130.0,130.0,2000
1999-04-21,130.0,130.0,128.0,128.0,3010
1999-04-22,130.0,132.0,130.0,130.0,4200
1999-04-23,130.0,133.0,130.0,132.0,4000
1999-04-26,132.0,132.0,130.0,130.0,2000
1999-04-27,131.0,132.0,131.0,132.0,4700
1999-04-28,131.0,131.0,130.0,131.0,2250
1999-04-29,131.0,131.0,131.0,131.0,1500
1999-04-30,132.0,132.0,132.0,132.0,270
1999-05-03,131.0,131.0,131.0,131.0,4100
1999-05-07,131.0,131.0,131.0,131.0,300
1999-05-11,131.0,131.0,131.0,131.0,200
1999-05-12,131.0,131.0,131.0,131.0,3000
1999-05-25,130.0,130.0,130.0,130.0,100
1999-06-11,130.0,130.0,130.0,130.0,1000
1999-06-15,127.0,127.0,127.0,127.0,400
1999-07-12,131.0,138.0,131.0,135.0,5000
1999-07-13,136.0,136.0,130.0,130.0,4000
1999-07-22,140.0,140.0,140.0,140.0,1000
1999-07-23,130.0,130.0,130.0,130.0,1640
1999-08-02,130.0,132.0,130.0,132.0,4430
1999-08-06,132.0,132.0,132.0,132.0,1000
1999-08-30,130.0,130.0,129.0,130.0,34500
1999-08-31,130.0,130.0,130.0,130.0,340
1999-09-01,130.0,130.0,130.0,130.0,100
1999-09-06,130.0,133.0,130.0,132.0,1720
1999-09-07,132.0,132.0,132.0,132.0,320
1999-09-08,132.0,138.0,131.0,138.0,5500
1999-09-09,137.0,140.0,135.0,139.0,4170
1999-09-10,140.0,142.0,140.0,142.0,2800
1999-09-13,145.0,148.0,143.0,143.0,2020
1999-09-14,150.0,150.0,144.0,146.0,9820
1999-09-17,147.0,147.0,145.0,145.0,2520
1999-09-20,147.0,161.0,147.0,160.0,8560
1999-09-21,160.0,162.0,160.0,162.0,1890
1999-09-22,162.0,162.0,162.0,162.0,2300
1999-09-23,162.0,164.0,162.0,162.0,2820
1999-09-24,162.0,162.0,162.0,162.0,700
1999-09-27,160.0,161.0,160.0,161.0,2020
1999-09-28,160.0,160.0,158.0,158.0,4200
1999-09-29,159.0,161.0,159.0,161.0,3410
1999-09-30,160.0,160.0,159.0,159.0,1090
1999-10-01,156.0,156.0,156.0,156.0,1000
1999-10-04,158.0,158.0,157.0,157.0,4000
1999-10-05,155.0,155.0,155.0,155.0,1000
1999-10-06,156.0,156.0,156.0,156.0,1000
1999-10-07,155.0,156.0,155.0,156.0,1980
1999-10-08,155.0,155.0,148.0,148.0,6500
1999-10-13,149.0,149.0,149.0,149.0,500
1999-10-14,151.0,165.0,150.0,160.0,15340
1999-10-15,160.0,160.0,160.0,160.0,740
1999-10-19,163.0,165.0,163.0,165.0,3000
1999-10-20,168.0,175.0,168.0,175.0,9440
1999-10-21,170.0,170.0,165.0,165.0,4700
1999-10-22,165.0,167.0,165.0,167.0,2800
1999-10-27,165.0,166.0,165.0,165.0,1130
1999-11-03,170.0,172.0,170.0,172.0,3500
1999-11-04,180.0,185.0,180.0,185.0,5260
1999-11-05,185.0,185.0,181.0,181.0,200
1999-11-09,185.0,185.0,185.0,185.0,620
1999-11-10,190.0,192.0,190.0,192.0,200
1999-11-11,181.0,181.0,180.0,180.0,400
1999-11-12,180.0,180.0,180.0,180.0,1000
1999-11-15,175.0,175.0,175.0,175.0,1000
1999-11-18,178.0,178.0,178.0,178.0,1000
1999-11-23,175.0,175.0,175.0,175.0,500
1999-11-24,170.0,170.0,170.0,170.0,500
1999-11-25,170.0,175.0,170.0,175.0,2110
1999-11-26,172.0,172.0,172.0,172.0,2302200
1999-11-29,160.0,178.0,160.0,160.0,4237550
1999-12-01,175.0,185.0,175.0,180.0,4700
1999-12-02,175.0,175.0,175.0,175.0,500
1999-12-03,170.0,170.0,170.0,170.0,400
1999-12-08,165.0,165.0,165.0,165.0,100
1999-12-09,160.0,174.0,160.0,174.0,3740
1999-12-13,175.0,175.0,175.0,175.0,7370
1999-12-23,173.0,175.0,173.0,175.0,43180
1999-12-27,160.0,160.0,160.0,160.0,1000
2000-01-18,160.0,160.0,160.0,160.0,13480
2000-01-25,160.0,160.0,160.0,160.0,5400
2000-02-02,170.0,170.0,170.0,170.0,4240
2000-02-11,160.0,160.0,160.0,160.0,100
2000-02-21,160.0,160.0,160.0,160.0,1700
2000-04-27,150.0,150.0,150.0,150.0,1170
2000-04-28,150.0,150.0,145.0,150.0,40140
2000-05-02,150.0,155.0,150.0,155.0,24810
2000-05-03,155.0,155.0,155.0,155.0,3450
2000-05-04,155.0,155.0,155.0,155.0,19880
2000-05-05,150.0,150.0,150.0,150.0,2000
2000-05-08,150.0,150.0,150.0,150.0,2240
2000-05-09,152.0,155.0,152.0,155.0,2500
2000-05-11,156.0,156.0,156.0,156.0,740
2000-05-12,158.0,158.0,155.0,155.0,3130
2000-06-30,155.0,155.0,145.0,150.0,1000
2000-07-03,145.0,145.0,145.0,145.0,220
2000-07-27,146.0,146.0,146.0,146.0,200
2000-08-11,150.0,150.0,150.0,150.0,30
2000-08-16,150.0,150.0,150.0,150.0,50
2000-08-17,150.0,150.0,150.0,150.0,400
2000-08-18,140.0,140.0,140.0,140.0,320
2000-10-03,117.0,117.0,117.0,117.0,100
2000-10-05,120.0,120.0,120.0,120.0,20
2000-10-12,125.0,125.0,125.0,125.0,200
2000-11-07,125.0,125.0,125.0,125.0,500
2001-01-22,150.0,150.0,150.0,150.0,1000
2002-11-13,60.0,60.0,60.0,60.0,1100
2002-12-27,80.0,80.0,80.0,80.0,300
2003-01-24,100.0,100.0,100.0,100.0,300
2003-02-11,95.0,95.0,95.0,95.0,300
2003-02-14,95.0,95.0,95.0,95.0,300
2003-04-28,85.0,85.0,85.0,85.0,1100
2003-05-27,85.0,85.0,85.0,85.0,600
2003-06-24,95.0,95.0,95.0,95.0,500
2003-06-25,95.0,95.0,95.0,95.0,300
2003-07-11,95.0,95.0,95.0,95.0,500
2003-07-22,90.0,90.0,90.0,90.0,600
2003-07-31,85.0,85.0,85.0,85.0,400
2003-09-29,85.0,85.0,85.0,85.0,100
2004-06-11,85.0,85.0,85.0,85.0,1500
2004-06-30,100.0,100.0,100.0,100.0,100
2005-03-14,100.0,100.0,100.0,100.0,2300
2005-03-21,66.0,66.0,66.0,66.0,600
2005-03-22,98.0,98.0,98.0,98.0,500
2005-05-09,70.0,85.0,70.0,85.0,3000
2005-06-21,85.0,85.0,85.0,85.0,200
2005-07-28,80.0,80.0,80.0,80.0,40900
2005-09-02,80.0,80.0,80.0,80.0,44700
2006-01-17,70.0,70.0,70.0,70.0,100
2006-01-18,65.0,65.0,65.0,65.0,100
2006-02-13,65.0,65.0,65.0,65.0,400
2006-03-14,50.0,50.0,50.0,50.0,500
2006-03-30,51.0,51.0,51.0,51.0,500
2006-03-31,55.0,55.0,55.0,55.0,700
2006-04-12,51.0,51.0,51.0,51.0,500
2006-04-18,52.0,52.0,52.0,52.0,300
2006-04-19,52.0,52.0,52.0,52.0,500
2006-04-25,52.0,52.0,52.0,52.0,400
2006-04-27,52.0,52.0,52.0,52.0,1000
2006-04-28,55.0,60.0,55.0,60.0,1100
2006-05-29,57.0,59.0,57.0,59.0,600
2006-05-31,59.0,60.0,59.0,60.0,300
2006-06-06,45.0,56.0,45.0,56.0,3000
2006-06-30,54.0,54.0,54.0,54.0,100
2006-07-11,50.0,50.0,50.0,50.0,200
2006-07-31,59.0,59.0,55.0,55.0,300
2006-08-04,55.0,55.0,55.0,55.0,500
2006-08-25,55.0,55.0,55.0,55.0,100
2006-08-28,55.0,55.0,55.0,55.0,500
2006-08-30,55.0,55.0,55.0,55.0,600
2006-09-06,55.0,55.0,55.0,55.0,100
2006-09-07,55.0,55.0,55.0,55.0,1000
2006-09-19,47.0,47.0,45.0,45.0,800
2006-09-20,42.0,42.0,42.0,42.0,100
2006-09-26,46.0,46.0,46.0,46.0,300
2006-10-11,45.0,45.0,42.0,42.0,1500
2006-10-19,47.0,47.0,47.0,47.0,500
2006-10-20,55.0,60.0,48.0,55.0,1300
2006-11-02,55.0,55.0,55.0,55.0,6600
2006-11-06,52.0,52.0,52.0,52.0,700
2006-11-17,58.0,58.0,58.0,58.0,400
2006-11-21,65.0,72.0,65.0,66.0,3900
2006-11-22,70.0,70.0,70.0,70.0,500
2006-11-23,70.0,70.0,70.0,70.0,500
2006-11-27,47.0,47.0,42.0,42.0,3700
2006-11-28,40.0,55.0,40.0,55.0,1500
2006-11-29,50.0,56.0,50.0,55.0,2100
2006-11-30,51.0,58.0,51.0,58.0,1800
2006-12-04,59.0,72.0,59.0,62.0,8500
2006-12-05,61.0,61.0,61.0,61.0,300
2006-12-08,58.0,58.0,58.0,58.0,500
2006-12-13,51.0,51.0,51.0,51.0,1200
2006-12-15,69.0,69.0,69.0,69.0,200
2007-01-02,51.5,55.0,51.0,55.0,2300
2007-01-03,55.0,55.0,55.0,55.0,1200
2007-01-08,55.0,55.0,54.0,54.0,1500
2007-01-09,54.0,54.0,54.0,54.0,400
2007-01-10,50.0,50.0,50.0,50.0,900
2007-01-11,50.0,50.0,50.0,50.0,1000
2007-01-12,50.0,50.0,50.0,50.0,1000
2007-01-15,49.0,49.0,49.0,49.0,700
2007-01-16,49.0,49.0,49.0,49.0,300
2007-01-17,49.0,49.0,49.0,49.0,700
2007-01-18,49.0,49.0,49.0,49.0,500
2007-01-23,49.0,49.0,49.0,49.0,200
2007-01-25,43.0,49.0,43.0,49.0,1400
2007-01-26,50.0,52.0,50.0,52.0,900
2007-01-29,50.0,50.0,50.0,50.0,300
2007-01-30,50.0,50.0,50.0,50.0,500
2007-01-31,50.0,50.0,50.0,50.0,4600
2007-02-05,50.0,50.0,50.0,50.0,2300
2007-02-06,51.0,52.0,51.0,52.0,2500
2007-02-07,50.5,50.5,50.0,50.0,2200
2007-02-08,50.0,50.5,50.0,50.5,3300
2007-02-09,51.0,53.0,51.0,53.0,4000
2007-02-12,52.5,53.0,52.5,52.5,1100
2007-02-14,52.5,52.5,52.5,52.5,1200
2007-02-15,53.0,53.0,53.0,53.0,1000
2007-02-19,55.0,55.0,55.0,55.0,1000
2007-02-20,50.0,57.0,50.0,57.0,11800
2007-02-21,59.0,62.0,59.0,62.0,7700
2007-02-22,61.0,62.0,61.0,62.0,2900
2007-02-26,55.0,55.0,55.0,55.0,12500
2007-02-27,55.0,56.0,55.0,55.0,4200
2007-03-05,49.0,49.0,49.0,49.0,5000
2007-03-07,47.0,47.0,47.0,47.0,200
2007-03-08,50.0,50.0,50.0,50.0,500
2007-03-14,49.0,50.0,49.0,50.0,2700
2007-03-15,50.0,50.0,50.0,50.0,100
2007-03-20,50.0,50.0,50.0,50.0,1000
2007-03-22,50.0,50.0,50.0,50.0,800
2007-03-26,50.0,50.0,50.0,50.0,300
2007-03-27,50.0,50.0,50.0,50.0,1700
2007-03-28,50.0,50.0,50.0,50.0,1300
2007-04-04,51.0,51.0,50.0,50.0,1300
2007-04-10,50.0,51.0,50.0,51.0,700
2007-04-11,51.0,51.0,51.0,51.0,700
2007-05-10,51.0,51.0,51.0,51.0,500
2007-05-11,51.0,51.0,51.0,51.0,6500
2007-05-15,51.0,51.0,51.0,51.0,1000
2007-05-21,52.0,52.0,52.0,52.0,100
2007-05-24,51.0,51.0,51.0,51.0,200
2007-05-28,52.0,52.0,52.0,52.0,1000
2007-05-29,50.0,50.0,50.0,50.0,100
2007-05-30,50.0,50.0,50.0,50.0,400
2007-05-31,50.0,50.0,50.0,50.0,1400
