date,open,high,low,close,volume
2000-01-03,0.38,0.39,0.38,0.39,3880000
2000-01-04,0.39,0.45,0.39,0.44,48470000
2000-01-05,0.43,0.43,0.41,0.42,24500000
2000-01-06,0.42,0.43,0.41,0.41,8420000
2000-01-07,0.4,0.4,0.39,0.4,11940000
2000-01-10,0.4,0.41,0.39,0.39,6540000
2000-01-11,0.4,0.4,0.39,0.39,2960000
2000-01-12,0.4,0.4,0.39,0.39,3780000
2000-01-13,0.39,0.39,0.38,0.39,1560000
2000-01-14,0.39,0.39,0.37,0.37,13620000
2000-01-17,0.37,0.38,0.37,0.37,5770000
2000-01-18,0.37,0.38,0.36,0.36,10830000
2000-01-19,0.36,0.36,0.35,0.35,6410000
2000-01-20,0.35,0.35,0.34,0.35,4310000
2000-01-21,0.34,0.35,0.34,0.35,2050000
2000-01-24,0.34,0.35,0.34,0.35,2120000
2000-01-25,0.36,0.37,0.36,0.37,2530000
2000-01-26,0.36,0.36,0.35,0.35,2540000
2000-01-27,0.35,0.36,0.35,0.35,590000
2000-01-28,0.35,0.35,0.34,0.34,2740000
2000-01-31,0.35,0.35,0.32,0.33,3270000
2000-02-01,0.33,0.34,0.32,0.32,3270000
2000-02-02,0.32,0.33,0.32,0.33,3060000
2000-02-03,0.32,0.33,0.32,0.33,800000
2000-02-04,0.32,0.32,0.32,0.32,3810000
2000-02-07,0.34,0.36,0.34,0.35,4070000
2000-02-08,0.34,0.34,0.33,0.34,1970000
2000-02-09,0.34,0.34,0.33,0.33,3930000
2000-02-10,0.33,0.33,0.32,0.33,4790000
2000-02-11,0.33,0.38,0.33,0.35,14120000
2000-02-14,0.34,0.34,0.34,0.34,4470000
2000-02-15,0.35,0.35,0.33,0.33,2550000
2000-02-16,0.33,0.33,0.3,0.3,9060000
2000-02-17,0.3,0.32,0.3,0.3,2170000
2000-02-18,0.31,0.31,0.3,0.3,7200000
2000-02-21,0.29,0.29,0.28,0.29,4380000
2000-02-22,0.28,0.28,0.27,0.27,2380000
2000-02-23,0.29,0.29,0.27,0.28,1250000
2000-02-24,0.29,0.31,0.29,0.29,2280000
2000-02-28,0.28,0.28,0.26,0.26,2780000
2000-02-29,0.29,0.29,0.26,0.26,3050000
2000-03-01,0.26,0.27,0.26,0.27,1430000
2000-03-02,0.28,0.29,0.28,0.29,3500000
2000-03-03,0.29,0.29,0.29,0.29,1500000
2000-03-06,0.3,0.33,0.3,0.32,10050000
2000-03-07,0.31,0.32,0.29,0.31,3610000
2000-03-08,0.3,0.3,0.3,0.3,1470000
2000-03-09,0.31,0.31,0.3,0.3,300000
2000-03-10,0.3,0.31,0.3,0.31,2310000
2000-03-13,0.32,0.33,0.3,0.3,7770000
2000-03-14,0.31,0.31,0.29,0.3,1320000
