date,open,high,low,close,volume
1999-02-05,0.7,0.7,0.7,0.7,40000
1999-02-08,0.7,0.7,0.7,0.7,40000
1999-02-09,0.7,0.7,0.7,0.7,40000
1999-02-10,0.7,0.7,0.7,0.7,40000
1999-02-11,0.7,0.7,0.7,0.7,40000
1999-02-23,0.7,0.7,0.7,0.7,200000
1999-03-05,60.0,62.0,60.0,62.0,23300
1999-04-29,62.0,62.5,62.0,62.5,2000
1999-04-30,62.5,62.5,61.5,61.5,15800
1999-05-03,62.0,62.0,61.0,61.5,11200
1999-05-04,61.0,63.5,61.0,63.5,10200
1999-05-05,61.0,64.0,55.5,64.0,5400
1999-05-06,62.5,62.5,62.0,62.0,3500
1999-05-11,61.0,61.0,61.0,61.0,2000
1999-05-12,60.0,60.0,60.0,60.0,4000
1999-05-14,60.5,63.0,60.0,63.0,11000
1999-05-18,58.0,58.0,58.0,58.0,100
1999-06-03,60.0,60.0,60.0,60.0,1400
1999-06-04,60.0,60.0,60.0,60.0,2000
1999-06-08,55.0,60.5,55.0,60.5,2000
1999-06-16,55.5,61.0,55.5,61.0,2500
1999-06-17,57.0,57.0,57.0,57.0,1000
1999-06-18,57.0,57.0,57.0,57.0,1200
1999-06-21,57.0,57.0,57.0,57.0,1500
1999-06-24,57.0,61.5,57.0,61.5,1100
1999-07-02,57.0,57.0,57.0,57.0,3000
1999-07-07,57.0,57.0,57.0,57.0,1200
1999-07-08,61.5,61.5,61.5,61.5,100
1999-07-12,57.0,57.0,57.0,57.0,1000
1999-07-13,61.5,61.5,61.5,61.5,100
1999-08-05,61.5,61.5,61.5,61.5,800
1999-08-09,50.0,50.0,50.0,50.0,500
1999-08-11,61.5,61.5,55.0,61.5,700
1999-08-13,57.0,61.5,57.0,61.5,1300
1999-08-23,60.0,60.0,60.0,60.0,200
1999-08-24,60.0,60.0,60.0,60.0,1000
1999-08-25,60.0,60.0,60.0,60.0,1000
1999-08-27,60.0,60.0,58.0,60.0,4100
1999-09-06,58.0,58.0,58.0,58.0,2000
1999-10-11,57.0,57.0,57.0,57.0,2000
1999-10-20,56.0,56.0,56.0,56.0,2000
1999-11-04,55.0,55.0,55.0,55.0,1900
1999-11-10,61.0,61.5,61.0,61.5,3100
1999-11-11,56.0,56.0,56.0,56.0,1200
1999-11-15,56.0,56.0,55.0,55.0,500
1999-11-22,52.0,52.0,52.0,52.0,500
1999-11-23,51.0,51.0,51.0,51.0,1000
1999-11-29,52.0,52.0,52.0,52.0,1000
1999-12-01,52.0,52.0,52.0,52.0,500
1999-12-20,60.0,68.0,60.0,68.0,14800
1999-12-22,67.0,67.0,67.0,67.0,600
1999-12-23,64.0,66.0,64.0,66.0,700
1999-12-29,70.0,70.0,70.0,70.0,100
2000-01-06,65.0,65.0,65.0,65.0,800
2000-01-07,61.0,61.0,61.0,61.0,1100
2000-01-19,58.0,58.0,58.0,58.0,1200
2000-01-20,58.0,58.0,58.0,58.0,1500
2000-01-21,58.0,58.0,58.0,58.0,900
2000-02-16,61.0,61.0,61.0,61.0,500
2000-02-17,61.0,61.0,61.0,61.0,200
2000-02-21,61.0,61.0,61.0,61.0,500
2000-03-10,61.0,61.0,61.0,61.0,1000
2000-03-21,63.0,63.0,63.0,63.0,500
2000-03-24,73.0,73.0,73.0,73.0,21000
2000-04-27,63.0,63.0,63.0,63.0,500
2000-05-11,63.0,65.0,63.0,65.0,1300
2000-05-18,64.0,64.0,64.0,64.0,10100
2000-06-22,65.0,65.0,64.0,64.0,2000
2000-07-03,64.0,64.0,64.0,64.0,800
2000-09-04,64.0,64.0,64.0,64.0,700
2000-09-29,64.0,64.0,64.0,64.0,400
2000-10-23,65.0,65.0,65.0,65.0,1000
2000-11-06,65.0,65.0,65.0,65.0,400
2000-11-15,45.0,65.0,45.0,65.0,2000
2000-12-05,65.0,65.0,65.0,65.0,500
2000-12-18,65.5,65.5,65.5,65.5,1000
2000-12-19,65.0,65.0,65.0,65.0,700
