date,open,high,low,close,volume
1999-02-04,0.6,0.61,0.6,0.6,1070000
1999-02-05,0.6,0.6,0.59,0.59,730000
1999-02-08,0.6,0.6,0.59,0.59,730000
1999-02-09,0.6,0.6,0.59,0.59,730000
1999-02-10,0.6,0.6,0.59,0.59,730000
1999-02-11,0.6,0.6,0.59,0.59,730000
1999-02-12,0.57,0.57,0.57,0.57,400000
1999-02-15,0.57,0.57,0.56,0.56,2100000
1999-02-16,0.55,0.55,0.54,0.54,660000
1999-02-17,0.55,0.57,0.55,0.56,740000
1999-02-18,0.56,0.56,0.56,0.56,2990000
1999-02-19,0.55,0.55,0.52,0.53,2310000
1999-02-23,0.54,0.54,0.54,0.54,300000
1999-02-24,0.52,0.53,0.5,0.52,690000
1999-02-25,0.52,0.52,0.5,0.5,350000
1999-02-26,0.53,0.54,0.53,0.53,9230000
1999-03-01,0.53,0.53,0.53,0.53,1740000
1999-03-02,0.54,0.54,0.54,0.54,590000
1999-03-03,0.53,0.53,0.53,0.53,220000
1999-03-04,0.53,0.53,0.53,0.53,1020000
1999-03-05,0.54,0.54,0.53,0.54,1090000
1999-03-08,0.53,0.53,0.53,0.53,160000
1999-03-09,0.53,0.53,0.5,0.5,1800000
1999-03-10,0.49,0.49,0.46,0.48,3650000
1999-03-11,0.48,0.48,0.48,0.48,2980000
1999-03-12,0.48,0.48,0.48,0.48,520000
1999-03-15,0.5,0.5,0.48,0.49,10520000
1999-03-16,0.49,0.49,0.49,0.49,750000
1999-03-17,0.49,0.49,0.48,0.48,200000
1999-03-18,0.49,0.5,0.49,0.5,1060000
1999-03-19,0.51,0.51,0.5,0.5,530000
1999-03-22,0.49,0.49,0.49,0.49,110000
1999-03-23,0.49,0.52,0.49,0.51,1710000
1999-03-24,0.51,0.55,0.49,0.54,4210000
1999-03-25,0.53,0.53,0.52,0.52,920000
1999-03-29,0.51,0.52,0.5,0.52,690000
1999-03-30,0.52,0.53,0.52,0.52,1030000
1999-03-31,0.51,0.56,0.51,0.54,11200000
1999-04-05,0.55,0.61,0.55,0.59,2270000
1999-04-06,0.59,0.59,0.57,0.57,1030000
1999-04-07,0.58,0.6,0.58,0.6,2840000
1999-04-08,0.59,0.63,0.59,0.63,3910000
1999-04-12,0.65,0.66,0.63,0.63,4000000
1999-04-13,0.61,0.61,0.6,0.61,510000
1999-04-14,0.61,0.61,0.61,0.61,600000
1999-04-15,0.62,0.62,0.58,0.59,9650000
1999-04-16,0.57,0.58,0.56,0.58,1400000
1999-04-19,0.57,0.58,0.57,0.58,750000
1999-04-20,0.58,0.6,0.58,0.6,2170000
1999-04-21,0.6,0.6,0.58,0.6,1150000
1999-04-22,0.59,0.6,0.59,0.6,2090000
1999-04-23,0.6,0.61,0.58,0.58,2630000
1999-04-26,0.58,0.59,0.58,0.59,3730000
1999-04-27,0.6,0.61,0.58,0.6,7090000
1999-04-28,0.61,0.63,0.61,0.62,2390000
1999-04-29,0.61,0.64,0.61,0.63,1530000
1999-04-30,0.63,0.66,0.63,0.66,13450000
1999-05-03,0.67,0.67,0.64,0.64,970000
