date,open,high,low,close,volume
1999-02-04,38.0,38.5,38.0,38.5,4100
1999-02-05,38.5,38.5,38.5,38.5,1500
1999-02-08,38.5,38.5,38.5,38.5,1500
1999-02-09,38.5,38.5,38.5,38.5,1500
1999-02-10,38.5,38.5,38.5,38.5,1500
1999-02-11,38.5,38.5,38.5,38.5,1500
1999-02-12,39.0,39.0,39.0,39.0,14000
1999-02-15,39.0,39.0,35.5,39.0,1000
1999-02-17,39.0,39.0,39.0,39.0,200
1999-02-26,38.5,39.0,38.5,39.0,6500
1999-03-01,38.0,39.0,38.0,39.0,1700
1999-03-02,39.0,39.5,39.0,39.0,9300
1999-03-03,38.5,38.5,38.5,38.5,8500
1999-03-04,38.5,38.5,38.5,38.5,11500
1999-03-05,38.5,38.5,38.5,38.5,400
1999-03-08,38.5,38.5,38.5,38.5,500
1999-03-16,37.0,37.0,37.0,37.0,94600
1999-03-17,37.0,37.0,36.0,36.5,20100
1999-03-18,37.0,37.0,36.0,36.5,10500
1999-03-19,36.0,37.0,36.0,37.0,10700
1999-03-22,37.0,37.0,37.0,37.0,500
1999-03-23,37.0,37.0,34.0,37.0,10700
1999-03-24,36.5,36.5,36.0,36.5,45100
1999-03-25,37.0,37.0,36.5,37.0,6100
1999-03-26,37.0,37.0,36.0,36.5,6500
1999-03-29,36.0,36.5,36.0,36.5,60000
1999-03-31,36.5,36.5,36.5,36.5,3300
1999-04-05,36.5,36.5,36.5,36.5,9900
1999-04-07,37.0,37.0,35.0,37.0,68300
1999-04-08,37.0,37.0,36.0,37.0,85000
1999-04-12,37.0,37.0,37.0,37.0,30500
1999-04-13,37.0,37.5,37.0,37.5,47400
1999-04-14,37.5,37.5,37.5,37.5,30000
1999-04-15,36.0,37.5,36.0,37.5,37400
1999-04-16,37.5,38.0,36.5,37.5,42100
1999-04-19,37.5,37.5,37.5,37.5,10600
1999-04-20,37.5,37.5,37.5,37.5,14600
1999-04-21,38.0,46.5,38.0,42.0,71100
1999-04-22,45.0,45.0,42.0,42.0,37300
1999-04-23,40.0,44.0,40.0,42.0,22000
1999-04-26,42.0,42.0,41.0,41.5,5500
1999-04-27,42.0,42.0,38.0,39.0,16500
1999-04-29,21.5,22.5,21.5,22.0,137900
1999-05-03,21.5,21.5,21.5,21.5,15000
1999-05-11,22.0,22.0,21.25,21.75,49100
1999-05-12,21.5,21.5,21.5,21.5,11000
1999-05-17,20.25,20.25,20.0,20.0,4200
1999-05-18,20.0,20.0,20.0,20.0,400
1999-05-19,20.0,20.0,20.0,20.0,2700
1999-05-20,20.0,20.0,20.0,20.0,300
1999-05-21,19.75,19.75,19.75,19.75,1400
