date,open,high,low,close,volume
2018-04-30,5.4,5.4,5.15,5.2,38300
2018-05-02,5.11,5.2,5.0,5.1,20800
2018-05-03,5.1,5.1,4.7,5.04,128100
2018-05-04,4.99,5.35,4.99,5.35,171200
2018-05-07,5.35,5.4,5.01,5.4,191600
2018-05-08,5.42,6.33,5.42,6.05,1065600
2018-05-09,5.9,6.0,5.6,5.68,456300
2018-05-10,5.61,5.77,5.4,5.77,440100
2018-05-11,5.78,6.3,5.6,5.8,668100
2018-05-15,5.99,6.29,5.81,6.0,381300
2018-05-16,6.0,6.0,5.67,6.0,66100
2018-05-17,6.1,6.1,5.8,5.89,46100
2018-05-18,5.81,5.95,5.63,5.7,115400
2018-05-21,5.63,5.85,5.6,5.81,80900
2018-05-22,5.83,5.83,5.69,5.72,20200
2018-05-23,5.7,5.81,5.58,5.7,57700
2018-05-24,5.7,5.93,5.55,5.93,195100
2018-05-25,5.93,5.99,5.8,5.96,287000
2018-05-28,5.99,6.35,5.96,6.0,1842800
2018-05-29,6.18,6.18,5.54,5.68,475400
2018-05-30,5.73,5.74,5.55,5.7,175000
2018-05-31,5.74,5.85,5.65,5.76,205300
2018-06-01,5.9,6.16,5.85,5.95,430700
2018-06-04,6.07,6.07,5.75,5.95,133400
2018-06-05,5.75,5.95,5.7,5.7,167100
2018-06-06,5.7,5.88,5.6,5.6,131600
2018-06-07,5.61,5.85,5.6,5.85,192900
2018-06-08,5.95,5.95,5.93,5.94,29600
2018-06-11,5.94,5.94,5.74,5.89,146300
2018-06-13,6.02,6.5,5.91,5.96,3196900
2018-06-14,6.11,6.11,5.71,5.94,350500
2018-06-18,5.8,6.08,5.78,5.99,3301900
2018-06-19,6.02,6.47,6.02,6.03,4203500
2018-06-20,6.06,6.33,6.0,6.14,2345700
2018-06-21,6.17,6.19,5.79,5.8,713000
2018-06-22,5.78,6.06,5.6,6.02,4762900
2018-06-25,6.2,7.05,6.08,7.05,6789200
2018-07-02,8.0,9.2,7.32,7.35,21947900
