date,open,high,low,close,volume
2016-12-15,12.0,12.36,11.66,12.1,49585200
2016-12-16,12.16,12.26,11.78,12.24,21287500
2016-12-19,12.24,12.24,11.88,11.98,7482500
2016-12-20,11.98,11.98,11.5,11.58,13615300
2016-12-21,11.62,11.82,11.62,11.7,6161600
2016-12-22,11.7,11.7,11.24,11.24,8418900
2016-12-23,11.24,11.26,10.9,11.2,4136300
2016-12-27,11.22,11.34,11.22,11.3,1212100
2016-12-28,11.32,11.4,11.28,11.3,2431200
2016-12-29,11.3,11.68,11.2,11.5,10836500
2017-01-03,11.58,11.58,11.38,11.48,727600
2017-01-04,11.48,11.9,11.48,11.68,3234700
2017-01-05,11.76,11.76,11.6,11.68,2812300
2017-01-06,11.76,11.76,11.56,11.66,4044200
2017-01-09,11.6,11.68,11.54,11.66,1845800
2017-01-10,11.66,11.92,11.5,11.5,10208300
2017-01-11,11.6,11.92,11.54,11.68,7567100
2017-01-12,11.7,11.84,11.6,11.6,4263700
2017-01-13,11.68,11.76,11.62,11.76,2320300
2017-01-16,11.76,12.48,11.76,12.28,19390900
2017-01-17,12.28,12.6,12.14,12.4,6026200
2017-01-18,12.36,12.36,11.96,12.0,4678200
2017-01-19,12.2,12.36,12.1,12.24,3820700
2017-01-20,12.24,12.66,12.24,12.56,7443300
2017-01-23,12.6,12.6,12.32,12.38,2835900
2017-01-24,12.4,12.56,12.3,12.36,6369400
2017-01-25,12.38,12.8,12.34,12.6,8032900
2017-01-26,12.76,12.88,12.56,12.7,5311900
2017-01-27,12.8,12.98,12.66,12.9,5854200
2017-01-30,12.96,13.0,12.8,12.82,1024000
2017-01-31,12.7,12.82,12.58,12.82,4047800
2017-02-01,12.82,12.94,12.68,12.9,1585600
2017-02-02,12.9,13.12,12.84,12.86,4512200
2017-02-03,12.84,12.86,12.64,12.7,3498400
2017-02-06,12.7,12.86,12.6,12.76,3980100
2017-02-07,12.76,12.76,12.66,12.66,2269900
2017-02-08,12.66,12.66,12.24,12.28,6308700
2017-02-09,12.28,12.46,12.26,12.36,1017500
2017-02-10,12.48,12.48,12.2,12.36,521900
2017-02-13,12.36,12.5,12.3,12.3,554300
2017-02-14,12.32,12.78,12.32,12.7,3610600
2017-02-15,12.7,12.84,12.66,12.68,2043400
2017-02-16,12.68,12.68,12.56,12.6,380700
2017-02-17,12.6,12.7,12.5,12.68,2242300
2017-02-20,12.68,12.72,12.54,12.7,251300
2017-02-21,12.72,12.72,12.58,12.64,342400
2017-02-22,12.64,12.68,12.1,12.1,4990300
2017-02-23,12.08,12.3,12.0,12.2,3796500
2017-02-24,12.2,12.28,12.06,12.1,1775700
2017-02-27,12.2,12.4,12.18,12.28,5378200
2017-02-28,12.28,12.34,12.1,12.3,4460400
2017-03-01,12.3,12.42,12.28,12.42,1239900
2017-03-02,12.38,12.42,12.26,12.34,979300
2017-03-03,12.48,12.7,12.2,12.66,5833500
2017-03-06,12.66,12.98,12.56,12.9,3052200
2017-03-07,12.9,12.9,12.68,12.74,925700
2017-03-08,12.78,13.42,12.74,13.08,10422900
2017-03-09,13.08,13.76,13.08,13.76,6811900
2017-03-10,13.74,13.98,13.5,13.98,3768500
2017-03-13,14.0,14.52,14.0,14.4,7506900
2017-03-14,14.4,14.6,14.12,14.56,3199400
2017-03-15,14.5,14.8,14.46,14.46,5358700
2017-03-16,14.4,14.4,13.9,13.9,3805700
2017-03-17,13.84,14.4,13.8,14.26,2078400
2017-03-20,14.28,14.48,14.1,14.26,1179700
2017-03-21,14.26,14.5,13.6,13.6,8151800
2017-03-22,13.7,13.9,13.2,13.3,5092100
2017-03-23,13.3,14.1,13.3,14.1,5263600
2017-03-24,14.0,14.2,13.7,13.74,3702200
2017-03-27,13.88,13.88,13.3,13.32,2272000
2017-03-28,13.46,13.9,13.46,13.7,619600
2017-03-29,13.8,13.9,13.54,13.7,1595500
2017-03-30,13.66,13.76,13.58,13.66,688600
2017-03-31,13.5,13.7,13.4,13.6,481500
2017-04-03,13.6,13.6,13.32,13.44,189000
2017-04-04,13.44,13.8,13.32,13.52,1287300
2017-04-05,13.58,13.84,13.34,13.52,1459700
2017-04-06,13.8,13.8,13.2,13.2,1527200
2017-04-07,13.3,13.4,13.2,13.2,1029100
2017-04-10,13.2,13.5,13.2,13.42,160800
2017-04-11,13.42,13.54,13.22,13.54,1071800
2017-04-12,13.6,13.66,13.5,13.5,567200
2017-04-17,13.56,13.76,13.4,13.7,514700
2017-04-18,13.8,14.14,13.8,14.0,3862400
2017-04-19,14.06,14.1,13.9,14.0,1796700
2017-04-20,14.02,14.06,13.9,13.98,635100
2017-04-21,13.98,14.0,13.9,13.94,393800
2017-04-24,13.9,13.94,13.7,13.78,240500
2017-04-25,13.8,13.8,13.62,13.74,2176600
2017-04-26,13.74,13.92,13.72,13.86,692800
2017-04-27,13.86,13.9,13.66,13.72,719400
2017-05-02,13.72,13.92,13.6,13.9,1633300
2017-05-03,13.98,14.06,13.76,13.78,774400
2017-05-04,13.78,13.9,13.64,13.76,173000
2017-05-05,13.78,13.84,13.62,13.68,743700
2017-05-08,13.64,13.7,13.58,13.6,1960300
2017-05-09,13.6,13.66,13.46,13.58,764600
2017-05-10,13.6,14.2,13.6,13.8,7940300
2017-05-11,13.84,13.96,13.6,13.72,1313400
2017-05-12,13.72,13.72,13.64,13.66,357900
2017-05-15,13.66,13.78,13.3,13.3,3235200
2017-05-16,13.28,13.34,13.22,13.3,2425900
2017-05-17,13.36,13.4,13.1,13.1,3974100
2017-05-18,13.04,13.04,12.94,12.96,1611700
2017-05-19,12.96,13.24,12.9,12.96,2759200
2017-05-22,13.18,13.28,13.02,13.02,182200
2017-05-23,13.22,13.56,13.14,13.32,1168500
2017-05-24,13.32,13.48,13.26,13.4,440000
2017-05-25,13.4,13.44,13.38,13.42,179100
2017-05-26,13.5,13.56,13.0,13.08,2253000
2017-05-29,13.06,13.3,13.0,13.2,980600
2017-05-30,13.2,13.2,12.8,12.96,3666000
2017-05-31,13.0,13.14,12.98,13.1,2822700
2017-06-01,13.1,13.56,13.0,13.56,956900
2017-06-02,13.56,13.56,13.28,13.3,1235500
2017-06-05,13.4,13.7,13.2,13.58,1080600
2017-06-06,13.5,13.68,13.42,13.46,2787500
2017-06-07,13.6,13.92,13.46,13.62,2608400
2017-06-08,13.62,13.8,13.4,13.68,1472500
2017-06-09,13.78,13.78,13.6,13.62,286900
2017-06-13,13.62,13.62,13.44,13.52,397000
2017-06-14,13.5,13.54,13.48,13.52,324900
2017-06-15,13.5,13.64,13.48,13.5,1419700
2017-06-16,13.5,13.58,13.42,13.5,578100
2017-06-19,13.46,13.5,13.26,13.4,767800
2017-06-20,13.5,13.5,13.2,13.2,2697300
2017-06-21,13.18,13.18,13.0,13.04,2685700
2017-06-22,13.04,13.2,12.88,12.9,2029100
2017-06-23,13.04,13.04,12.76,12.9,2554200
2017-06-27,12.9,13.2,12.86,12.9,3527300
2017-06-28,12.9,13.16,12.9,13.1,340000
2017-06-29,13.16,13.18,13.0,13.16,788500
2017-06-30,13.16,13.16,12.9,12.96,543900
2017-07-03,13.1,13.24,13.0,13.16,1783500
2017-07-04,13.1,13.8,13.1,13.8,3247400
2017-07-05,13.8,14.22,13.66,14.02,3336700
2017-07-06,14.08,14.34,14.0,14.0,2001700
2017-07-07,14.0,14.0,13.8,13.96,280800
2017-07-10,13.92,14.3,13.8,14.0,440500
2017-07-11,14.0,14.5,13.92,14.3,4086900
2017-07-12,14.2,14.2,13.54,13.54,3755200
2017-07-13,13.72,13.72,13.02,13.02,6863400
2017-07-14,13.22,13.36,13.2,13.36,642300
2017-07-17,13.38,13.38,13.2,13.24,155700
2017-07-18,13.28,13.28,12.9,13.1,2342100
2017-07-19,13.1,13.34,13.1,13.18,350900
2017-07-20,13.32,13.32,13.14,13.18,223300
2017-07-21,13.18,13.18,12.94,12.94,1101200
2017-07-24,13.08,13.36,13.0,13.36,1682800
2017-07-25,13.3,13.4,13.28,13.3,603300
2017-07-26,13.28,13.38,13.12,13.12,175800
2017-07-27,13.12,13.2,13.12,13.16,470900
2017-07-28,13.16,13.32,13.16,13.24,873800
2017-07-31,13.24,13.24,13.12,13.12,214700
2017-08-01,13.1,13.1,12.88,13.02,866700
2017-08-02,13.08,13.3,13.02,13.26,267300
2017-08-03,12.9,13.2,12.9,13.06,134800
2017-08-04,13.06,13.2,12.92,12.96,502100
2017-08-07,12.96,13.06,12.96,13.02,298500
2017-08-08,13.04,13.06,12.98,13.04,555100
2017-08-09,13.0,13.0,12.0,12.6,4234700
2017-08-10,12.6,12.7,12.36,12.7,347500
2017-08-11,12.5,12.66,12.1,12.66,1142400
2017-08-14,12.6,12.68,12.52,12.62,630100
2017-08-15,12.6,12.7,12.28,12.52,273300
2017-08-16,12.5,12.6,12.38,12.4,1516000
2017-08-17,12.6,12.6,12.4,12.54,124300
2017-08-18,12.6,12.6,12.52,12.56,271900
2017-08-22,12.56,12.7,12.5,12.7,1659200
2017-08-23,12.7,13.02,12.68,12.98,349000
2017-08-24,12.98,13.0,12.8,12.96,589000
2017-08-25,12.82,12.96,12.6,12.7,355200
2017-08-29,12.9,12.94,12.64,12.7,1937800
2017-08-30,12.8,12.8,12.6,12.66,207700
2017-08-31,12.56,12.76,12.54,12.7,83200
2017-09-04,12.68,12.72,12.5,12.5,810700
2017-09-05,12.64,12.8,12.62,12.78,663800
2017-09-06,12.78,12.78,12.6,12.7,230300
2017-09-07,12.7,12.9,12.68,12.7,3333000
2017-09-08,12.7,12.7,12.48,12.5,1965900
2017-09-11,12.52,12.62,12.44,12.62,1167400
2017-09-13,12.8,12.8,12.62,12.7,856100
2017-09-14,12.7,12.78,12.68,12.72,1887000
2017-09-15,12.72,12.74,12.7,12.72,994700
2017-09-18,12.7,13.02,12.7,12.92,1502000
2017-09-19,12.94,12.94,12.88,12.92,399700
2017-09-20,12.92,13.32,12.92,13.3,1868700
2017-09-21,13.38,13.7,13.38,13.6,4104400
2017-09-22,13.74,13.78,13.4,13.48,1077700
2017-09-25,13.5,13.5,13.2,13.32,750000
2017-09-26,13.32,13.4,13.12,13.28,1306200
2017-09-27,13.28,13.5,13.0,13.0,1177600
2017-09-28,13.2,13.2,12.96,12.96,658300
2017-09-29,13.4,13.4,12.94,13.06,456100
2017-10-02,13.38,13.4,13.08,13.08,146100
2017-10-03,13.04,13.2,13.02,13.06,1422000
2017-10-04,13.26,13.5,13.08,13.3,1480800
2017-10-05,13.46,13.46,13.32,13.34,84500
2017-10-06,13.4,13.64,13.34,13.5,2241600
2017-10-09,13.5,13.5,13.3,13.3,88900
2017-10-10,13.56,13.7,13.3,13.5,1022800
2017-10-11,13.6,13.7,13.5,13.58,1189200
2017-10-12,13.6,13.62,13.44,13.6,1148600
2017-10-13,13.64,13.64,13.46,13.5,377400
2017-10-17,13.52,13.56,13.38,13.38,168400
2017-10-18,13.38,13.46,13.1,13.22,365700
2017-10-19,13.18,13.42,13.18,13.42,63900
2017-10-20,13.4,13.4,13.2,13.3,74100
2017-10-23,13.3,13.3,13.1,13.18,90700
2017-10-24,13.18,13.18,13.02,13.1,609000
2017-10-25,13.1,13.18,13.0,13.0,644600
2017-10-26,13.0,13.2,12.96,12.98,92400
2017-10-27,12.98,13.28,12.98,13.1,1299300
2017-10-30,13.2,13.2,12.98,13.0,235200
2017-11-02,13.0,13.06,12.8,12.88,679700
2017-11-03,12.88,13.0,12.88,12.94,1240900
2017-11-06,12.96,13.0,12.88,12.92,1115300
2017-11-07,12.9,13.02,12.8,13.02,713600
2017-11-08,13.02,13.02,12.98,12.98,168100
2017-11-09,13.02,13.08,12.92,13.08,642200
2017-11-10,13.08,13.1,13.0,13.0,54500
2017-11-13,13.0,13.08,12.88,12.9,322400
2017-11-14,12.88,12.9,12.78,12.9,1269400
2017-11-15,12.9,12.94,12.9,12.9,82500
2017-11-16,12.9,13.0,12.9,13.0,91800
2017-11-17,13.0,13.0,12.9,12.94,103600
2017-11-20,12.94,12.94,12.9,12.92,1071600
2017-11-21,12.9,12.98,12.82,12.84,1684900
2017-11-22,12.84,12.84,12.74,12.8,621500
2017-11-23,12.8,12.96,12.8,12.9,30500
2017-11-24,12.9,12.98,12.84,12.9,276800
2017-11-27,12.9,12.98,12.82,12.9,324200
2017-11-28,12.9,12.92,12.8,12.9,183200
2017-11-29,12.92,12.92,12.72,12.8,1153600
2017-12-01,12.82,12.92,12.82,12.9,402200
2017-12-04,12.92,12.92,12.82,12.9,814600
2017-12-05,12.9,12.94,12.82,12.9,286200
